#wls	flux	fluxerr
3.289393E+03	9.174067E-16	2.777007E-17
3.365337E+03	9.341671E-16	2.624523E-17
3.443035E+03	9.584597E-16	2.535752E-17
3.522526E+03	9.922076E-16	2.569410E-17
3.603853E+03	1.034148E-15	2.727485E-17
3.687058E+03	1.079351E-15	2.952541E-17
3.772183E+03	1.120717E-15	3.176546E-17
3.859274E+03	1.149397E-15	3.337963E-17
3.948375E+03	1.156108E-15	3.389905E-17
4.039534E+03	1.133487E-15	3.306410E-17
4.132797E+03	1.078696E-15	3.087103E-17
4.228214E+03	9.947716E-16	2.756780E-17
4.325833E+03	8.896719E-16	2.358031E-17
4.425707E+03	7.735706E-16	1.939345E-17
4.527886E+03	6.560509E-16	1.543910E-17
4.632424E+03	5.445077E-16	1.202683E-17
4.739376E+03	4.438860E-16	9.313661E-18
4.848796E+03	3.572914E-16	7.282623E-18
4.960744E+03	2.868633E-16	5.755998E-18
5.075276E+03	2.331051E-16	4.599734E-18
5.192452E+03	1.952815E-16	3.763692E-18
5.312333E+03	1.721913E-16	3.238400E-18
5.434982E+03	1.626721E-16	3.021976E-18
5.560463E+03	1.645957E-16	3.053334E-18
5.688841E+03	1.747366E-16	3.208772E-18
5.820183E+03	1.899324E-16	3.373978E-18
5.954557E+03	2.066995E-16	3.471173E-18
6.092034E+03	2.209997E-16	3.509517E-18
6.232684E+03	2.286706E-16	3.609302E-18
6.376582E+03	2.282979E-16	3.834202E-18
6.523803E+03	2.214413E-16	4.045610E-18
6.674422E+03	2.102211E-16	4.111247E-18
6.828518E+03	1.965469E-16	3.987633E-18
6.986173E+03	1.818185E-16	3.694769E-18
7.147467E+03	1.669219E-16	3.284874E-18
7.312485E+03	1.523663E-16	2.827281E-18
7.481313E+03	1.384943E-16	2.403146E-18
7.654039E+03	1.257744E-16	2.089795E-18
7.830752E+03	1.157657E-16	1.910427E-18
8.011546E+03	1.095311E-16	1.831017E-18
8.196514E+03	1.056321E-16	1.772066E-18
8.385752E+03	1.019659E-16	1.674821E-18
8.579359E+03	9.657016E-17	1.529133E-18
8.777436E+03	8.814612E-17	1.372323E-18
8.980086E+03	7.707110E-17	1.237337E-18
9.187415E+03	6.508092E-17	1.110027E-18
9.399531E+03	5.383827E-17	9.666414E-19
9.616544E+03	4.429291E-17	8.136477E-19
9.838567E+03	3.676191E-17	6.735141E-19
1.006572E+04	3.120103E-17	5.687678E-19
1.029811E+04	2.739354E-17	5.126374E-19
1.053587E+04	2.496596E-17	4.979302E-19
1.077912E+04	2.346853E-17	5.018815E-19
1.102798E+04	2.256418E-17	5.051821E-19
1.128259E+04	2.201386E-17	4.953484E-19
1.154308E+04	2.163618E-17	4.659629E-19
1.180958E+04	2.127727E-17	4.171071E-19
1.208224E+04	2.079444E-17	3.583494E-19
1.236119E+04	2.004896E-17	3.125371E-19
1.264658E+04	1.892689E-17	3.056013E-19
1.293856E+04	1.754918E-17	3.301775E-19
1.323728E+04	1.607834E-17	3.578607E-19
1.354290E+04	1.459817E-17	3.717774E-19
1.385557E+04	1.315491E-17	3.671538E-19
1.417546E+04	1.177886E-17	3.455679E-19
1.450274E+04	1.049279E-17	3.114558E-19
1.483757E+04	9.314058E-18	2.703051E-19
1.518014E+04	8.254528E-18	2.277355E-19
1.553061E+04	7.320169E-18	1.890861E-19
1.588918E+04	6.510811E-18	1.590963E-19
1.625602E+04	5.820431E-18	1.408972E-19
1.663133E+04	5.238610E-18	1.336903E-19
1.701531E+04	4.750535E-18	1.325679E-19
1.740815E+04	4.338790E-18	1.329099E-19
1.781007E+04	3.986783E-18	1.319746E-19
1.822126E+04	3.680498E-18	1.285235E-19
1.864194E+04	3.409172E-18	1.222179E-19
1.907234E+04	3.165282E-18	1.132553E-19
1.951268E+04	2.944129E-18	1.022117E-19
1.996318E+04	2.743270E-18	9.001204E-20
2.042408E+04	2.561885E-18	7.800537E-20
2.089563E+04	2.400195E-18	6.810988E-20
2.137806E+04	2.258907E-18	6.273384E-20
2.187163E+04	2.138486E-18	6.373032E-20
2.237659E+04	2.037321E-18	7.068079E-20
2.289321E+04	1.952227E-18	8.162013E-20
2.342176E+04	1.880085E-18	9.481605E-20
2.396252E+04	1.818035E-18	1.092167E-19
2.451575E+04	1.763488E-18	1.242435E-19
