#wls	flux	fluxerr
3.289393E+03	1.119462E-17	5.183981E-19
3.289393E+03	1.119462E-17	5.183981E-19
3.365337E+03	9.585865E-18	4.021827E-19
3.365337E+03	9.585865E-18	4.021827E-19
3.443035E+03	8.217570E-18	3.131232E-19
3.443035E+03	8.217570E-18	3.131232E-19
3.522526E+03	7.088535E-18	2.470428E-19
3.522526E+03	7.088535E-18	2.470428E-19
3.603853E+03	6.188189E-18	1.992453E-19
3.603853E+03	6.188189E-18	1.992453E-19
3.687058E+03	5.497566E-18	1.653580E-19
3.687058E+03	5.497566E-18	1.653580E-19
3.772183E+03	4.990905E-18	1.416988E-19
3.772183E+03	4.990905E-18	1.416988E-19
3.859274E+03	4.637004E-18	1.252691E-19
3.859274E+03	4.637004E-18	1.252691E-19
3.948375E+03	4.402341E-18	1.136621E-19
3.948375E+03	4.402341E-18	1.136621E-19
4.039534E+03	4.255750E-18	1.050748E-19
4.039534E+03	4.255750E-18	1.050748E-19
4.132797E+03	4.173829E-18	9.844212E-20
4.132797E+03	4.173829E-18	9.844212E-20
4.228214E+03	4.144752E-18	9.346614E-20
4.228214E+03	4.144752E-18	9.346614E-20
4.325833E+03	4.163619E-18	9.009753E-20
4.325833E+03	4.163619E-18	9.009753E-20
4.425707E+03	4.223229E-18	8.771675E-20
4.425707E+03	4.223229E-18	8.771675E-20
4.527886E+03	4.314818E-18	8.551963E-20
4.527886E+03	4.314818E-18	8.551963E-20
4.632424E+03	4.435139E-18	8.328538E-20
4.632424E+03	4.435139E-18	8.328538E-20
4.739376E+03	4.590660E-18	8.170826E-20
4.739376E+03	4.590660E-18	8.170826E-20
4.848796E+03	4.793173E-18	8.200030E-20
4.848796E+03	4.793173E-18	8.200030E-20
4.960744E+03	5.049009E-18	8.438106E-20
4.960744E+03	5.049009E-18	8.438106E-20
5.075276E+03	5.351234E-18	8.728180E-20
5.075276E+03	5.351234E-18	8.728180E-20
5.192452E+03	5.676952E-18	8.885771E-20
5.192452E+03	5.676952E-18	8.885771E-20
5.312333E+03	5.995936E-18	8.852254E-20
5.312333E+03	5.995936E-18	8.852254E-20
5.434982E+03	6.282734E-18	8.785601E-20
5.434982E+03	6.282734E-18	8.785601E-20
5.560463E+03	6.525471E-18	9.019091E-20
5.560463E+03	6.525471E-18	9.019091E-20
5.688841E+03	6.744566E-18	9.547388E-20
5.688841E+03	6.744566E-18	9.547388E-20
