#wls	flux	fluxerr
3.289393E+03	4.203882E-18	2.644998E-19
3.365337E+03	3.557655E-18	2.080519E-19
3.443035E+03	3.015183E-18	1.643985E-19
3.522526E+03	2.569367E-18	1.313367E-19
3.603853E+03	2.210802E-18	1.066930E-19
3.687058E+03	1.928440E-18	8.851775E-20
3.772183E+03	1.710532E-18	7.518573E-20
3.859274E+03	1.545655E-18	6.541547E-20
3.948375E+03	1.423596E-18	5.824323E-20
4.039534E+03	1.335910E-18	5.297839E-20
4.132797E+03	1.276118E-18	4.915195E-20
4.228214E+03	1.239546E-18	4.645321E-20
4.325833E+03	1.222841E-18	4.465637E-20
4.425707E+03	1.223487E-18	4.357025E-20
4.527886E+03	1.239647E-18	4.304012E-20
4.632424E+03	1.270276E-18	4.297700E-20
4.739376E+03	1.315103E-18	4.336020E-20
4.848796E+03	1.374158E-18	4.418513E-20
4.960744E+03	1.446995E-18	4.538460E-20
5.075276E+03	1.531972E-18	4.680023E-20
5.192452E+03	1.625967E-18	4.825390E-20
5.312333E+03	1.724822E-18	4.967959E-20
5.434982E+03	1.824463E-18	5.120200E-20
5.560463E+03	1.922755E-18	5.302318E-20
5.688841E+03	2.021690E-18	5.513794E-20
5.820183E+03	2.126766E-18	5.725359E-20
5.954557E+03	2.243075E-18	5.903757E-20
6.092034E+03	2.371626E-18	6.036564E-20
6.232684E+03	2.507083E-18	6.143857E-20
6.376582E+03	2.638232E-18	6.271197E-20
6.523803E+03	2.753468E-18	6.453589E-20
6.674422E+03	2.848591E-18	6.676235E-20
6.828518E+03	2.927849E-18	6.879886E-20
6.986173E+03	2.998058E-18	7.005147E-20
7.147467E+03	3.064001E-18	7.018758E-20
7.312485E+03	3.127666E-18	6.911608E-20
7.481313E+03	3.189195E-18	6.702275E-20
7.654039E+03	3.248272E-18	6.459520E-20
7.830752E+03	3.304680E-18	6.301449E-20
8.011546E+03	3.354519E-18	6.296356E-20
8.196514E+03	3.389435E-18	6.362035E-20
8.385752E+03	3.409064E-18	6.357363E-20
8.579359E+03	3.429015E-18	6.225402E-20
8.777436E+03	3.477985E-18	6.042926E-20
8.980086E+03	3.597153E-18	6.022231E-20
9.187415E+03	3.837139E-18	6.420472E-20
9.399531E+03	4.233333E-18	7.312166E-20
9.616544E+03	4.797447E-18	8.599122E-20
9.838567E+03	5.523747E-18	1.021972E-19
1.006572E+04	6.363887E-18	1.217745E-19
1.029811E+04	7.190224E-18	1.435405E-19
1.053587E+04	7.838724E-18	1.640144E-19
1.077912E+04	8.206430E-18	1.789230E-19
1.102798E+04	8.283287E-18	1.855493E-19
1.128259E+04	8.121617E-18	1.835212E-19
1.154308E+04	7.800253E-18	1.742917E-19
1.180958E+04	7.401729E-18	1.605574E-19
1.208224E+04	7.000053E-18	1.459128E-19
1.236119E+04	6.658032E-18	1.345996E-19
1.264658E+04	6.424343E-18	1.301932E-19
1.293856E+04	6.318165E-18	1.329829E-19
1.323728E+04	6.328619E-18	1.401858E-19
1.354290E+04	6.431553E-18	1.487264E-19
1.385557E+04	6.593106E-18	1.561737E-19
1.417546E+04	6.771664E-18	1.606940E-19
1.450274E+04	6.923327E-18	1.611489E-19
1.483757E+04	7.005842E-18	1.570609E-19
1.518014E+04	6.982133E-18	1.484807E-19
1.553061E+04	6.830623E-18	1.362570E-19
1.588918E+04	6.564545E-18	1.227721E-19
1.625602E+04	6.243620E-18	1.121374E-19
1.663133E+04	5.944949E-18	1.076421E-19
1.701531E+04	5.709995E-18	1.084975E-19
1.740815E+04	5.547975E-18	1.119881E-19
1.781007E+04	5.457356E-18	1.162124E-19
1.822126E+04	5.427599E-18	1.198177E-19
1.864194E+04	5.436221E-18	1.213213E-19
1.907234E+04	5.449473E-18	1.192284E-19
1.951268E+04	5.426595E-18	1.125153E-19
1.996318E+04	5.327049E-18	1.009621E-19
2.042408E+04	5.123273E-18	8.542332E-20
2.089563E+04	4.821018E-18	6.878025E-20
2.137806E+04	4.479702E-18	5.765434E-20
2.187163E+04	4.181880E-18	5.952368E-20
2.237659E+04	3.903285E-18	7.148112E-20
2.289321E+04	3.600310E-18	8.617754E-20
2.342176E+04	3.274678E-18	1.001562E-19
2.396252E+04	2.942760E-18	1.124419E-19
2.451575E+04	2.619686E-18	1.227459E-19
