MJD	ANDICAM_K	ANDICAM_K_err	DECam_Y	DECam_Y_err	DECam_g	DECam_g_err	DECam_i	DECam_i_err	DECam_r	DECam_r_err	DECam_u	DECam_u_err	DECam_z	DECam_z_err	EFOSC2_U	EFOSC2_U_err	EFOSC2_V	EFOSC2_V_err	FLAMINGOS-2_H	FLAMINGOS-2_H_err	FLAMINGOS-2_J	FLAMINGOS-2_J_err	FLAMINGOS-2_Ks	FLAMINGOS-2_Ks_err	FORS2_B	FORS2_B_err	FORS2_I	FORS2_I_err	FORS2_R	FORS2_R_err	FORS2_V	FORS2_V_err	FourStar_H	FourStar_H_err	FourStar_J	FourStar_J_err	FourStar_J1	FourStar_J1_err	FourStar_Ks	FourStar_Ks_err	GFC_i	GFC_i_err	GFC_r	GFC_r_err	GFC_y	GFC_y_err	GFC_z	GFC_z_err	GMOS_g	GMOS_g_err	GMOS_i	GMOS_i_err	GMOS_r	GMOS_r_err	GMOS_z	GMOS_z_err	GROND_H	GROND_H_err	GROND_J	GROND_J_err	GROND_K	GROND_K_err	GROND_g	GROND_g_err	GROND_i	GROND_i_err	GROND_r	GROND_r_err	GROND_z	GROND_z_err	HAWKI_Ks	HAWKI_Ks_err	HSC_z	HSC_z_err	IMACS_i	IMACS_i_err	IMACS_r	IMACS_r_err	LRIS_I	LRIS_I_err	MOIRCS_Ks	MOIRCS_Ks_err	SIRIUS_H	SIRIUS_H_err	SIRIUS_J	SIRIUS_J_err	SIRIUS_Ks	SIRIUS_Ks_err	SOFI_H	SOFI_H_err	SOFI_Ks	SOFI_Ks_err	Sinistro_V	Sinistro_V_err	Sinistro_g	Sinistro_g_err	Sinistro_i	Sinistro_i_err	Sinistro_r	Sinistro_r_err	Sinistro_z	Sinistro_z_err	Skymapper_g	Skymapper_g_err	Skymapper_i	Skymapper_i_err	Skymapper_r	Skymapper_r_err	Swope_B	Swope_B_err	Swope_V	Swope_V_err	Swope_g	Swope_g_err	Swope_i	Swope_i_err	Swope_r	Swope_r_err	T80Cam_g	T80Cam_g_err	UVOT_B	UVOT_B_err	UVOT_M2	UVOT_M2_err	UVOT_U	UVOT_U_err	UVOT_W1	UVOT_W1_err	UVOT_W2	UVOT_W2_err	VIMOS_z	VIMOS_z_err	VISTA_J	VISTA_J_err	VISTA_Ks	VISTA_Ks_err	VISTA_Y	VISTA_Y_err
57982.53	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.0794491734447024e-19	2.5168967720137978e-20	nan	nan	nan	nan	nan	nan	nan	nan	5.972564233522284e-19	4.9743071453641096e-20	2.849876169350199e-17	1.329680134220351e-18	nan	nan	8.203747504717388e-18	1.856504053162648e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.15111479947385e-17	8.673897145395856e-19	nan	nan	5.643465509522928e-18	7.397213592077962e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.934747497658631e-18	3.430709782757043e-19	7.239383514858198e-17	2.792826854694839e-18
57982.54	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.257764026662917e-19	2.942626296930961e-20	nan	nan	nan	nan	nan	nan	nan	nan	1.3334403391106607e-18	5.999048832139531e-20	2.919743521718999e-17	1.2959094135448832e-18	nan	nan	8.293235541320758e-18	1.83726420337899e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.1772911776431938e-17	8.518977541994323e-19	nan	nan	5.784742237048525e-18	7.275793975658031e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.1924163631112363e-18	9.83595092626277e-20	6.990686421253509e-18	3.362703040953087e-19	7.363863939059129e-17	2.7265795305134196e-18
57982.55	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.449063113128986e-19	4.0789335625379274e-20	nan	nan	nan	nan	nan	nan	nan	nan	2.0728049313268438e-18	8.618623193569264e-20	2.990255722001561e-17	1.266422993912683e-18	nan	nan	8.383457160562101e-18	1.8182470648471173e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.2036753622411248e-17	8.383192465783546e-19	nan	nan	5.927320418671856e-18	7.161293080632395e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.4562871073436183e-18	1.3049692055523894e-19	7.04697217064633e-18	3.3080027857522397e-19	7.489428460166207e-17	2.6647941815940834e-18
57982.560000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.2639479830147958e-18	5.428297452306795e-20	nan	nan	nan	nan	nan	nan	nan	nan	2.8123624790886756e-18	1.1651775432817693e-19	3.0613518056700455e-17	1.2413676581229086e-18	nan	nan	8.474413942094773e-18	1.799459650990493e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.23024509796284e-17	8.266733116899901e-19	nan	nan	6.071123554850927e-18	7.053721518318602e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.211895108279623e-18	2.438437203813202e-19	nan	nan	1.6310056910967628e-17	9.413499632097719e-19	nan	nan	nan	nan	4.729452622679421e-18	1.6988027479131562e-19	7.103561219829222e-18	3.2658402712772564e-19	7.615978530472015e-17	2.607386385695531e-18
57982.57000000001	nan	nan	nan	nan	nan	nan	2.442092450435235e-18	2.607006035465383e-19	nan	nan	nan	nan	1.4643209581797618e-18	1.567256813750501e-19	nan	nan	nan	nan	nan	nan	nan	nan	1.581805973089103e-18	6.814386798556834e-20	nan	nan	nan	nan	nan	nan	nan	nan	3.5498081994718424e-18	1.4736340693865129e-19	3.1329624532128466e-17	1.2208399032842762e-18	nan	nan	8.566105577513905e-18	1.7809082723615675e-18	6.191899855011136e-18	3.741849140144574e-19	nan	nan	2.884914707149154e-18	1.7563290733273677e-19	4.173697165464564e-18	2.511656844575146e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.281181231741431e-18	2.024356212309358e-19	nan	nan	nan	nan	nan	nan	nan	nan	2.2569760448896188e-17	8.169592894871827e-19	nan	nan	6.216072970689148e-18	6.953061368723407e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.913222197913185e-18	2.9619020038838755e-19	nan	nan	nan	nan	nan	nan	6.284522241908738e-18	3.134726571582762e-19	1.6576758389312026e-17	1.025203155446795e-18	2.4351453985918774e-17	1.2071930391425797e-18	4.96377924106753e-18	3.1155695861451995e-19	nan	nan	6.009896433516021e-18	2.1064120722514663e-19	7.160459132928603e-18	3.235197736194813e-19	7.743405795833283e-17	2.5541909559039546e-18
57982.58000000001	nan	nan	nan	nan	nan	nan	5.594507878803009e-18	2.848921703956871e-19	nan	nan	nan	nan	3.341108008956487e-18	1.719059198467749e-19	nan	nan	nan	nan	nan	nan	nan	nan	1.8977770115306228e-18	8.179875213271758e-20	nan	nan	nan	nan	nan	nan	nan	nan	4.283725097815113e-18	1.776620988652378e-19	3.205015627306341e-17	1.2048625019886119e-18	nan	nan	8.658531405833778e-18	1.7625991808236884e-18	9.071500581917659e-18	4.789950095814825e-19	nan	nan	4.2177168771003864e-18	2.2570467065746044e-19	6.117732537387918e-18	3.20211415823079e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.80575889959468e-18	2.615450388230998e-19	nan	nan	nan	nan	nan	nan	nan	nan	2.283844543163077e-17	8.091560081856109e-19	nan	nan	6.362088180755154e-18	6.859251772735374e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.412784219694586e-18	3.8443334317334874e-19	nan	nan	nan	nan	nan	nan	8.388997138348329e-18	3.979728249018028e-19	2.4203280860314988e-17	1.3137184795701055e-18	3.251607995955924e-17	1.5311468786274458e-18	7.217315968155823e-18	3.9961189129909457e-19	nan	nan	7.296184895285615e-18	2.507531364446946e-19	7.217683755741955e-18	3.21492608198514e-19	7.871603859785205e-17	2.5050091542389108e-18
57982.59000000001	nan	nan	nan	nan	nan	nan	8.792118331520735e-18	3.675307788376658e-19	nan	nan	nan	nan	5.245424808461816e-18	2.22805593149441e-19	nan	nan	nan	nan	nan	nan	nan	nan	2.2112557751143703e-18	9.504035819177881e-20	nan	nan	nan	nan	nan	nan	nan	nan	5.01291794325704e-18	2.0707734894187185e-19	3.2774429792932805e-17	1.1933870105803133e-18	nan	nan	8.751690451651537e-18	1.7445385324758365e-18	1.199387189817869e-17	6.067599080928501e-19	nan	nan	5.5703519414987905e-18	2.8636094847527553e-19	8.090385288255117e-18	4.04941120924928e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.356226111469794e-18	3.325287025814832e-19	nan	nan	nan	nan	nan	nan	nan	nan	2.3108276920606332e-17	8.032267527961002e-19	8.314509092317889e-19	8.392019918812982e-20	6.509088289510668e-18	6.77221117307122e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.2981731922690318e-17	4.906020897869911e-19	nan	nan	nan	nan	nan	nan	1.053013986230838e-17	4.833941294824245e-19	3.1956534354125416e-17	1.6610516243850578e-18	4.0822467045341893e-17	1.8594961885810247e-18	9.509658483752346e-18	5.0547868518395285e-19	nan	nan	8.587030307902434e-18	2.8949557363795835e-19	7.275252947225179e-18	3.2038097469330117e-19	8.000473215011915e-17	2.4595984598043513e-18
57982.60000000001	nan	nan	nan	nan	nan	nan	1.204586923454138e-17	4.68153114779032e-19	nan	nan	nan	nan	7.18441212688913e-18	2.843037897089144e-19	nan	nan	nan	nan	nan	nan	nan	nan	2.5216931838353235e-18	1.0779088445011596e-19	nan	nan	nan	nan	nan	nan	nan	nan	5.736309055086673e-18	2.3551992113625915e-19	3.350177340456172e-17	1.1863181125827148e-18	nan	nan	8.845580372723494e-18	1.7267317638694704e-18	1.4964972287591087e-17	7.3622673691288e-19	nan	nan	6.945596563069513e-18	3.475810847049744e-19	1.0095548445419347e-17	4.911651622393233e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.93737063404514e-18	4.0377241288976126e-19	nan	nan	nan	nan	nan	nan	nan	nan	2.337904934953478e-17	7.991163894412308e-19	1.146303587807719e-18	9.223011198679892e-20	6.656992923379367e-18	6.691838010387629e-19	nan	nan	nan	nan	nan	nan	1.1374642746001832e-17	1.1634191014559232e-18	nan	nan	5.818153874527638e-18	5.983604183681036e-19	nan	nan	nan	nan	3.713661390290207e-18	2.8689987081765145e-19	nan	nan	nan	nan	nan	nan	nan	nan	1.663604259455454e-17	5.975472804063614e-19	nan	nan	nan	nan	nan	nan	1.2712772671026236e-17	5.653858600428639e-19	3.985907331533456e-17	2.008985665685676e-18	4.9289155933169973e-17	2.1752713911667195e-18	1.1848155932935899e-17	6.114496093354552e-19	nan	nan	9.881230457769264e-18	3.26633475764636e-19	7.33318458051229e-18	3.200602985354165e-19	8.129916099852983e-17	2.4176959700032377e-18
57982.610000000015	nan	nan	nan	nan	nan	nan	1.5366709374338406e-17	5.703436687766568e-19	nan	nan	nan	nan	9.165212809953947e-18	3.4645720777796115e-19	nan	nan	nan	nan	nan	nan	nan	nan	2.8287655517429786e-18	1.2001704969384316e-19	nan	nan	nan	nan	nan	nan	nan	nan	6.453291751169329e-18	2.629766091968376e-19	3.423153371184705e-17	1.1835166750874387e-18	nan	nan	8.940198512022759e-18	1.709184207382918e-18	1.7990763146903683e-17	8.605199833042017e-19	nan	nan	8.346228756099207e-18	4.0618421018820722e-19	1.2137116979584065e-17	5.742017109799566e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.553982068946751e-18	4.7168704832284095e-19	nan	nan	nan	nan	nan	nan	nan	nan	2.3650563035944374e-17	7.967577938074153e-19	1.4651182141597262e-18	1.173681229216399e-19	6.8057236315799406e-18	6.617990556716411e-19	nan	nan	nan	nan	nan	nan	1.7130478361293187e-17	1.2827408896139763e-18	nan	nan	8.70200898884418e-18	6.595679799126617e-19	nan	nan	1.0686836844459998e-17	8.474934292061336e-19	4.9018234050325174e-18	3.6499018323798377e-19	7.497021467107798e-18	5.895566670794648e-19	nan	nan	3.052131015899699e-18	3.065199131786348e-19	nan	nan	2.0391698633038958e-17	7.001873179864719e-19	nan	nan	nan	nan	nan	nan	1.49417203016714e-17	6.430212958426155e-19	4.793346111684737e-17	2.3389593707090058e-18	5.793469689432422e-17	2.474706773410521e-18	1.424016022148698e-17	7.118976376811652e-19	nan	nan	1.1177924204392827e-17	3.62073487502228e-19	7.391496543936283e-18	3.204063708786584e-19	8.259837182363328e-17	2.3790228425141167e-18
57982.62000000002	nan	nan	nan	nan	nan	nan	1.8765591551919357e-17	6.690545776624197e-19	nan	nan	nan	nan	1.1194972205718168e-17	4.0628742872149256e-19	nan	nan	nan	nan	nan	nan	nan	nan	3.1322053831885122e-18	1.317099005379489e-19	nan	nan	nan	nan	nan	nan	nan	nan	7.163376797167044e-18	2.894797226780654e-19	3.4963129979208525e-17	1.1847907126705438e-18	nan	nan	9.035541984518527e-18	1.691901060477815e-18	2.1077209140837902e-17	9.779538103160629e-19	nan	nan	9.775028051884814e-18	4.61429304704035e-19	1.4218988036700704e-17	6.528450047427493e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.1210852138652712e-17	5.354992885712795e-19	nan	nan	nan	nan	nan	nan	nan	nan	2.392262635335436e-17	7.960734466429516e-19	1.788452525607445e-18	1.4752776114431157e-19	6.955202475498274e-18	6.550508058000135e-19	nan	nan	nan	nan	nan	nan	2.296698833251765e-17	1.64533136656468e-18	nan	nan	1.1628413323424778e-17	8.457723248409135e-19	nan	nan	1.3979748784586454e-17	1.098694515795718e-18	6.111659379306734e-18	4.584688343458495e-19	9.812167041722172e-18	7.568617475793276e-19	nan	nan	3.8775085065076734e-18	3.4782542301042577e-19	nan	nan	2.4264688501680653e-17	7.976091585304502e-19	nan	nan	nan	nan	nan	nan	1.72218102588717e-17	7.167247914051569e-19	5.620227140669023e-17	2.6466640415659383e-18	6.67776508868752e-17	2.759257626553694e-18	1.6693026454980743e-17	8.0552656088760375e-19	nan	nan	1.2476335767645046e-17	3.958129426151897e-19	7.450206742049889e-18	3.2129827541818976e-19	8.39015076201731e-17	2.343271137141586e-18
