#wls	flux	fluxerr	mangling_mask
3.296228E+03	-1.657452E+01	3.514374E-01	4.257036E-01
3.296628E+03	-1.657329E+01	3.506465E-01	4.257087E-01
3.296828E+03	-1.657320E+01	3.509139E-01	4.257113E-01
3.297028E+03	-1.657312E+01	3.506797E-01	4.257139E-01
3.297428E+03	-1.657547E+01	3.525727E-01	4.257190E-01
3.297628E+03	-1.657945E+01	3.576124E-01	4.257216E-01
3.297828E+03	-1.658179E+01	3.596996E-01	4.257242E-01
3.298028E+03	-1.658532E+01	3.626268E-01	4.257267E-01
3.298428E+03	-1.658302E+01	3.609499E-01	4.257319E-01
3.299028E+03	-1.658175E+01	3.602416E-01	4.257396E-01
3.299228E+03	-1.658330E+01	3.605285E-01	4.257421E-01
3.300029E+03	-1.658112E+01	3.585842E-01	4.257524E-01
3.300428E+03	-1.658214E+01	3.572428E-01	4.257576E-01
3.301028E+03	-1.658123E+01	3.562230E-01	4.257653E-01
3.301628E+03	-1.658213E+01	3.551977E-01	4.257730E-01
3.301828E+03	-1.658031E+01	3.536878E-01	4.257756E-01
3.302428E+03	-1.658460E+01	3.569345E-01	4.257833E-01
3.302628E+03	-1.658191E+01	3.556315E-01	4.257858E-01
3.302828E+03	-1.657989E+01	3.535598E-01	4.257884E-01
3.303228E+03	-1.658050E+01	3.539861E-01	4.257935E-01
3.303628E+03	-1.658354E+01	3.564082E-01	4.257987E-01
3.303828E+03	-1.658315E+01	3.569963E-01	4.258012E-01
3.304028E+03	-1.658061E+01	3.542979E-01	4.258038E-01
3.304228E+03	-1.657938E+01	3.511114E-01	4.258064E-01
3.304428E+03	-1.658326E+01	3.556588E-01	4.258089E-01
3.304628E+03	-1.658130E+01	3.545782E-01	4.258115E-01
3.305028E+03	-1.658144E+01	3.544416E-01	4.258166E-01
3.305428E+03	-1.658163E+01	3.540253E-01	4.258218E-01
3.305629E+03	-1.658071E+01	3.535830E-01	4.258244E-01
3.305829E+03	-1.658330E+01	3.557271E-01	4.258269E-01
3.306629E+03	-1.658368E+01	3.558957E-01	4.258372E-01
3.307029E+03	-1.658199E+01	3.555420E-01	4.258423E-01
3.307229E+03	-1.658005E+01	3.543561E-01	4.258449E-01
3.307829E+03	-1.657995E+01	3.553360E-01	4.258526E-01
3.308029E+03	-1.657771E+01	3.537238E-01	4.258552E-01
3.308429E+03	-1.657562E+01	3.513011E-01	4.258603E-01
3.308629E+03	-1.657801E+01	3.541657E-01	4.258629E-01
3.309029E+03	-1.657606E+01	3.524999E-01	4.258680E-01
3.309229E+03	-1.657649E+01	3.528799E-01	4.258706E-01
3.309429E+03	-1.657652E+01	3.527729E-01	4.258731E-01
3.309629E+03	-1.657622E+01	3.525073E-01	4.258757E-01
3.309829E+03	-1.657672E+01	3.538723E-01	4.258783E-01
3.310029E+03	-1.657736E+01	3.565175E-01	4.258808E-01
3.310829E+03	-1.657656E+01	3.558658E-01	4.258911E-01
3.311230E+03	-1.657570E+01	3.580131E-01	4.258962E-01
3.311430E+03	-1.657519E+01	3.600329E-01	4.258988E-01
3.311630E+03	-1.657592E+01	3.601375E-01	4.259014E-01
3.311830E+03	-1.657602E+01	3.602551E-01	4.259039E-01
3.312030E+03	-1.657690E+01	3.579259E-01	4.259065E-01
3.312230E+03	-1.657755E+01	3.572633E-01	4.259091E-01
3.312430E+03	-1.657869E+01	3.585933E-01	4.259116E-01
3.312630E+03	-1.657909E+01	3.590143E-01	4.259142E-01
3.312829E+03	-1.657762E+01	3.585130E-01	4.259168E-01
3.313030E+03	-1.657614E+01	3.572783E-01	4.259193E-01
3.313229E+03	-1.657462E+01	3.560540E-01	4.259219E-01
3.313430E+03	-1.657470E+01	3.548543E-01	4.259245E-01
3.313629E+03	-1.657221E+01	3.515413E-01	4.259270E-01
3.314029E+03	-1.656975E+01	3.487697E-01	4.259322E-01
3.314229E+03	-1.657009E+01	3.493458E-01	4.259347E-01
3.315229E+03	-1.657038E+01	3.490065E-01	4.259476E-01
3.316029E+03	-1.656946E+01	3.488324E-01	4.259578E-01
3.316229E+03	-1.657105E+01	3.504412E-01	4.259604E-01
3.316429E+03	-1.656877E+01	3.489122E-01	4.259629E-01
3.316629E+03	-1.656783E+01	3.484144E-01	4.259655E-01
3.317230E+03	-1.656730E+01	3.484862E-01	4.259732E-01
3.317430E+03	-1.656897E+01	3.498977E-01	4.259758E-01
3.317630E+03	-1.656918E+01	3.501128E-01	4.259783E-01
3.318030E+03	-1.656892E+01	3.460064E-01	4.259835E-01
3.318430E+03	-1.656810E+01	3.456379E-01	4.259886E-01
3.318630E+03	-1.656891E+01	3.453419E-01	4.259912E-01
3.318830E+03	-1.656711E+01	3.425666E-01	4.259937E-01
3.319230E+03	-1.657084E+01	3.453080E-01	4.259989E-01
3.319630E+03	-1.657335E+01	3.466382E-01	4.260040E-01
3.320630E+03	-1.657351E+01	3.456063E-01	4.260168E-01
3.320830E+03	-1.657225E+01	3.438946E-01	4.260194E-01
3.321030E+03	-1.657194E+01	3.443979E-01	4.260219E-01
3.321230E+03	-1.657116E+01	3.434308E-01	4.260245E-01
3.322230E+03	-1.656990E+01	3.376412E-01	4.260373E-01
3.322431E+03	-1.656801E+01	3.367241E-01	4.260399E-01
3.323031E+03	-1.656809E+01	3.368369E-01	4.260476E-01
3.323231E+03	-1.656740E+01	3.365598E-01	4.260501E-01
3.324231E+03	-1.656867E+01	3.338356E-01	4.260629E-01
3.324430E+03	-1.656914E+01	3.348962E-01	4.260655E-01
3.325231E+03	-1.656746E+01	3.336948E-01	4.260757E-01
3.325430E+03	-1.656956E+01	3.351572E-01	4.260783E-01
3.325830E+03	-1.657015E+01	3.356762E-01	4.260834E-01
3.326030E+03	-1.656848E+01	3.339043E-01	4.260860E-01
3.326430E+03	-1.656924E+01	3.343549E-01	4.260911E-01
3.326830E+03	-1.657182E+01	3.359123E-01	4.260962E-01
3.327030E+03	-1.657448E+01	3.373839E-01	4.260988E-01
3.327230E+03	-1.657320E+01	3.358214E-01	4.261014E-01
3.327630E+03	-1.657524E+01	3.367985E-01	4.261065E-01
3.328231E+03	-1.657669E+01	3.373294E-01	4.261142E-01
3.328431E+03	-1.657720E+01	3.371742E-01	4.261167E-01
3.329831E+03	-1.657867E+01	3.376848E-01	4.261347E-01
3.330031E+03	-1.657999E+01	3.388516E-01	4.261372E-01
3.330231E+03	-1.657884E+01	3.374426E-01	4.261398E-01
3.330831E+03	-1.658178E+01	3.391335E-01	4.261475E-01
3.331031E+03	-1.657955E+01	3.367729E-01	4.261500E-01
3.331231E+03	-1.657900E+01	3.356269E-01	4.261526E-01
3.331631E+03	-1.658141E+01	3.372047E-01	4.261577E-01
3.331831E+03	-1.658261E+01	3.383007E-01	4.261603E-01
3.332631E+03	-1.658265E+01	3.375461E-01	4.261705E-01
3.332831E+03	-1.658218E+01	3.366689E-01	4.261731E-01
3.333031E+03	-1.658531E+01	3.390769E-01	4.261756E-01
3.333231E+03	-1.659024E+01	3.422926E-01	4.261782E-01
3.333832E+03	-1.658941E+01	3.412263E-01	4.261859E-01
3.334032E+03	-1.658893E+01	3.410146E-01	4.261884E-01
3.334432E+03	-1.659081E+01	3.423247E-01	4.261936E-01
3.334632E+03	-1.659200E+01	3.429779E-01	4.261961E-01
3.334832E+03	-1.659127E+01	3.419545E-01	4.261987E-01
3.335232E+03	-1.659225E+01	3.417015E-01	4.262038E-01
3.335432E+03	-1.659174E+01	3.427111E-01	4.262064E-01
3.336232E+03	-1.659135E+01	3.424957E-01	4.262166E-01
3.336432E+03	-1.659146E+01	3.416507E-01	4.262192E-01
3.336831E+03	-1.659040E+01	3.411416E-01	4.262243E-01
3.337231E+03	-1.658898E+01	3.400403E-01	4.262294E-01
3.337432E+03	-1.659259E+01	3.426411E-01	4.262319E-01
3.338031E+03	-1.659261E+01	3.432371E-01	4.262396E-01
3.338231E+03	-1.659290E+01	3.434331E-01	4.262422E-01
3.338831E+03	-1.659282E+01	3.386135E-01	4.262499E-01
3.339032E+03	-1.659154E+01	3.332729E-01	4.262524E-01
3.339232E+03	-1.659178E+01	3.297102E-01	4.262550E-01
3.339432E+03	-1.659212E+01	3.267010E-01	4.262575E-01
3.339632E+03	-1.659279E+01	3.251039E-01	4.262601E-01
3.339832E+03	-1.659278E+01	3.232085E-01	4.262627E-01
3.340032E+03	-1.659188E+01	3.206399E-01	4.262652E-01
3.340232E+03	-1.659200E+01	3.197590E-01	4.262678E-01
3.340432E+03	-1.659285E+01	3.194084E-01	4.262703E-01
3.340632E+03	-1.659279E+01	3.182567E-01	4.262729E-01
3.340832E+03	-1.659328E+01	3.179890E-01	4.262754E-01
3.341032E+03	-1.659725E+01	3.203232E-01	4.262780E-01
3.341232E+03	-1.659614E+01	3.189442E-01	4.262806E-01
3.341432E+03	-1.659722E+01	3.211846E-01	4.262831E-01
3.341632E+03	-1.659777E+01	3.224344E-01	4.262857E-01
3.342432E+03	-1.659742E+01	3.218899E-01	4.262959E-01
3.342632E+03	-1.659839E+01	3.224383E-01	4.262985E-01
3.342832E+03	-1.659910E+01	3.229086E-01	4.263010E-01
3.343432E+03	-1.659965E+01	3.234306E-01	4.263087E-01
3.344032E+03	-1.659789E+01	3.224944E-01	4.263164E-01
3.344432E+03	-1.659978E+01	3.239352E-01	4.263215E-01
3.345033E+03	-1.659999E+01	3.244552E-01	4.263292E-01
3.345233E+03	-1.659889E+01	3.235434E-01	4.263317E-01
3.345833E+03	-1.659825E+01	3.233762E-01	4.263394E-01
3.346033E+03	-1.659821E+01	3.229991E-01	4.263419E-01
3.346433E+03	-1.659683E+01	3.215280E-01	4.263470E-01
3.346633E+03	-1.659848E+01	3.227499E-01	4.263496E-01
3.347433E+03	-1.660206E+01	3.245497E-01	4.263598E-01
3.347633E+03	-1.660547E+01	3.259091E-01	4.263624E-01
3.347833E+03	-1.660944E+01	3.275042E-01	4.263649E-01
3.348033E+03	-1.660754E+01	3.260965E-01	4.263675E-01
