#wls	flux	fluxerr
3.257346E+03	1.134560E-02	2.290055E-04
3.257346E+03	1.134560E-02	2.290055E-04
3.332843E+03	1.166786E-02	2.351719E-04
3.332843E+03	1.166786E-02	2.351719E-04
3.410091E+03	1.210210E-02	2.435541E-04
3.410091E+03	1.210210E-02	2.435541E-04
3.489128E+03	1.266505E-02	2.544750E-04
3.489128E+03	1.266505E-02	2.544750E-04
3.569998E+03	1.338800E-02	2.685454E-04
3.569998E+03	1.338800E-02	2.685454E-04
3.652742E+03	1.431142E-02	2.865539E-04
3.652742E+03	1.431142E-02	2.865539E-04
3.737404E+03	1.545452E-02	3.088554E-04
3.737404E+03	1.545452E-02	3.088554E-04
3.824029E+03	1.678786E-02	3.348291E-04
3.824029E+03	1.678786E-02	3.348291E-04
3.912660E+03	1.820268E-02	3.622761E-04
3.912660E+03	1.820268E-02	3.622761E-04
4.003346E+03	1.949448E-02	3.871130E-04
4.003346E+03	1.949448E-02	3.871130E-04
4.096134E+03	2.041080E-02	4.043424E-04
4.096134E+03	2.041080E-02	4.043424E-04
4.191073E+03	2.079397E-02	4.108916E-04
4.191073E+03	2.079397E-02	4.108916E-04
4.288212E+03	2.065577E-02	4.070663E-04
4.288212E+03	2.065577E-02	4.070663E-04
4.387603E+03	2.011336E-02	3.952493E-04
4.387603E+03	2.011336E-02	3.952493E-04
4.489297E+03	1.930560E-02	3.782304E-04
4.489297E+03	1.930560E-02	3.782304E-04
4.593348E+03	1.834758E-02	3.583092E-04
4.593348E+03	1.834758E-02	3.583092E-04
4.699811E+03	1.734153E-02	3.375098E-04
4.699811E+03	1.734153E-02	3.375098E-04
4.808742E+03	1.633804E-02	3.168306E-04
4.808742E+03	1.633804E-02	3.168306E-04
4.920197E+03	1.535910E-02	2.967044E-04
4.920197E+03	1.535910E-02	2.967044E-04
5.034235E+03	1.444239E-02	2.778593E-04
5.034235E+03	1.444239E-02	2.778593E-04
5.150917E+03	1.363680E-02	2.612260E-04
5.150917E+03	1.363680E-02	2.612260E-04
5.270303E+03	1.299765E-02	2.478402E-04
5.270303E+03	1.299765E-02	2.478402E-04
5.392456E+03	1.254985E-02	2.381369E-04
5.392456E+03	1.254985E-02	2.381369E-04
5.517440E+03	1.221633E-02	2.306122E-04
5.517440E+03	1.221633E-02	2.306122E-04
5.645322E+03	1.185831E-02	2.226304E-04
5.645322E+03	1.185831E-02	2.226304E-04
5.776168E+03	1.140352E-02	2.128540E-04
5.776168E+03	1.140352E-02	2.128540E-04
5.910045E+03	1.083447E-02	2.009966E-04
5.910045E+03	1.083447E-02	2.009966E-04
6.047026E+03	1.017556E-02	1.875561E-04
6.047026E+03	1.017556E-02	1.875561E-04
6.187181E+03	9.463502E-03	1.732478E-04
6.187181E+03	9.463502E-03	1.732478E-04
6.330586E+03	8.746192E-03	1.589753E-04
6.330586E+03	8.746192E-03	1.589753E-04
6.477314E+03	8.088560E-03	1.459257E-04
6.477314E+03	8.088560E-03	1.459257E-04
6.627443E+03	7.503254E-03	1.343140E-04
6.627443E+03	7.503254E-03	1.343140E-04
6.781051E+03	6.967820E-03	1.237235E-04
6.781051E+03	6.967820E-03	1.237235E-04
6.938220E+03	6.493159E-03	1.143363E-04
6.938220E+03	6.493159E-03	1.143363E-04
7.099032E+03	6.088485E-03	1.062977E-04
7.099032E+03	6.088485E-03	1.062977E-04
7.263570E+03	5.740736E-03	9.936044E-05
7.263570E+03	5.740736E-03	9.936044E-05
7.431922E+03	5.421589E-03	9.302323E-05
7.431922E+03	5.421589E-03	9.302323E-05
7.604177E+03	5.114931E-03	8.700891E-05
7.604177E+03	5.114931E-03	8.700891E-05
7.780424E+03	4.818355E-03	8.127887E-05
7.780424E+03	4.818355E-03	8.127887E-05
7.960755E+03	4.528283E-03	7.576412E-05
7.960755E+03	4.528283E-03	7.576412E-05
8.145267E+03	4.241651E-03	7.039997E-05
8.145267E+03	4.241651E-03	7.039997E-05
8.334055E+03	3.959097E-03	6.518593E-05
8.334055E+03	3.959097E-03	6.518593E-05
8.527218E+03	3.680193E-03	6.010595E-05
8.527218E+03	3.680193E-03	6.010595E-05
8.724859E+03	3.404208E-03	5.514169E-05
8.724859E+03	3.404208E-03	5.514169E-05
8.927081E+03	3.141805E-03	5.046061E-05
8.927081E+03	3.141805E-03	5.046061E-05
9.133990E+03	2.906455E-03	4.627109E-05
9.133990E+03	2.906455E-03	4.627109E-05
9.345693E+03	2.705239E-03	4.267009E-05
9.345693E+03	2.705239E-03	4.267009E-05
9.562305E+03	2.537215E-03	3.962135E-05
9.562305E+03	2.537215E-03	3.962135E-05
9.783936E+03	2.393223E-03	3.696369E-05
9.783936E+03	2.393223E-03	3.696369E-05
1.001070E+04	2.257709E-03	3.444635E-05
1.001070E+04	2.257709E-03	3.444635E-05
1.024273E+04	2.114024E-03	3.181660E-05
1.024273E+04	2.114024E-03	3.181660E-05
1.048014E+04	1.962113E-03	2.908617E-05
1.048014E+04	1.962113E-03	2.908617E-05
1.072304E+04	1.812580E-03	2.642769E-05
1.072304E+04	1.812580E-03	2.642769E-05
1.097157E+04	1.671372E-03	2.394111E-05
1.097157E+04	1.671372E-03	2.394111E-05
1.122587E+04	1.540919E-03	2.167425E-05
1.122587E+04	1.540919E-03	2.167425E-05
1.148606E+04	1.421306E-03	1.964288E-05
1.148606E+04	1.421306E-03	1.964288E-05
1.175228E+04	1.311793E-03	1.785400E-05
1.175228E+04	1.311793E-03	1.785400E-05
1.202467E+04	1.212327E-03	1.632637E-05
1.202467E+04	1.212327E-03	1.632637E-05
1.230336E+04	1.124812E-03	1.510545E-05
1.230336E+04	1.124812E-03	1.510545E-05
1.258853E+04	1.052381E-03	1.424661E-05
1.258853E+04	1.052381E-03	1.424661E-05
1.288030E+04	9.918542E-04	1.367562E-05
1.288030E+04	9.918542E-04	1.367562E-05
1.317884E+04	9.369109E-04	1.325605E-05
1.317884E+04	9.369109E-04	1.325605E-05
1.348429E+04	8.837083E-04	1.289003E-05
1.348429E+04	8.837083E-04	1.289003E-05
1.379683E+04	8.302005E-04	1.251096E-05
1.379683E+04	8.302005E-04	1.251096E-05
1.411660E+04	7.754682E-04	1.207608E-05
1.411660E+04	7.754682E-04	1.207608E-05
1.444379E+04	7.194388E-04	1.156372E-05
1.444379E+04	7.194388E-04	1.156372E-05
1.477857E+04	6.627699E-04	1.097215E-05
1.477857E+04	6.627699E-04	1.097215E-05
1.512110E+04	6.067293E-04	1.031777E-05
1.512110E+04	6.067293E-04	1.031777E-05
1.547157E+04	5.530118E-04	9.631448E-06
1.547157E+04	5.530118E-04	9.631448E-06
1.583016E+04	5.035413E-04	8.953868E-06
1.583016E+04	5.035413E-04	8.953868E-06
1.619707E+04	4.602526E-04	8.329890E-06
1.619707E+04	4.602526E-04	8.329890E-06
1.657248E+04	4.238084E-04	7.782495E-06
1.657248E+04	4.238084E-04	7.782495E-06
1.695659E+04	3.927106E-04	7.293892E-06
1.695659E+04	3.927106E-04	7.293892E-06
1.734960E+04	3.654589E-04	6.843839E-06
1.734960E+04	3.654589E-04	6.843839E-06
1.775172E+04	3.408760E-04	6.416367E-06
1.775172E+04	3.408760E-04	6.416367E-06
1.816316E+04	3.180124E-04	5.998774E-06
1.816316E+04	3.180124E-04	5.998774E-06
1.858415E+04	2.961437E-04	5.582237E-06
1.858415E+04	2.961437E-04	5.582237E-06
1.901488E+04	2.748172E-04	5.163196E-06
1.901488E+04	2.748172E-04	5.163196E-06
1.945561E+04	2.538812E-04	4.744252E-06
1.945561E+04	2.538812E-04	4.744252E-06
1.990654E+04	2.334653E-04	4.333878E-06
1.990654E+04	2.334653E-04	4.333878E-06
2.036793E+04	2.138959E-04	3.944723E-06
2.036793E+04	2.138959E-04	3.944723E-06
2.084000E+04	1.955715E-04	3.591048E-06
2.084000E+04	1.955715E-04	3.591048E-06
2.132303E+04	1.788384E-04	3.285976E-06
2.132303E+04	1.788384E-04	3.285976E-06
2.181725E+04	1.638627E-04	3.033363E-06
2.181725E+04	1.638627E-04	3.033363E-06
2.232292E+04	1.505625E-04	2.821604E-06
2.232292E+04	1.505625E-04	2.821604E-06
2.284031E+04	1.387316E-04	2.638583E-06
2.284031E+04	1.387316E-04	2.638583E-06
2.336969E+04	1.281143E-04	2.474528E-06
2.336969E+04	1.281143E-04	2.474528E-06
2.391135E+04	1.184693E-04	2.322403E-06
2.391135E+04	1.184693E-04	2.322403E-06
2.446556E+04	1.096092E-04	2.177837E-06
2.446556E+04	1.096092E-04	2.177837E-06
