#wls	flux	fluxerr
3.257346E+03	1.885281E-04	1.514872E-05
3.257346E+03	1.885281E-04	1.514872E-05
3.332843E+03	1.832644E-04	1.424435E-05
3.332843E+03	1.832644E-04	1.424435E-05
3.410091E+03	1.798230E-04	1.349031E-05
3.410091E+03	1.798230E-04	1.349031E-05
3.489128E+03	1.787268E-04	1.291092E-05
3.489128E+03	1.787268E-04	1.291092E-05
3.569998E+03	1.806533E-04	1.253463E-05
3.569998E+03	1.806533E-04	1.253463E-05
3.652742E+03	1.865366E-04	1.239836E-05
3.652742E+03	1.865366E-04	1.239836E-05
3.737404E+03	1.976934E-04	1.255151E-05
3.737404E+03	1.976934E-04	1.255151E-05
3.824029E+03	2.158422E-04	1.305131E-05
3.824029E+03	2.158422E-04	1.305131E-05
3.912660E+03	2.422993E-04	1.391031E-05
3.912660E+03	2.422993E-04	1.391031E-05
4.003346E+03	2.775794E-04	1.508110E-05
4.003346E+03	2.775794E-04	1.508110E-05
4.096134E+03	3.219636E-04	1.649955E-05
4.096134E+03	3.219636E-04	1.649955E-05
4.191073E+03	3.755896E-04	1.809535E-05
4.191073E+03	3.755896E-04	1.809535E-05
4.288212E+03	4.382134E-04	1.978710E-05
4.288212E+03	4.382134E-04	1.978710E-05
4.387603E+03	5.085724E-04	2.146621E-05
4.387603E+03	5.085724E-04	2.146621E-05
4.489297E+03	5.837345E-04	2.299207E-05
4.489297E+03	5.837345E-04	2.299207E-05
4.593348E+03	6.581495E-04	2.418270E-05
4.593348E+03	6.581495E-04	2.418270E-05
4.699811E+03	7.250345E-04	2.488454E-05
4.699811E+03	7.250345E-04	2.488454E-05
4.808742E+03	7.789480E-04	2.505809E-05
4.808742E+03	7.789480E-04	2.505809E-05
4.920197E+03	8.133869E-04	2.466407E-05
4.920197E+03	8.133869E-04	2.466407E-05
5.034235E+03	8.243429E-04	2.370292E-05
5.034235E+03	8.243429E-04	2.370292E-05
5.150917E+03	8.163862E-04	2.234062E-05
5.150917E+03	8.163862E-04	2.234062E-05
5.270303E+03	7.989445E-04	2.081658E-05
5.270303E+03	7.989445E-04	2.081658E-05
5.392456E+03	7.832772E-04	1.937312E-05
5.392456E+03	7.832772E-04	1.937312E-05
5.517440E+03	7.794069E-04	1.817858E-05
5.517440E+03	7.794069E-04	1.817858E-05
5.645322E+03	7.946479E-04	1.729831E-05
5.645322E+03	7.946479E-04	1.729831E-05
5.776168E+03	8.301120E-04	1.663678E-05
5.776168E+03	8.301120E-04	1.663678E-05
5.910045E+03	8.855508E-04	1.611283E-05
5.910045E+03	8.855508E-04	1.611283E-05
6.047026E+03	9.603671E-04	1.576998E-05
6.047026E+03	9.603671E-04	1.576998E-05
6.187181E+03	1.054214E-03	1.592021E-05
6.187181E+03	1.054214E-03	1.592021E-05
6.330586E+03	1.162055E-03	1.711299E-05
6.330586E+03	1.162055E-03	1.711299E-05
6.477314E+03	1.239832E-03	1.884673E-05
6.477314E+03	1.239832E-03	1.884673E-05
6.627443E+03	1.262664E-03	2.008459E-05
6.627443E+03	1.262664E-03	2.008459E-05
6.781051E+03	1.243307E-03	2.020985E-05
6.781051E+03	1.243307E-03	2.020985E-05
6.938220E+03	1.193239E-03	1.891871E-05
6.938220E+03	1.193239E-03	1.891871E-05
7.099032E+03	1.127862E-03	1.636265E-05
7.099032E+03	1.127862E-03	1.636265E-05
7.263570E+03	1.069605E-03	1.310263E-05
7.263570E+03	1.069605E-03	1.310263E-05
7.431922E+03	1.047455E-03	1.007020E-05
7.431922E+03	1.047455E-03	1.007020E-05
7.604177E+03	1.107165E-03	9.288717E-06
7.604177E+03	1.107165E-03	9.288717E-06
7.780424E+03	1.231559E-03	1.257312E-05
7.780424E+03	1.231559E-03	1.257312E-05
7.960755E+03	1.274352E-03	1.668650E-05
7.960755E+03	1.274352E-03	1.668650E-05
8.145267E+03	1.223011E-03	1.888185E-05
8.145267E+03	1.223011E-03	1.888185E-05
8.334055E+03	1.115134E-03	1.855204E-05
8.334055E+03	1.115134E-03	1.855204E-05
8.527218E+03	9.965721E-04	1.647963E-05
8.527218E+03	9.965721E-04	1.647963E-05
8.724859E+03	9.065468E-04	1.393362E-05
8.724859E+03	9.065468E-04	1.393362E-05
8.927081E+03	8.830056E-04	1.230567E-05
8.927081E+03	8.830056E-04	1.230567E-05
9.133990E+03	9.561815E-04	1.289082E-05
9.133990E+03	9.561815E-04	1.289082E-05
