#wls	flux	fluxerr
3.257346E+03	1.194691E-02	7.775056E-04
3.257346E+03	1.194691E-02	7.775056E-04
3.332843E+03	1.226867E-02	7.957605E-04
3.332843E+03	1.226867E-02	7.957605E-04
3.410091E+03	1.270695E-02	8.212515E-04
3.410091E+03	1.270695E-02	8.212515E-04
3.489128E+03	1.327871E-02	8.549642E-04
3.489128E+03	1.327871E-02	8.549642E-04
3.569998E+03	1.401755E-02	8.989201E-04
3.569998E+03	1.401755E-02	8.989201E-04
3.652742E+03	1.496811E-02	9.557969E-04
3.652742E+03	1.496811E-02	9.557969E-04
3.737404E+03	1.615319E-02	1.026813E-03
3.737404E+03	1.615319E-02	1.026813E-03
3.824029E+03	1.754550E-02	1.109963E-03
3.824029E+03	1.754550E-02	1.109963E-03
3.912660E+03	1.903486E-02	1.198033E-03
3.912660E+03	1.903486E-02	1.198033E-03
4.003346E+03	2.041004E-02	1.277601E-03
4.003346E+03	2.041004E-02	1.277601E-03
4.096134E+03	2.140746E-02	1.332273E-03
4.096134E+03	2.140746E-02	1.332273E-03
4.191073E+03	2.185931E-02	1.351990E-03
4.191073E+03	2.185931E-02	1.351990E-03
4.288212E+03	2.177203E-02	1.337716E-03
4.288212E+03	2.177203E-02	1.337716E-03
4.387603E+03	2.126227E-02	1.297199E-03
4.387603E+03	2.126227E-02	1.297199E-03
4.489297E+03	2.046933E-02	1.239428E-03
4.489297E+03	2.046933E-02	1.239428E-03
4.593348E+03	1.950919E-02	1.171787E-03
4.593348E+03	1.950919E-02	1.171787E-03
4.699811E+03	1.848688E-02	1.100822E-03
4.699811E+03	1.848688E-02	1.100822E-03
4.808742E+03	1.745600E-02	1.029849E-03
4.808742E+03	1.745600E-02	1.029849E-03
4.920197E+03	1.644126E-02	9.603918E-04
4.920197E+03	1.644126E-02	9.603918E-04
5.034235E+03	1.548527E-02	8.949550E-04
5.034235E+03	1.548527E-02	8.949550E-04
5.150917E+03	1.464193E-02	8.365812E-04
5.150917E+03	1.464193E-02	8.365812E-04
5.270303E+03	1.397017E-02	7.884390E-04
5.270303E+03	1.397017E-02	7.884390E-04
5.392456E+03	1.349590E-02	7.516633E-04
5.392456E+03	1.349590E-02	7.516633E-04
5.517440E+03	1.313830E-02	7.214061E-04
5.517440E+03	1.313830E-02	7.214061E-04
5.645322E+03	1.275194E-02	6.895481E-04
5.645322E+03	1.275194E-02	6.895481E-04
5.776168E+03	1.226137E-02	6.521764E-04
5.776168E+03	1.226137E-02	6.521764E-04
5.910045E+03	1.164853E-02	6.086732E-04
5.910045E+03	1.164853E-02	6.086732E-04
6.047026E+03	1.093886E-02	5.607621E-04
6.047026E+03	1.093886E-02	5.607621E-04
6.187181E+03	1.017032E-02	5.107380E-04
6.187181E+03	1.017032E-02	5.107380E-04
6.330586E+03	9.393928E-03	4.614102E-04
6.330586E+03	9.393928E-03	4.614102E-04
6.477314E+03	8.681897E-03	4.163978E-04
6.477314E+03	8.681897E-03	4.163978E-04
6.627443E+03	8.049136E-03	3.763019E-04
6.627443E+03	8.049136E-03	3.763019E-04
6.781051E+03	7.471422E-03	3.398543E-04
6.781051E+03	7.471422E-03	3.398543E-04
6.938220E+03	6.959502E-03	3.074404E-04
6.938220E+03	6.959502E-03	3.074404E-04
7.099032E+03	6.522874E-03	2.793229E-04
7.099032E+03	6.522874E-03	2.793229E-04
7.263570E+03	6.147765E-03	2.547355E-04
7.263570E+03	6.147765E-03	2.547355E-04
7.431922E+03	5.804118E-03	2.323264E-04
7.431922E+03	5.804118E-03	2.323264E-04
7.604177E+03	5.474273E-03	2.113870E-04
7.604177E+03	5.474273E-03	2.113870E-04
7.780424E+03	5.154098E-03	1.917864E-04
7.780424E+03	5.154098E-03	1.917864E-04
7.960755E+03	4.839573E-03	1.733015E-04
7.960755E+03	4.839573E-03	1.733015E-04
8.145267E+03	4.529948E-03	1.557899E-04
8.145267E+03	4.529948E-03	1.557899E-04
8.334055E+03	4.228210E-03	1.392644E-04
8.334055E+03	4.228210E-03	1.392644E-04
8.527218E+03	3.935356E-03	1.236951E-04
8.527218E+03	3.935356E-03	1.236951E-04
8.724859E+03	3.651380E-03	1.090590E-04
8.724859E+03	3.651380E-03	1.090590E-04
8.927081E+03	3.387939E-03	9.570998E-05
8.927081E+03	3.387939E-03	9.570998E-05
9.133990E+03	3.159343E-03	8.404321E-05
9.133990E+03	3.159343E-03	8.404321E-05
9.345693E+03	2.971161E-03	7.416323E-05
9.345693E+03	2.971161E-03	7.416323E-05
9.562305E+03	2.818334E-03	6.592029E-05
9.562305E+03	2.818334E-03	6.592029E-05
9.783936E+03	2.686866E-03	5.909206E-05
9.783936E+03	2.686866E-03	5.909206E-05
1.001070E+04	2.555082E-03	5.347010E-05
1.001070E+04	2.555082E-03	5.347010E-05
1.024273E+04	2.399975E-03	4.888826E-05
1.024273E+04	2.399975E-03	4.888826E-05
1.048014E+04	2.222529E-03	4.507317E-05
1.048014E+04	2.222529E-03	4.507317E-05
1.072304E+04	2.039586E-03	4.164511E-05
1.072304E+04	2.039586E-03	4.164511E-05
1.097157E+04	1.861881E-03	3.828392E-05
1.097157E+04	1.861881E-03	3.828392E-05
1.122587E+04	1.695062E-03	3.484465E-05
1.122587E+04	1.695062E-03	3.484465E-05
1.148606E+04	1.541296E-03	3.136434E-05
1.148606E+04	1.541296E-03	3.136434E-05
1.175228E+04	1.401239E-03	2.805576E-05
1.175228E+04	1.401239E-03	2.805576E-05
1.202467E+04	1.275824E-03	2.530589E-05
1.202467E+04	1.275824E-03	2.530589E-05
1.230336E+04	1.167639E-03	2.364302E-05
1.230336E+04	1.167639E-03	2.364302E-05
1.258853E+04	1.080142E-03	2.351550E-05
1.258853E+04	1.080142E-03	2.351550E-05
1.288030E+04	1.009327E-03	2.455186E-05
1.288030E+04	1.009327E-03	2.455186E-05
1.317884E+04	9.477965E-04	2.606993E-05
1.317884E+04	9.477965E-04	2.606993E-05
1.348429E+04	8.908621E-04	2.758833E-05
1.348429E+04	8.908621E-04	2.758833E-05
1.379683E+04	8.357618E-04	2.880734E-05
1.379683E+04	8.357618E-04	2.880734E-05
1.411660E+04	7.809454E-04	2.955546E-05
1.411660E+04	7.809454E-04	2.955546E-05
1.444379E+04	7.257871E-04	2.975536E-05
1.444379E+04	7.257871E-04	2.975536E-05
1.477857E+04	6.704784E-04	2.940703E-05
1.477857E+04	6.704784E-04	2.940703E-05
1.512110E+04	6.159207E-04	2.857717E-05
1.512110E+04	6.159207E-04	2.857717E-05
1.547157E+04	5.635486E-04	2.738629E-05
1.547157E+04	5.635486E-04	2.738629E-05
1.583016E+04	5.151290E-04	2.599214E-05
1.583016E+04	5.151290E-04	2.599214E-05
1.619707E+04	4.725581E-04	2.456882E-05
1.619707E+04	4.725581E-04	2.456882E-05
1.657248E+04	4.365919E-04	2.321623E-05
1.657248E+04	4.365919E-04	2.321623E-05
1.695659E+04	4.057778E-04	2.190203E-05
1.695659E+04	4.057778E-04	2.190203E-05
1.734960E+04	3.786373E-04	2.058042E-05
