#wls	flux	fluxerr
3.257346E+03	1.743933E-04	1.901033E-05
3.257346E+03	1.743933E-04	1.901033E-05
3.332843E+03	1.586235E-04	1.709181E-05
3.332843E+03	1.586235E-04	1.709181E-05
3.410091E+03	1.449429E-04	1.542899E-05
3.410091E+03	1.449429E-04	1.542899E-05
3.489128E+03	1.334842E-04	1.402942E-05
3.489128E+03	1.334842E-04	1.402942E-05
3.569998E+03	1.243552E-04	1.289683E-05
3.569998E+03	1.243552E-04	1.289683E-05
3.652742E+03	1.176500E-04	1.203238E-05
3.652742E+03	1.176500E-04	1.203238E-05
3.737404E+03	1.134399E-04	1.143379E-05
3.737404E+03	1.134399E-04	1.143379E-05
3.824029E+03	1.117125E-04	1.108943E-05
3.824029E+03	1.117125E-04	1.108943E-05
3.912660E+03	1.122766E-04	1.096969E-05
3.912660E+03	1.122766E-04	1.096969E-05
4.003346E+03	1.147891E-04	1.103102E-05
4.003346E+03	1.147891E-04	1.103102E-05
4.096134E+03	1.188970E-04	1.123082E-05
4.096134E+03	1.188970E-04	1.123082E-05
4.191073E+03	1.243632E-04	1.153928E-05
4.191073E+03	1.243632E-04	1.153928E-05
4.288212E+03	1.310662E-04	1.193867E-05
4.288212E+03	1.310662E-04	1.193867E-05
4.387603E+03	1.387033E-04	1.239554E-05
4.387603E+03	1.387033E-04	1.239554E-05
4.489297E+03	1.468751E-04	1.286970E-05
4.489297E+03	1.468751E-04	1.286970E-05
4.593348E+03	1.552513E-04	1.332965E-05
4.593348E+03	1.552513E-04	1.332965E-05
4.699811E+03	1.637981E-04	1.377132E-05
4.699811E+03	1.637981E-04	1.377132E-05
4.808742E+03	1.727876E-04	1.421621E-05
4.808742E+03	1.727876E-04	1.421621E-05
4.920197E+03	1.822772E-04	1.466689E-05
4.920197E+03	1.822772E-04	1.466689E-05
5.034235E+03	1.919046E-04	1.509213E-05
5.034235E+03	1.919046E-04	1.509213E-05
5.150917E+03	2.013986E-04	1.546957E-05
5.150917E+03	2.013986E-04	1.546957E-05
5.270303E+03	2.108610E-04	1.580683E-05
5.270303E+03	2.108610E-04	1.580683E-05
5.392456E+03	2.207723E-04	1.613878E-05
5.392456E+03	2.207723E-04	1.613878E-05
5.517440E+03	2.319468E-04	1.652091E-05
5.517440E+03	2.319468E-04	1.652091E-05
