#wls	flux	fluxerr
3.257346E+03	3.383457E-16	2.462162E-17
3.257346E+03	3.383457E-16	2.462162E-17
3.332843E+03	3.511890E-16	2.549211E-17
3.332843E+03	3.511890E-16	2.549211E-17
3.410091E+03	3.670131E-16	2.657006E-17
3.410091E+03	3.670131E-16	2.657006E-17
3.489128E+03	3.864960E-16	2.790199E-17
3.489128E+03	3.864960E-16	2.790199E-17
3.569998E+03	4.109320E-16	2.957792E-17
3.569998E+03	4.109320E-16	2.957792E-17
3.652742E+03	4.420596E-16	3.171825E-17
3.652742E+03	4.420596E-16	3.171825E-17
3.737404E+03	4.810509E-16	3.440074E-17
3.737404E+03	4.810509E-16	3.440074E-17
3.824029E+03	5.276499E-16	3.759955E-17
3.824029E+03	5.276499E-16	3.759955E-17
3.912660E+03	5.790789E-16	4.110927E-17
3.912660E+03	5.790789E-16	4.110927E-17
4.003346E+03	6.292794E-16	4.449480E-17
4.003346E+03	6.292794E-16	4.449480E-17
4.096134E+03	6.701469E-16	4.718352E-17
4.096134E+03	6.701469E-16	4.718352E-17
4.191073E+03	6.959164E-16	4.877694E-17
4.191073E+03	6.959164E-16	4.877694E-17
4.288212E+03	7.058222E-16	4.923387E-17
4.288212E+03	7.058222E-16	4.923387E-17
4.387603E+03	7.025535E-16	4.875549E-17
4.387603E+03	7.025535E-16	4.875549E-17
4.489297E+03	6.896817E-16	4.760170E-17
4.489297E+03	6.896817E-16	4.760170E-17
4.593348E+03	6.703038E-16	4.599580E-17
4.593348E+03	6.703038E-16	4.599580E-17
4.699811E+03	6.474718E-16	4.415412E-17
4.699811E+03	6.474718E-16	4.415412E-17
4.808742E+03	6.228355E-16	4.219352E-17
4.808742E+03	6.228355E-16	4.219352E-17
4.920197E+03	5.972440E-16	4.017453E-17
4.920197E+03	5.972440E-16	4.017453E-17
5.034235E+03	5.723309E-16	3.820870E-17
5.034235E+03	5.723309E-16	3.820870E-17
5.150917E+03	5.502479E-16	3.643873E-17
5.150917E+03	5.502479E-16	3.643873E-17
5.270303E+03	5.333769E-16	3.501753E-17
5.270303E+03	5.333769E-16	3.501753E-17
5.392456E+03	5.229944E-16	3.401994E-17
5.392456E+03	5.229944E-16	3.401994E-17
5.517440E+03	5.163543E-16	3.325748E-17
5.517440E+03	5.163543E-16	3.325748E-17
5.645322E+03	5.080472E-16	3.237803E-17
5.645322E+03	5.080472E-16	3.237803E-17
5.776168E+03	4.951084E-16	3.119830E-17
5.776168E+03	4.951084E-16	3.119830E-17
5.910045E+03	4.766981E-16	2.967677E-17
5.910045E+03	4.766981E-16	2.967677E-17
6.047026E+03	4.536384E-16	2.787809E-17
6.047026E+03	4.536384E-16	2.787809E-17
6.187181E+03	4.272893E-16	2.589833E-17
6.187181E+03	4.272893E-16	2.589833E-17
6.330586E+03	3.997084E-16	2.387190E-17
6.330586E+03	3.997084E-16	2.387190E-17
6.477314E+03	3.741007E-16	2.199414E-17
6.477314E+03	3.741007E-16	2.199414E-17
6.627443E+03	3.513043E-16	2.031162E-17
6.627443E+03	3.513043E-16	2.031162E-17
6.781051E+03	3.303909E-16	1.876690E-17
6.781051E+03	3.303909E-16	1.876690E-17
6.938220E+03	3.118430E-16	1.738465E-17
6.938220E+03	3.118430E-16	1.738465E-17
7.099032E+03	2.961464E-16	1.618742E-17
7.099032E+03	2.961464E-16	1.618742E-17
7.263570E+03	2.827870E-16	1.514173E-17
7.263570E+03	2.827870E-16	1.514173E-17
7.431922E+03	2.704725E-16	1.417548E-17
7.431922E+03	2.704725E-16	1.417548E-17
7.604177E+03	2.583677E-16	1.324579E-17
7.604177E+03	2.583677E-16	1.324579E-17
7.780424E+03	2.461973E-16	1.234107E-17
7.780424E+03	2.461973E-16	1.234107E-17
7.960755E+03	2.337267E-16	1.144957E-17
7.960755E+03	2.337267E-16	1.144957E-17
8.145267E+03	2.209778E-16	1.057132E-17
8.145267E+03	2.209778E-16	1.057132E-17
8.334055E+03	2.081602E-16	9.715704E-18
8.334055E+03	2.081602E-16	9.715704E-18
8.527218E+03	1.953586E-16	8.886418E-18
8.527218E+03	1.953586E-16	8.886418E-18
8.724859E+03	1.825921E-16	8.084941E-18
8.724859E+03	1.825921E-16	8.084941E-18
8.927081E+03	1.704351E-16	7.337699E-18
8.927081E+03	1.704351E-16	7.337699E-18
9.133990E+03	1.596105E-16	6.675533E-18
9.133990E+03	1.596105E-16	6.675533E-18
9.345693E+03	1.505111E-16	6.112278E-18
9.345693E+03	1.505111E-16	6.112278E-18
9.562305E+03	1.430132E-16	5.639402E-18
9.562305E+03	1.430132E-16	5.639402E-18
9.783936E+03	1.365027E-16	5.231717E-18
9.783936E+03	1.365027E-16	5.231717E-18
1.001070E+04	1.299433E-16	4.852686E-18
1.001070E+04	1.299433E-16	4.852686E-18
1.024273E+04	1.222291E-16	4.467418E-18
1.024273E+04	1.222291E-16	4.467418E-18
1.048014E+04	1.134369E-16	4.076394E-18
1.048014E+04	1.134369E-16	4.076394E-18
1.072304E+04	1.044290E-16	3.700721E-18
1.072304E+04	1.044290E-16	3.700721E-18
1.097157E+04	9.574472E-17	3.351360E-18
1.097157E+04	9.574472E-17	3.351360E-18
1.122587E+04	8.764299E-17	3.032978E-18
1.122587E+04	8.764299E-17	3.032978E-18
1.148606E+04	8.019822E-17	2.747955E-18
1.148606E+04	8.019822E-17	2.747955E-18
1.175228E+04	7.340741E-17	2.499891E-18
1.175228E+04	7.340741E-17	2.499891E-18
1.202467E+04	6.728472E-17	2.296021E-18
1.202467E+04	6.728472E-17	2.296021E-18
1.230336E+04	6.193350E-17	2.148230E-18
1.230336E+04	6.193350E-17	2.148230E-18
1.258853E+04	5.751229E-17	2.068047E-18
1.258853E+04	5.751229E-17	2.068047E-18
1.288030E+04	5.385193E-17	2.039982E-18
1.288030E+04	5.385193E-17	2.039982E-18
1.317884E+04	5.061597E-17	2.036698E-18
1.317884E+04	5.061597E-17	2.036698E-18
1.348429E+04	4.758744E-17	2.037806E-18
1.348429E+04	4.758744E-17	2.037806E-18
1.379683E+04	4.463947E-17	2.029364E-18
1.379683E+04	4.463947E-17	2.029364E-18
1.411660E+04	4.170331E-17	2.002617E-18
1.411660E+04	4.170331E-17	2.002617E-18
1.444379E+04	3.875574E-17	1.953319E-18
1.444379E+04	3.875574E-17	1.953319E-18
1.477857E+04	3.581477E-17	1.881341E-18
1.477857E+04	3.581477E-17	1.881341E-18
1.512110E+04	3.293432E-17	1.790225E-18
1.512110E+04	3.293432E-17	1.790225E-18
1.547157E+04	3.019492E-17	1.686407E-18
1.547157E+04	3.019492E-17	1.686407E-18
1.583016E+04	2.769330E-17	1.578218E-18
1.583016E+04	2.769330E-17	1.578218E-18
1.619707E+04	2.553337E-17	1.474746E-18
1.619707E+04	2.553337E-17	1.474746E-18
1.657248E+04	2.375521E-17	1.380486E-18
1.657248E+04	2.375521E-17	1.380486E-18
1.695659E+04	2.227798E-17	1.292002E-18
1.695659E+04	2.227798E-17	1.292002E-18
1.734960E+04	2.101837E-17	1.205157E-18
1.734960E+04	2.101837E-17	1.205157E-18
1.775172E+04	1.990680E-17	1.116319E-18
1.775172E+04	1.990680E-17	1.116319E-18
1.816316E+04	1.888209E-17	1.022351E-18
1.816316E+04	1.888209E-17	1.022351E-18
1.858415E+04	1.789234E-17	9.210067E-19
