#wls	flux	fluxerr
3.257346E+03	8.921120E-18	6.615686E-19
3.257346E+03	8.921120E-18	6.615686E-19
3.332843E+03	8.934269E-18	6.426967E-19
3.332843E+03	8.934269E-18	6.426967E-19
3.410091E+03	9.025600E-18	6.286453E-19
3.410091E+03	9.025600E-18	6.286453E-19
3.489128E+03	9.231374E-18	6.213293E-19
3.489128E+03	9.231374E-18	6.213293E-19
3.569998E+03	9.601189E-18	6.231642E-19
3.569998E+03	9.601189E-18	6.231642E-19
3.652742E+03	1.020452E-17	6.373023E-19
3.652742E+03	1.020452E-17	6.373023E-19
3.737404E+03	1.114174E-17	6.680328E-19
3.737404E+03	1.114174E-17	6.680328E-19
3.824029E+03	1.255457E-17	7.209904E-19
3.824029E+03	1.255457E-17	7.209904E-19
3.912660E+03	1.456350E-17	7.991515E-19
3.912660E+03	1.456350E-17	7.991515E-19
4.003346E+03	1.723080E-17	9.011190E-19
4.003346E+03	1.723080E-17	9.011190E-19
4.096134E+03	2.060598E-17	1.024201E-18
4.096134E+03	2.060598E-17	1.024201E-18
4.191073E+03	2.472137E-17	1.164450E-18
4.191073E+03	2.472137E-17	1.164450E-18
4.288212E+03	2.957500E-17	1.316266E-18
4.288212E+03	2.957500E-17	1.316266E-18
4.387603E+03	3.509381E-17	1.471525E-18
4.387603E+03	3.509381E-17	1.471525E-18
4.489297E+03	4.105760E-17	1.617829E-18
4.489297E+03	4.105760E-17	1.617829E-18
4.593348E+03	4.708716E-17	1.740309E-18
4.593348E+03	4.708716E-17	1.740309E-18
4.699811E+03	5.282230E-17	1.829993E-18
4.699811E+03	5.282230E-17	1.829993E-18
4.808742E+03	5.817749E-17	1.891778E-18
4.808742E+03	5.817749E-17	1.891778E-18
4.920197E+03	6.315244E-17	1.934894E-18
4.920197E+03	6.315244E-17	1.934894E-18
5.034235E+03	6.743369E-17	1.959133E-18
5.034235E+03	6.743369E-17	1.959133E-18
5.150917E+03	7.096821E-17	1.968029E-18
5.150917E+03	7.096821E-17	1.968029E-18
5.270303E+03	7.385743E-17	1.965855E-18
5.270303E+03	7.385743E-17	1.965855E-18
5.392456E+03	7.614453E-17	1.953194E-18
5.392456E+03	7.614453E-17	1.953194E-18
5.517440E+03	7.789095E-17	1.929937E-18
5.517440E+03	7.789095E-17	1.929937E-18
5.645322E+03	7.917987E-17	1.895677E-18
5.645322E+03	7.917987E-17	1.895677E-18
5.776168E+03	7.999900E-17	1.846936E-18
5.776168E+03	7.999900E-17	1.846936E-18
5.910045E+03	8.038347E-17	1.784323E-18
5.910045E+03	8.038347E-17	1.784323E-18
6.047026E+03	8.033882E-17	1.712947E-18
6.047026E+03	8.033882E-17	1.712947E-18
6.187181E+03	7.993306E-17	1.645345E-18
6.187181E+03	7.993306E-17	1.645345E-18
6.330586E+03	7.954528E-17	1.602770E-18
6.330586E+03	7.954528E-17	1.602770E-18
6.477314E+03	7.977506E-17	1.604129E-18
6.477314E+03	7.977506E-17	1.604129E-18
6.627443E+03	8.076561E-17	1.637426E-18
6.627443E+03	8.076561E-17	1.637426E-18
6.781051E+03	8.224583E-17	1.674929E-18
6.781051E+03	8.224583E-17	1.674929E-18
6.938220E+03	8.370863E-17	1.688470E-18
6.938220E+03	8.370863E-17	1.688470E-18
7.099032E+03	8.471484E-17	1.660323E-18
7.099032E+03	8.471484E-17	1.660323E-18
7.263570E+03	8.525972E-17	1.595932E-18
7.263570E+03	8.525972E-17	1.595932E-18
7.431922E+03	8.596079E-17	1.531499E-18
