#wls	flux	fluxerr
3.257346E+03	1.174436E-02	1.422826E-03
3.332843E+03	1.195544E-02	1.446013E-03
3.410091E+03	1.227283E-02	1.481817E-03
3.489128E+03	1.271048E-02	1.531832E-03
3.569998E+03	1.330471E-02	1.600323E-03
3.652742E+03	1.410904E-02	1.693568E-03
3.737404E+03	1.515963E-02	1.815699E-03
3.824029E+03	1.645100E-02	1.965806E-03
3.912660E+03	1.790190E-02	2.133928E-03
4.003346E+03	1.933525E-02	2.298779E-03
4.096134E+03	2.051967E-02	2.432851E-03
4.191073E+03	2.128658E-02	2.516367E-03
4.288212E+03	2.160195E-02	2.545683E-03
4.387603E+03	2.152981E-02	2.528773E-03
4.489297E+03	2.115764E-02	2.476304E-03
4.593348E+03	2.056216E-02	2.397591E-03
4.699811E+03	1.982118E-02	2.301981E-03
4.808742E+03	1.898779E-02	2.195842E-03
4.920197E+03	1.810522E-02	2.084331E-03
5.034235E+03	1.723618E-02	1.974758E-03
5.150917E+03	1.645050E-02	1.875115E-03
5.270303E+03	1.581027E-02	1.792344E-03
5.392456E+03	1.534942E-02	1.730042E-03
5.517440E+03	1.499152E-02	1.679322E-03
5.645322E+03	1.459360E-02	1.624078E-03
5.776168E+03	1.408018E-02	1.556087E-03
5.910045E+03	1.343279E-02	1.473637E-03
6.047026E+03	1.266681E-02	1.378802E-03
6.187181E+03	1.180813E-02	1.274777E-03
6.330586E+03	1.091364E-02	1.168011E-03
6.477314E+03	1.007919E-02	1.068893E-03
6.627443E+03	9.337712E-03	9.808295E-04
6.781051E+03	8.669164E-03	9.015692E-04
6.938220E+03	8.074865E-03	8.311303E-04
7.099032E+03	7.560325E-03	7.699410E-04
7.263570E+03	7.113119E-03	7.165896E-04
7.431922E+03	6.706008E-03	6.682379E-04
7.604177E+03	6.318056E-03	6.227851E-04
7.780424E+03	5.936833E-03	5.790162E-04
7.960755E+03	5.554595E-03	5.361303E-04
8.145267E+03	5.176573E-03	4.945660E-04
8.334055E+03	4.812961E-03	4.552256E-04
8.527218E+03	4.468902E-03	4.185189E-04
8.724859E+03	4.146727E-03	3.845957E-04
8.927081E+03	3.856574E-03	3.543343E-04
9.133990E+03	3.608180E-03	3.285596E-04
9.345693E+03	3.403562E-03	3.073569E-04
9.562305E+03	3.237138E-03	2.901099E-04
9.783936E+03	3.092623E-03	2.752984E-04
1.001070E+04	2.943073E-03	2.605313E-04
1.024273E+04	2.763177E-03	2.436249E-04
1.048014E+04	2.556109E-03	2.248143E-04
1.072304E+04	2.344458E-03	2.059522E-04
1.097157E+04	2.143735E-03	1.882919E-04
1.122587E+04	1.960419E-03	1.723378E-04
1.148606E+04	1.795547E-03	1.581642E-04
1.175228E+04	1.647931E-03	1.456895E-04
1.202467E+04	1.516422E-03	1.348666E-04
1.230336E+04	1.401485E-03	1.258112E-04
1.258853E+04	1.304790E-03	1.187176E-04
1.288030E+04	1.223637E-03	1.132367E-04
1.317884E+04	1.152220E-03	1.086832E-04
1.348429E+04	1.085928E-03	1.044986E-04
1.379683E+04	1.021547E-03	1.002736E-04
1.411660E+04	9.569965E-04	9.572761E-05
1.444379E+04	8.913033E-04	9.071400E-05
1.477857E+04	8.246334E-04	8.522922E-05
1.512110E+04	7.582149E-04	7.940909E-05
1.547157E+04	6.940706E-04	7.350052E-05
1.583016E+04	6.346270E-04	6.781450E-05
1.619707E+04	5.824476E-04	6.268445E-05
1.657248E+04	5.386477E-04	5.825850E-05
1.695659E+04	5.016406E-04	5.437716E-05
1.734960E+04	4.696231E-04	5.085520E-05
1.775172E+04	4.409838E-04	4.752886E-05
1.816316E+04	4.142889E-04	4.425898E-05
1.858415E+04	3.883722E-04	4.094617E-05
1.901488E+04	3.624675E-04	3.755035E-05
1.945561E+04	3.363099E-04	3.410461E-05
1.990654E+04	3.101404E-04	3.071566E-05
2.036793E+04	2.845881E-04	2.754831E-05
2.084000E+04	2.604433E-04	2.479669E-05
2.132303E+04	2.384304E-04	2.264989E-05
2.181725E+04	2.191224E-04	2.116449E-05
2.232292E+04	2.023465E-04	2.012398E-05
2.284031E+04	1.876392E-04	1.932229E-05
2.336969E+04	1.744914E-04	1.861444E-05
2.391135E+04	1.624692E-04	1.791062E-05
2.446556E+04	1.512725E-04	1.716538E-05
