#wls	flux	fluxerr
3.257346E+03	6.562537E-05	8.900095E-06
3.332843E+03	5.895088E-05	7.910290E-06
3.410091E+03	5.316072E-05	7.053438E-06
3.489128E+03	4.827379E-05	6.329045E-06
3.569998E+03	4.429329E-05	5.734143E-06
3.652742E+03	4.120509E-05	5.263192E-06
3.737404E+03	3.897510E-05	4.907856E-06
3.824029E+03	3.754218E-05	4.656303E-06
3.912660E+03	3.681584E-05	4.493188E-06
4.003346E+03	3.668824E-05	4.401427E-06
4.096134E+03	3.705726E-05	4.365161E-06
4.191073E+03	3.784815E-05	4.372274E-06
4.288212E+03	3.900518E-05	4.413221E-06
4.387603E+03	4.045685E-05	4.476997E-06
4.489297E+03	4.212850E-05	4.552773E-06
4.593348E+03	4.397660E-05	4.633630E-06
4.699811E+03	4.601206E-05	4.718600E-06
4.808742E+03	4.828088E-05	4.810016E-06
4.920197E+03	5.081226E-05	4.907985E-06
5.034235E+03	5.360539E-05	5.009407E-06
5.150917E+03	5.666928E-05	5.112087E-06
5.270303E+03	6.008425E-05	5.220000E-06
5.392456E+03	6.403689E-05	5.345096E-06
5.517440E+03	6.882861E-05	5.506229E-06
5.645322E+03	7.482756E-05	5.723449E-06
5.776168E+03	8.238837E-05	6.009892E-06
5.910045E+03	9.182095E-05	6.370146E-06
6.047026E+03	1.032712E-04	6.793993E-06
6.187181E+03	1.163966E-04	7.239879E-06
6.330586E+03	1.298319E-04	7.613426E-06
6.477314E+03	1.421483E-04	7.839687E-06
6.627443E+03	1.540677E-04	7.976947E-06
6.781051E+03	1.671504E-04	8.108867E-06
6.938220E+03	1.817534E-04	8.239136E-06
7.099032E+03	1.975784E-04	8.340721E-06
7.263570E+03	2.143614E-04	8.399674E-06
7.431922E+03	2.320911E-04	8.431321E-06
7.604177E+03	2.501529E-04	8.459775E-06
7.780424E+03	2.651125E-04	8.463882E-06
7.960755E+03	2.724622E-04	8.401596E-06
8.145267E+03	2.732935E-04	8.277700E-06
8.334055E+03	2.691534E-04	8.040733E-06
8.527218E+03	2.626328E-04	7.688532E-06
8.724859E+03	2.567403E-04	7.282877E-06
8.927081E+03	2.541680E-04	6.934127E-06
9.133990E+03	2.571729E-04	6.794503E-06
9.345693E+03	2.683423E-04	7.026337E-06
9.562305E+03	2.880945E-04	7.644523E-06
9.783936E+03	3.165060E-04	8.716881E-06
1.001070E+04	3.518994E-04	1.039525E-05
1.024273E+04	3.794658E-04	1.234970E-05
1.048014E+04	3.873005E-04	1.397850E-05
1.072304E+04	3.786199E-04	1.494212E-05
1.097157E+04	3.592198E-04	1.513489E-05
1.122587E+04	3.343470E-04	1.464081E-05
1.148606E+04	3.082869E-04	1.367544E-05
1.175228E+04	2.842186E-04	1.252128E-05
1.202467E+04	2.643109E-04	1.149268E-05
1.230336E+04	2.499654E-04	1.092908E-05
1.258853E+04	2.429542E-04	1.116121E-05
1.288030E+04	2.431685E-04	1.213197E-05
1.317884E+04	2.501159E-04	1.360243E-05
1.348429E+04	2.628421E-04	1.534813E-05
1.379683E+04	2.796302E-04	1.710712E-05
1.411660E+04	2.980542E-04	1.855196E-05
1.444379E+04	3.149463E-04	1.930546E-05
1.477857E+04	3.264584E-04	1.901944E-05
1.512110E+04	3.283252E-04	1.752345E-05
1.547157E+04	3.170786E-04	1.506444E-05
1.583016E+04	2.919552E-04	1.251353E-05
1.619707E+04	2.563393E-04	1.109169E-05
1.657248E+04	2.272610E-04	1.132589E-05
1.695659E+04	2.097647E-04	1.241342E-05
1.734960E+04	2.016339E-04	1.379888E-05
1.775172E+04	2.013814E-04	1.530375E-05
1.816316E+04	2.078871E-04	1.682257E-05
1.858415E+04	2.200407E-04	1.817872E-05
1.901488E+04	2.366542E-04	1.908373E-05
1.945561E+04	2.563728E-04	1.914362E-05
1.990654E+04	2.773549E-04	1.789597E-05
2.036793E+04	2.970289E-04	1.495989E-05
2.084000E+04	3.115748E-04	1.054789E-05
2.132303E+04	3.141431E-04	7.883362E-06
2.181725E+04	2.924713E-04	1.140221E-05
2.232292E+04	2.572085E-04	1.545788E-05
2.284031E+04	2.188079E-04	1.764701E-05
2.336969E+04	1.823746E-04	1.807948E-05
2.391135E+04	1.501153E-04	1.729672E-05
2.446556E+04	1.227142E-04	1.582177E-05
