#wls	flux	fluxerr
3.257346E+03	6.541652E-05	1.065535E-05
3.257346E+03	6.541652E-05	1.065535E-05
3.332843E+03	5.849020E-05	9.426327E-06
3.332843E+03	5.849020E-05	9.426327E-06
3.410091E+03	5.250081E-05	8.364643E-06
3.410091E+03	5.250081E-05	8.364643E-06
3.489128E+03	4.743845E-05	7.468978E-06
3.489128E+03	4.743845E-05	7.468978E-06
3.569998E+03	4.330870E-05	6.732135E-06
3.569998E+03	4.330870E-05	6.732135E-06
3.652742E+03	4.008324E-05	6.145340E-06
3.652742E+03	4.008324E-05	6.145340E-06
3.737404E+03	3.769858E-05	5.697589E-06
3.737404E+03	3.769858E-05	5.697589E-06
3.824029E+03	3.609855E-05	5.372047E-06
3.824029E+03	3.609855E-05	5.372047E-06
3.912660E+03	3.518842E-05	5.149779E-06
3.912660E+03	3.518842E-05	5.149779E-06
4.003346E+03	3.484318E-05	5.011343E-06
4.003346E+03	3.484318E-05	5.011343E-06
4.096134E+03	3.498148E-05	4.937477E-06
4.096134E+03	3.498148E-05	4.937477E-06
4.191073E+03	3.553170E-05	4.914123E-06
4.191073E+03	3.553170E-05	4.914123E-06
4.288212E+03	3.641414E-05	4.930325E-06
4.288212E+03	3.641414E-05	4.930325E-06
4.387603E+03	3.758652E-05	4.973479E-06
4.387603E+03	3.758652E-05	4.973479E-06
4.489297E+03	3.898646E-05	5.032309E-06
4.489297E+03	3.898646E-05	5.032309E-06
4.593348E+03	4.054237E-05	5.098764E-06
4.593348E+03	4.054237E-05	5.098764E-06
4.699811E+03	4.229713E-05	5.172274E-06
4.699811E+03	4.229713E-05	5.172274E-06
4.808742E+03	4.429419E-05	5.255748E-06
4.808742E+03	4.429419E-05	5.255748E-06
4.920197E+03	4.650859E-05	5.346010E-06
4.920197E+03	4.650859E-05	5.346010E-06
5.034235E+03	4.899878E-05	5.444167E-06
5.034235E+03	4.899878E-05	5.444167E-06
5.150917E+03	5.179331E-05	5.551420E-06
5.150917E+03	5.179331E-05	5.551420E-06
5.270303E+03	5.489300E-05	5.663565E-06
5.270303E+03	5.489300E-05	5.663565E-06
5.392456E+03	5.855678E-05	5.804762E-06
5.392456E+03	5.855678E-05	5.804762E-06
