#wls	flux	fluxerr
3.257346E+03	4.570495E-03	1.947584E-04
3.257346E+03	4.570495E-03	1.947584E-04
3.332843E+03	4.446283E-03	1.830516E-04
3.332843E+03	4.446283E-03	1.830516E-04
3.410091E+03	4.353346E-03	1.728030E-04
3.410091E+03	4.353346E-03	1.728030E-04
3.489128E+03	4.297928E-03	1.641906E-04
3.489128E+03	4.297928E-03	1.641906E-04
3.569998E+03	4.293674E-03	1.574764E-04
3.569998E+03	4.293674E-03	1.574764E-04
3.652742E+03	4.354180E-03	1.530206E-04
3.652742E+03	4.354180E-03	1.530206E-04
3.737404E+03	4.500697E-03	1.511135E-04
3.737404E+03	4.500697E-03	1.511135E-04
3.824029E+03	4.747004E-03	1.519711E-04
3.824029E+03	4.747004E-03	1.519711E-04
3.912660E+03	5.095148E-03	1.549800E-04
3.912660E+03	5.095148E-03	1.549800E-04
4.003346E+03	5.506676E-03	1.588461E-04
4.003346E+03	5.506676E-03	1.588461E-04
4.096134E+03	5.954465E-03	1.621944E-04
4.096134E+03	5.954465E-03	1.621944E-04
4.191073E+03	6.385552E-03	1.640227E-04
4.191073E+03	6.385552E-03	1.640227E-04
4.288212E+03	6.786784E-03	1.635492E-04
4.288212E+03	6.786784E-03	1.635492E-04
4.387603E+03	7.109863E-03	1.607213E-04
4.387603E+03	7.109863E-03	1.607213E-04
4.489297E+03	7.352066E-03	1.549653E-04
4.489297E+03	7.352066E-03	1.549653E-04
4.593348E+03	7.440738E-03	1.465901E-04
4.593348E+03	7.440738E-03	1.465901E-04
4.699811E+03	7.405084E-03	1.354505E-04
4.699811E+03	7.405084E-03	1.354505E-04
4.808742E+03	7.247705E-03	1.237192E-04
4.808742E+03	7.247705E-03	1.237192E-04
4.920197E+03	7.023144E-03	1.111013E-04
4.920197E+03	7.023144E-03	1.111013E-04
5.034235E+03	6.774423E-03	9.979553E-05
5.034235E+03	6.774423E-03	9.979553E-05
5.150917E+03	6.522916E-03	8.882294E-05
5.150917E+03	6.522916E-03	8.882294E-05
5.270303E+03	6.327808E-03	7.988384E-05
5.270303E+03	6.327808E-03	7.988384E-05
5.392456E+03	6.163319E-03	7.154445E-05
5.392456E+03	6.163319E-03	7.154445E-05
5.517440E+03	6.074984E-03	6.515620E-05
5.517440E+03	6.074984E-03	6.515620E-05
5.645322E+03	5.991688E-03	5.885229E-05
5.645322E+03	5.991688E-03	5.885229E-05
5.776168E+03	5.936839E-03	5.439811E-05
5.776168E+03	5.936839E-03	5.439811E-05
5.910045E+03	5.862268E-03	4.976166E-05
5.910045E+03	5.862268E-03	4.976166E-05
6.047026E+03	5.766596E-03	4.837135E-05
6.047026E+03	5.766596E-03	4.837135E-05
6.187181E+03	5.600684E-03	4.640546E-05
6.187181E+03	5.600684E-03	4.640546E-05
6.330586E+03	5.352440E-03	4.739321E-05
6.330586E+03	5.352440E-03	4.739321E-05
6.477314E+03	5.107804E-03	4.819880E-05
6.477314E+03	5.107804E-03	4.819880E-05
6.627443E+03	4.884782E-03	4.958259E-05
6.627443E+03	4.884782E-03	4.958259E-05
6.781051E+03	4.674586E-03	5.086436E-05
6.781051E+03	4.674586E-03	5.086436E-05
6.938220E+03	4.454625E-03	5.071888E-05
6.938220E+03	4.454625E-03	5.071888E-05
7.099032E+03	4.226825E-03	5.030793E-05
7.099032E+03	4.226825E-03	5.030793E-05
7.263570E+03	3.999218E-03	4.851146E-05
7.263570E+03	3.999218E-03	4.851146E-05
7.431922E+03	3.796164E-03	4.693483E-05
7.431922E+03	3.796164E-03	4.693483E-05
7.604177E+03	3.627068E-03	4.530553E-05
7.604177E+03	3.627068E-03	4.530553E-05
7.780424E+03	3.484941E-03	4.398387E-05
7.780424E+03	3.484941E-03	4.398387E-05
7.960755E+03	3.316916E-03	4.221931E-05
7.960755E+03	3.316916E-03	4.221931E-05
8.145267E+03	3.135832E-03	4.025902E-05
8.145267E+03	3.135832E-03	4.025902E-05
8.334055E+03	2.960886E-03	3.777106E-05
8.334055E+03	2.960886E-03	3.777106E-05
8.527218E+03	2.803516E-03	3.552906E-05
8.527218E+03	2.803516E-03	3.552906E-05
8.724859E+03	2.708829E-03	3.391636E-05
8.724859E+03	2.708829E-03	3.391636E-05
8.927081E+03	2.662501E-03	3.292127E-05
8.927081E+03	2.662501E-03	3.292127E-05
9.133990E+03	2.700835E-03	3.408019E-05
9.133990E+03	2.700835E-03	3.408019E-05
9.345693E+03	2.771058E-03	3.568484E-05
9.345693E+03	2.771058E-03	3.568484E-05
9.562305E+03	2.868303E-03	3.860165E-05
9.562305E+03	2.868303E-03	3.860165E-05
9.783936E+03	2.968031E-03	4.170550E-05
