#wls	flux	fluxerr
3.257346E+03	2.804478E-06	0.000000E+00
3.332843E+03	2.430701E-06	0.000000E+00
3.410091E+03	2.114041E-06	0.000000E+00
3.489128E+03	1.849639E-06	0.000000E+00
3.569998E+03	1.632218E-06	0.000000E+00
3.652742E+03	1.456289E-06	0.000000E+00
3.737404E+03	1.316361E-06	0.000000E+00
3.824029E+03	1.207164E-06	0.000000E+00
3.912660E+03	1.123859E-06	0.000000E+00
4.003346E+03	1.062207E-06	0.000000E+00
4.096134E+03	1.018666E-06	0.000000E+00
4.191073E+03	9.903885E-07	0.000000E+00
4.288212E+03	9.751266E-07	0.000000E+00
4.387603E+03	9.711254E-07	0.000000E+00
4.489297E+03	9.770944E-07	0.000000E+00
4.593348E+03	9.922420E-07	0.000000E+00
4.699811E+03	1.016282E-06	0.000000E+00
4.808742E+03	1.049373E-06	0.000000E+00
4.920197E+03	1.092061E-06	0.000000E+00
5.034235E+03	1.145347E-06	0.000000E+00
5.150917E+03	1.210897E-06	0.000000E+00
5.270303E+03	1.291365E-06	0.000000E+00
5.392456E+03	1.390635E-06	0.000000E+00
5.517440E+03	1.513810E-06	0.000000E+00
5.645322E+03	1.666766E-06	0.000000E+00
5.776168E+03	1.855250E-06	0.000000E+00
5.910045E+03	2.083350E-06	0.000000E+00
6.047026E+03	2.351184E-06	0.000000E+00
6.187181E+03	2.652878E-06	0.000000E+00
6.330586E+03	2.977925E-06	0.000000E+00
6.477314E+03	3.317855E-06	0.000000E+00
6.627443E+03	3.672270E-06	0.000000E+00
6.781051E+03	4.047090E-06	0.000000E+00
6.938220E+03	4.449026E-06	0.000000E+00
7.099032E+03	4.881635E-06	0.000000E+00
7.263570E+03	5.343205E-06	0.000000E+00
7.431922E+03	5.824860E-06	0.000000E+00
7.604177E+03	6.308982E-06	0.000000E+00
7.780424E+03	6.770982E-06	0.000000E+00
7.960755E+03	7.185612E-06	0.000000E+00
8.145267E+03	7.537136E-06	0.000000E+00
8.334055E+03	7.833427E-06	0.000000E+00
8.527218E+03	8.114806E-06	0.000000E+00
8.724859E+03	8.452459E-06	0.000000E+00
8.927081E+03	8.940617E-06	0.000000E+00
9.133990E+03	9.673812E-06	0.000000E+00
9.345693E+03	1.070322E-05	0.000000E+00
9.562305E+03	1.201384E-05	0.000000E+00
9.783936E+03	1.352781E-05	0.000000E+00
1.001070E+04	1.509444E-05	0.000000E+00
1.024273E+04	1.649398E-05	0.000000E+00
1.048014E+04	1.751511E-05	0.000000E+00
1.072304E+04	1.804812E-05	0.000000E+00
1.097157E+04	1.810579E-05	0.000000E+00
1.122587E+04	1.778580E-05	0.000000E+00
1.148606E+04	1.722407E-05	0.000000E+00
1.175228E+04	1.656264E-05	0.000000E+00
1.202467E+04	1.593416E-05	0.000000E+00
1.230336E+04	1.545510E-05	0.000000E+00
1.258853E+04	1.520823E-05	0.000000E+00
1.288030E+04	1.521393E-05	0.000000E+00
1.317884E+04	1.543896E-05	0.000000E+00
1.348429E+04	1.582724E-05	0.000000E+00
1.379683E+04	1.631027E-05	0.000000E+00
1.411660E+04	1.680960E-05	0.000000E+00
1.444379E+04	1.724296E-05	0.000000E+00
1.477857E+04	1.753501E-05	0.000000E+00
1.512110E+04	1.763458E-05	0.000000E+00
1.547157E+04	1.753780E-05	0.000000E+00
1.583016E+04	1.730771E-05	0.000000E+00
1.619707E+04	1.706511E-05	0.000000E+00
1.657248E+04	1.692322E-05	0.000000E+00
1.695659E+04	1.692708E-05	0.000000E+00
1.734960E+04	1.707564E-05	0.000000E+00
1.775172E+04	1.734993E-05	0.000000E+00
1.816316E+04	1.771106E-05	0.000000E+00
1.858415E+04	1.809435E-05	0.000000E+00
1.901488E+04	1.841303E-05	0.000000E+00
1.945561E+04	1.856967E-05	0.000000E+00
1.990654E+04	1.847357E-05	0.000000E+00
2.036793E+04	1.806929E-05	0.000000E+00
2.084000E+04	1.738137E-05	0.000000E+00
2.132303E+04	1.655209E-05	0.000000E+00
2.181725E+04	1.571442E-05	0.000000E+00
2.232292E+04	1.480809E-05	0.000000E+00
2.284031E+04	1.379874E-05	0.000000E+00
2.336969E+04	1.272034E-05	0.000000E+00
2.391135E+04	1.162477E-05	0.000000E+00
2.446556E+04	1.055592E-05	0.000000E+00
