#wls	flux	fluxerr
3.257346E+03	4.165377E-16	3.637394E-17
3.332843E+03	4.228156E-16	3.664005E-17
3.410091E+03	4.318360E-16	3.713669E-17
3.489128E+03	4.442657E-16	3.791734E-17
3.569998E+03	4.616356E-16	3.910758E-17
3.652742E+03	4.861509E-16	4.088640E-17
3.737404E+03	5.195840E-16	4.339110E-17
3.824029E+03	5.624634E-16	4.665250E-17
3.912660E+03	6.128190E-16	5.049483E-17
4.003346E+03	6.654406E-16	5.448008E-17
4.096134E+03	7.131976E-16	5.802385E-17
4.191073E+03	7.503016E-16	6.066318E-17
4.288212E+03	7.745634E-16	6.223405E-17
4.387603E+03	7.866820E-16	6.280594E-17
4.489297E+03	7.881040E-16	6.250555E-17
4.593348E+03	7.800999E-16	6.144281E-17
4.699811E+03	7.643532E-16	5.975814E-17
4.808742E+03	7.424878E-16	5.758500E-17
4.920197E+03	7.165751E-16	5.508930E-17
5.034235E+03	6.894536E-16	5.249189E-17
5.150917E+03	6.641444E-16	5.002070E-17
5.270303E+03	6.432109E-16	4.786029E-17
5.392456E+03	6.281662E-16	4.610797E-17
5.517440E+03	6.164347E-16	4.455703E-17
5.645322E+03	6.028882E-16	4.282909E-17
5.776168E+03	5.846619E-16	4.073005E-17
5.910045E+03	5.609736E-16	3.822784E-17
6.047026E+03	5.319630E-16	3.536250E-17
6.187181E+03	4.979964E-16	3.219465E-17
6.330586E+03	4.613204E-16	2.890700E-17
6.477314E+03	4.264227E-16	2.580553E-17
6.627443E+03	3.952420E-16	2.301119E-17
6.781051E+03	3.672218E-16	2.048707E-17
6.938220E+03	3.420926E-16	1.821601E-17
7.099032E+03	3.198970E-16	1.619909E-17
7.263570E+03	3.002756E-16	1.441786E-17
7.431922E+03	2.824176E-16	1.283806E-17
7.604177E+03	2.655227E-16	1.142701E-17
7.780424E+03	2.488631E-16	1.014366E-17
7.960755E+03	2.319845E-16	8.965879E-18
8.145267E+03	2.151767E-16	7.911068E-18
8.334055E+03	1.990067E-16	7.014289E-18
8.527218E+03	1.838170E-16	6.308626E-18
8.724859E+03	1.699307E-16	5.826308E-18
8.927081E+03	1.585045E-16	5.607941E-18
9.133990E+03	1.499621E-16	5.635104E-18
9.345693E+03	1.439489E-16	5.851551E-18
9.562305E+03	1.399810E-16	6.213044E-18
9.783936E+03	1.371337E-16	6.662273E-18
1.001070E+04	1.339319E-16	7.103035E-18
1.024273E+04	1.289634E-16	7.426067E-18
1.048014E+04	1.222009E-16	7.589210E-18
1.072304E+04	1.147200E-16	7.629547E-18
1.097157E+04	1.073839E-16	7.594653E-18
1.122587E+04	1.005817E-16	7.515815E-18
1.148606E+04	9.440495E-17	7.409944E-18
1.175228E+04	8.881241E-17	7.285918E-18
1.202467E+04	8.373360E-17	7.150318E-18
1.230336E+04	7.914608E-17	7.013287E-18
1.258853E+04	7.510536E-17	6.890260E-18
1.288030E+04	7.158549E-17	6.784285E-18
1.317884E+04	6.840889E-17	6.681006E-18
1.348429E+04	6.536755E-17	6.561387E-18
1.379683E+04	6.228179E-17	6.407731E-18
1.411660E+04	5.901789E-17	6.206203E-18
1.444379E+04	5.550726E-17	5.949720E-18
1.477857E+04	5.176144E-17	5.640378E-18
1.512110E+04	4.787343E-17	5.290268E-18
1.547157E+04	4.400084E-17	4.919910E-18
1.583016E+04	4.032876E-17	4.553981E-18
1.619707E+04	3.703967E-17	4.217242E-18
1.657248E+04	3.422580E-17	3.922585E-18
1.695659E+04	3.181815E-17	3.663548E-18
1.734960E+04	2.971385E-17	3.429485E-18
1.775172E+04	2.780980E-17	3.209551E-18
1.816316E+04	2.601305E-17	2.994155E-18
1.858415E+04	2.425075E-17	2.776367E-18
1.901488E+04	2.248123E-17	2.553419E-18
1.945561E+04	2.070161E-17	2.327656E-18
1.990654E+04	1.894774E-17	2.106410E-18
2.036793E+04	1.728526E-17	1.900713E-18
2.084000E+04	1.579281E-17	1.723140E-18
2.132303E+04	1.454628E-17	1.585905E-18
2.181725E+04	1.358218E-17	1.493554E-18
2.232292E+04	1.283985E-17	1.433435E-18
2.284031E+04	1.225103E-17	1.393014E-18
2.336969E+04	1.175569E-17	1.362340E-18
2.391135E+04	1.130695E-17	1.334132E-18
2.446556E+04	1.087291E-17	1.303671E-18
