#wls	flux	fluxerr
3.257346E+03	1.233028E-16	8.548258E-18
3.257346E+03	1.233028E-16	8.548258E-18
3.332843E+03	1.242316E-16	8.256021E-18
3.332843E+03	1.242316E-16	8.256021E-18
3.410091E+03	1.258191E-16	7.992779E-18
3.410091E+03	1.258191E-16	7.992779E-18
3.489128E+03	1.286696E-16	7.781315E-18
3.489128E+03	1.286696E-16	7.781315E-18
3.569998E+03	1.331297E-16	7.636509E-18
3.569998E+03	1.331297E-16	7.636509E-18
3.652742E+03	1.401450E-16	7.589146E-18
3.652742E+03	1.401450E-16	7.589146E-18
3.737404E+03	1.505175E-16	7.657959E-18
3.737404E+03	1.505175E-16	7.657959E-18
3.824029E+03	1.649772E-16	7.843898E-18
3.824029E+03	1.649772E-16	7.843898E-18
3.912660E+03	1.842928E-16	8.135729E-18
3.912660E+03	1.842928E-16	8.135729E-18
4.003346E+03	2.064612E-16	8.415927E-18
4.003346E+03	2.064612E-16	8.415927E-18
4.096134E+03	2.317546E-16	8.646827E-18
4.096134E+03	2.317546E-16	8.646827E-18
4.191073E+03	2.554686E-16	8.693028E-18
4.191073E+03	2.554686E-16	8.693028E-18
4.288212E+03	2.793754E-16	8.569906E-18
4.288212E+03	2.793754E-16	8.569906E-18
4.387603E+03	2.958989E-16	8.227144E-18
4.387603E+03	2.958989E-16	8.227144E-18
4.489297E+03	3.094050E-16	7.694060E-18
4.489297E+03	3.094050E-16	7.694060E-18
4.593348E+03	3.085753E-16	7.075607E-18
4.593348E+03	3.085753E-16	7.075607E-18
4.699811E+03	3.023463E-16	6.332514E-18
4.699811E+03	3.023463E-16	6.332514E-18
4.808742E+03	2.861791E-16	5.761642E-18
4.808742E+03	2.861791E-16	5.761642E-18
4.920197E+03	2.676983E-16	5.166690E-18
4.920197E+03	2.676983E-16	5.166690E-18
5.034235E+03	2.511234E-16	4.745628E-18
5.034235E+03	2.511234E-16	4.745628E-18
5.150917E+03	2.347243E-16	4.338842E-18
5.150917E+03	2.347243E-16	4.338842E-18
5.270303E+03	2.256711E-16	4.004623E-18
5.270303E+03	2.256711E-16	4.004623E-18
5.392456E+03	2.175628E-16	3.696199E-18
5.392456E+03	2.175628E-16	3.696199E-18
5.414932E+03	2.271497E-16	3.816019E-18
5.415130E+03	2.276223E-16	3.823577E-18
5.415328E+03	2.280800E-16	3.830885E-18
5.415526E+03	2.284971E-16	3.837501E-18
5.415724E+03	2.289729E-16	3.845102E-18
5.415922E+03	2.295342E-16	3.854136E-18
5.416120E+03	2.300069E-16	3.861681E-18
5.416318E+03	2.305549E-16	3.870488E-18
5.416516E+03	2.311256E-16	3.879673E-18
5.416715E+03	2.315749E-16	3.886820E-18
5.416913E+03	2.321053E-16	3.895325E-18
5.417111E+03	2.326797E-16	3.904568E-18
5.417309E+03	2.332395E-16	3.913563E-18
5.417507E+03	2.337845E-16	3.922307E-18
5.417705E+03	2.343739E-16	3.931796E-18
5.417903E+03	2.349162E-16	3.940490E-18
5.418100E+03	2.355465E-16	3.950661E-18
5.418298E+03	2.361675E-16	3.960673E-18
5.418497E+03	2.367084E-16	3.969337E-18
5.418696E+03	2.373435E-16	3.979578E-18
5.418894E+03	2.379585E-16	3.989480E-18
5.419091E+03	2.386024E-16	3.999870E-18
5.419289E+03	2.392812E-16	4.010838E-18
5.419487E+03	2.398956E-16	4.020725E-18
5.419685E+03	2.405116E-16	4.030636E-18
5.419883E+03	2.411403E-16	4.040758E-18
5.420081E+03	2.418319E-16	4.051932E-18
5.420279E+03	2.425311E-16	4.063230E-18
5.420478E+03	2.431483E-16	4.073152E-18
5.420676E+03	2.438793E-16	4.084979E-18
5.420874E+03	2.445394E-16	4.095614E-18
5.421072E+03	2.451674E-16	4.105710E-18
5.421270E+03	2.458705E-16	4.117062E-18
5.421468E+03	2.465871E-16	4.128637E-18
5.421666E+03	2.472602E-16	4.139481E-18
5.421864E+03	2.478896E-16	4.149589E-18
5.422062E+03	2.485777E-16	4.160680E-18
5.422260E+03	2.491358E-16	4.169592E-18
5.422458E+03	2.498101E-16	4.180446E-18
5.422656E+03	2.505844E-16	4.192971E-18
5.422854E+03	2.512569E-16	4.203790E-18
5.423052E+03	2.519138E-16	4.214347E-18
5.423250E+03	2.526597E-16	4.226389E-18
5.423448E+03	2.532854E-16	4.236416E-18
5.423646E+03	2.538716E-16	4.245782E-18
5.423845E+03	2.546174E-16	4.257813E-18
5.424043E+03	2.552891E-16	4.268604E-18
5.424241E+03	2.559035E-16	4.278435E-18
5.424440E+03	2.565195E-16	4.288290E-18
5.424638E+03	2.571784E-16	4.298860E-18
5.424836E+03	2.578331E-16	4.309357E-18
5.425034E+03	2.585073E-16	4.320177E-18
5.425232E+03	2.591654E-16	4.330726E-18
5.425430E+03	2.598191E-16	4.341200E-18
5.425628E+03	2.604626E-16	4.351500E-18
5.425826E+03	2.611197E-16	4.362024E-18
5.426024E+03	2.617603E-16	4.372272E-18
5.426222E+03	2.624207E-16	4.382847E-18
5.426420E+03	2.630645E-16	4.393144E-18
5.426618E+03	2.636918E-16	4.403161E-18
5.426816E+03	2.643327E-16	4.413403E-18
5.427014E+03	2.649447E-16	4.423161E-18
5.427212E+03	2.655336E-16	4.432531E-18
5.427410E+03	2.661729E-16	4.442740E-18
5.427608E+03	2.667892E-16	4.452562E-18
5.427806E+03	2.674007E-16	4.462303E-18
5.428004E+03	2.679581E-16	4.471139E-18
5.428202E+03	2.685105E-16	4.479888E-18
5.428401E+03	2.690517E-16	4.488448E-18
5.428599E+03	2.694698E-16	4.494955E-18
5.428797E+03	2.699197E-16	4.501988E-18
5.428995E+03	2.704202E-16	4.509864E-18
5.429194E+03	2.708591E-16	4.516710E-18
5.429392E+03	2.713176E-16	4.523882E-18
5.429590E+03	2.717706E-16	4.530962E-18
5.429788E+03	2.721867E-16	4.537424E-18
5.429986E+03	2.725282E-16	4.542641E-18
5.430184E+03	2.729079E-16	4.548492E-18
5.430381E+03	2.732943E-16	4.554458E-18
5.430579E+03	2.736625E-16	4.560115E-18
5.430778E+03	2.740437E-16	4.565986E-18
5.430976E+03	2.743560E-16	4.570709E-18
5.431174E+03	2.746433E-16	4.575015E-18
5.431371E+03	2.749373E-16	4.579434E-18
5.431569E+03	2.752634E-16	4.584382E-18
5.431767E+03	2.754755E-16	4.587433E-18
5.431965E+03	2.756879E-16	4.590488E-18
5.432164E+03	2.759449E-16	4.594284E-18
5.432362E+03	2.761386E-16	4.597024E-18
5.432560E+03	2.763388E-16	4.599872E-18
5.432758E+03	2.764946E-16	4.601980E-18
5.432956E+03	2.765740E-16	4.602817E-18
5.433154E+03	2.766280E-16	4.603230E-18
5.433352E+03	2.766820E-16	4.603644E-18
5.433550E+03	2.767806E-16	4.604798E-18
5.433748E+03	2.768092E-16	4.604787E-18
5.433946E+03	2.767741E-16	4.603716E-18
5.434144E+03	2.767453E-16	4.602751E-18
5.434342E+03	2.767420E-16	4.602210E-18
5.434541E+03	2.767387E-16	4.601666E-18
5.434739E+03	2.766782E-16	4.600172E-18
5.434937E+03	2.766048E-16	4.598466E-18
5.435135E+03	2.765124E-16	4.596443E-18
5.435333E+03	2.763565E-16	4.593364E-18
5.435531E+03	2.761497E-16	4.589441E-18
5.435729E+03	2.758922E-16	4.584676E-18
5.435927E+03	2.756034E-16	4.579390E-18
5.436126E+03	2.753021E-16	4.573898E-18
5.436324E+03	2.749948E-16	4.568308E-18
5.436522E+03	2.746943E-16	4.562830E-18
5.436720E+03	2.743055E-16	4.555890E-18
5.436918E+03	2.738733E-16	4.548227E-18
5.437116E+03	2.734291E-16	4.540368E-18
5.437314E+03	2.729291E-16	4.531582E-18
5.437512E+03	2.724237E-16	4.522710E-18
5.437710E+03	2.718693E-16	4.513024E-18
5.437908E+03	2.713221E-16	4.503462E-18
5.438106E+03	2.707886E-16	4.494128E-18
5.438304E+03	2.702188E-16	4.484193E-18
5.438502E+03	2.695136E-16	4.472014E-18
5.438700E+03	2.687732E-16	4.459252E-18
5.438898E+03	2.638282E-16	4.376741E-18
5.439096E+03	2.642995E-16	4.384092E-18
5.439294E+03	2.661838E-16	4.414876E-18
5.439492E+03	2.643972E-16	4.384776E-18
5.439690E+03	2.641509E-16	4.380222E-18
5.439889E+03	2.633222E-16	4.366011E-18
5.440088E+03	2.625927E-16	4.353451E-18
5.440286E+03	2.642579E-16	4.380588E-18
5.440484E+03	2.633985E-16	4.365875E-18
5.440682E+03	2.653681E-16	4.398050E-18
5.440880E+03	2.670940E-16	4.426179E-18
5.441078E+03	2.653380E-16	4.396607E-18
5.441276E+03	2.652741E-16	4.395078E-18
5.441474E+03	2.663853E-16	4.413014E-18
5.441672E+03	2.646036E-16	4.383027E-18
5.441870E+03	2.652413E-16	4.393119E-18
5.442068E+03	2.670340E-16	4.422336E-18
5.442266E+03	2.667056E-16	4.416422E-18
5.442463E+03	2.656241E-16	4.398044E-18
5.442661E+03	2.676598E-16	4.431272E-18
5.442859E+03	2.687996E-16	4.449664E-18
5.443058E+03	2.660995E-16	4.404491E-18
5.443256E+03	2.674359E-16	4.426133E-18
5.443453E+03	2.653415E-16	4.391000E-18
5.443651E+03	2.647408E-16	4.380587E-18
5.443850E+03	2.644274E-16	4.374929E-18
5.444048E+03	2.654068E-16	4.390660E-18
5.444246E+03	2.657466E-16	4.395806E-18
5.444444E+03	2.644742E-16	4.374287E-18
5.444642E+03	2.661270E-16	4.401148E-18
5.444840E+03	2.664125E-16	4.405394E-18
5.445038E+03	2.665510E-16	4.407207E-18
5.445236E+03	2.666466E-16	4.408311E-18
5.445435E+03	2.667176E-16	4.409006E-18
5.445633E+03	2.667150E-16	4.408485E-18
5.445831E+03	2.666571E-16	4.407052E-18
5.446029E+03	2.665440E-16	4.404705E-18
5.446227E+03	2.663389E-16	4.400840E-18
5.446425E+03	2.660973E-16	4.396371E-18
5.446623E+03	2.657274E-16	4.389783E-18
5.446821E+03	2.654251E-16	4.384314E-18
5.447019E+03	2.652210E-16	4.380467E-18
5.447217E+03	2.650476E-16	4.377127E-18
5.447415E+03	2.648315E-16	4.373084E-18
5.447613E+03	2.646035E-16	4.368844E-18
5.447812E+03	2.643878E-16	4.364808E-18
5.448010E+03	2.641906E-16	4.361078E-18
5.448208E+03	2.639996E-16	4.357451E-18
5.448406E+03	2.638877E-16	4.355130E-18
5.448604E+03	2.637881E-16	4.353013E-18
5.448802E+03	2.637431E-16	4.351796E-18
5.449000E+03	2.624987E-16	4.330791E-18
5.449198E+03	2.622305E-16	4.325894E-18
5.449396E+03	2.614322E-16	4.312256E-18
5.449594E+03	2.619541E-16	4.320392E-18
5.449792E+03	2.610305E-16	4.304689E-18
5.449990E+03	2.615274E-16	4.312414E-18
5.450188E+03	2.617118E-16	4.314983E-18
5.450386E+03	2.607410E-16	4.298508E-18
5.450584E+03	2.605107E-16	4.294240E-18
5.450783E+03	2.607964E-16	4.298478E-18
5.450981E+03	2.615880E-16	4.311053E-18
5.451179E+03	2.627145E-16	4.329144E-18
5.451377E+03	2.632813E-16	4.338010E-18
5.451575E+03	2.614727E-16	4.307738E-18
5.451774E+03	2.602930E-16	4.287833E-18
5.451972E+03	2.607467E-16	4.294835E-18
5.452170E+03	2.593492E-16	4.271350E-18
5.452368E+03	2.588935E-16	4.263376E-18
5.452566E+03	2.573460E-16	4.237428E-18
5.452764E+03	2.572845E-16	4.235950E-18
5.452962E+03	2.574661E-16	4.238474E-18
5.453160E+03	2.569545E-16	4.229588E-18
5.453358E+03	2.566685E-16	4.224415E-18
5.453556E+03	2.567432E-16	4.225180E-18
5.453754E+03	2.564988E-16	4.220693E-18
5.453952E+03	2.561425E-16	4.214368E-18
5.454150E+03	2.572753E-16	4.232539E-18
5.454348E+03	2.567346E-16	4.223179E-18
5.454545E+03	2.575615E-16	4.236316E-18
5.454743E+03	2.562934E-16	4.214994E-18
5.454941E+03	2.566751E-16	4.220807E-18
5.455140E+03	2.565312E-16	4.217973E-18
5.455338E+03	2.573870E-16	4.231578E-18
5.455536E+03	2.580495E-16	4.242004E-18
5.455734E+03	2.565722E-16	4.217253E-18
5.455932E+03	2.568539E-16	4.221416E-18
5.456131E+03	2.575388E-16	4.232203E-18
5.456329E+03	2.576376E-16	4.233359E-18
5.456527E+03	2.583127E-16	4.243982E-18
5.456725E+03	2.583999E-16	4.244945E-18
5.456923E+03	2.575603E-16	4.230684E-18
5.457121E+03	2.578134E-16	4.234373E-18
5.457319E+03	2.583938E-16	4.243436E-18
5.457517E+03	2.591486E-16	4.255359E-18
5.457715E+03	2.589617E-16	4.251818E-18
5.457913E+03	2.571888E-16	4.222242E-18
5.458111E+03	2.559344E-16	4.201183E-18
5.458309E+03	2.548740E-16	4.183311E-18
5.458507E+03	2.525180E-16	4.144181E-18
5.458705E+03	2.532089E-16	4.155059E-18
5.458903E+03	2.539602E-16	4.166924E-18
5.459101E+03	2.539759E-16	4.166718E-18
5.459299E+03	2.547236E-16	4.178521E-18
5.459498E+03	2.556030E-16	4.192481E-18
5.459696E+03	2.560429E-16	4.199229E-18
5.459894E+03	2.560823E-16	4.199408E-18
5.460092E+03	2.565526E-16	4.206651E-18
5.460290E+03	2.572902E-16	4.218275E-18
5.460488E+03	2.571580E-16	4.215639E-18
5.460686E+03	2.566771E-16	4.207285E-18
5.460884E+03	2.576522E-16	4.222798E-18
5.461082E+03	2.585299E-16	4.236710E-18
5.461280E+03	2.595361E-16	4.252724E-18
5.461479E+03	2.589016E-16	4.241851E-18
5.461677E+03	2.582449E-16	4.230619E-18
5.461875E+03	2.576373E-16	4.220193E-18
5.462073E+03	2.570843E-16	4.210665E-18
5.462271E+03	2.565858E-16	4.202030E-18
5.462469E+03	2.561295E-16	4.194088E-18
5.462667E+03	2.557506E-16	4.187415E-18
5.462865E+03	2.553487E-16	4.180367E-18
5.463063E+03	2.550826E-16	4.175542E-18
5.463262E+03	2.549105E-16	4.172259E-18
5.463460E+03	2.548384E-16	4.170611E-18
5.463658E+03	2.548543E-16	4.170403E-18
5.463856E+03	2.555578E-16	4.181446E-18
5.464054E+03	2.556150E-16	4.181912E-18
5.464252E+03	2.553310E-16	4.176797E-18
5.464450E+03	2.543259E-16	4.159888E-18
5.464648E+03	2.531791E-16	4.140665E-18
5.464846E+03	2.535450E-16	4.146183E-18
5.465044E+03	2.536309E-16	4.147123E-18
5.465242E+03	2.533900E-16	4.142717E-18
5.465440E+03	2.537679E-16	4.148428E-18
5.465638E+03	2.538247E-16	4.148890E-18
5.465836E+03	2.538699E-16	4.149162E-18
5.466034E+03	2.546059E-16	4.160722E-18
5.466232E+03	2.543465E-16	4.156016E-18
5.466430E+03	2.545734E-16	4.159254E-18
5.466627E+03	2.545309E-16	4.158092E-18
5.466826E+03	2.545468E-16	4.157882E-18
5.467024E+03	2.538663E-16	4.146298E-18
5.467223E+03	2.531293E-16	4.133794E-18
5.467422E+03	2.535828E-16	4.140730E-18
5.467620E+03	2.543181E-16	4.152267E-18
5.467817E+03	2.544982E-16	4.154741E-18
5.468015E+03	2.533391E-16	4.135350E-18
5.468213E+03	2.529528E-16	4.128579E-18
5.468411E+03	2.530562E-16	4.129799E-18
5.468609E+03	2.526414E-16	4.122562E-18
5.468807E+03	2.527564E-16	4.123971E-18
5.469005E+03	2.533667E-16	4.133462E-18
5.469203E+03	2.527011E-16	4.122135E-18
5.469401E+03	2.522753E-16	4.114723E-18
5.469599E+03	2.518501E-16	4.107323E-18
5.469797E+03	2.521911E-16	4.112417E-18
5.469995E+03	2.525267E-16	4.117423E-18
5.470193E+03	2.519910E-16	4.108221E-18
5.470391E+03	2.514505E-16	4.098945E-18
5.470589E+03	2.512004E-16	4.094401E-18
5.470787E+03	2.511007E-16	4.092312E-18
5.470986E+03	2.508451E-16	4.087681E-18
5.471184E+03	2.511384E-16	4.091996E-18
5.471382E+03	2.515770E-16	4.098676E-18
5.471580E+03	2.518886E-16	4.103286E-18
5.471778E+03	2.519569E-16	4.103931E-18
5.471976E+03	2.509713E-16	4.087412E-18
5.472175E+03	2.511376E-16	4.089652E-18
5.472373E+03	2.515067E-16	4.095195E-18
5.472571E+03	2.518995E-16	4.101124E-18
5.472769E+03	2.523104E-16	4.107345E-18
5.472967E+03	2.529199E-16	4.116796E-18
5.473165E+03	2.529885E-16	4.117445E-18
5.473363E+03	2.532262E-16	4.120842E-18
5.473561E+03	2.533416E-16	4.122249E-18
