#wls	flux	fluxerr
3.257346E+03	4.538696E-18	5.489540E-19
3.332843E+03	4.153786E-18	4.957751E-19
3.410091E+03	3.812389E-18	4.487411E-19
3.489128E+03	3.522078E-18	4.085711E-19
3.569998E+03	3.289211E-18	3.757790E-19
3.652742E+03	3.118778E-18	3.506640E-19
3.737404E+03	3.014197E-18	3.332969E-19
3.824029E+03	2.976210E-18	3.234140E-19
3.912660E+03	3.001318E-18	3.202763E-19
4.003346E+03	3.082626E-18	3.228018E-19
4.096134E+03	3.213009E-18	3.299303E-19
4.191073E+03	3.388208E-18	3.409442E-19
4.288212E+03	3.606705E-18	3.554315E-19
4.387603E+03	3.862065E-18	3.725084E-19
4.489297E+03	4.144775E-18	3.910396E-19
4.593348E+03	4.446900E-18	4.101169E-19
4.699811E+03	4.767388E-18	4.295238E-19
4.808742E+03	5.111852E-18	4.496486E-19
4.920197E+03	5.480498E-18	4.703810E-19
5.034235E+03	5.863979E-18	4.908090E-19
5.150917E+03	6.254971E-18	5.102475E-19
5.270303E+03	6.656314E-18	5.288940E-19
5.392456E+03	7.083272E-18	5.479081E-19
5.517440E+03	7.563473E-18	5.692892E-19
5.645322E+03	8.128440E-18	5.951158E-19
5.776168E+03	8.801310E-18	6.265049E-19
5.910045E+03	9.596060E-18	6.637167E-19
6.047026E+03	1.050898E-17	7.057358E-19
6.187181E+03	1.149238E-17	7.487779E-19
6.330586E+03	1.240798E-17	7.838426E-19
6.477314E+03	1.310710E-17	8.025756E-19
6.627443E+03	1.362568E-17	8.087000E-19
6.781051E+03	1.406508E-17	8.090110E-19
6.938220E+03	1.446401E-17	8.058779E-19
7.099032E+03	1.483896E-17	8.004407E-19
7.263570E+03	1.526347E-17	7.971580E-19
7.431922E+03	1.590940E-17	8.056341E-19
7.604177E+03	1.700674E-17	8.382581E-19
7.780424E+03	1.852305E-17	8.946964E-19
7.960755E+03	1.989579E-17	9.485535E-19
8.145267E+03	2.085839E-17	9.863420E-19
8.334055E+03	2.149703E-17	1.009278E-18
8.527218E+03	2.204588E-17	1.025161E-18
8.724859E+03	2.283148E-17	1.046800E-18
8.927081E+03	2.423449E-17	1.090364E-18
9.133990E+03	2.647251E-17	1.165780E-18
9.345693E+03	2.954161E-17	1.275482E-18
9.562305E+03	3.351054E-17	1.424710E-18
9.783936E+03	3.833000E-17	1.616772E-18
1.001070E+04	4.345115E-17	1.841662E-18
1.024273E+04	4.703937E-17	2.036327E-18
1.048014E+04	4.798809E-17	2.145557E-18
1.072304E+04	4.696186E-17	2.164003E-18
1.097157E+04	4.467837E-17	2.095903E-18
1.122587E+04	4.169736E-17	1.955349E-18
1.148606E+04	3.849046E-17	1.768836E-18
1.175228E+04	3.541775E-17	1.570645E-18
1.202467E+04	3.271630E-17	1.399912E-18
1.230336E+04	3.047349E-17	1.297845E-18
1.258853E+04	2.869829E-17	1.293333E-18
1.288030E+04	2.757772E-17	1.369832E-18
1.317884E+04	2.716542E-17	1.494430E-18
1.348429E+04	2.732318E-17	1.638762E-18
1.379683E+04	2.784574E-17	1.776950E-18
1.411660E+04	2.851469E-17	1.883396E-18
1.444379E+04	2.910752E-17	1.933772E-18
1.477857E+04	2.941206E-17	1.910430E-18
1.512110E+04	2.921867E-17	1.809184E-18
1.547157E+04	2.838461E-17	1.651828E-18
1.583016E+04	2.700092E-17	1.499491E-18
1.619707E+04	2.530505E-17	1.430937E-18
1.657248E+04	2.375786E-17	1.468990E-18
1.695659E+04	2.266277E-17	1.567474E-18
1.734960E+04	2.205525E-17	1.687040E-18
1.775172E+04	2.189844E-17	1.805232E-18
1.816316E+04	2.211185E-17	1.904159E-18
1.858415E+04	2.256809E-17	1.961858E-18
1.901488E+04	2.311934E-17	1.952902E-18
1.945561E+04	2.361909E-17	1.853824E-18
1.990654E+04	2.392195E-17	1.651107E-18
2.036793E+04	2.389653E-17	1.358371E-18
2.084000E+04	2.341413E-17	1.056095E-18
2.132303E+04	2.226926E-17	9.540161E-19
2.181725E+04	2.028295E-17	1.117094E-18
2.232292E+04	1.799193E-17	1.312841E-18
2.284031E+04	1.579687E-17	1.438890E-18
2.336969E+04	1.381345E-17	1.486821E-18
2.391135E+04	1.205951E-17	1.472149E-18
2.446556E+04	1.052509E-17	1.413714E-18
