#wls	flux	fluxerr
3.289398E+03	6.513553E-16	7.891152E-17
3.365638E+03	6.630623E-16	8.019750E-17
3.443646E+03	6.806649E-16	8.218320E-17
3.523461E+03	7.049372E-16	8.495710E-17
3.605127E+03	7.378940E-16	8.875568E-17
3.688685E+03	7.825029E-16	9.392719E-17
3.774180E+03	8.407702E-16	1.007007E-16
3.861657E+03	9.123910E-16	1.090258E-16
3.951161E+03	9.928595E-16	1.183500E-16
4.042739E+03	1.072354E-15	1.274929E-16
4.136440E+03	1.138044E-15	1.349286E-16
4.232313E+03	1.180577E-15	1.395605E-16
4.330408E+03	1.198068E-15	1.411864E-16
4.430777E+03	1.194067E-15	1.402486E-16
4.533472E+03	1.173426E-15	1.373386E-16
4.638547E+03	1.140400E-15	1.329731E-16
4.746057E+03	1.099305E-15	1.276704E-16
4.856060E+03	1.053084E-15	1.217838E-16
4.968612E+03	1.004136E-15	1.155993E-16
5.083772E+03	9.559375E-16	1.095223E-16
5.201602E+03	9.123630E-16	1.039959E-16
5.322163E+03	8.768551E-16	9.940541E-17
5.445518E+03	8.512958E-16	9.595008E-17
5.571732E+03	8.314465E-16	9.313709E-17
5.700872E+03	8.093772E-16	9.007317E-17
5.833005E+03	7.809027E-16	8.630230E-17
5.968200E+03	7.449976E-16	8.172954E-17
6.106529E+03	7.025152E-16	7.646991E-17
6.248063E+03	6.548921E-16	7.070057E-17
6.392879E+03	6.052824E-16	6.477917E-17
6.541051E+03	5.590033E-16	5.928202E-17
6.692657E+03	5.178799E-16	5.439790E-17
6.847777E+03	4.808015E-16	5.000203E-17
7.006492E+03	4.478410E-16	4.609541E-17
7.168886E+03	4.193040E-16	4.270178E-17
7.335044E+03	3.945015E-16	3.974286E-17
7.505052E+03	3.719227E-16	3.706122E-17
7.679002E+03	3.504064E-16	3.454036E-17
7.856983E+03	3.292634E-16	3.211288E-17
8.039089E+03	3.080640E-16	2.973438E-17
8.225416E+03	2.870985E-16	2.742918E-17
8.416062E+03	2.669322E-16	2.524732E-17
8.611126E+03	2.478503E-16	2.321152E-17
8.810712E+03	2.299821E-16	2.133010E-17
9.014923E+03	2.138899E-16	1.965178E-17
9.223868E+03	2.001137E-16	1.822228E-17
9.437655E+03	1.887653E-16	1.704636E-17
9.656398E+03	1.795353E-16	1.608982E-17
9.880210E+03	1.715203E-16	1.526835E-17
1.010921E+04	1.632261E-16	1.444935E-17
1.034352E+04	1.532489E-16	1.351171E-17
1.058326E+04	1.417647E-16	1.246845E-17
1.082855E+04	1.300263E-16	1.142234E-17
1.107953E+04	1.188939E-16	1.044288E-17
1.133633E+04	1.087270E-16	9.558048E-18
1.159908E+04	9.958304E-17	8.771963E-18
1.186792E+04	9.139608E-17	8.080104E-18
1.214299E+04	8.410243E-17	7.479854E-18
1.242443E+04	7.772794E-17	6.977628E-18
1.271240E+04	7.236512E-17	6.584212E-18
1.300704E+04	6.786425E-17	6.280235E-18
1.330852E+04	6.390342E-17	6.027690E-18
1.361698E+04	6.022678E-17	5.795611E-18
1.393259E+04	5.665612E-17	5.561283E-18
1.425551E+04	5.307609E-17	5.309160E-18
1.458592E+04	4.943267E-17	5.031099E-18
1.492399E+04	4.573508E-17	4.726907E-18
1.526989E+04	4.205144E-17	4.404117E-18
1.562381E+04	3.849393E-17	4.076420E-18
1.598593E+04	3.519712E-17	3.761068E-18
1.635645E+04	3.230319E-17	3.476549E-18
1.673555E+04	2.987400E-17	3.231081E-18
1.712344E+04	2.782154E-17	3.015818E-18
1.752032E+04	2.604582E-17	2.820486E-18
1.792640E+04	2.445745E-17	2.636004E-18
1.834189E+04	2.297692E-17	2.454653E-18
1.876702E+04	2.153955E-17	2.270920E-18
1.920199E+04	2.010285E-17	2.082584E-18
1.964705E+04	1.865212E-17	1.891480E-18
2.010242E+04	1.720073E-17	1.703525E-18
2.056835E+04	1.578357E-17	1.527860E-18
2.104507E+04	1.444448E-17	1.375252E-18
2.153285E+04	1.322362E-17	1.256188E-18
2.203193E+04	1.215277E-17	1.173806E-18
2.254258E+04	1.122236E-17	1.116098E-18
2.306506E+04	1.040668E-17	1.071636E-18
2.359965E+04	9.677489E-18	1.032377E-18
2.414664E+04	9.010724E-18	9.933431E-19
2.470630E+04	8.389741E-18	9.520111E-19
