#wls	flux	fluxerr
3.289398E+03	6.670884E-16	4.277260E-17
3.289398E+03	6.670884E-16	4.277260E-17
3.365638E+03	6.849622E-16	4.379488E-17
3.365638E+03	6.849622E-16	4.379488E-17
3.443646E+03	7.093334E-16	4.521718E-17
3.443646E+03	7.093334E-16	4.521718E-17
3.523461E+03	7.411465E-16	4.709440E-17
3.523461E+03	7.411465E-16	4.709440E-17
3.605127E+03	7.822724E-16	4.953869E-17
3.605127E+03	7.822724E-16	4.953869E-17
3.688685E+03	8.351983E-16	5.269863E-17
3.688685E+03	8.351983E-16	5.269863E-17
3.774180E+03	9.011907E-16	5.664269E-17
3.774180E+03	9.011907E-16	5.664269E-17
3.861657E+03	9.787205E-16	6.126166E-17
3.861657E+03	9.787205E-16	6.126166E-17
3.951161E+03	1.061638E-15	6.615850E-17
3.951161E+03	1.061638E-15	6.615850E-17
4.042739E+03	1.138160E-15	7.059236E-17
4.042739E+03	1.138160E-15	7.059236E-17
4.136440E+03	1.193594E-15	7.365646E-17
4.136440E+03	1.193594E-15	7.365646E-17
4.232313E+03	1.218595E-15	7.479214E-17
4.232313E+03	1.218595E-15	7.479214E-17
4.330408E+03	1.213536E-15	7.404926E-17
4.330408E+03	1.213536E-15	7.404926E-17
4.430777E+03	1.184933E-15	7.185345E-17
4.430777E+03	1.184933E-15	7.185345E-17
4.533472E+03	1.140559E-15	6.869990E-17
4.533472E+03	1.140559E-15	6.869990E-17
4.638547E+03	1.086885E-15	6.499600E-17
4.638547E+03	1.086885E-15	6.499600E-17
4.746057E+03	1.029767E-15	6.110374E-17
4.746057E+03	1.029767E-15	6.110374E-17
4.856060E+03	9.721898E-16	5.720660E-17
4.856060E+03	9.721898E-16	5.720660E-17
4.968612E+03	9.155318E-16	5.338895E-17
4.968612E+03	9.155318E-16	5.338895E-17
5.083772E+03	8.621645E-16	4.979004E-17
5.083772E+03	8.621645E-16	4.979004E-17
5.201602E+03	8.150881E-16	4.657950E-17
5.201602E+03	8.150881E-16	4.657950E-17
5.322163E+03	7.775797E-16	4.393457E-17
5.322163E+03	7.775797E-16	4.393457E-17
5.445518E+03	7.510779E-16	4.191968E-17
5.445518E+03	7.510779E-16	4.191968E-17
5.571732E+03	7.310804E-16	4.026557E-17
5.571732E+03	7.310804E-16	4.026557E-17
5.700872E+03	7.094948E-16	3.851939E-17
5.700872E+03	7.094948E-16	3.851939E-17
5.833005E+03	6.821249E-16	3.646191E-17
5.833005E+03	6.821249E-16	3.646191E-17
5.968200E+03	6.479681E-16	3.405762E-17
5.968200E+03	6.479681E-16	3.405762E-17
6.106529E+03	6.084414E-16	3.140203E-17
6.106529E+03	6.084414E-16	3.140203E-17
6.248063E+03	5.656577E-16	2.862304E-17
6.248063E+03	5.656577E-16	2.862304E-17
6.386700E+03	4.192938E-16	2.078768E-17
6.387900E+03	4.191875E-16	2.077864E-17
6.389100E+03	4.190619E-16	2.076864E-17
6.390100E+03	4.190232E-16	2.076358E-17
6.391300E+03	4.189459E-16	2.075597E-17
6.392400E+03	4.189940E-16	2.075489E-17
6.393600E+03	4.190711E-16	2.075493E-17
6.394700E+03	4.190613E-16	2.075098E-17
6.395900E+03	4.189454E-16	2.074146E-17
6.397100E+03	4.188488E-16	2.073290E-17
6.398200E+03	4.189837E-16	2.073611E-17
6.399400E+03	4.190415E-16	2.073519E-17
6.400400E+03	4.189063E-16	2.072535E-17
6.401600E+03	4.187422E-16	2.071345E-17
6.402800E+03	4.186263E-16	2.070394E-17
6.403900E+03	4.185105E-16	2.069474E-17
6.405100E+03	4.184237E-16	2.068667E-17
6.406200E+03	4.183657E-16	2.068034E-17
6.407400E+03	4.182885E-16	2.067274E-17
6.408500E+03	4.181631E-16	2.066307E-17
6.409700E+03	4.181245E-16	2.065738E-17
6.410800E+03	4.181821E-16	2.065675E-17
6.411900E+03	4.182493E-16	2.065661E-17
6.413100E+03	4.183070E-16	2.065567E-17
6.414200E+03	4.182780E-16	2.065076E-17
6.415400E+03	4.181718E-16	2.064173E-17
6.416600E+03	4.180465E-16	2.063176E-17
6.417700E+03	4.179886E-16	2.062543E-17
6.418900E+03	4.179115E-16	2.061783E-17
6.420000E+03	4.178631E-16	2.061197E-17
6.421100E+03	4.179111E-16	2.061087E-17
6.422200E+03	4.177666E-16	2.060026E-17
6.423400E+03	4.175453E-16	2.058556E-17
6.424600E+03	4.172856E-16	2.056897E-17
6.425700E+03	4.170549E-16	2.055413E-17
6.426900E+03	4.169394E-16	2.054465E-17
6.428000E+03	4.169488E-16	2.054164E-17
6.429200E+03	4.168719E-16	2.053406E-17
6.430400E+03	4.166989E-16	2.052176E-17
6.431400E+03	4.166124E-16	2.051434E-17
6.432600E+03	4.164875E-16	2.050440E-17
6.433700E+03	4.162668E-16	2.049007E-17
6.434900E+03	4.159887E-16	2.047259E-17
6.436000E+03	4.157109E-16	2.045545E-17
6.437200E+03	4.154236E-16	2.043753E-17
6.438400E+03	4.152799E-16	2.042669E-17
6.439500E+03	4.151362E-16	2.041615E-17
6.440700E+03	4.149449E-16	2.040296E-17
