#wls	flux	fluxerr
3.289398E+03	1.392013E-16	7.468627E-18
3.289398E+03	1.392013E-16	7.468627E-18
3.365638E+03	1.385933E-16	7.054778E-18
3.365638E+03	1.385933E-16	7.054778E-18
3.443646E+03	1.391815E-16	6.697296E-18
3.443646E+03	1.391815E-16	6.697296E-18
3.523461E+03	1.413405E-16	6.406007E-18
3.523461E+03	1.413405E-16	6.406007E-18
3.605127E+03	1.456308E-16	6.195303E-18
3.605127E+03	1.456308E-16	6.195303E-18
3.688685E+03	1.528477E-16	6.084154E-18
3.688685E+03	1.528477E-16	6.084154E-18
3.774180E+03	1.640150E-16	6.093699E-18
3.774180E+03	1.640150E-16	6.093699E-18
3.820800E+03	8.798273E-17	3.148162E-18
3.822800E+03	8.915664E-17	3.185034E-18
3.824800E+03	9.035253E-17	3.222565E-18
3.826800E+03	9.135402E-17	3.253046E-18
3.828800E+03	9.292127E-17	3.303536E-18
3.830700E+03	9.450233E-17	3.354616E-18
3.832700E+03	9.544891E-17	3.382773E-18
3.834700E+03	9.624309E-17	3.405440E-18
3.836700E+03	9.789915E-17	3.458475E-18
3.838700E+03	9.936841E-17	3.504743E-18
3.840600E+03	1.005051E-16	3.539426E-18
3.842600E+03	1.019620E-16	3.584970E-18
3.844600E+03	1.035330E-16	3.634366E-18
3.846600E+03	1.051283E-16	3.684446E-18
3.848600E+03	1.066624E-16	3.732212E-18
3.850500E+03	1.077984E-16	3.766214E-18
3.852500E+03	1.088390E-16	3.796470E-18
3.854500E+03	1.101354E-16	3.835530E-18
3.856500E+03	1.112883E-16	3.869468E-18
3.858500E+03	1.120192E-16	3.888636E-18
3.860400E+03	1.130928E-16	3.919928E-18
3.862400E+03	1.145377E-16	3.963647E-18
3.864400E+03	1.158437E-16	4.002417E-18
3.866400E+03	1.171863E-16	4.042313E-18
3.868400E+03	1.186892E-16	4.087596E-18
3.870400E+03	1.199958E-16	4.125971E-18
3.872300E+03	1.214032E-16	4.168010E-18
3.874300E+03	1.225562E-16	4.200854E-18
3.876300E+03	1.233731E-16	4.222081E-18
3.878300E+03	1.245679E-16	4.256141E-18
3.880300E+03	1.262676E-16	4.307302E-18
3.882200E+03	1.273378E-16	4.337199E-18
3.884200E+03	1.280600E-16	4.354811E-18
3.886200E+03	1.289376E-16	4.377631E-18
3.888200E+03	1.292429E-16	4.380964E-18
3.890200E+03	1.301977E-16	4.406261E-18
3.892100E+03	1.304787E-16	4.409047E-18
3.894100E+03	1.316032E-16	4.439924E-18
3.896100E+03	1.322160E-16	4.453449E-18
3.898100E+03	1.312808E-16	4.414863E-18
3.900100E+03	1.305687E-16	4.383878E-18
3.902000E+03	1.313064E-16	4.401935E-18
3.904000E+03	1.329118E-16	4.448613E-18
3.906000E+03	1.344688E-16	4.493512E-18
3.908000E+03	1.353442E-16	4.515514E-18
3.910000E+03	1.346814E-16	4.486198E-18
3.911900E+03	1.343430E-16	4.468106E-18
3.913900E+03	1.343641E-16	4.461643E-18
3.915900E+03	1.344875E-16	4.458575E-18
3.917900E+03	1.348746E-16	4.464235E-18
3.919900E+03	1.357590E-16	4.486297E-18
3.921900E+03	1.365140E-16	4.504008E-18
3.923800E+03	1.371624E-16	4.518498E-18
3.925800E+03	1.375161E-16	4.522878E-18
3.927800E+03	1.381981E-16	4.538010E-18
3.929800E+03	1.392166E-16	4.564110E-18
3.931800E+03	1.399200E-16	4.579799E-18
3.933700E+03	1.401514E-16	4.580370E-18
3.935700E+03	1.407557E-16	4.592725E-18
3.937700E+03	1.417016E-16	4.616154E-18
3.939700E+03	1.420245E-16	4.619230E-18
3.941700E+03	1.416942E-16	4.601073E-18
3.943600E+03	1.416738E-16	4.593375E-18
3.945600E+03	1.425930E-16	4.615735E-18
3.947600E+03	1.437000E-16	4.644077E-18
3.949600E+03	1.444225E-16	4.659908E-18
3.951600E+03	1.443954E-16	4.651524E-18
3.953500E+03	1.453252E-16	4.674304E-18
