#wls	flux	fluxerr
3.289398E+03	7.442441E-18	8.997888E-19
3.365638E+03	6.748988E-18	8.051978E-19
3.443646E+03	6.148789E-18	7.234604E-19
3.523461E+03	5.646569E-18	6.547612E-19
3.605127E+03	5.245898E-18	5.990919E-19
3.688685E+03	4.949582E-18	5.563027E-19
3.774180E+03	4.759217E-18	5.260587E-19
3.861657E+03	4.672991E-18	5.076127E-19
3.951161E+03	4.682720E-18	4.995236E-19
4.042739E+03	4.775067E-18	4.998528E-19
4.136440E+03	4.936691E-18	5.067528E-19
4.232313E+03	5.159105E-18	5.189665E-19
4.330408E+03	5.438410E-18	5.357604E-19
4.430777E+03	5.763480E-18	5.557196E-19
4.533472E+03	6.119154E-18	5.771208E-19
4.638547E+03	6.493332E-18	5.986516E-19
4.746057E+03	6.884807E-18	6.200912E-19
4.856060E+03	7.302613E-18	6.421419E-19
4.968612E+03	7.747620E-18	6.647476E-19
5.083772E+03	8.206527E-18	6.866561E-19
5.201602E+03	8.669456E-18	7.069826E-19
5.322163E+03	9.141029E-18	7.260951E-19
5.445518E+03	9.642487E-18	7.456402E-19
5.571732E+03	1.021083E-17	7.683213E-19
5.700872E+03	1.088675E-17	7.968333E-19
5.833005E+03	1.169803E-17	8.324732E-19
5.968200E+03	1.265951E-17	8.753725E-19
6.106529E+03	1.376266E-17	9.240113E-19
6.248063E+03	1.494312E-17	9.733849E-19
6.392879E+03	1.602301E-17	1.011999E-18
6.541051E+03	1.681359E-17	1.029332E-18
6.692657E+03	1.736266E-17	1.030311E-18
6.847777E+03	1.780099E-17	1.023730E-18
7.006492E+03	1.817627E-17	1.012559E-18
7.168886E+03	1.850745E-17	9.981891E-19
7.335044E+03	1.888588E-17	9.862196E-19
7.505052E+03	1.952448E-17	9.885800E-19
7.679002E+03	2.070641E-17	1.020492E-18
7.856983E+03	2.238298E-17	1.080994E-18
8.039089E+03	2.385857E-17	1.137307E-18
8.225416E+03	2.481900E-17	1.173417E-18
8.416062E+03	2.538262E-17	1.191460E-18
8.611126E+03	2.583833E-17	1.201247E-18
8.810712E+03	2.657542E-17	1.218176E-18
9.014923E+03	2.803961E-17	1.261277E-18
9.223868E+03	3.047127E-17	1.341584E-18
9.437655E+03	3.383622E-17	1.460612E-18
9.656398E+03	3.819560E-17	1.623605E-18
9.880210E+03	4.348094E-17	1.833753E-18
1.010921E+04	4.905961E-17	2.079078E-18
1.034352E+04	5.285936E-17	2.287933E-18
1.058326E+04	5.367367E-17	2.399339E-18
1.082855E+04	5.229809E-17	2.409399E-18
1.107953E+04	4.955722E-17	2.324248E-18
1.133633E+04	4.608015E-17	2.160384E-18
1.159908E+04	4.238981E-17	1.947632E-18
1.186792E+04	3.888012E-17	1.723909E-18
1.214299E+04	3.580476E-17	1.531891E-18
1.242443E+04	3.325013E-17	1.415952E-18
1.271240E+04	3.121619E-17	1.406569E-18
1.300704E+04	2.990344E-17	1.484972E-18
1.330852E+04	2.936784E-17	1.615057E-18
1.361698E+04	2.945367E-17	1.765881E-18
1.393259E+04	2.993443E-17	1.909483E-18
1.425551E+04	3.057257E-17	2.018526E-18
1.458592E+04	3.112872E-17	2.067286E-18
1.492399E+04	3.137731E-17	2.037419E-18
1.526989E+04	3.109692E-17	1.924991E-18
1.562381E+04	3.013811E-17	1.753573E-18
1.598593E+04	2.860482E-17	1.588383E-18
1.635645E+04	2.675403E-17	1.512630E-18
1.673555E+04	2.507272E-17	1.549846E-18
1.712344E+04	2.387635E-17	1.650736E-18
1.752032E+04	2.319877E-17	1.773619E-18
1.792640E+04	2.299849E-17	1.894834E-18
1.834189E+04	2.318849E-17	1.995627E-18
1.876702E+04	2.363285E-17	2.053041E-18
1.920199E+04	2.417514E-17	2.040628E-18
1.964705E+04	2.466063E-17	1.934107E-18
2.010242E+04	2.493631E-17	1.719754E-18
2.056835E+04	2.486432E-17	1.412288E-18
2.104507E+04	2.431187E-17	1.096038E-18
2.153285E+04	2.307508E-17	9.887048E-19
2.203193E+04	2.098395E-17	1.155924E-18
2.254258E+04	1.858249E-17	1.355859E-18
2.306506E+04	1.628335E-17	1.482845E-18
2.359965E+04	1.420799E-17	1.528736E-18
2.414664E+04	1.237567E-17	1.510078E-18
2.470630E+04	1.077596E-17	1.446693E-18
