#wls	flux	fluxerr
3.289398E+03	3.123575E-16	1.281816E-17
3.365638E+03	3.116249E-16	1.162152E-17
3.443646E+03	3.132676E-16	1.050876E-17
3.523461E+03	3.177239E-16	9.537787E-18
3.605127E+03	3.259531E-16	8.723670E-18
3.688685E+03	3.393767E-16	8.043900E-18
3.774180E+03	3.593122E-16	7.488815E-18
3.861657E+03	3.864669E-16	7.075965E-18
3.951161E+03	4.199136E-16	6.805577E-18
4.042739E+03	4.566531E-16	6.643415E-18
4.136440E+03	4.925648E-16	6.538403E-18
4.232313E+03	5.239671E-16	6.408374E-18
4.330408E+03	5.488328E-16	6.176034E-18
4.430777E+03	5.665666E-16	5.821095E-18
4.533472E+03	5.768374E-16	5.387446E-18
4.638547E+03	5.791099E-16	4.969729E-18
4.746057E+03	5.737209E-16	4.649424E-18
4.856060E+03	5.618847E-16	4.470296E-18
4.968612E+03	5.457203E-16	4.373643E-18
5.083772E+03	5.279187E-16	4.235292E-18
5.201602E+03	5.110512E-16	4.011964E-18
5.322163E+03	4.971199E-16	3.757213E-18
5.445518E+03	4.871179E-16	3.585548E-18
5.571732E+03	4.796324E-16	3.536407E-18
5.700872E+03	4.716280E-16	3.524701E-18
5.833005E+03	4.611255E-16	3.426823E-18
5.968200E+03	4.473815E-16	3.158777E-18
6.106529E+03	4.297613E-16	2.758173E-18
6.248063E+03	4.071958E-16	2.470305E-18
6.392879E+03	3.808813E-16	2.432992E-18
6.541051E+03	3.552093E-16	2.438599E-18
6.692657E+03	3.323207E-16	2.403664E-18
6.847777E+03	3.118402E-16	2.338959E-18
7.006492E+03	2.931651E-16	2.240797E-18
7.168886E+03	2.761692E-16	2.110436E-18
7.335044E+03	2.609177E-16	1.963637E-18
7.505052E+03	2.473525E-16	1.817183E-18
7.679002E+03	2.351730E-16	1.683002E-18
7.856983E+03	2.235782E-16	1.594878E-18
8.039089E+03	2.117442E-16	1.566829E-18
8.225416E+03	1.998859E-16	1.538992E-18
8.416062E+03	1.886565E-16	1.474265E-18
8.611126E+03	1.785609E-16	1.386352E-18
8.810712E+03	1.699682E-16	1.302859E-18
9.014923E+03	1.632334E-16	1.261362E-18
9.223868E+03	1.582776E-16	1.302767E-18
9.437655E+03	1.547575E-16	1.380193E-18
9.656398E+03	1.523880E-16	1.381064E-18
9.880210E+03	1.502965E-16	1.260997E-18
1.010921E+04	1.468979E-16	1.096238E-18
1.034352E+04	1.406941E-16	1.084249E-18
1.058326E+04	1.319574E-16	1.245523E-18
1.082855E+04	1.223017E-16	1.410544E-18
1.107953E+04	1.129320E-16	1.486417E-18
1.133633E+04	1.043667E-16	1.444789E-18
1.159908E+04	9.674236E-17	1.289009E-18
1.186792E+04	9.001549E-17	1.047643E-18
1.214299E+04	8.405457E-17	7.722237E-19
1.242443E+04	7.869104E-17	5.723101E-19
1.271240E+04	7.385168E-17	5.911063E-19
1.300704E+04	6.962996E-17	7.476596E-19
1.330852E+04	6.599130E-17	9.097160E-19
1.361698E+04	6.275431E-17	1.027453E-18
1.393259E+04	5.970854E-17	1.077218E-18
1.425551E+04	5.666189E-17	1.052223E-18
1.458592E+04	5.348111E-17	9.614205E-19
1.492399E+04	5.011698E-17	8.265802E-19
1.526989E+04	4.661436E-17	6.751466E-19
1.562381E+04	4.310477E-17	5.302766E-19
1.598593E+04	3.975428E-17	4.179243E-19
1.635645E+04	3.669128E-17	3.790060E-19
1.673555E+04	3.403583E-17	4.131251E-19
1.712344E+04	3.181747E-17	4.715728E-19
1.752032E+04	2.995549E-17	5.271082E-19
1.792640E+04	2.833967E-17	5.688506E-19
1.834189E+04	2.685799E-17	5.892407E-19
1.876702E+04	2.540801E-17	5.824010E-19
1.920199E+04	2.391190E-17	5.460218E-19
1.964705E+04	2.233021E-17	4.821487E-19
2.010242E+04	2.066808E-17	3.966711E-19
2.056835E+04	1.897224E-17	2.987804E-19
2.104507E+04	1.731127E-17	2.047376E-19
2.153285E+04	1.574417E-17	1.531915E-19
2.203193E+04	1.430898E-17	1.839936E-19
2.254258E+04	1.302336E-17	2.562927E-19
2.306506E+04	1.187236E-17	3.331507E-19
2.359965E+04	1.082827E-17	4.047802E-19
2.414664E+04	9.869299E-18	4.687627E-19
2.470630E+04	8.983385E-18	5.243391E-19
