#wls	flux	fluxerr
3.289398E+03	4.619560E-18	3.052175E-19
3.289398E+03	4.619560E-18	3.052175E-19
3.365638E+03	4.111356E-18	2.509726E-19
3.365638E+03	4.111356E-18	2.509726E-19
3.443646E+03	3.671850E-18	2.068258E-19
3.443646E+03	3.671850E-18	2.068258E-19
3.523461E+03	3.300783E-18	1.717274E-19
3.523461E+03	3.300783E-18	1.717274E-19
3.605127E+03	2.996660E-18	1.444422E-19
3.605127E+03	2.996660E-18	1.444422E-19
3.688685E+03	2.756677E-18	1.236940E-19
3.688685E+03	2.756677E-18	1.236940E-19
3.774180E+03	2.576627E-18	1.082519E-19
3.774180E+03	2.576627E-18	1.082519E-19
3.861657E+03	2.450635E-18	9.696162E-20
3.861657E+03	2.450635E-18	9.696162E-20
3.951161E+03	2.371248E-18	8.876510E-20
3.951161E+03	2.371248E-18	8.876510E-20
4.042739E+03	2.330289E-18	8.274994E-20
4.042739E+03	2.330289E-18	8.274994E-20
4.136440E+03	2.320227E-18	7.822620E-20
4.136440E+03	2.320227E-18	7.822620E-20
4.232313E+03	2.335336E-18	7.476291E-20
4.232313E+03	2.335336E-18	7.476291E-20
4.330408E+03	2.371101E-18	7.207600E-20
4.330408E+03	2.371101E-18	7.207600E-20
4.430777E+03	2.422424E-18	6.984453E-20
4.430777E+03	2.422424E-18	6.984453E-20
4.533472E+03	2.484288E-18	6.781621E-20
4.533472E+03	2.484288E-18	6.781621E-20
4.638547E+03	2.553574E-18	6.600478E-20
4.638547E+03	2.553574E-18	6.600478E-20
4.746057E+03	2.630091E-18	6.474858E-20
4.746057E+03	2.630091E-18	6.474858E-20
4.856060E+03	2.715307E-18	6.446381E-20
4.856060E+03	2.715307E-18	6.446381E-20
4.968612E+03	2.809801E-18	6.511974E-20
4.968612E+03	2.809801E-18	6.511974E-20
5.083772E+03	2.912756E-18	6.615237E-20
5.083772E+03	2.912756E-18	6.615237E-20
5.201602E+03	3.023884E-18	6.705088E-20
5.201602E+03	3.023884E-18	6.705088E-20
5.322163E+03	3.146314E-18	6.779570E-20
5.322163E+03	3.146314E-18	6.779570E-20
5.445518E+03	3.288026E-18	6.886701E-20
5.445518E+03	3.288026E-18	6.886701E-20
5.571732E+03	3.461715E-18	7.090977E-20
5.571732E+03	3.461715E-18	7.090977E-20
5.700872E+03	3.682038E-18	7.375275E-20
5.700872E+03	3.682038E-18	7.375275E-20
5.833005E+03	3.962809E-18	7.640335E-20
5.833005E+03	3.962809E-18	7.640335E-20
5.968200E+03	4.315171E-18	7.799616E-20
5.968200E+03	4.315171E-18	7.799616E-20
6.106529E+03	4.742019E-18	7.824738E-20
6.106529E+03	4.742019E-18	7.824738E-20
6.248063E+03	5.225022E-18	7.804490E-20
6.248063E+03	5.225022E-18	7.804490E-20
6.392879E+03	5.706710E-18	8.007016E-20
6.392879E+03	5.706710E-18	8.007016E-20
6.541051E+03	6.136824E-18	8.646915E-20
6.541051E+03	6.136824E-18	8.646915E-20
6.692657E+03	6.548160E-18	9.577467E-20
6.692657E+03	6.548160E-18	9.577467E-20
6.847777E+03	6.980919E-18	1.048943E-19
6.847777E+03	6.980919E-18	1.048943E-19
7.006492E+03	7.449843E-18	1.116649E-19
7.006492E+03	7.449843E-18	1.116649E-19
7.168886E+03	7.954354E-18	1.149243E-19
7.168886E+03	7.954354E-18	1.149243E-19
7.335044E+03	8.499324E-18	1.138079E-19
7.335044E+03	8.499324E-18	1.138079E-19
7.505052E+03	9.102617E-18	1.079949E-19
7.505052E+03	9.102617E-18	1.079949E-19
7.679002E+03	9.765014E-18	9.979467E-20
7.679002E+03	9.765014E-18	9.979467E-20
7.856983E+03	1.040165E-17	9.788487E-20
7.856983E+03	1.040165E-17	9.788487E-20
8.039089E+03	1.086726E-17	1.084645E-19
8.039089E+03	1.086726E-17	1.084645E-19
8.225416E+03	1.111112E-17	1.205575E-19
8.225416E+03	1.111112E-17	1.205575E-19
8.416062E+03	1.118137E-17	1.249925E-19
8.416062E+03	1.118137E-17	1.249925E-19
8.611126E+03	1.119781E-17	1.198874E-19
8.611126E+03	1.119781E-17	1.198874E-19
8.810712E+03	1.131135E-17	1.081341E-19
8.810712E+03	1.131135E-17	1.081341E-19
9.014923E+03	1.168502E-17	9.878246E-20
9.014923E+03	1.168502E-17	9.878246E-20
9.223868E+03	1.247967E-17	1.064437E-19
9.223868E+03	1.247967E-17	1.064437E-19
9.437655E+03	1.375738E-17	1.290445E-19
9.437655E+03	1.375738E-17	1.290445E-19
9.656398E+03	1.546027E-17	1.510447E-19
9.656398E+03	1.546027E-17	1.510447E-19
9.880210E+03	1.747140E-17	1.674839E-19
9.880210E+03	1.747140E-17	1.674839E-19
1.010921E+04	1.952095E-17	1.878069E-19
1.010921E+04	1.952095E-17	1.878069E-19
1.034352E+04	2.101005E-17	2.220618E-19
1.034352E+04	2.101005E-17	2.220618E-19
1.058326E+04	2.158273E-17	2.621335E-19
1.058326E+04	2.158273E-17	2.621335E-19
1.082855E+04	2.136770E-17	2.895953E-19
1.082855E+04	2.136770E-17	2.895953E-19
1.107953E+04	2.061300E-17	2.986379E-19
1.107953E+04	2.061300E-17	2.986379E-19
1.133633E+04	1.954703E-17	2.900567E-19
1.133633E+04	1.954703E-17	2.900567E-19
1.159908E+04	1.835965E-17	2.664795E-19
1.159908E+04	1.835965E-17	2.664795E-19
1.186792E+04	1.719650E-17	2.322943E-19
1.186792E+04	1.719650E-17	2.322943E-19
1.214299E+04	1.615899E-17	1.944254E-19
1.214299E+04	1.615899E-17	1.944254E-19
1.242443E+04	1.531154E-17	1.672164E-19
1.242443E+04	1.531154E-17	1.672164E-19
1.271240E+04	1.472549E-17	1.701145E-19
1.271240E+04	1.472549E-17	1.701145E-19
1.300704E+04	1.442614E-17	1.960627E-19
1.300704E+04	1.442614E-17	1.960627E-19
1.330852E+04	1.438996E-17	2.265448E-19
1.330852E+04	1.438996E-17	2.265448E-19
1.361698E+04	1.456908E-17	2.526304E-19
1.361698E+04	1.456908E-17	2.526304E-19
1.393259E+04	1.488249E-17	2.690163E-19
1.393259E+04	1.488249E-17	2.690163E-19
1.425551E+04	1.523564E-17	2.723439E-19
1.425551E+04	1.523564E-17	2.723439E-19
1.458592E+04	1.553197E-17	2.620897E-19
1.458592E+04	1.553197E-17	2.620897E-19
1.492399E+04	1.568036E-17	2.406090E-19
1.492399E+04	1.568036E-17	2.406090E-19
1.526989E+04	1.560039E-17	2.118682E-19
1.526989E+04	1.560039E-17	2.118682E-19
1.562381E+04	1.525310E-17	1.792175E-19
1.562381E+04	1.525310E-17	1.792175E-19
1.598593E+04	1.468747E-17	1.466146E-19
1.598593E+04	1.468747E-17	1.466146E-19
1.635645E+04	1.404078E-17	1.277971E-19
1.635645E+04	1.404078E-17	1.277971E-19
1.673555E+04	1.348393E-17	1.361630E-19
1.673555E+04	1.348393E-17	1.361630E-19
1.712344E+04	1.310850E-17	1.584153E-19
1.712344E+04	1.310850E-17	1.584153E-19
1.752032E+04	1.293839E-17	1.837208E-19
1.752032E+04	1.293839E-17	1.837208E-19
1.792640E+04	1.297459E-17	2.088494E-19
1.792640E+04	1.297459E-17	2.088494E-19
1.834189E+04	1.318800E-17	2.309114E-19
1.834189E+04	1.318800E-17	2.309114E-19
1.876702E+04	1.351629E-17	2.453415E-19
1.876702E+04	1.351629E-17	2.453415E-19
1.920199E+04	1.387953E-17	2.480360E-19
1.920199E+04	1.387953E-17	2.480360E-19
1.964705E+04	1.419395E-17	2.367902E-19
1.964705E+04	1.419395E-17	2.367902E-19
2.010242E+04	1.437222E-17	2.106804E-19
2.010242E+04	1.437222E-17	2.106804E-19
2.056835E+04	1.432713E-17	1.690250E-19
2.056835E+04	1.432713E-17	1.690250E-19
2.104507E+04	1.396399E-17	1.152686E-19
2.104507E+04	1.396399E-17	1.152686E-19
2.153285E+04	1.315598E-17	8.066829E-20
2.153285E+04	1.315598E-17	8.066829E-20
2.203193E+04	1.188512E-17	1.164643E-19
2.203193E+04	1.188512E-17	1.164643E-19
2.254258E+04	1.048352E-17	1.715577E-19
2.254258E+04	1.048352E-17	1.715577E-19
2.306506E+04	9.161177E-18	2.205043E-19
2.306506E+04	9.161177E-18	2.205043E-19
2.359965E+04	7.979881E-18	2.616021E-19
2.359965E+04	7.979881E-18	2.616021E-19
2.414664E+04	6.946111E-18	2.954828E-19
2.414664E+04	6.946111E-18	2.954828E-19
2.470630E+04	6.049619E-18	3.225037E-19
2.470630E+04	6.049619E-18	3.225037E-19
