#wls	flux	fluxerr
3.289398E+03	2.510905E-18	1.892657E-19
3.365638E+03	2.205792E-18	1.550649E-19
3.443646E+03	1.944351E-18	1.274552E-19
3.523461E+03	1.724555E-18	1.055799E-19
3.605127E+03	1.543755E-18	8.854278E-20
3.688685E+03	1.398708E-18	7.547448E-20
3.774180E+03	1.285680E-18	6.557769E-20
3.861657E+03	1.200599E-18	5.815089E-20
3.951161E+03	1.139304E-18	5.259993E-20
4.042739E+03	1.097852E-18	4.844563E-20
4.136440E+03	1.072831E-18	4.532800E-20
4.232313E+03	1.061517E-18	4.299377E-20
4.330408E+03	1.061700E-18	4.125687E-20
4.430777E+03	1.071429E-18	3.996389E-20
4.533472E+03	1.089064E-18	3.900565E-20
4.638547E+03	1.113573E-18	3.834928E-20
4.746057E+03	1.144674E-18	3.803530E-20
4.856060E+03	1.182566E-18	3.811422E-20
4.968612E+03	1.227577E-18	3.856179E-20
5.083772E+03	1.280153E-18	3.927050E-20
5.201602E+03	1.341269E-18	4.014458E-20
5.322163E+03	1.413123E-18	4.120394E-20
5.445518E+03	1.499666E-18	4.261237E-20
5.571732E+03	1.606654E-18	4.458288E-20
5.700872E+03	1.740832E-18	4.712159E-20
5.833005E+03	1.908848E-18	4.998093E-20
5.968200E+03	2.115792E-18	5.288268E-20
6.106529E+03	2.361867E-18	5.570055E-20
6.248063E+03	2.637380E-18	5.866266E-20
6.392879E+03	2.921745E-18	6.244107E-20
6.541051E+03	3.199422E-18	6.763803E-20
6.692657E+03	3.476339E-18	7.404594E-20
6.847777E+03	3.766382E-18	8.068219E-20
7.006492E+03	4.079492E-18	8.651089E-20
7.168886E+03	4.420023E-18	9.073814E-20
7.335044E+03	4.788851E-18	9.278822E-20
7.505052E+03	5.182469E-18	9.254240E-20
7.679002E+03	5.584831E-18	9.119517E-20
7.856983E+03	5.962394E-18	9.206808E-20
8.039089E+03	6.276575E-18	9.730510E-20
8.225416E+03	6.500247E-18	1.035112E-19
8.416062E+03	6.641872E-18	1.063888E-19
8.611126E+03	6.750028E-18	1.045661E-19
8.810712E+03	6.898689E-18	9.992624E-20
9.014923E+03	7.183307E-18	9.786378E-20
9.223868E+03	7.716223E-18	1.052616E-19
9.437655E+03	8.545187E-18	1.223123E-19
9.656398E+03	9.627911E-18	1.436295E-19
9.880210E+03	1.088934E-17	1.667381E-19
1.010921E+04	1.218758E-17	1.934602E-19
1.034352E+04	1.325757E-17	2.239389E-19
1.058326E+04	1.388148E-17	2.527788E-19
1.082855E+04	1.402235E-17	2.722906E-19
1.107953E+04	1.376684E-17	2.785118E-19
1.133633E+04	1.324294E-17	2.715769E-19
1.159908E+04	1.257681E-17	2.540363E-19
1.186792E+04	1.187691E-17	2.301411E-19
1.214299E+04	1.123053E-17	2.059175E-19
1.242443E+04	1.071573E-17	1.897224E-19
1.271240E+04	1.041112E-17	1.891873E-19
1.300704E+04	1.032194E-17	2.024119E-19
1.330852E+04	1.040334E-17	2.214504E-19
1.361698E+04	1.061476E-17	2.400806E-19
1.393259E+04	1.090524E-17	2.539182E-19
1.425551E+04	1.121405E-17	2.599148E-19
1.458592E+04	1.147672E-17	2.566060E-19
1.492399E+04	1.163106E-17	2.442174E-19
1.526989E+04	1.162663E-17	2.243491E-19
1.562381E+04	1.144471E-17	1.998510E-19
1.598593E+04	1.112280E-17	1.760894E-19
1.635645E+04	1.077291E-17	1.627231E-19
1.673555E+04	1.052337E-17	1.664078E-19
1.712344E+04	1.039505E-17	1.813280E-19
1.752032E+04	1.038793E-17	2.003272E-19
1.792640E+04	1.050157E-17	2.195219E-19
1.834189E+04	1.071772E-17	2.359475E-19
1.876702E+04	1.099403E-17	2.461620E-19
1.920199E+04	1.127164E-17	2.468372E-19
1.964705E+04	1.148333E-17	2.356200E-19
2.010242E+04	1.155791E-17	2.115094E-19
2.056835E+04	1.142632E-17	1.756752E-19
2.104507E+04	1.103780E-17	1.357000E-19
2.153285E+04	1.041152E-17	1.156751E-19
2.203193E+04	9.649860E-18	1.379602E-19
2.254258E+04	8.789194E-18	1.801857E-19
2.306506E+04	7.897758E-18	2.226054E-19
2.359965E+04	7.037317E-18	2.600268E-19
2.414664E+04	6.240058E-18	2.915575E-19
2.470630E+04	5.518805E-18	3.171180E-19
