#wls	flux	fluxerr
3.289398E+03	4.279296E-16	1.742613E-17
3.365638E+03	4.296035E-16	1.592540E-17
3.443646E+03	4.346962E-16	1.452215E-17
3.523461E+03	4.437617E-16	1.329902E-17
3.605127E+03	4.581383E-16	1.227672E-17
3.688685E+03	4.798349E-16	1.141672E-17
3.774180E+03	5.105659E-16	1.069100E-17
3.861657E+03	5.509842E-16	1.010290E-17
3.951161E+03	5.993654E-16	9.647132E-18
4.042739E+03	6.509697E-16	9.297336E-18
4.136440E+03	6.993487E-16	9.018854E-18
4.232313E+03	7.390345E-16	8.726947E-18
4.330408E+03	7.675010E-16	8.327241E-18
4.430777E+03	7.846893E-16	7.802155E-18
4.533472E+03	7.911493E-16	7.205343E-18
4.638547E+03	7.872712E-16	6.635941E-18
4.746057E+03	7.742046E-16	6.180470E-18
4.856060E+03	7.536683E-16	5.893818E-18
4.968612E+03	7.283088E-16	5.710224E-18
5.083772E+03	7.014570E-16	5.484336E-18
5.201602E+03	6.763880E-16	5.163530E-18
5.322163E+03	6.557189E-16	4.815083E-18
5.445518E+03	6.408464E-16	4.587507E-18
5.571732E+03	6.295154E-16	4.514764E-18
5.700872E+03	6.171368E-16	4.480404E-18
5.833005E+03	6.009270E-16	4.355899E-18
5.968200E+03	5.799582E-16	4.055108E-18
6.106529E+03	5.538023E-16	3.620044E-18
6.248063E+03	5.219120E-16	3.267599E-18
6.392879E+03	4.862152E-16	3.123922E-18
6.541051E+03	4.518433E-16	3.046695E-18
6.692657E+03	4.212409E-16	2.962586E-18
6.847777E+03	3.939445E-16	2.869210E-18
7.006492E+03	3.694061E-16	2.747918E-18
7.168886E+03	3.475516E-16	2.595864E-18
7.335044E+03	3.282382E-16	2.434088E-18
7.505052E+03	3.110098E-16	2.281069E-18
7.679002E+03	2.952328E-16	2.138256E-18
7.856983E+03	2.800184E-16	2.029138E-18
8.039089E+03	2.646161E-16	1.972915E-18
8.225416E+03	2.492910E-16	1.921662E-18
8.416062E+03	2.347458E-16	1.837278E-18
8.611126E+03	2.214692E-16	1.738434E-18
8.810712E+03	2.097814E-16	1.657878E-18
9.014923E+03	2.000735E-16	1.627798E-18
9.223868E+03	1.923994E-16	1.672080E-18
9.437655E+03	1.865229E-16	1.732080E-18
9.656398E+03	1.821287E-16	1.697064E-18
9.880210E+03	1.782361E-16	1.522684E-18
1.010921E+04	1.730729E-16	1.305693E-18
1.034352E+04	1.650356E-16	1.295566E-18
1.058326E+04	1.544032E-16	1.508841E-18
1.082855E+04	1.428654E-16	1.719141E-18
1.107953E+04	1.317282E-16	1.810506E-18
1.133633E+04	1.215570E-16	1.756154E-18
1.159908E+04	1.124837E-16	1.566496E-18
1.186792E+04	1.044445E-16	1.277785E-18
1.214299E+04	9.730401E-17	9.535147E-19
1.242443E+04	9.093262E-17	7.200191E-19
1.271240E+04	8.529689E-17	7.322445E-19
1.300704E+04	8.041659E-17	9.100950E-19
1.330852E+04	7.616800E-17	1.098688E-18
1.361698E+04	7.232457E-17	1.234340E-18
1.393259E+04	6.865672E-17	1.290696E-18
1.425551E+04	6.497084E-17	1.261281E-18
1.458592E+04	6.114187E-17	1.156970E-18
1.492399E+04	5.713514E-17	1.002272E-18
1.526989E+04	5.301259E-17	8.275574E-19
1.562381E+04	4.891838E-17	6.605987E-19
1.598593E+04	4.502860E-17	5.328059E-19
1.635645E+04	4.150365E-17	4.845006E-19
1.673555E+04	3.846943E-17	5.145476E-19
1.712344E+04	3.591370E-17	5.742097E-19
1.752032E+04	3.374221E-17	6.318057E-19
1.792640E+04	3.183707E-17	6.734741E-19
1.834189E+04	3.008050E-17	6.905867E-19
1.876702E+04	2.836762E-17	6.771491E-19
1.920199E+04	2.662146E-17	6.311159E-19
1.964705E+04	2.480576E-17	5.550689E-19
2.010242E+04	2.292965E-17	4.557079E-19
2.056835E+04	2.104169E-17	3.435306E-19
2.104507E+04	1.920875E-17	2.370822E-19
2.153285E+04	1.748779E-17	1.791336E-19
2.203193E+04	1.591543E-17	2.127561E-19
2.254258E+04	1.450677E-17	2.940093E-19
2.306506E+04	1.324729E-17	3.812364E-19
2.359965E+04	1.210836E-17	4.629060E-19
2.414664E+04	1.106521E-17	5.361696E-19
2.470630E+04	1.010256E-17	6.001659E-19
