#wls	flux	fluxerr
3.289398E+03	1.346234E-17	7.908080E-19
3.365638E+03	1.215100E-17	6.541206E-19
3.443646E+03	1.100889E-17	5.415257E-19
3.523461E+03	1.004358E-17	4.512996E-19
3.605127E+03	9.259671E-18	3.809647E-19
3.688685E+03	8.659350E-18	3.277776E-19
3.774180E+03	8.241464E-18	2.889919E-19
3.861657E+03	7.997652E-18	2.618005E-19
3.951161E+03	7.907505E-18	2.431693E-19
4.042739E+03	7.941279E-18	2.300837E-19
4.136440E+03	8.069096E-18	2.201400E-19
4.232313E+03	8.268986E-18	2.119817E-19
4.330408E+03	8.526145E-18	2.050095E-19
4.430777E+03	8.817169E-18	1.980514E-19
4.533472E+03	9.116710E-18	1.901203E-19
4.638547E+03	9.407286E-18	1.814574E-19
4.746057E+03	9.690049E-18	1.743472E-19
4.856060E+03	9.981860E-18	1.722356E-19
4.968612E+03	1.028890E-17	1.751545E-19
5.083772E+03	1.059722E-17	1.789139E-19
5.201602E+03	1.089590E-17	1.804996E-19
5.322163E+03	1.119304E-17	1.801357E-19
5.445518E+03	1.151613E-17	1.802616E-19
5.571732E+03	1.190886E-17	1.832199E-19
5.700872E+03	1.241718E-17	1.876910E-19
5.833005E+03	1.307647E-17	1.894303E-19
5.968200E+03	1.391230E-17	1.852340E-19
6.106529E+03	1.493183E-17	1.749228E-19
6.248063E+03	1.609326E-17	1.639193E-19
6.392879E+03	1.724730E-17	1.625630E-19
6.541051E+03	1.824271E-17	1.759375E-19
6.692657E+03	1.916067E-17	1.970406E-19
6.847777E+03	2.012289E-17	2.156731E-19
7.006492E+03	2.113008E-17	2.265810E-19
7.168886E+03	2.212912E-17	2.280159E-19
7.335044E+03	2.312959E-17	2.180433E-19
7.505052E+03	2.426881E-17	1.967740E-19
7.679002E+03	2.573616E-17	1.759415E-19
7.856983E+03	2.730922E-17	1.799445E-19
8.039089E+03	2.831450E-17	2.104203E-19
8.225416E+03	2.858142E-17	2.379009E-19
8.416062E+03	2.834503E-17	2.456222E-19
8.611126E+03	2.798773E-17	2.334533E-19
8.810712E+03	2.795991E-17	2.091927E-19
9.014923E+03	2.872814E-17	1.914361E-19
9.223868E+03	3.054319E-17	2.072282E-19
9.437655E+03	3.338974E-17	2.507166E-19
9.656398E+03	3.723183E-17	2.823860E-19
9.880210E+03	4.179329E-17	2.869327E-19
1.010921E+04	4.626498E-17	2.887667E-19
1.034352E+04	4.898640E-17	3.392230E-19
1.058326E+04	4.929391E-17	4.231816E-19
1.082855E+04	4.797506E-17	4.822621E-19
1.107953E+04	4.571777E-17	5.052849E-19
1.133633E+04	4.299224E-17	4.947557E-19
1.159908E+04	4.017330E-17	4.530400E-19
1.186792E+04	3.754001E-17	3.858648E-19
1.214299E+04	3.526919E-17	3.036146E-19
1.242443E+04	3.339956E-17	2.389953E-19
1.271240E+04	3.185337E-17	2.529364E-19
1.300704E+04	3.080807E-17	3.192709E-19
1.330852E+04	3.038829E-17	3.865016E-19
1.361698E+04	3.047872E-17	4.387389E-19
1.393259E+04	3.087557E-17	4.663162E-19
1.425551E+04	3.136087E-17	4.632144E-19
1.458592E+04	3.172186E-17	4.313025E-19
1.492399E+04	3.177201E-17	3.798337E-19
1.526989E+04	3.134066E-17	3.227190E-19
1.562381E+04	3.033498E-17	2.682475E-19
1.598593E+04	2.891120E-17	2.160166E-19
1.635645E+04	2.734849E-17	1.859026E-19
1.673555E+04	2.592106E-17	2.012429E-19
1.712344E+04	2.488747E-17	2.387972E-19
1.752032E+04	2.431515E-17	2.823077E-19
1.792640E+04	2.418237E-17	3.278484E-19
1.834189E+04	2.440968E-17	3.694694E-19
1.876702E+04	2.485825E-17	3.970123E-19
1.920199E+04	2.536211E-17	4.023676E-19
1.964705E+04	2.575391E-17	3.830834E-19
2.010242E+04	2.586692E-17	3.397804E-19
2.056835E+04	2.555126E-17	2.715076E-19
2.104507E+04	2.466660E-17	1.821476E-19
2.153285E+04	2.301941E-17	1.209961E-19
2.203193E+04	2.059857E-17	1.785723E-19
2.254258E+04	1.800738E-17	2.693510E-19
2.306506E+04	1.561916E-17	3.500086E-19
2.359965E+04	1.352031E-17	4.180982E-19
2.414664E+04	1.170480E-17	4.745439E-19
2.470630E+04	1.014487E-17	5.196791E-19
