#wls	flux	fluxerr
3.289398E+03	4.607379E-18	3.045842E-19
3.289398E+03	4.607379E-18	3.045842E-19
3.365638E+03	4.100266E-18	2.504467E-19
3.365638E+03	4.100266E-18	2.504467E-19
3.443646E+03	3.661721E-18	2.063893E-19
3.443646E+03	3.661721E-18	2.063893E-19
3.523461E+03	3.291469E-18	1.713627E-19
3.523461E+03	3.291469E-18	1.713627E-19
3.605127E+03	2.988007E-18	1.441334E-19
3.605127E+03	2.988007E-18	1.441334E-19
3.688685E+03	2.748521E-18	1.234270E-19
3.688685E+03	2.748521E-18	1.234270E-19
3.774180E+03	2.568801E-18	1.080147E-19
3.774180E+03	2.568801E-18	1.080147E-19
3.861657E+03	2.442980E-18	9.674444E-20
3.861657E+03	2.442980E-18	9.674444E-20
3.951161E+03	2.363622E-18	8.856105E-20
3.951161E+03	2.363622E-18	8.856105E-20
4.042739E+03	2.322579E-18	8.255481E-20
4.042739E+03	2.322579E-18	8.255481E-20
4.136440E+03	2.312347E-18	7.803795E-20
4.136440E+03	2.312347E-18	7.803795E-20
4.232313E+03	2.327220E-18	7.458055E-20
4.232313E+03	2.327220E-18	7.458055E-20
4.330408E+03	2.362698E-18	7.189894E-20
4.330408E+03	2.362698E-18	7.189894E-20
4.430777E+03	2.413705E-18	6.967335E-20
4.430777E+03	2.413705E-18	6.967335E-20
4.533472E+03	2.475250E-18	6.765253E-20
4.533472E+03	2.475250E-18	6.765253E-20
4.638547E+03	2.544231E-18	6.584980E-20
4.638547E+03	2.544231E-18	6.584980E-20
4.746057E+03	2.620453E-18	6.460103E-20
4.746057E+03	2.620453E-18	6.460103E-20
4.856060E+03	2.705374E-18	6.431905E-20
4.856060E+03	2.705374E-18	6.431905E-20
4.968612E+03	2.799567E-18	6.497305E-20
4.968612E+03	2.799567E-18	6.497305E-20
5.083772E+03	2.902227E-18	6.600305E-20
5.083772E+03	2.902227E-18	6.600305E-20
5.201602E+03	3.013082E-18	6.690153E-20
5.201602E+03	3.013082E-18	6.690153E-20
5.322163E+03	3.135255E-18	6.764903E-20
5.322163E+03	3.135255E-18	6.764903E-20
5.445518E+03	3.276703E-18	6.872330E-20
5.445518E+03	3.276703E-18	6.872330E-20
5.571732E+03	3.450076E-18	7.076656E-20
5.571732E+03	3.450076E-18	7.076656E-20
5.700872E+03	3.669986E-18	7.360906E-20
5.700872E+03	3.669986E-18	7.360906E-20
5.833005E+03	3.950205E-18	7.626318E-20
5.833005E+03	3.950205E-18	7.626318E-20
5.968200E+03	4.301850E-18	7.786716E-20
5.968200E+03	4.301850E-18	7.786716E-20
6.106529E+03	4.727797E-18	7.813769E-20
6.106529E+03	4.727797E-18	7.813769E-20
6.248063E+03	5.209747E-18	7.795776E-20
6.248063E+03	5.209747E-18	7.795776E-20
6.300005E+03	3.124208E-18	1.631672E-18
6.300404E+03	3.123705E-18	1.627641E-18
6.301204E+03	3.122986E-18	1.628775E-18
6.301404E+03	3.123777E-18	1.632515E-18
6.301604E+03	3.121045E-18	1.632441E-18
6.301804E+03	3.122986E-18	1.631722E-18
6.302204E+03	3.126655E-18	1.635798E-18
6.302604E+03	3.132132E-18	1.636416E-18
6.302804E+03	3.131122E-18	1.636383E-18
6.303004E+03	3.133358E-18	1.633452E-18
6.303204E+03	3.134152E-18	1.643877E-18
6.303404E+03	3.136751E-18	1.642611E-18
6.303605E+03	3.141087E-18	1.641550E-18
6.303805E+03	3.138629E-18	1.634380E-18
6.304005E+03	3.133502E-18	1.639613E-18
6.304205E+03	3.133935E-18	1.636681E-18
6.304405E+03	3.129680E-18	1.623521E-18
