#wls	flux	fluxerr
3.289393E+03	6.357469E-16	2.472525E-17
3.289393E+03	6.357469E-16	2.472525E-17
3.365337E+03	6.579536E-16	2.327124E-17
3.365337E+03	6.579536E-16	2.327124E-17
3.443035E+03	6.900496E-16	2.192992E-17
3.443035E+03	6.900496E-16	2.192992E-17
3.522526E+03	7.333948E-16	2.077184E-17
3.522526E+03	7.333948E-16	2.077184E-17
3.603853E+03	7.901283E-16	1.975028E-17
3.603853E+03	7.901283E-16	1.975028E-17
3.687058E+03	8.626662E-16	1.868773E-17
3.687058E+03	8.626662E-16	1.868773E-17
3.772183E+03	9.511944E-16	1.739714E-17
3.772183E+03	9.511944E-16	1.739714E-17
3.859274E+03	1.051346E-15	1.579062E-17
3.859274E+03	1.051346E-15	1.579062E-17
3.948375E+03	1.151175E-15	1.387979E-17
3.948375E+03	1.151175E-15	1.387979E-17
4.039534E+03	1.230532E-15	1.185573E-17
4.039534E+03	1.230532E-15	1.185573E-17
4.132797E+03	1.268020E-15	1.024378E-17
4.132797E+03	1.268020E-15	1.024378E-17
4.228214E+03	1.257399E-15	9.065254E-18
4.228214E+03	1.257399E-15	9.065254E-18
4.325833E+03	1.212836E-15	7.908934E-18
4.325833E+03	1.212836E-15	7.908934E-18
4.425707E+03	1.154933E-15	6.906183E-18
4.425707E+03	1.154933E-15	6.906183E-18
4.527886E+03	1.095589E-15	6.063227E-18
4.527886E+03	1.095589E-15	6.063227E-18
4.632424E+03	1.038212E-15	5.309248E-18
4.632424E+03	1.038212E-15	5.309248E-18
4.739376E+03	9.865296E-16	4.608188E-18
4.739376E+03	9.865296E-16	4.608188E-18
4.848796E+03	9.391092E-16	4.151890E-18
4.848796E+03	9.391092E-16	4.151890E-18
4.960744E+03	8.917672E-16	3.888392E-18
4.960744E+03	8.917672E-16	3.888392E-18
5.075276E+03	8.457012E-16	3.615710E-18
5.075276E+03	8.457012E-16	3.615710E-18
5.192452E+03	8.048528E-16	3.274630E-18
5.192452E+03	8.048528E-16	3.274630E-18
5.312333E+03	7.720783E-16	2.908852E-18
5.312333E+03	7.720783E-16	2.908852E-18
5.434982E+03	7.461239E-16	2.667524E-18
5.434982E+03	7.461239E-16	2.667524E-18
5.560463E+03	7.227697E-16	2.546899E-18
5.560463E+03	7.227697E-16	2.546899E-18
5.688841E+03	6.969547E-16	2.336852E-18
5.688841E+03	6.969547E-16	2.336852E-18
5.820183E+03	6.661431E-16	2.377956E-18
5.820183E+03	6.661431E-16	2.377956E-18
5.954557E+03	6.289026E-16	2.406803E-18
5.954557E+03	6.289026E-16	2.406803E-18
6.092034E+03	5.879632E-16	2.339968E-18
6.092034E+03	5.879632E-16	2.339968E-18
6.232684E+03	5.462162E-16	2.176451E-18
6.232684E+03	5.462162E-16	2.176451E-18
6.376582E+03	5.052014E-16	1.826937E-18
6.376582E+03	5.052014E-16	1.826937E-18
6.523803E+03	4.677273E-16	1.602035E-18
6.523803E+03	4.677273E-16	1.602035E-18
6.674422E+03	4.360584E-16	1.488538E-18
