#wls	flux	fluxerr
3.289393E+03	4.369177E-16	2.963264E-17
3.365337E+03	4.448647E-16	2.984676E-17
3.443035E+03	4.515337E-16	3.007452E-17
3.522526E+03	4.564283E-16	3.035180E-17
3.603853E+03	4.584465E-16	3.061031E-17
3.687058E+03	4.560035E-16	3.068317E-17
3.772183E+03	4.475029E-16	3.037153E-17
3.859274E+03	4.317894E-16	2.950842E-17
3.948375E+03	4.085090E-16	2.800791E-17
4.039534E+03	3.783010E-16	2.589163E-17
4.132797E+03	3.427466E-16	2.328587E-17
4.228214E+03	3.040756E-16	2.039036E-17
4.325833E+03	2.647253E-16	1.743059E-17
4.425707E+03	2.269020E-16	1.461062E-17
4.527886E+03	1.922744E-16	1.208054E-17
4.632424E+03	1.618551E-16	9.924098E-18
4.739376E+03	1.360463E-16	8.162984E-18
4.848796E+03	1.147820E-16	6.769954E-18
4.960744E+03	9.769589E-17	5.688189E-18
5.075276E+03	8.428041E-17	4.856678E-18
5.192452E+03	7.399355E-17	4.223489E-18
5.312333E+03	6.631481E-17	3.747355E-18
5.434982E+03	6.076232E-17	3.394955E-18
5.560463E+03	5.687428E-17	3.136574E-18
5.688841E+03	5.421265E-17	2.945753E-18
5.820183E+03	5.239098E-17	2.802273E-18
5.954557E+03	5.107711E-17	2.692654E-18
6.092034E+03	4.999465E-17	2.609262E-18
6.232684E+03	4.893168E-17	2.547613E-18
6.376582E+03	4.775417E-17	2.501243E-18
6.523803E+03	4.639572E-17	2.457959E-18
6.674422E+03	4.483540E-17	2.405142E-18
6.828518E+03	4.307987E-17	2.333955E-18
6.986173E+03	4.114978E-17	2.240608E-18
7.147467E+03	3.907081E-17	2.125956E-18
7.312485E+03	3.686908E-17	1.994239E-18
7.481313E+03	3.456985E-17	1.851387E-18
7.654039E+03	3.219907E-17	1.703144E-18
7.830752E+03	2.978569E-17	1.553415E-18
8.011546E+03	2.735062E-17	1.404196E-18
8.196514E+03	2.489819E-17	1.256650E-18
8.385752E+03	2.242961E-17	1.112510E-18
8.579359E+03	1.995999E-17	9.745943E-19
8.777436E+03	1.753056E-17	8.462197E-19
8.980086E+03	1.521121E-17	7.299936E-19
9.187415E+03	1.308180E-17	6.271438E-19
9.399531E+03	1.120456E-17	5.379335E-19
9.616544E+03	9.610371E-18	4.622840E-19
9.838567E+03	8.300154E-18	3.998566E-19
1.006572E+04	7.253233E-18	3.498850E-19
1.029811E+04	6.435547E-18	3.109576E-19
1.053587E+04	5.804829E-18	2.808294E-19
1.077912E+04	5.316894E-18	2.568389E-19
1.102798E+04	4.932308E-18	2.366994E-19
1.128259E+04	4.618326E-18	2.188514E-19
1.154308E+04	4.348312E-18	2.025283E-19
1.180958E+04	4.100937E-18	1.877227E-19
1.208224E+04	3.859870E-18	1.750196E-19
1.236119E+04	3.614122E-18	1.651732E-19
1.264658E+04	3.358936E-18	1.584090E-19
1.293856E+04	3.096572E-18	1.539184E-19
1.323728E+04	2.833164E-18	1.502737E-19
1.354290E+04	2.575340E-18	1.462453E-19
1.385557E+04	2.328775E-18	1.411646E-19
1.417546E+04	2.097642E-18	1.348880E-19
1.450274E+04	1.884597E-18	1.276218E-19
1.483757E+04	1.690996E-18	1.197462E-19
1.518014E+04	1.517171E-18	1.116816E-19
1.553061E+04	1.362674E-18	1.038012E-19
1.588918E+04	1.226484E-18	9.638295E-20
1.625602E+04	1.107180E-18	8.959157E-20
1.663133E+04	1.003075E-18	8.347664E-20
1.701531E+04	9.122487E-19	7.797564E-20
1.740815E+04	8.328208E-19	7.298837E-20
1.781007E+04	7.631038E-19	6.842260E-20
1.822126E+04	7.016501E-19	6.421268E-20
1.864194E+04	6.472700E-19	6.032759E-20
1.907234E+04	5.990212E-19	5.677094E-20
1.951268E+04	5.561790E-19	5.357561E-20
1.996318E+04	5.181938E-19	5.079467E-20
2.042408E+04	4.846443E-19	4.849017E-20
2.089563E+04	4.551911E-19	4.672095E-20
2.137806E+04	4.295344E-19	4.553101E-20
2.187163E+04	4.073775E-19	4.493955E-20
2.237659E+04	3.883963E-19	4.493137E-20
2.289321E+04	3.722488E-19	4.546510E-20
2.342176E+04	3.585986E-19	4.648822E-20
2.396252E+04	3.471261E-19	4.794557E-20
2.451575E+04	3.375348E-19	4.978489E-20
