#wls	flux	fluxerr
3.289393E+03	6.473474E-18	3.116311E-19
3.365337E+03	5.698881E-18	2.439561E-19
3.443035E+03	5.032722E-18	1.925905E-19
3.522526E+03	4.474901E-18	1.549312E-19
3.603853E+03	4.023158E-18	1.280620E-19
3.687058E+03	3.672693E-18	1.092818E-19
3.772183E+03	3.416203E-18	9.638156E-20
3.859274E+03	3.243738E-18	8.765771E-20
3.948375E+03	3.143012E-18	8.180851E-20
4.039534E+03	3.100493E-18	7.784224E-20
4.132797E+03	3.103205E-18	7.506514E-20
4.228214E+03	3.141287E-18	7.310294E-20
4.325833E+03	3.207461E-18	7.174340E-20
4.425707E+03	3.293027E-18	7.059109E-20
4.527886E+03	3.388508E-18	6.921611E-20
4.632424E+03	3.487024E-18	6.749375E-20
4.739376E+03	3.587381E-18	6.582427E-20
4.848796E+03	3.692036E-18	6.489121E-20
4.960744E+03	3.800861E-18	6.481785E-20
5.075276E+03	3.908780E-18	6.492921E-20
5.192452E+03	4.009179E-18	6.469228E-20
5.312333E+03	4.099397E-18	6.430363E-20
5.434982E+03	4.185259E-18	6.444526E-20
5.560463E+03	4.287819E-18	6.572991E-20
5.688841E+03	4.444655E-18	6.793675E-20
5.820183E+03	4.697106E-18	7.024191E-20
5.954557E+03	5.074747E-18	7.208271E-20
6.092034E+03	5.582693E-18	7.300899E-20
6.232684E+03	6.184009E-18	7.305193E-20
6.376582E+03	6.782746E-18	7.407421E-20
6.523803E+03	7.292655E-18	7.849122E-20
6.674422E+03	7.783653E-18	8.524715E-20
6.828518E+03	8.351867E-18	9.189054E-20
6.986173E+03	9.019872E-18	9.714195E-20
7.147467E+03	9.747902E-18	1.009022E-19
7.312485E+03	1.049161E-17	1.026092E-19
7.481313E+03	1.125231E-17	1.006361E-19
7.654039E+03	1.207349E-17	9.486748E-20
7.830752E+03	1.292423E-17	9.144729E-20
8.011546E+03	1.358237E-17	9.906682E-20
8.196514E+03	1.391668E-17	1.094604E-19
8.385752E+03	1.398011E-17	1.140763E-19
8.579359E+03	1.393375E-17	1.112282E-19
8.777436E+03	1.396587E-17	1.024458E-19
8.980086E+03	1.428790E-17	9.373639E-20
9.187415E+03	1.509127E-17	9.910957E-20
9.399531E+03	1.643666E-17	1.202402E-19
9.616544E+03	1.824585E-17	1.407962E-19
9.838567E+03	2.032684E-17	1.545235E-19
1.006572E+04	2.242058E-17	1.673929E-19
1.029811E+04	2.391918E-17	1.877533E-19
1.053587E+04	2.442237E-17	2.141814E-19
1.077912E+04	2.417513E-17	2.313769E-19
1.102798E+04	2.337898E-17	2.374753E-19
1.128259E+04	2.218626E-17	2.335881E-19
1.154308E+04	2.082180E-17	2.180667E-19
1.180958E+04	1.947812E-17	1.940258E-19
1.208224E+04	1.826160E-17	1.658333E-19
1.236119E+04	1.719270E-17	1.405352E-19
1.264658E+04	1.626651E-17	1.349682E-19
1.293856E+04	1.560797E-17	1.480693E-19
1.323728E+04	1.535913E-17	1.663043E-19
1.354290E+04	1.551329E-17	1.859735E-19
1.385557E+04	1.595457E-17	2.001677E-19
1.417546E+04	1.653835E-17	2.026507E-19
1.450274E+04	1.713462E-17	1.940245E-19
1.483757E+04	1.763525E-17	1.794704E-19
1.518014E+04	1.791964E-17	1.622085E-19
1.553061E+04	1.778204E-17	1.443247E-19
1.588918E+04	1.709508E-17	1.242261E-19
1.625602E+04	1.600158E-17	1.053292E-19
1.663133E+04	1.483511E-17	1.016911E-19
1.701531E+04	1.390051E-17	1.084717E-19
1.740815E+04	1.329782E-17	1.199423E-19
1.781007E+04	1.306913E-17	1.373211E-19
1.822126E+04	1.321409E-17	1.588085E-19
1.864194E+04	1.367148E-17	1.767440E-19
1.907234E+04	1.432921E-17	1.838846E-19
1.951268E+04	1.503408E-17	1.781740E-19
1.996318E+04	1.559477E-17	1.630825E-19
2.042408E+04	1.579046E-17	1.411740E-19
2.089563E+04	1.546755E-17	1.094425E-19
2.137806E+04	1.456600E-17	7.680803E-20
2.187163E+04	1.306477E-17	8.635516E-20
2.237659E+04	1.137546E-17	1.215178E-19
2.289321E+04	9.828325E-18	1.545705E-19
2.342176E+04	8.490708E-18	1.851933E-19
2.396252E+04	7.345958E-18	2.153174E-19
2.451575E+04	6.363247E-18	2.442365E-19
