#wls	flux	fluxerr
3.289393E+03	5.329117E-18	2.694886E-19
3.289393E+03	5.329117E-18	2.694886E-19
3.365337E+03	4.670326E-18	2.110030E-19
3.365337E+03	4.670326E-18	2.110030E-19
3.443035E+03	4.104194E-18	1.666132E-19
3.443035E+03	4.104194E-18	1.666132E-19
3.522526E+03	3.629598E-18	1.339841E-19
3.522526E+03	3.629598E-18	1.339841E-19
3.603853E+03	3.243740E-18	1.105882E-19
3.603853E+03	3.243740E-18	1.105882E-19
3.687058E+03	2.941505E-18	9.410645E-20
3.687058E+03	2.941505E-18	9.410645E-20
3.772183E+03	2.715605E-18	8.263986E-20
3.772183E+03	2.715605E-18	8.263986E-20
3.859274E+03	2.556869E-18	7.472997E-20
3.859274E+03	2.556869E-18	7.472997E-20
3.948375E+03	2.454999E-18	6.928570E-20
3.948375E+03	2.454999E-18	6.928570E-20
4.039534E+03	2.399440E-18	6.550111E-20
4.039534E+03	2.399440E-18	6.550111E-20
4.132797E+03	2.380420E-18	6.282134E-20
4.132797E+03	2.380420E-18	6.282134E-20
4.228214E+03	2.390458E-18	6.092904E-20
4.228214E+03	2.390458E-18	6.092904E-20
4.325833E+03	2.423791E-18	5.961834E-20
4.325833E+03	2.423791E-18	5.961834E-20
4.425707E+03	2.474335E-18	5.860299E-20
4.425707E+03	2.474335E-18	5.860299E-20
4.527886E+03	2.535772E-18	5.759284E-20
4.527886E+03	2.535772E-18	5.759284E-20
4.632424E+03	2.603575E-18	5.649934E-20
4.632424E+03	2.603575E-18	5.649934E-20
4.739376E+03	2.676611E-18	5.554443E-20
4.739376E+03	2.676611E-18	5.554443E-20
4.848796E+03	2.755632E-18	5.508371E-20
4.848796E+03	2.755632E-18	5.508371E-20
4.960744E+03	2.840016E-18	5.516530E-20
4.960744E+03	2.840016E-18	5.516530E-20
5.075276E+03	2.926691E-18	5.542030E-20
5.075276E+03	2.926691E-18	5.542030E-20
5.192452E+03	3.011715E-18	5.553392E-20
5.192452E+03	3.011715E-18	5.553392E-20
5.312333E+03	3.093903E-18	5.560942E-20
5.312333E+03	3.093903E-18	5.560942E-20
5.434982E+03	3.178620E-18	5.610079E-20
5.434982E+03	3.178620E-18	5.610079E-20
5.560463E+03	3.281990E-18	5.751891E-20
5.560463E+03	3.281990E-18	5.751891E-20
5.688841E+03	3.431084E-18	5.980987E-20
5.688841E+03	3.431084E-18	5.980987E-20
5.820183E+03	3.655782E-18	6.240178E-20
5.820183E+03	3.655782E-18	6.240178E-20
5.954557E+03	3.978517E-18	6.483851E-20
5.954557E+03	3.978517E-18	6.483851E-20
6.092034E+03	4.403845E-18	6.672109E-20
6.092034E+03	4.403845E-18	6.672109E-20
6.232684E+03	4.904157E-18	6.798968E-20
6.232684E+03	4.904157E-18	6.798968E-20
6.376582E+03	5.406277E-18	6.992100E-20
6.376582E+03	5.406277E-18	6.992100E-20
6.523803E+03	5.845690E-18	7.427307E-20
6.523803E+03	5.845690E-18	7.427307E-20
6.674422E+03	6.271247E-18	8.050915E-20
6.674422E+03	6.271247E-18	8.050915E-20
6.828518E+03	6.753606E-18	8.684534E-20
6.828518E+03	6.753606E-18	8.684534E-20
6.986173E+03	7.316833E-18	9.221050E-20
6.986173E+03	7.316833E-18	9.221050E-20
7.147467E+03	7.941021E-18	9.630561E-20
7.147467E+03	7.941021E-18	9.630561E-20
7.312485E+03	8.596989E-18	9.848531E-20
7.312485E+03	8.596989E-18	9.848531E-20
7.481313E+03	9.278214E-18	9.736081E-20
7.481313E+03	9.278214E-18	9.736081E-20
7.654039E+03	9.994749E-18	9.269663E-20
7.654039E+03	9.994749E-18	9.269663E-20
7.830752E+03	1.070926E-17	8.972358E-20
7.830752E+03	1.070926E-17	8.972358E-20
8.011546E+03	1.128822E-17	9.648315E-20
8.011546E+03	1.128822E-17	9.648315E-20
8.196514E+03	1.162736E-17	1.060663E-19
8.196514E+03	1.162736E-17	1.060663E-19
8.385752E+03	1.174586E-17	1.105643E-19
8.385752E+03	1.174586E-17	1.105643E-19
8.579359E+03	1.176061E-17	1.079538E-19
8.579359E+03	1.176061E-17	1.079538E-19
8.777436E+03	1.181750E-17	9.946594E-20
8.777436E+03	1.181750E-17	9.946594E-20
8.980086E+03	1.208365E-17	9.078646E-20
8.980086E+03	1.208365E-17	9.078646E-20
9.187415E+03	1.275486E-17	9.550374E-20
9.187415E+03	1.275486E-17	9.550374E-20
9.399531E+03	1.392567E-17	1.153578E-19
9.399531E+03	1.392567E-17	1.153578E-19
9.616544E+03	1.548935E-17	1.362860E-19
9.616544E+03	1.548935E-17	1.362860E-19
9.838567E+03	1.728283E-17	1.530194E-19
9.838567E+03	1.728283E-17	1.530194E-19
1.006572E+04	1.911274E-17	1.706811E-19
1.006572E+04	1.911274E-17	1.706811E-19
1.029811E+04	2.049577E-17	1.937810E-19
1.029811E+04	2.049577E-17	1.937810E-19
1.053587E+04	2.108585E-17	2.192216E-19
1.053587E+04	2.108585E-17	2.192216E-19
1.077912E+04	2.100255E-17	2.357669E-19
1.077912E+04	2.100255E-17	2.357669E-19
1.102798E+04	2.041001E-17	2.413053E-19
1.102798E+04	2.041001E-17	2.413053E-19
1.128259E+04	1.945405E-17	2.365492E-19
1.128259E+04	1.945405E-17	2.365492E-19
1.154308E+04	1.831652E-17	2.211522E-19
1.154308E+04	1.831652E-17	2.211522E-19
1.180958E+04	1.716079E-17	1.980963E-19
1.180958E+04	1.716079E-17	1.980963E-19
1.208224E+04	1.608559E-17	1.716199E-19
1.208224E+04	1.608559E-17	1.716199E-19
1.236119E+04	1.513312E-17	1.486659E-19
1.236119E+04	1.513312E-17	1.486659E-19
1.264658E+04	1.435977E-17	1.426674E-19
1.264658E+04	1.435977E-17	1.426674E-19
1.293856E+04	1.386354E-17	1.532522E-19
1.293856E+04	1.386354E-17	1.532522E-19
1.323728E+04	1.370644E-17	1.693484E-19
1.323728E+04	1.370644E-17	1.693484E-19
1.354290E+04	1.388496E-17	1.867479E-19
1.354290E+04	1.388496E-17	1.867479E-19
1.385557E+04	1.430865E-17	1.998701E-19
1.385557E+04	1.430865E-17	1.998701E-19
1.417546E+04	1.485849E-17	2.037632E-19
1.417546E+04	1.485849E-17	2.037632E-19
1.450274E+04	1.542350E-17	1.982910E-19
1.450274E+04	1.542350E-17	1.982910E-19
1.483757E+04	1.590391E-17	1.867715E-19
1.483757E+04	1.590391E-17	1.867715E-19
1.518014E+04	1.618136E-17	1.713168E-19
1.518014E+04	1.618136E-17	1.713168E-19
1.553061E+04	1.608540E-17	1.530909E-19
1.553061E+04	1.608540E-17	1.530909E-19
1.588918E+04	1.551401E-17	1.317795E-19
1.588918E+04	1.551401E-17	1.317795E-19
1.625602E+04	1.458579E-17	1.125686E-19
1.625602E+04	1.458579E-17	1.125686E-19
1.663133E+04	1.361615E-17	1.089203E-19
1.663133E+04	1.361615E-17	1.089203E-19
1.701531E+04	1.284517E-17	1.161076E-19
1.701531E+04	1.284517E-17	1.161076E-19
1.740815E+04	1.235382E-17	1.277015E-19
1.740815E+04	1.235382E-17	1.277015E-19
1.781007E+04	1.218781E-17	1.440350E-19
1.781007E+04	1.218781E-17	1.440350E-19
1.822126E+04	1.235317E-17	1.635454E-19
1.822126E+04	1.235317E-17	1.635454E-19
1.864194E+04	1.280014E-17	1.800442E-19
1.864194E+04	1.280014E-17	1.800442E-19
1.907234E+04	1.343073E-17	1.872958E-19
1.907234E+04	1.343073E-17	1.872958E-19
1.951268E+04	1.410944E-17	1.829445E-19
1.951268E+04	1.410944E-17	1.829445E-19
1.996318E+04	1.466201E-17	1.688290E-19
1.996318E+04	1.466201E-17	1.688290E-19
2.042408E+04	1.488578E-17	1.462391E-19
2.042408E+04	1.488578E-17	1.462391E-19
2.089563E+04	1.462586E-17	1.132893E-19
2.089563E+04	1.462586E-17	1.132893E-19
2.137806E+04	1.381572E-17	8.068691E-20
2.137806E+04	1.381572E-17	8.068691E-20
2.187163E+04	1.248780E-17	9.056047E-20
2.187163E+04	1.248780E-17	9.056047E-20
2.237659E+04	1.097574E-17	1.260704E-19
2.237659E+04	1.097574E-17	1.260704E-19
2.289321E+04	9.553664E-18	1.596160E-19
2.289321E+04	9.553664E-18	1.596160E-19
2.342176E+04	8.299897E-18	1.903295E-19
2.342176E+04	8.299897E-18	1.903295E-19
2.396252E+04	7.212143E-18	2.200426E-19
2.396252E+04	7.212143E-18	2.200426E-19
2.451575E+04	6.269139E-18	2.483002E-19
2.451575E+04	6.269139E-18	2.483002E-19
