#wls	flux	fluxerr
3.289393E+03	6.142850E-16	2.384227E-17
3.289393E+03	6.142850E-16	2.384227E-17
3.365337E+03	6.343323E-16	2.236461E-17
3.365337E+03	6.343323E-16	2.236461E-17
3.443035E+03	6.638059E-16	2.100095E-17
3.443035E+03	6.638059E-16	2.100095E-17
3.522526E+03	7.039631E-16	1.982098E-17
3.522526E+03	7.039631E-16	1.982098E-17
3.603853E+03	7.569123E-16	1.878078E-17
3.603853E+03	7.569123E-16	1.878078E-17
3.687058E+03	8.251503E-16	1.771112E-17
3.687058E+03	8.251503E-16	1.771112E-17
3.715800E+03	7.988772E-16	2.664150E-16
3.716100E+03	7.989323E-16	2.652040E-16
3.716300E+03	7.997053E-16	2.637279E-16
3.716500E+03	7.985829E-16	2.618157E-16
3.716700E+03	7.985461E-16	2.605864E-16
3.717000E+03	7.976824E-16	2.582467E-16
3.717200E+03	7.974069E-16	2.558277E-16
3.717500E+03	7.966728E-16	2.556349E-16
3.717700E+03	7.964527E-16	2.556992E-16
3.718000E+03	7.958111E-16	2.560204E-16
3.718200E+03	7.954447E-16	2.526081E-16
3.718500E+03	7.942551E-16	2.514869E-16
3.718700E+03	7.940722E-16	2.517623E-16
3.719000E+03	7.932681E-16	2.504973E-16
3.719200E+03	7.933229E-16	2.498551E-16
3.719500E+03	7.933777E-16	2.498704E-16
3.719700E+03	7.922277E-16	2.444140E-16
3.720000E+03	7.917353E-16	2.469073E-16
3.720200E+03	7.915895E-16	2.431556E-16
3.720500E+03	7.913161E-16	2.445351E-16
3.720700E+03	7.917353E-16	2.431185E-16
3.721000E+03	7.916624E-16	2.394309E-16
3.721200E+03	7.924466E-16	2.404350E-16
3.721500E+03	7.938163E-16	2.397359E-16
3.721700E+03	7.927568E-16	2.372971E-16
3.722000E+03	7.924283E-16	2.371298E-16
3.722200E+03	7.917535E-16	2.372658E-16
3.722500E+03	7.912250E-16	2.382053E-16
3.722700E+03	7.910428E-16	2.382304E-16
3.723000E+03	7.904056E-16	2.388191E-16
3.723200E+03	7.915530E-16	2.380303E-16
3.723500E+03	7.921000E-16	2.387082E-16
3.723700E+03	7.909518E-16	2.387656E-16
3.724000E+03	7.896961E-16	2.392400E-16
3.724300E+03	7.901326E-16	2.393490E-16
3.724500E+03	7.905330E-16	2.388161E-16
3.724800E+03	7.911157E-16	2.386890E-16
3.725000E+03	7.901690E-16	2.347347E-16
3.725300E+03	7.906422E-16	2.331152E-16
3.725500E+03	7.899871E-16	2.332398E-16
3.725800E+03	7.895507E-16	2.325346E-16
3.726000E+03	7.894416E-16	2.316634E-16
3.726300E+03	7.889873E-16	2.319189E-16
3.726500E+03	7.900053E-16	2.315793E-16
3.726700E+03	7.908243E-16	2.315617E-16
3.726900E+03	7.899507E-16	2.315364E-16
3.727200E+03	7.904602E-16	2.292482E-16
3.727400E+03	7.908971E-16	2.285984E-16
3.727700E+03	7.909882E-16	2.197850E-16
3.727900E+03	7.913890E-16	2.197724E-16
3.728200E+03	7.909700E-16	2.172439E-16
3.728400E+03	7.901326E-16	2.171397E-16
3.728700E+03	7.888964E-16	2.130948E-16
3.728900E+03	7.880976E-16	2.102532E-16
3.729200E+03	7.893144E-16	2.103532E-16
3.729400E+03	7.894234E-16	2.104790E-16
3.729700E+03	7.901872E-16	2.101701E-16
3.729900E+03	7.888238E-16	2.117099E-16
3.730200E+03	7.881520E-16	2.098311E-16
3.730400E+03	7.878980E-16	2.116457E-16
3.730700E+03	7.895870E-16	2.028944E-16
3.730900E+03	7.897688E-16	2.026829E-16
3.731200E+03	7.892780E-16	2.027943E-16
3.731400E+03	7.892780E-16	2.027552E-16
3.731700E+03	7.899325E-16	2.005934E-16
3.731900E+03	7.891508E-16	1.921164E-16
3.732200E+03	7.890963E-16	1.911511E-16
3.732400E+03	7.894416E-16	1.911594E-16
3.732700E+03	7.907150E-16	1.913538E-16
3.732900E+03	7.921000E-16	1.913010E-16
3.733200E+03	7.922094E-16	1.920347E-16
3.733400E+03	7.927934E-16	1.907312E-16
3.733700E+03	7.932499E-16	1.907194E-16
3.733900E+03	7.929942E-16	1.910682E-16
3.734200E+03	7.923371E-16	1.905645E-16
3.734500E+03	7.929029E-16	1.901899E-16
3.734700E+03	7.909518E-16	1.897480E-16
3.735000E+03	7.908061E-16	1.882368E-16
3.735200E+03	7.902236E-16	1.835000E-16
3.735500E+03	7.886603E-16	1.856755E-16
3.735700E+03	7.886240E-16	1.849896E-16
3.736000E+03	7.888056E-16	1.855008E-16
3.736200E+03	7.892780E-16	1.860339E-16
3.736500E+03	7.892780E-16	1.840064E-16
3.736700E+03	7.884606E-16	1.844812E-16
3.737000E+03	7.883517E-16	1.836191E-16
3.737100E+03	7.877529E-16	1.827585E-16
3.737400E+03	7.879343E-16	1.827486E-16
3.737600E+03	7.890054E-16	1.827575E-16
3.737900E+03	7.891690E-16	1.829518E-16
3.738100E+03	7.905512E-16	1.827951E-16
3.738400E+03	7.910428E-16	1.834547E-16
3.738600E+03	7.914254E-16	1.834013E-16
3.738900E+03	7.915530E-16	1.828414E-16
3.739100E+03	7.908243E-16	1.826296E-16
3.739400E+03	7.908425E-16	1.839689E-16
3.739600E+03	7.894779E-16	1.829307E-16
3.739900E+03	7.901690E-16	1.821720E-16
3.740100E+03	7.909882E-16	1.823561E-16
3.740400E+03	7.918082E-16	1.813895E-16
3.740600E+03	7.927934E-16	1.807961E-16
3.740900E+03	7.935970E-16	1.806556E-16
3.741100E+03	7.933960E-16	1.800045E-16
3.741400E+03	7.943282E-16	1.788958E-16
3.741700E+03	7.939625E-16	1.790245E-16
3.741900E+03	7.941636E-16	1.781528E-16
3.742200E+03	7.957561E-16	1.781612E-16
3.742400E+03	7.961044E-16	1.780051E-16
3.742700E+03	7.969480E-16	1.778675E-16
3.742900E+03	7.976273E-16	1.784822E-16
3.743200E+03	7.987300E-16	1.787670E-16
3.743400E+03	7.990427E-16	1.776755E-16
3.743700E+03	7.985829E-16	1.786660E-16
3.743900E+03	7.992635E-16	1.787052E-16
3.744200E+03	7.989139E-16	1.773177E-16
3.744400E+03	7.993187E-16	1.734211E-16
3.744700E+03	7.986932E-16	1.733912E-16
3.744900E+03	7.984174E-16	1.732168E-16
3.745200E+03	7.979212E-16	1.728955E-16
3.745400E+03	7.987852E-16	1.730610E-16
