#wls	flux	fluxerr
3.289393E+03	2.911984E-16	4.296599E-16
3.365337E+03	2.751328E-16	3.974144E-16
3.443035E+03	2.646414E-16	3.757070E-16
3.522526E+03	2.684869E-16	3.817966E-16
3.603853E+03	2.864127E-16	4.151223E-16
3.687058E+03	3.106859E-16	4.603334E-16
3.772183E+03	3.360971E-16	5.072487E-16
3.859274E+03	3.589018E-16	5.489571E-16
3.948375E+03	3.763717E-16	5.807917E-16
4.039534E+03	3.865956E-16	5.997441E-16
4.132797E+03	3.883304E-16	6.040074E-16
4.228214E+03	3.808917E-16	5.926582E-16
4.325833E+03	3.641220E-16	5.655382E-16
4.425707E+03	3.384528E-16	5.233618E-16
4.527886E+03	3.050404E-16	4.680058E-16
4.632424E+03	2.658971E-16	4.028432E-16
4.739376E+03	2.238963E-16	3.328839E-16
4.848796E+03	1.825371E-16	2.644511E-16
4.960744E+03	1.454534E-16	2.042828E-16
5.075276E+03	1.158871E-16	1.583880E-16
5.192452E+03	9.567693E-17	1.297278E-16
5.312333E+03	8.125822E-17	1.104992E-16
5.434982E+03	7.061696E-17	9.623741E-17
5.560463E+03	6.498951E-17	8.896102E-17
5.688841E+03	6.552045E-17	9.081817E-17
5.820183E+03	6.866418E-17	9.616454E-17
5.954557E+03	7.257924E-17	1.019667E-16
6.092034E+03	7.807084E-17	1.097210E-16
6.232684E+03	8.932499E-17	1.267864E-16
6.376582E+03	1.079008E-16	1.561463E-16
6.523803E+03	1.302519E-16	1.918648E-16
6.674422E+03	1.525133E-16	2.271039E-16
6.828518E+03	1.710592E-16	2.552896E-16
6.986173E+03	1.835171E-16	2.720665E-16
7.147467E+03	1.896914E-16	2.770848E-16
7.312485E+03	1.920794E-16	2.750696E-16
7.481313E+03	1.963072E-16	2.767420E-16
7.654039E+03	2.117381E-16	2.998377E-16
7.830752E+03	2.395531E-16	3.464726E-16
8.011546E+03	2.743635E-16	4.061420E-16
8.196514E+03	3.121497E-16	4.709932E-16
8.385752E+03	3.497903E-16	5.351438E-16
8.579359E+03	3.850171E-16	5.945549E-16
8.777436E+03	4.164178E-16	6.469078E-16
8.980086E+03	4.433374E-16	6.912927E-16
9.187415E+03	4.657002E-16	7.277964E-16
9.399531E+03	4.838108E-16	7.571052E-16
9.616544E+03	4.981788E-16	7.801917E-16
9.838567E+03	5.093890E-16	7.981007E-16
1.006572E+04	5.180180E-16	8.118232E-16
1.029811E+04	5.245873E-16	8.222332E-16
1.053587E+04	5.295436E-16	8.300658E-16
1.077912E+04	5.332553E-16	8.359194E-16
1.102798E+04	5.360178E-16	8.402693E-16
1.128259E+04	5.380633E-16	8.434864E-16
1.154308E+04	5.395713E-16	8.458560E-16
1.180958E+04	5.406788E-16	8.475953E-16
1.208224E+04	5.414896E-16	8.488680E-16
1.236119E+04	5.420815E-16	8.497968E-16
1.264658E+04	5.425126E-16	8.504730E-16
1.293856E+04	5.428258E-16	8.509643E-16
1.323728E+04	5.430530E-16	8.513205E-16
1.354290E+04	5.432175E-16	8.515784E-16
1.385557E+04	5.433363E-16	8.517648E-16
1.417546E+04	5.434221E-16	8.518993E-16
1.450274E+04	5.434839E-16	8.519962E-16
1.483757E+04	5.435284E-16	8.520660E-16
1.518014E+04	5.435604E-16	8.521161E-16
1.553061E+04	5.435834E-16	8.521521E-16
1.588918E+04	5.435999E-16	8.521780E-16
1.625602E+04	5.436117E-16	8.521965E-16
1.663133E+04	5.436202E-16	8.522098E-16
1.701531E+04	5.436263E-16	8.522193E-16
1.740815E+04	5.436306E-16	8.522261E-16
1.781007E+04	5.436337E-16	8.522309E-16
1.822126E+04	5.436359E-16	8.522344E-16
1.864194E+04	5.436375E-16	8.522369E-16
1.907234E+04	5.436386E-16	8.522386E-16
1.951268E+04	5.436394E-16	8.522399E-16
1.996318E+04	5.436400E-16	8.522408E-16
2.042408E+04	5.436404E-16	8.522414E-16
2.089563E+04	5.436407E-16	8.522419E-16
2.137806E+04	5.436409E-16	8.522422E-16
2.187163E+04	5.436410E-16	8.522424E-16
2.237659E+04	5.436411E-16	8.522426E-16
2.289321E+04	5.436412E-16	8.522427E-16
2.342176E+04	5.436412E-16	8.522428E-16
2.396252E+04	5.436413E-16	8.522428E-16
2.451575E+04	5.436413E-16	8.522429E-16
