#wls	flux	fluxerr
3.289393E+03	1.811935E-16	6.879492E-18
3.289393E+03	1.811935E-16	6.879492E-18
3.365337E+03	1.745691E-16	5.907815E-18
3.365337E+03	1.745691E-16	5.907815E-18
3.443035E+03	1.699318E-16	5.083135E-18
3.443035E+03	1.699318E-16	5.083135E-18
3.522526E+03	1.676058E-16	4.410830E-18
3.522526E+03	1.676058E-16	4.410830E-18
3.603853E+03	1.680205E-16	3.870730E-18
3.603853E+03	1.680205E-16	3.870730E-18
3.687058E+03	1.717307E-16	3.431287E-18
3.687058E+03	1.717307E-16	3.431287E-18
3.772183E+03	1.793564E-16	3.079127E-18
3.772183E+03	1.793564E-16	3.079127E-18
3.820800E+03	9.707111E-17	3.450105E-17
3.822800E+03	9.827431E-17	3.169191E-17
3.824800E+03	9.949929E-17	3.061788E-17
3.826800E+03	1.005079E-16	3.028391E-17
3.828800E+03	1.021363E-16	2.662538E-17
3.830700E+03	1.037815E-16	2.551218E-17
3.832700E+03	1.047225E-16	2.587330E-17
3.834700E+03	1.054945E-16	2.280816E-17
3.836700E+03	1.072087E-16	2.241134E-17
3.838700E+03	1.087151E-16	2.235401E-17
3.840600E+03	1.098601E-16	2.509806E-17
3.842600E+03	1.113474E-16	2.513445E-17
3.844600E+03	1.129562E-16	2.463879E-17
3.846600E+03	1.145882E-16	2.566386E-17
3.848600E+03	1.161502E-16	2.737321E-17
3.850500E+03	1.172816E-16	2.744614E-17
3.852500E+03	1.183014E-16	2.746799E-17
3.854500E+03	1.195969E-16	2.803726E-17
3.856500E+03	1.207341E-16	2.818581E-17
3.858500E+03	1.214115E-16	2.832394E-17
3.860400E+03	1.224644E-16	2.858020E-17
3.862400E+03	1.239110E-16	2.888562E-17
3.864400E+03	1.252045E-16	2.909582E-17
3.866400E+03	1.265348E-16	2.740370E-17
3.868400E+03	1.280354E-16	2.636105E-17
3.870400E+03	1.293213E-16	2.658554E-17
3.872300E+03	1.307194E-16	2.664687E-17
3.874300E+03	1.318348E-16	2.683413E-17
3.876300E+03	1.325867E-16	2.675932E-17
3.878300E+03	1.337427E-16	2.701707E-17
3.880300E+03	1.354378E-16	2.749761E-17
3.882200E+03	1.364615E-16	2.958667E-17
3.884200E+03	1.371040E-16	2.946101E-17
3.886200E+03	1.379113E-16	2.882099E-17
3.888200E+03	1.381052E-16	2.948044E-17
3.890200E+03	1.389921E-16	2.795248E-17
3.892100E+03	1.391650E-16	2.822791E-17
3.894100E+03	1.402297E-16	2.824823E-17
3.896100E+03	1.407473E-16	2.690562E-17
3.898100E+03	1.396175E-16	2.453047E-17
3.900100E+03	1.387267E-16	2.457266E-17
3.902000E+03	1.393831E-16	2.491446E-17
3.904000E+03	1.409516E-16	2.419379E-17
3.906000E+03	1.424656E-16	2.455984E-17
3.908000E+03	1.432551E-16	2.474238E-17
3.910000E+03	1.424164E-16	2.575603E-17
3.911900E+03	1.419286E-16	2.569655E-17
3.913900E+03	1.418143E-16	2.552751E-17
3.915900E+03	1.418078E-16	2.556892E-17
3.917900E+03	1.420790E-16	2.543346E-17
3.919900E+03	1.428729E-16	2.550752E-17
3.921900E+03	1.435291E-16	2.578494E-17
3.923800E+03	1.440788E-16	2.602036E-17
3.925800E+03	1.443112E-16	2.515702E-17
3.927800E+03	1.448872E-16	2.467844E-17
3.929800E+03	1.458143E-16	2.307007E-17
3.931800E+03	1.464098E-16	1.976677E-17
3.933700E+03	1.465177E-16	2.104784E-17
3.935700E+03	1.470077E-16	2.162579E-17
3.937700E+03	1.478530E-16	2.051700E-17
3.939700E+03	1.480471E-16	1.920157E-17
3.941700E+03	1.475605E-16	1.892696E-17
3.943600E+03	1.474042E-16	1.887366E-17
3.945600E+03	1.482177E-16	1.893909E-17
