#wls	flux	fluxerr
3.289393E+03	2.124101E-18	1.402438E-19
3.365337E+03	1.827863E-18	1.107923E-19
3.443035E+03	1.576191E-18	8.820501E-20
3.522526E+03	1.365997E-18	7.121158E-20
3.603853E+03	1.193785E-18	5.860381E-20
3.687058E+03	1.055524E-18	4.932531E-20
3.772183E+03	9.468036E-19	4.251694E-20
3.859274E+03	8.631466E-19	3.751798E-20
3.948375E+03	8.003404E-19	3.383930E-20
4.039534E+03	7.546494E-19	3.112777E-20
4.132797E+03	7.229354E-19	2.913474E-20
4.228214E+03	7.026919E-19	2.768792E-20
4.325833E+03	6.919395E-19	2.666316E-20
4.425707E+03	6.890799E-19	2.596380E-20
4.527886E+03	6.928296E-19	2.551666E-20
4.632424E+03	7.022654E-19	2.527843E-20
4.739376E+03	7.168422E-19	2.523445E-20
4.848796E+03	7.362651E-19	2.538110E-20
4.960744E+03	7.603274E-19	2.570525E-20
5.075276E+03	7.889038E-19	2.618335E-20
5.192452E+03	8.221740E-19	2.680618E-20
5.312333E+03	8.610989E-19	2.761060E-20
5.434982E+03	9.079821E-19	2.868985E-20
5.560463E+03	9.668131E-19	3.016160E-20
5.688841E+03	1.042995E-18	3.209765E-20
5.820183E+03	1.142292E-18	3.449153E-20
5.954557E+03	1.269037E-18	3.728329E-20
6.092034E+03	1.423589E-18	4.038021E-20
6.232684E+03	1.599967E-18	4.370256E-20
6.376582E+03	1.786968E-18	4.726068E-20
6.523803E+03	1.976200E-18	5.114999E-20
6.674422E+03	2.169906E-18	5.541188E-20
6.828518E+03	2.377207E-18	5.992317E-20
6.986173E+03	2.605675E-18	6.445942E-20
7.147467E+03	2.857085E-18	6.875270E-20
7.312485E+03	3.127623E-18	7.248158E-20
7.481313E+03	3.409718E-18	7.539654E-20
7.654039E+03	3.692756E-18	7.770583E-20
7.830752E+03	3.963012E-18	8.034763E-20
8.011546E+03	4.203058E-18	8.406083E-20
8.196514E+03	4.393831E-18	8.797116E-20
8.385752E+03	4.529172E-18	9.046709E-20
8.579359E+03	4.627332E-18	9.088732E-20
8.777436E+03	4.729322E-18	9.017171E-20
8.980086E+03	4.896090E-18	9.093649E-20
9.187415E+03	5.197709E-18	9.646207E-20
9.399531E+03	5.670995E-18	1.079027E-19
9.616544E+03	6.296563E-18	1.237243E-19
9.838567E+03	7.022892E-18	1.421888E-19
1.006572E+04	7.772561E-18	1.622791E-19
1.029811E+04	8.430643E-18	1.822962E-19
1.053587E+04	8.888326E-18	1.993641E-19
1.077912E+04	9.099132E-18	2.106930E-19
1.102798E+04	9.075628E-18	2.148618E-19
1.128259E+04	8.863241E-18	2.119186E-19
1.154308E+04	8.522851E-18	2.030413E-19
1.180958E+04	8.119644E-18	1.904198E-19
1.208224E+04	7.714596E-18	1.770222E-19
1.236119E+04	7.365573E-18	1.663917E-19
1.264658E+04	7.126935E-18	1.616764E-19
1.293856E+04	7.027182E-18	1.634313E-19
1.323728E+04	7.063560E-18	1.697104E-19
1.354290E+04	7.219543E-18	1.781265E-19
1.385557E+04	7.464625E-18	1.863514E-19
1.417546E+04	7.756643E-18	1.923440E-19
1.450274E+04	8.047802E-18	1.947916E-19
1.483757E+04	8.286332E-18	1.930923E-19
1.518014E+04	8.417291E-18	1.870435E-19
1.553061E+04	8.395841E-18	1.770597E-19
1.588918E+04	8.217617E-18	1.650170E-19
1.625602E+04	7.945454E-18	1.548762E-19
1.663133E+04	7.683107E-18	1.505623E-19
1.701531E+04	7.497826E-18	1.522600E-19
1.740815E+04	7.418903E-18	1.581652E-19
1.781007E+04	7.463418E-18	1.668975E-19
1.822126E+04	7.632427E-18	1.769422E-19
1.864194E+04	7.903223E-18	1.859320E-19
1.907234E+04	8.227917E-18	1.910670E-19
1.951268E+04	8.535979E-18	1.900280E-19
1.996318E+04	8.740750E-18	1.815882E-19
2.042408E+04	8.757474E-18	1.660359E-19
2.089563E+04	8.543319E-18	1.469072E-19
2.137806E+04	8.147780E-18	1.337663E-19
2.187163E+04	7.694368E-18	1.375562E-19
2.237659E+04	7.204695E-18	1.558464E-19
2.289321E+04	6.664856E-18	1.795074E-19
2.342176E+04	6.096982E-18	2.038257E-19
2.396252E+04	5.528592E-18	2.273803E-19
2.451575E+04	4.979981E-18	2.494444E-19
