#wls	flux	fluxerr
3.289393E+03	1.351635E-15	2.368792E-16
3.289393E+03	1.351635E-15	2.368792E-16
3.365337E+03	1.301314E-15	1.953770E-16
3.365337E+03	1.301314E-15	1.953770E-16
3.443035E+03	1.268354E-15	1.591493E-16
3.443035E+03	1.268354E-15	1.591493E-16
3.522526E+03	1.255864E-15	1.292068E-16
3.522526E+03	1.255864E-15	1.292068E-16
3.603853E+03	1.264701E-15	1.044802E-16
3.603853E+03	1.264701E-15	1.044802E-16
3.687058E+03	1.292024E-15	8.319642E-17
3.687058E+03	1.292024E-15	8.319642E-17
3.772183E+03	1.329925E-15	6.517347E-17
3.772183E+03	1.329925E-15	6.517347E-17
3.859274E+03	1.367150E-15	5.201908E-17
3.859274E+03	1.367150E-15	5.201908E-17
3.948375E+03	1.389525E-15	4.416269E-17
3.948375E+03	1.389525E-15	4.416269E-17
4.039534E+03	1.383317E-15	3.955645E-17
4.039534E+03	1.383317E-15	3.955645E-17
4.132797E+03	1.344375E-15	3.624388E-17
4.132797E+03	1.344375E-15	3.624388E-17
4.228214E+03	1.281126E-15	3.341079E-17
4.228214E+03	1.281126E-15	3.341079E-17
4.325833E+03	1.209075E-15	3.083348E-17
4.325833E+03	1.209075E-15	3.083348E-17
4.425707E+03	1.139869E-15	2.863132E-17
4.425707E+03	1.139869E-15	2.863132E-17
4.527886E+03	1.076930E-15	2.678479E-17
4.527886E+03	1.076930E-15	2.678479E-17
4.632424E+03	1.019289E-15	2.513939E-17
4.632424E+03	1.019289E-15	2.513939E-17
4.739376E+03	9.660157E-16	2.366731E-17
4.739376E+03	9.660157E-16	2.366731E-17
4.848796E+03	9.160746E-16	2.234812E-17
4.848796E+03	9.160746E-16	2.234812E-17
4.960744E+03	8.673633E-16	2.103248E-17
4.960744E+03	8.673633E-16	2.103248E-17
5.075276E+03	8.183118E-16	1.969656E-17
5.075276E+03	8.183118E-16	1.969656E-17
5.192452E+03	7.700778E-16	1.846337E-17
5.192452E+03	7.700778E-16	1.846337E-17
5.312333E+03	7.267809E-16	1.735930E-17
5.312333E+03	7.267809E-16	1.735930E-17
