#wls	flux	fluxerr
3.289393E+03	1.247702E-15	2.901273E-16
3.365337E+03	1.193063E-15	2.545345E-16
3.443035E+03	1.151445E-15	2.257367E-16
3.522526E+03	1.124952E-15	2.049063E-16
3.603853E+03	1.113547E-15	1.912923E-16
3.687058E+03	1.114040E-15	1.831745E-16
3.772183E+03	1.119418E-15	1.786987E-16
3.859274E+03	1.120924E-15	1.758315E-16
3.948375E+03	1.108976E-15	1.720664E-16
4.039534E+03	1.075788E-15	1.653396E-16
4.132797E+03	1.021302E-15	1.553696E-16
4.228214E+03	9.538667E-16	1.434855E-16
4.325833E+03	8.854007E-16	1.315667E-16
4.425707E+03	8.238729E-16	1.208491E-16
4.527886E+03	7.709544E-16	1.115675E-16
4.632424E+03	7.250803E-16	1.034552E-16
4.739376E+03	6.845897E-16	9.625405E-17
4.848796E+03	6.477776E-16	8.972532E-17
4.960744E+03	6.125010E-16	8.359848E-17
5.075276E+03	5.774292E-16	7.776549E-17
5.192452E+03	5.435388E-16	7.242636E-17
5.312333E+03	5.141407E-16	6.800075E-17
5.434982E+03	4.919066E-16	6.480054E-17
5.560463E+03	4.761735E-16	6.267341E-17
5.688841E+03	4.639614E-16	6.111520E-17
5.820183E+03	4.521285E-16	5.961479E-17
5.954557E+03	4.378446E-16	5.775554E-17
6.092034E+03	4.197568E-16	5.536269E-17
6.232684E+03	3.982046E-16	5.249858E-17
6.376582E+03	3.750933E-16	4.942040E-17
6.523803E+03	3.529757E-16	4.646943E-17
6.674422E+03	3.338595E-16	4.391331E-17
6.828518E+03	3.178472E-16	4.175816E-17
6.986173E+03	3.035749E-16	3.981349E-17
7.147467E+03	2.899949E-16	3.792623E-17
7.312485E+03	2.772839E-16	3.612505E-17
7.481313E+03	2.657393E-16	3.448557E-17
7.654039E+03	2.551033E-16	3.301138E-17
7.830752E+03	2.443283E-16	3.156428E-17
8.011546E+03	2.314623E-16	2.986209E-17
8.196514E+03	2.159967E-16	2.781643E-17
8.385752E+03	1.987668E-16	2.552970E-17
8.579359E+03	1.804368E-16	2.309274E-17
8.777436E+03	1.613829E-16	2.056001E-17
8.980086E+03	1.428084E-16	1.808728E-17
9.187415E+03	1.263729E-16	1.588237E-17
9.399531E+03	1.131849E-16	1.407455E-17
9.616544E+03	1.032735E-16	1.266382E-17
9.838567E+03	9.578949E-17	1.156927E-17
1.006572E+04	8.959185E-17	1.069927E-17
1.029811E+04	8.361050E-17	9.986539E-18
1.053587E+04	7.754067E-17	9.431112E-18
1.077912E+04	7.173449E-17	9.030050E-18
1.102798E+04	6.636829E-17	8.671064E-18
1.128259E+04	6.150287E-17	8.224922E-18
1.154308E+04	5.727121E-17	7.651766E-18
1.180958E+04	5.373462E-17	6.999685E-18
1.208224E+04	5.074328E-17	6.365615E-18
1.236119E+04	4.800532E-17	5.878713E-18
1.264658E+04	4.538345E-17	5.661693E-18
1.293856E+04	4.307858E-17	5.728544E-18
1.323728E+04	4.123259E-17	5.965597E-18
1.354290E+04	3.951811E-17	6.188869E-18
1.385557E+04	3.732768E-17	6.197360E-18
1.417546E+04	3.441560E-17	5.892384E-18
1.450274E+04	3.116088E-17	5.347224E-18
1.483757E+04	2.814377E-17	4.716656E-18
1.518014E+04	2.563272E-17	4.110718E-18
1.553061E+04	2.350557E-17	3.571087E-18
1.588918E+04	2.157781E-17	3.130225E-18
1.625602E+04	1.987287E-17	2.840681E-18
1.663133E+04	1.857836E-17	2.735474E-18
1.701531E+04	1.777740E-17	2.784702E-18
1.740815E+04	1.737136E-17	2.921095E-18
1.781007E+04	1.719691E-17	3.076826E-18
1.822126E+04	1.701816E-17	3.177986E-18
1.864194E+04	1.653627E-17	3.143407E-18
1.907234E+04	1.557571E-17	2.930539E-18
1.951268E+04	1.423869E-17	2.574905E-18
1.996318E+04	1.277436E-17	2.157009E-18
2.042408E+04	1.134217E-17	1.745443E-18
2.089563E+04	9.977307E-18	1.390366E-18
2.137806E+04	8.668722E-18	1.138113E-18
2.187163E+04	7.419529E-18	1.015354E-18
2.237659E+04	6.270224E-18	9.934984E-19
2.289321E+04	5.295919E-18	1.020043E-18
2.342176E+04	4.552474E-18	1.069654E-18
2.396252E+04	4.029967E-18	1.139701E-18
2.451575E+04	3.678398E-18	1.232060E-18
