#wls	flux	fluxerr
3.289393E+03	3.507491E-17	3.819067E-18
3.289393E+03	3.507491E-17	3.819067E-18
3.365337E+03	3.223992E-17	2.759880E-18
3.365337E+03	3.223992E-17	2.759880E-18
3.443035E+03	3.012559E-17	2.158750E-18
3.443035E+03	3.012559E-17	2.158750E-18
3.522526E+03	2.889350E-17	1.848862E-18
3.522526E+03	2.889350E-17	1.848862E-18
3.603853E+03	2.867561E-17	1.680724E-18
3.603853E+03	2.867561E-17	1.680724E-18
3.687058E+03	2.957639E-17	1.580569E-18
3.687058E+03	2.957639E-17	1.580569E-18
3.772183E+03	3.166276E-17	1.537397E-18
3.772183E+03	3.166276E-17	1.537397E-18
3.859274E+03	3.496221E-17	1.565989E-18
3.859274E+03	3.496221E-17	1.565989E-18
3.948375E+03	3.933206E-17	1.656461E-18
3.948375E+03	3.933206E-17	1.656461E-18
4.039534E+03	4.436976E-17	1.764421E-18
4.039534E+03	4.436976E-17	1.764421E-18
4.132797E+03	4.962193E-17	1.853842E-18
4.132797E+03	4.962193E-17	1.853842E-18
4.228214E+03	5.488409E-17	1.919573E-18
4.228214E+03	5.488409E-17	1.919573E-18
4.325833E+03	6.031207E-17	1.977747E-18
4.325833E+03	6.031207E-17	1.977747E-18
4.425707E+03	6.606684E-17	2.041366E-18
4.425707E+03	6.606684E-17	2.041366E-18
4.527886E+03	7.197202E-17	2.101316E-18
4.527886E+03	7.197202E-17	2.101316E-18
4.632424E+03	7.762690E-17	2.138844E-18
4.632424E+03	7.762690E-17	2.138844E-18
4.739376E+03	8.282420E-17	2.163348E-18
4.739376E+03	8.282420E-17	2.163348E-18
4.848796E+03	8.759651E-17	2.214510E-18
4.848796E+03	8.759651E-17	2.214510E-18
4.960744E+03	9.188247E-17	2.294552E-18
4.960744E+03	9.188247E-17	2.294552E-18
5.075276E+03	9.532154E-17	2.351418E-18
5.075276E+03	9.532154E-17	2.351418E-18
5.192452E+03	9.738775E-17	2.356420E-18
5.192452E+03	9.738775E-17	2.356420E-18
5.312333E+03	9.773297E-17	2.316334E-18
5.312333E+03	9.773297E-17	2.316334E-18
5.434982E+03	9.643501E-17	2.266698E-18
5.434982E+03	9.643501E-17	2.266698E-18
5.560463E+03	9.432072E-17	2.240581E-18
5.560463E+03	9.432072E-17	2.240581E-18
5.688841E+03	9.286355E-17	2.246913E-18
5.688841E+03	9.286355E-17	2.246913E-18
5.820183E+03	9.327714E-17	2.265054E-18
5.820183E+03	9.327714E-17	2.265054E-18
5.954557E+03	9.578710E-17	2.278333E-18
5.954557E+03	9.578710E-17	2.278333E-18
6.092034E+03	9.974005E-17	2.284428E-18
6.092034E+03	9.974005E-17	2.284428E-18
6.232684E+03	1.039245E-16	2.303945E-18
6.232684E+03	1.039245E-16	2.303945E-18
6.376582E+03	1.072722E-16	2.354543E-18
6.376582E+03	1.072722E-16	2.354543E-18
6.523803E+03	1.095572E-16	2.412877E-18
6.523803E+03	1.095572E-16	2.412877E-18
6.674422E+03	1.115697E-16	2.469762E-18
6.674422E+03	1.115697E-16	2.469762E-18
6.828518E+03	1.138181E-16	2.517014E-18
6.828518E+03	1.138181E-16	2.517014E-18
6.986173E+03	1.156332E-16	2.539919E-18
6.986173E+03	1.156332E-16	2.539919E-18
7.147467E+03	1.160139E-16	2.524813E-18
7.147467E+03	1.160139E-16	2.524813E-18
7.312485E+03	1.148905E-16	2.467941E-18
7.312485E+03	1.148905E-16	2.467941E-18
7.481313E+03	1.129302E-16	2.385344E-18
7.481313E+03	1.129302E-16	2.385344E-18
7.654039E+03	1.108415E-16	2.318690E-18
7.654039E+03	1.108415E-16	2.318690E-18
7.830752E+03	1.087450E-16	2.291591E-18
7.830752E+03	1.087450E-16	2.291591E-18
8.011546E+03	1.057850E-16	2.271699E-18
8.011546E+03	1.057850E-16	2.271699E-18
8.196514E+03	1.019083E-16	2.215127E-18
8.196514E+03	1.019083E-16	2.215127E-18
8.385752E+03	9.816616E-17	2.133663E-18
8.385752E+03	9.816616E-17	2.133663E-18
8.579359E+03	9.555083E-17	2.067697E-18
8.579359E+03	9.555083E-17	2.067697E-18
8.777436E+03	9.434843E-17	2.037089E-18
8.777436E+03	9.434843E-17	2.037089E-18
8.980086E+03	9.479478E-17	2.054504E-18
8.980086E+03	9.479478E-17	2.054504E-18
9.187415E+03	9.729184E-17	2.167561E-18
9.187415E+03	9.729184E-17	2.167561E-18
9.399531E+03	1.020517E-16	2.367934E-18
9.399531E+03	1.020517E-16	2.367934E-18
9.616544E+03	1.084439E-16	2.566598E-18
9.616544E+03	1.084439E-16	2.566598E-18
9.838567E+03	1.148103E-16	2.720667E-18
9.838567E+03	1.148103E-16	2.720667E-18
1.006572E+04	1.191683E-16	2.806156E-18
1.006572E+04	1.191683E-16	2.806156E-18
1.029811E+04	1.199598E-16	2.802258E-18
1.029811E+04	1.199598E-16	2.802258E-18
1.053587E+04	1.174569E-16	2.743849E-18
1.053587E+04	1.174569E-16	2.743849E-18
1.077912E+04	1.131302E-16	2.687628E-18
1.077912E+04	1.131302E-16	2.687628E-18
1.102798E+04	1.075344E-16	2.635499E-18
1.102798E+04	1.075344E-16	2.635499E-18
1.128259E+04	1.008813E-16	2.535205E-18
1.128259E+04	1.008813E-16	2.535205E-18
1.154308E+04	9.390902E-17	2.352122E-18
1.154308E+04	9.390902E-17	2.352122E-18
1.180958E+04	8.744727E-17	2.139965E-18
1.180958E+04	8.744727E-17	2.139965E-18
1.208224E+04	8.179177E-17	1.936279E-18
1.208224E+04	8.179177E-17	1.936279E-18
1.236119E+04	7.672978E-17	1.770947E-18
1.236119E+04	7.672978E-17	1.770947E-18
1.264658E+04	7.237116E-17	1.729119E-18
1.264658E+04	7.237116E-17	1.729119E-18
1.293856E+04	6.971401E-17	1.775393E-18
1.293856E+04	6.971401E-17	1.775393E-18
1.323728E+04	6.952159E-17	1.894960E-18
1.323728E+04	6.952159E-17	1.894960E-18
1.354290E+04	7.098396E-17	2.105515E-18
1.354290E+04	7.098396E-17	2.105515E-18
1.385557E+04	7.183086E-17	2.244580E-18
1.385557E+04	7.183086E-17	2.244580E-18
1.417546E+04	7.034682E-17	2.157679E-18
1.417546E+04	7.034682E-17	2.157679E-18
1.450274E+04	6.701578E-17	1.923447E-18
1.450274E+04	6.701578E-17	1.923447E-18
1.483757E+04	6.356161E-17	1.700870E-18
1.483757E+04	6.356161E-17	1.700870E-18
1.518014E+04	6.087791E-17	1.543350E-18
1.518014E+04	6.087791E-17	1.543350E-18
1.553061E+04	5.827373E-17	1.423509E-18
1.553061E+04	5.827373E-17	1.423509E-18
1.588918E+04	5.468181E-17	1.285617E-18
1.588918E+04	5.468181E-17	1.285617E-18
1.625602E+04	5.017755E-17	1.142840E-18
1.625602E+04	5.017755E-17	1.142840E-18
1.663133E+04	4.598133E-17	1.072070E-18
1.663133E+04	4.598133E-17	1.072070E-18
1.701531E+04	4.301436E-17	1.062604E-18
1.701531E+04	4.301436E-17	1.062604E-18
1.740815E+04	4.140785E-17	1.088190E-18
1.740815E+04	4.140785E-17	1.088190E-18
1.781007E+04	4.103056E-17	1.172530E-18
1.781007E+04	4.103056E-17	1.172530E-18
1.822126E+04	4.146523E-17	1.315192E-18
1.822126E+04	4.146523E-17	1.315192E-18
1.864194E+04	4.185562E-17	1.422847E-18
1.864194E+04	4.185562E-17	1.422847E-18
1.907234E+04	4.136050E-17	1.405783E-18
1.907234E+04	4.136050E-17	1.405783E-18
1.951268E+04	3.980642E-17	1.287996E-18
1.951268E+04	3.980642E-17	1.287996E-18
1.996318E+04	3.753479E-17	1.151004E-18
1.996318E+04	3.753479E-17	1.151004E-18
2.042408E+04	3.470037E-17	1.022507E-18
2.042408E+04	3.470037E-17	1.022507E-18
2.089563E+04	3.126139E-17	8.877564E-19
2.089563E+04	3.126139E-17	8.877564E-19
2.137806E+04	2.731933E-17	7.688966E-19
2.137806E+04	2.731933E-17	7.688966E-19
2.187163E+04	2.321540E-17	7.195950E-19
2.187163E+04	2.321540E-17	7.195950E-19
2.237659E+04	1.938221E-17	7.207268E-19
2.237659E+04	1.938221E-17	7.207268E-19
2.289321E+04	1.624676E-17	7.372987E-19
2.289321E+04	1.624676E-17	7.372987E-19
2.342176E+04	1.404302E-17	7.901168E-19
2.342176E+04	1.404302E-17	7.901168E-19
2.396252E+04	1.268647E-17	9.339069E-19
2.396252E+04	1.268647E-17	9.339069E-19
2.451575E+04	1.193608E-17	1.220931E-18
2.451575E+04	1.193608E-17	1.220931E-18
