#wls	flux	fluxerr
3.289393E+03	1.470666E-17	2.127317E-18
3.365337E+03	1.239094E-17	1.594964E-18
3.443035E+03	1.045125E-17	1.276581E-18
3.522526E+03	8.921673E-18	1.068630E-18
3.603853E+03	7.794536E-18	9.226651E-19
3.687058E+03	7.033891E-18	8.226307E-19
3.772183E+03	6.588994E-18	7.613937E-19
3.859274E+03	6.407380E-18	7.323631E-19
3.948375E+03	6.424942E-18	7.265542E-19
4.039534E+03	6.566963E-18	7.339358E-19
4.132797E+03	6.779816E-18	7.483300E-19
4.228214E+03	7.056368E-18	7.699833E-19
4.325833E+03	7.429745E-18	8.033038E-19
4.425707E+03	7.921815E-18	8.497249E-19
4.527886E+03	8.509024E-18	9.047878E-19
4.632424E+03	9.139695E-18	9.617450E-19
4.739376E+03	9.783219E-18	1.018166E-18
4.848796E+03	1.043709E-17	1.076253E-18
4.960744E+03	1.108490E-17	1.135217E-18
5.075276E+03	1.165863E-17	1.186028E-18
5.192452E+03	1.204440E-17	1.215647E-18
5.312333E+03	1.214021E-17	1.215010E-18
5.434982E+03	1.193177E-17	1.186042E-18
5.560463E+03	1.156676E-17	1.145756E-18
5.688841E+03	1.130900E-17	1.118140E-18
5.820183E+03	1.137108E-17	1.119730E-18
5.954557E+03	1.181281E-17	1.154316E-18
6.092034E+03	1.255298E-17	1.213777E-18
6.232684E+03	1.340788E-17	1.281464E-18
6.376582E+03	1.419581E-17	1.342872E-18
6.523803E+03	1.487907E-17	1.397611E-18
6.674422E+03	1.564182E-17	1.462994E-18
6.828518E+03	1.669154E-17	1.554669E-18
6.986173E+03	1.804836E-17	1.672316E-18
7.147467E+03	1.958150E-17	1.804465E-18
7.312485E+03	2.118746E-17	1.941906E-18
7.481313E+03	2.283122E-17	2.080332E-18
7.654039E+03	2.449264E-17	2.217759E-18
7.830752E+03	2.605621E-17	2.346793E-18
8.011546E+03	2.718522E-17	2.441450E-18
8.196514E+03	2.775197E-17	2.489306E-18
8.385752E+03	2.802329E-17	2.510297E-18
8.579359E+03	2.837582E-17	2.536710E-18
8.777436E+03	2.900955E-17	2.586061E-18
8.980086E+03	3.006503E-17	2.671612E-18
9.187415E+03	3.172723E-17	2.814968E-18
9.399531E+03	3.415955E-17	3.030964E-18
9.616544E+03	3.724656E-17	3.303365E-18
9.838567E+03	4.047338E-17	3.588431E-18
1.006572E+04	4.315536E-17	3.829685E-18
1.029811E+04	4.471342E-17	3.974800E-18
1.053587E+04	4.518199E-17	4.024366E-18
1.077912E+04	4.495217E-17	4.011240E-18
1.102798E+04	4.398456E-17	3.933480E-18
1.128259E+04	4.213020E-17	3.775813E-18
1.154308E+04	3.960964E-17	3.551654E-18
1.180958E+04	3.686438E-17	3.301876E-18
1.208224E+04	3.420741E-17	3.056947E-18
1.236119E+04	3.173827E-17	2.831363E-18
1.264658E+04	2.965490E-17	2.654583E-18
1.293856E+04	2.848359E-17	2.567827E-18
1.323728E+04	2.862710E-17	2.600354E-18
1.354290E+04	2.981316E-17	2.731995E-18
1.385557E+04	3.107150E-17	2.865066E-18
1.417546E+04	3.154199E-17	2.908537E-18
1.450274E+04	3.128695E-17	2.877035E-18
1.483757E+04	3.100356E-17	2.847107E-18
1.518014E+04	3.106109E-17	2.852950E-18
1.553061E+04	3.097001E-17	2.847017E-18
1.588918E+04	2.990955E-17	2.750416E-18
1.625602E+04	2.773661E-17	2.552370E-18
1.663133E+04	2.521262E-17	2.330340E-18
1.701531E+04	2.310107E-17	2.149568E-18
1.740815E+04	2.171464E-17	2.034427E-18
1.781007E+04	2.118308E-17	2.002360E-18
1.822126E+04	2.148453E-17	2.056065E-18
1.864194E+04	2.236118E-17	2.162422E-18
1.907234E+04	2.343945E-17	2.273038E-18
1.951268E+04	2.446348E-17	2.367064E-18
1.996318E+04	2.527090E-17	2.442321E-18
2.042408E+04	2.551574E-17	2.468435E-18
2.089563E+04	2.479708E-17	2.400768E-18
2.137806E+04	2.303974E-17	2.234415E-18
2.187163E+04	2.060449E-17	2.015650E-18
2.237659E+04	1.803127E-17	1.793301E-18
2.289321E+04	1.584294E-17	1.606781E-18
2.342176E+04	1.436421E-17	1.492460E-18
2.396252E+04	1.360067E-17	1.488406E-18
2.451575E+04	1.337293E-17	1.657636E-18
