#wls	flux	fluxerr
3.289393E+03	8.286831E-16	5.537043E-17
3.365337E+03	8.040825E-16	5.370497E-17
3.443035E+03	7.930040E-16	5.294243E-17
3.522526E+03	7.982737E-16	5.327023E-17
3.603853E+03	8.215968E-16	5.480052E-17
3.687058E+03	8.624534E-16	5.749669E-17
3.772183E+03	9.166899E-16	6.107990E-17
3.859274E+03	9.768410E-16	6.505114E-17
3.948375E+03	1.031370E-15	6.864141E-17
4.039534E+03	1.066568E-15	7.093908E-17
4.132797E+03	1.074535E-15	7.142105E-17
4.228214E+03	1.057917E-15	7.026650E-17
4.325833E+03	1.027301E-15	6.818152E-17
4.425707E+03	9.920661E-16	6.579021E-17
4.527886E+03	9.555907E-16	6.331736E-17
4.632424E+03	9.179502E-16	6.076829E-17
4.739376E+03	8.797846E-16	5.818573E-17
4.848796E+03	8.418443E-16	5.561957E-17
4.960744E+03	8.035334E-16	5.303067E-17
5.075276E+03	7.640273E-16	5.036502E-17
5.192452E+03	7.243417E-16	4.769009E-17
5.312333E+03	6.878569E-16	4.522856E-17
5.434982E+03	6.573243E-16	4.316059E-17
5.560463E+03	6.324514E-16	4.146565E-17
5.688841E+03	6.112057E-16	4.000927E-17
5.820183E+03	5.911854E-16	3.863353E-17
5.954557E+03	5.692449E-16	3.713302E-17
6.092034E+03	5.431304E-16	3.536193E-17
6.232684E+03	5.123481E-16	3.329011E-17
6.376582E+03	4.787350E-16	3.103906E-17
6.523803E+03	4.456356E-16	2.882700E-17
6.674422E+03	4.162246E-16	2.685924E-17
6.828518E+03	3.909990E-16	2.516673E-17
6.986173E+03	3.681275E-16	2.363043E-17
7.147467E+03	3.462842E-16	2.216486E-17
7.312485E+03	3.261897E-16	2.081605E-17
7.481313E+03	3.089605E-16	1.965465E-17
7.654039E+03	2.949038E-16	1.869896E-17
7.830752E+03	2.829809E-16	1.788189E-17
8.011546E+03	2.705222E-16	1.703424E-17
8.196514E+03	2.565054E-16	1.609246E-17
8.385752E+03	2.416563E-16	1.510332E-17
8.579359E+03	2.264027E-16	1.409450E-17
8.777436E+03	2.104939E-16	1.305128E-17
8.980086E+03	1.946604E-16	1.201987E-17
9.187415E+03	1.805015E-16	1.109923E-17
9.399531E+03	1.692710E-16	1.036541E-17
9.616544E+03	1.609465E-16	9.815270E-18
9.838567E+03	1.542850E-16	9.371737E-18
1.006572E+04	1.476577E-16	8.935768E-18
1.029811E+04	1.396370E-16	8.422063E-18
1.053587E+04	1.302716E-16	7.834342E-18
1.077912E+04	1.207336E-16	7.242645E-18
1.102798E+04	1.116090E-16	6.681316E-18
1.128259E+04	1.031317E-16	6.163641E-18
1.154308E+04	9.565863E-17	5.710447E-18
1.180958E+04	8.939786E-17	5.333950E-18
1.208224E+04	8.412129E-17	5.020702E-18
1.236119E+04	7.930088E-17	4.739713E-18
1.264658E+04	7.471960E-17	4.478479E-18
1.293856E+04	7.084666E-17	4.264080E-18
1.323728E+04	6.801494E-17	4.114905E-18
1.354290E+04	6.556961E-17	3.990197E-18
1.385557E+04	6.222655E-17	3.810196E-18
1.417546E+04	5.741002E-17	3.537170E-18
1.450274E+04	5.185057E-17	3.213872E-18
1.483757E+04	4.671494E-17	2.911813E-18
1.518014E+04	4.253134E-17	2.664487E-18
1.553061E+04	3.902596E-17	2.455733E-18
1.588918E+04	3.580009E-17	2.261230E-18
1.625602E+04	3.289637E-17	2.084252E-18
1.663133E+04	3.071248E-17	1.950381E-18
1.701531E+04	2.944876E-17	1.872633E-18
1.740815E+04	2.895174E-17	1.841389E-18
1.781007E+04	2.894331E-17	1.838852E-18
1.822126E+04	2.898933E-17	1.837243E-18
1.864194E+04	2.849028E-17	1.798653E-18
1.907234E+04	2.704885E-17	1.698850E-18
1.951268E+04	2.481918E-17	1.549184E-18
1.996318E+04	2.227246E-17	1.380984E-18
2.042408E+04	1.971503E-17	1.214891E-18
2.089563E+04	1.722109E-17	1.056786E-18
2.137806E+04	1.479213E-17	9.076410E-19
2.187163E+04	1.246581E-17	7.688513E-19
2.237659E+04	1.034350E-17	6.436600E-19
2.289321E+04	8.575706E-18	5.394988E-19
2.342176E+04	7.258182E-18	4.618872E-19
2.396252E+04	6.355255E-18	4.089386E-19
2.451575E+04	5.761310E-18	3.744820E-19
