#wls	flux	fluxerr
3.289393E+03	1.373226E-15	8.490433E-17
3.289393E+03	1.373226E-15	8.490433E-17
3.365337E+03	1.321897E-15	8.151623E-17
3.365337E+03	1.321897E-15	8.151623E-17
3.443035E+03	1.288213E-15	7.921805E-17
3.443035E+03	1.288213E-15	7.921805E-17
3.522526E+03	1.275322E-15	7.819396E-17
3.522526E+03	1.275322E-15	7.819396E-17
3.603853E+03	1.284087E-15	7.848476E-17
3.603853E+03	1.284087E-15	7.848476E-17
3.687058E+03	1.311611E-15	7.990044E-17
3.687058E+03	1.311611E-15	7.990044E-17
3.772183E+03	1.349859E-15	8.193985E-17
3.772183E+03	1.349859E-15	8.193985E-17
3.859274E+03	1.387405E-15	8.390256E-17
3.859274E+03	1.387405E-15	8.390256E-17
3.948375E+03	1.409868E-15	8.492019E-17
3.948375E+03	1.409868E-15	8.492019E-17
4.039534E+03	1.403325E-15	8.416639E-17
4.039534E+03	1.403325E-15	8.416639E-17
4.132797E+03	1.363582E-15	8.141201E-17
4.132797E+03	1.363582E-15	8.141201E-17
4.228214E+03	1.299201E-15	7.719348E-17
4.228214E+03	1.299201E-15	7.719348E-17
4.325833E+03	1.225919E-15	7.246411E-17
4.325833E+03	1.225919E-15	7.246411E-17
4.425707E+03	1.155547E-15	6.792904E-17
4.425707E+03	1.155547E-15	6.792904E-17
4.527886E+03	1.091554E-15	6.379074E-17
4.527886E+03	1.091554E-15	6.379074E-17
4.632424E+03	1.032955E-15	5.998796E-17
4.632424E+03	1.032955E-15	5.998796E-17
4.739376E+03	9.788057E-16	5.646272E-17
4.739376E+03	9.788057E-16	5.646272E-17
4.848796E+03	9.280546E-16	5.315206E-17
4.848796E+03	9.280546E-16	5.315206E-17
4.960744E+03	8.785715E-16	4.993308E-17
4.960744E+03	8.785715E-16	4.993308E-17
5.075276E+03	8.287663E-16	4.671703E-17
5.075276E+03	8.287663E-16	4.671703E-17
5.192452E+03	7.798118E-16	4.357279E-17
5.192452E+03	7.798118E-16	4.357279E-17
5.312333E+03	7.358791E-16	4.073306E-17
5.312333E+03	7.358791E-16	4.073306E-17
5.434982E+03	7.002731E-16	3.837402E-17
5.434982E+03	7.002731E-16	3.837402E-17
5.560463E+03	6.721406E-16	3.643799E-17
5.560463E+03	6.721406E-16	3.643799E-17
5.688841E+03	6.480082E-16	3.472764E-17
5.688841E+03	6.480082E-16	3.472764E-17
5.820183E+03	6.242578E-16	3.304580E-17
5.820183E+03	6.242578E-16	3.304580E-17
5.954557E+03	5.973723E-16	3.121002E-17
5.954557E+03	5.973723E-16	3.121002E-17
6.092034E+03	5.655803E-16	2.913819E-17
6.092034E+03	5.655803E-16	2.913819E-17
6.232684E+03	5.292967E-16	2.686557E-17
6.232684E+03	5.292967E-16	2.686557E-17
6.376582E+03	4.911160E-16	2.453636E-17
6.376582E+03	4.911160E-16	2.453636E-17
6.523803E+03	4.546091E-16	2.233529E-17
6.523803E+03	4.546091E-16	2.233529E-17
6.674422E+03	4.226597E-16	2.040222E-17
6.674422E+03	4.226597E-16	2.040222E-17
6.828518E+03	3.954638E-16	1.873925E-17
6.828518E+03	3.954638E-16	1.873925E-17
6.986173E+03	3.711643E-16	1.725177E-17
6.986173E+03	3.711643E-16	1.725177E-17
7.147467E+03	3.484196E-16	1.587506E-17
7.147467E+03	3.484196E-16	1.587506E-17
7.312485E+03	3.276517E-16	1.462789E-17
7.312485E+03	3.276517E-16	1.462789E-17
7.481313E+03	3.095073E-16	1.353728E-17
7.481313E+03	3.095073E-16	1.353728E-17
7.654039E+03	2.938883E-16	1.259592E-17
7.654039E+03	2.938883E-16	1.259592E-17
7.830752E+03	2.795952E-16	1.175018E-17
7.830752E+03	2.795952E-16	1.175018E-17
8.011546E+03	2.641611E-16	1.089401E-17
8.011546E+03	2.641611E-16	1.089401E-17
8.196514E+03	2.467910E-16	9.993361E-18
8.196514E+03	2.467910E-16	9.993361E-18
8.385752E+03	2.282871E-16	9.080113E-18
8.385752E+03	2.282871E-16	9.080113E-18
8.579359E+03	2.091862E-16	8.174021E-18
8.579359E+03	2.091862E-16	8.174021E-18
8.777436E+03	1.895596E-16	7.276351E-18
8.777436E+03	1.895596E-16	7.276351E-18
8.980086E+03	1.704399E-16	6.425361E-18
8.980086E+03	1.704399E-16	6.425361E-18
9.187415E+03	1.535236E-16	5.681790E-18
9.187415E+03	1.535236E-16	5.681790E-18
9.399531E+03	1.400174E-16	5.081864E-18
9.399531E+03	1.400174E-16	5.081864E-18
9.616544E+03	1.299279E-16	4.613871E-18
9.616544E+03	1.299279E-16	4.613871E-18
9.838567E+03	1.222185E-16	4.230371E-18
9.838567E+03	1.222185E-16	4.230371E-18
1.006572E+04	1.155082E-16	3.876045E-18
1.006572E+04	1.155082E-16	3.876045E-18
1.029811E+04	1.085248E-16	3.505265E-18
1.029811E+04	1.085248E-16	3.505265E-18
1.053587E+04	1.010470E-16	3.112740E-18
1.053587E+04	1.010470E-16	3.112740E-18
1.077912E+04	9.371623E-17	2.722026E-18
1.077912E+04	9.371623E-17	2.722026E-18
1.102798E+04	8.684811E-17	2.345497E-18
1.102798E+04	8.684811E-17	2.345497E-18
1.128259E+04	8.055556E-17	1.989722E-18
1.128259E+04	8.055556E-17	1.989722E-18
1.154308E+04	7.504904E-17	1.664697E-18
