#wls	flux	fluxerr
3.289393E+03	1.153540E-16	3.727263E-18
3.289393E+03	1.153540E-16	3.727263E-18
3.365337E+03	1.117657E-16	3.467443E-18
3.365337E+03	1.117657E-16	3.467443E-18
3.443035E+03	1.108325E-16	3.292997E-18
3.443035E+03	1.108325E-16	3.292997E-18
3.522526E+03	1.133280E-16	3.215925E-18
3.522526E+03	1.133280E-16	3.215925E-18
3.603853E+03	1.200713E-16	3.245043E-18
3.603853E+03	1.200713E-16	3.245043E-18
3.687058E+03	1.318453E-16	3.383690E-18
3.687058E+03	1.318453E-16	3.383690E-18
3.772183E+03	1.491835E-16	3.625005E-18
3.772183E+03	1.491835E-16	3.625005E-18
3.859274E+03	1.721807E-16	3.949750E-18
3.859274E+03	1.721807E-16	3.949750E-18
3.948375E+03	1.997262E-16	4.312829E-18
3.948375E+03	1.997262E-16	4.312829E-18
4.039534E+03	2.289783E-16	4.640113E-18
4.039534E+03	2.289783E-16	4.640113E-18
4.132797E+03	2.566167E-16	4.864248E-18
4.132797E+03	2.566167E-16	4.864248E-18
4.228214E+03	2.807180E-16	4.960867E-18
4.228214E+03	2.807180E-16	4.960867E-18
4.325833E+03	3.015545E-16	4.952757E-18
4.325833E+03	3.015545E-16	4.952757E-18
4.425707E+03	3.198458E-16	4.870047E-18
4.425707E+03	3.198458E-16	4.870047E-18
4.527886E+03	3.350990E-16	4.725367E-18
4.527886E+03	3.350990E-16	4.725367E-18
4.632424E+03	3.462307E-16	4.529764E-18
4.632424E+03	3.462307E-16	4.529764E-18
4.739376E+03	3.532434E-16	4.315503E-18
4.739376E+03	3.532434E-16	4.315503E-18
4.848796E+03	3.570643E-16	4.126330E-18
4.848796E+03	3.570643E-16	4.126330E-18
4.960744E+03	3.581952E-16	3.991217E-18
4.960744E+03	3.581952E-16	3.991217E-18
5.075276E+03	3.563708E-16	3.901941E-18
5.075276E+03	3.563708E-16	3.901941E-18
5.192452E+03	3.512461E-16	3.837586E-18
5.192452E+03	3.512461E-16	3.837586E-18
5.312333E+03	3.431835E-16	3.784248E-18
5.312333E+03	3.431835E-16	3.784248E-18
5.434982E+03	3.330429E-16	3.738025E-18
5.434982E+03	3.330429E-16	3.738025E-18
5.560463E+03	3.223223E-16	3.709614E-18
5.560463E+03	3.223223E-16	3.709614E-18
5.688841E+03	3.133145E-16	3.719335E-18
5.688841E+03	3.133145E-16	3.719335E-18
5.820183E+03	3.075800E-16	3.772865E-18
5.820183E+03	3.075800E-16	3.772865E-18
5.954557E+03	3.043848E-16	3.854698E-18
5.954557E+03	3.043848E-16	3.854698E-18
6.092034E+03	3.014666E-16	3.935955E-18
6.092034E+03	3.014666E-16	3.935955E-18
6.232684E+03	2.962335E-16	3.987396E-18
6.232684E+03	2.962335E-16	3.987396E-18
6.376582E+03	2.874627E-16	3.996082E-18
6.376582E+03	2.874627E-16	3.996082E-18
6.523803E+03	2.761030E-16	3.971714E-18
6.523803E+03	2.761030E-16	3.971714E-18
6.674422E+03	2.645270E-16	3.930825E-18
6.674422E+03	2.645270E-16	3.930825E-18
6.828518E+03	2.537276E-16	3.871569E-18
6.828518E+03	2.537276E-16	3.871569E-18
6.986173E+03	2.424927E-16	3.766655E-18
6.986173E+03	2.424927E-16	3.766655E-18
7.147467E+03	2.297088E-16	3.597731E-18
7.147467E+03	2.297088E-16	3.597731E-18
7.312485E+03	2.162487E-16	3.386592E-18
7.312485E+03	2.162487E-16	3.386592E-18
7.481313E+03	2.038134E-16	3.176143E-18
7.481313E+03	2.038134E-16	3.176143E-18
7.654039E+03	1.935840E-16	3.005084E-18
7.654039E+03	1.935840E-16	3.005084E-18
7.830752E+03	1.854545E-16	2.887726E-18
7.830752E+03	1.854545E-16	2.887726E-18
8.011546E+03	1.777275E-16	2.790140E-18
8.011546E+03	1.777275E-16	2.790140E-18
8.196514E+03	1.699358E-16	2.681315E-18
8.196514E+03	1.699358E-16	2.681315E-18
8.385752E+03	1.631051E-16	2.559944E-18
8.385752E+03	1.631051E-16	2.559944E-18
8.579359E+03	1.580412E-16	2.429793E-18
8.579359E+03	1.580412E-16	2.429793E-18
8.777436E+03	1.546072E-16	2.287519E-18
8.777436E+03	1.546072E-16	2.287519E-18
8.980086E+03	1.528891E-16	2.140869E-18
8.980086E+03	1.528891E-16	2.140869E-18
9.187415E+03	1.534246E-16	2.009984E-18
9.187415E+03	1.534246E-16	2.009984E-18
9.399531E+03	1.564925E-16	1.902796E-18
9.399531E+03	1.564925E-16	1.902796E-18
9.616544E+03	1.612310E-16	1.795413E-18
9.616544E+03	1.612310E-16	1.795413E-18
9.838567E+03	1.655063E-16	1.673881E-18
9.838567E+03	1.655063E-16	1.673881E-18
1.006572E+04	1.668744E-16	1.578654E-18
1.006572E+04	1.668744E-16	1.578654E-18
1.029811E+04	1.634399E-16	1.594758E-18
1.029811E+04	1.634399E-16	1.594758E-18
1.053587E+04	1.557614E-16	1.716494E-18
1.053587E+04	1.557614E-16	1.716494E-18
1.077912E+04	1.461052E-16	1.824457E-18
