#wls	flux	fluxerr
3.289393E+03	1.800582E-17	1.279098E-18
3.365337E+03	1.566606E-17	1.093583E-18
3.443035E+03	1.372290E-17	9.404033E-19
3.522526E+03	1.223462E-17	8.222152E-19
3.603853E+03	1.121963E-17	7.386261E-19
3.687058E+03	1.066741E-17	6.871551E-19
3.772183E+03	1.054907E-17	6.640982E-19
3.859274E+03	1.082970E-17	6.654354E-19
3.948375E+03	1.144191E-17	6.853087E-19
4.039534E+03	1.227608E-17	7.157392E-19
4.132797E+03	1.323876E-17	7.503216E-19
4.228214E+03	1.431529E-17	7.875895E-19
4.325833E+03	1.557664E-17	8.307652E-19
4.425707E+03	1.707879E-17	8.818577E-19
4.527886E+03	1.877788E-17	9.375803E-19
4.632424E+03	2.055716E-17	9.915411E-19
4.739376E+03	2.233763E-17	1.040051E-18
4.848796E+03	2.410037E-17	1.082804E-18
4.960744E+03	2.579529E-17	1.118379E-18
5.075276E+03	2.726056E-17	1.140802E-18
5.192452E+03	2.824430E-17	1.140991E-18
5.312333E+03	2.853595E-17	1.112701E-18
5.434982E+03	2.812077E-17	1.058048E-18
5.560463E+03	2.733657E-17	9.919267E-19
5.688841E+03	2.678455E-17	9.366615E-19
5.820183E+03	2.695841E-17	9.079658E-19
5.954557E+03	2.800488E-17	9.080738E-19
6.092034E+03	2.975241E-17	9.290605E-19
6.232684E+03	3.179718E-17	9.575769E-19
6.376582E+03	3.373065E-17	9.827095E-19
6.523803E+03	3.543727E-17	1.002879E-18
6.674422E+03	3.725400E-17	1.028056E-18
6.828518E+03	3.952241E-17	1.065940E-18
6.986173E+03	4.213065E-17	1.111261E-18
7.147467E+03	4.466561E-17	1.151767E-18
7.312485E+03	4.688142E-17	1.181575E-18
7.481313E+03	4.877322E-17	1.203279E-18
7.654039E+03	5.040992E-17	1.223765E-18
7.830752E+03	5.167249E-17	1.246407E-18
8.011546E+03	5.201808E-17	1.257816E-18
8.196514E+03	5.137601E-17	1.248158E-18
8.385752E+03	5.038023E-17	1.224216E-18
8.579359E+03	4.975494E-17	1.197857E-18
8.777436E+03	4.985334E-17	1.175165E-18
8.980086E+03	5.093967E-17	1.163463E-18
9.187415E+03	5.335781E-17	1.175993E-18
9.399531E+03	5.736802E-17	1.225102E-18
9.616544E+03	6.272061E-17	1.306946E-18
9.838567E+03	6.847391E-17	1.410431E-18
1.006572E+04	7.334872E-17	1.532114E-18
1.029811E+04	7.615048E-17	1.664882E-18
1.053587E+04	7.677588E-17	1.794022E-18
1.077912E+04	7.593420E-17	1.891752E-18
1.102798E+04	7.370825E-17	1.924164E-18
1.128259E+04	7.002633E-17	1.870126E-18
1.154308E+04	6.538921E-17	1.742266E-18
1.180958E+04	6.056225E-17	1.577740E-18
1.208224E+04	5.601229E-17	1.419439E-18
1.236119E+04	5.182587E-17	1.310819E-18
1.264658E+04	4.825627E-17	1.291550E-18
1.293856E+04	4.610696E-17	1.365838E-18
1.323728E+04	4.597884E-17	1.518827E-18
1.354290E+04	4.736524E-17	1.718694E-18
1.385557E+04	4.867977E-17	1.892668E-18
1.417546E+04	4.859913E-17	1.966891E-18
1.450274E+04	4.729978E-17	1.931613E-18
1.483757E+04	4.590841E-17	1.830599E-18
1.518014E+04	4.500659E-17	1.694850E-18
1.553061E+04	4.394194E-17	1.519944E-18
1.588918E+04	4.169365E-17	1.322416E-18
1.625602E+04	3.822127E-17	1.186745E-18
1.663133E+04	3.461657E-17	1.179422E-18
1.701531E+04	3.182005E-17	1.249776E-18
1.740815E+04	3.011526E-17	1.349007E-18
1.781007E+04	2.956366E-17	1.461959E-18
1.822126E+04	3.002701E-17	1.578481E-18
1.864194E+04	3.103408E-17	1.667888E-18
1.907234E+04	3.199099E-17	1.686847E-18
1.951268E+04	3.257400E-17	1.608952E-18
1.996318E+04	3.269887E-17	1.431066E-18
2.042408E+04	3.209916E-17	1.163147E-18
2.089563E+04	3.043082E-17	8.633942E-19
2.137806E+04	2.767946E-17	6.981910E-19
2.187163E+04	2.427001E-17	7.702837E-19
2.237659E+04	2.081417E-17	8.901826E-19
2.289321E+04	1.789917E-17	9.719254E-19
2.342176E+04	1.586974E-17	1.031793E-18
2.396252E+04	1.469501E-17	1.094989E-18
2.451575E+04	1.414268E-17	1.169669E-18
