#wls	flux	fluxerr
3.289393E+03	7.572146E-16	1.411348E-16
3.365337E+03	7.346976E-16	1.239806E-16
3.443035E+03	7.245360E-16	1.115354E-16
3.522526E+03	7.293099E-16	1.043325E-16
3.603853E+03	7.505744E-16	1.017799E-16
3.687058E+03	7.878515E-16	1.028373E-16
3.772183E+03	8.373439E-16	1.066072E-16
3.859274E+03	8.922301E-16	1.120639E-16
3.948375E+03	9.419719E-16	1.174278E-16
4.039534E+03	9.740501E-16	1.206443E-16
4.132797E+03	9.812536E-16	1.206954E-16
4.228214E+03	9.660041E-16	1.179643E-16
4.325833E+03	9.379735E-16	1.137025E-16
4.425707E+03	9.057268E-16	1.089988E-16
4.527886E+03	8.723504E-16	1.042311E-16
4.632424E+03	8.379132E-16	9.939319E-17
4.739376E+03	8.030000E-16	9.456173E-17
4.848796E+03	7.682960E-16	8.981969E-17
4.960744E+03	7.332577E-16	8.508038E-17
5.075276E+03	6.971330E-16	8.027650E-17
5.192452E+03	6.608493E-16	7.557331E-17
5.312333E+03	6.274907E-16	7.133094E-17
5.434982E+03	5.995662E-16	6.784230E-17
5.560463E+03	5.768073E-16	6.506713E-17
5.688841E+03	5.573591E-16	6.273016E-17
5.820183E+03	5.390304E-16	6.051023E-17
5.954557E+03	5.189533E-16	5.805821E-17
6.092034E+03	4.950746E-16	5.517096E-17
6.232684E+03	4.669460E-16	5.184112E-17
6.376582E+03	4.362440E-16	4.826846E-17
6.523803E+03	4.060174E-16	4.478465E-17
6.674422E+03	3.791584E-16	4.171206E-17
6.828518E+03	3.561185E-16	3.909931E-17
6.986173E+03	3.352285E-16	3.674893E-17
7.147467E+03	3.152805E-16	3.449383E-17
7.312485E+03	2.969304E-16	3.238659E-17
7.481313E+03	2.811939E-16	3.055764E-17
7.654039E+03	2.683493E-16	2.907382E-17
7.830752E+03	2.574505E-16	2.784741E-17
8.011546E+03	2.460684E-16	2.659821E-17
8.196514E+03	2.332741E-16	2.519576E-17
8.385752E+03	2.197289E-16	2.369731E-17
8.579359E+03	2.058225E-16	2.215095E-17
8.777436E+03	1.913277E-16	2.054671E-17
8.980086E+03	1.769089E-16	1.896702E-17
9.187415E+03	1.640198E-16	1.757029E-17
9.399531E+03	1.537990E-16	1.646239E-17
9.616544E+03	1.462258E-16	1.562393E-17
9.838567E+03	1.401712E-16	1.494991E-17
1.006572E+04	1.341560E-16	1.431491E-17
1.029811E+04	1.268840E-16	1.362764E-17
1.053587E+04	1.183980E-16	1.293498E-17
1.077912E+04	1.097599E-16	1.232873E-17
1.102798E+04	1.014998E-16	1.174490E-17
1.128259E+04	9.382862E-17	1.106720E-17
1.154308E+04	8.706969E-17	1.027355E-17
1.180958E+04	8.141217E-17	9.434105E-18
1.208224E+04	7.664847E-17	8.647305E-18
1.236119E+04	7.229747E-17	8.022910E-18
1.264658E+04	6.816091E-17	7.673653E-18
1.293856E+04	6.466684E-17	7.628286E-18
1.323728E+04	6.212019E-17	7.799290E-18
1.354290E+04	5.992409E-17	7.993196E-18
1.385557E+04	5.690473E-17	7.946934E-18
1.417546E+04	5.253357E-17	7.519304E-18
1.450274E+04	4.747680E-17	6.815588E-18
1.483757E+04	4.280196E-17	6.050529E-18
1.518014E+04	3.899392E-17	5.356415E-18
1.553061E+04	3.580307E-17	4.750937E-18
1.588918E+04	3.286446E-17	4.233220E-18
1.625602E+04	3.021765E-17	3.850423E-18
1.663133E+04	2.822881E-17	3.659678E-18
1.701531E+04	2.708358E-17	3.652423E-18
1.740815E+04	2.664239E-17	3.768281E-18
1.781007E+04	2.665044E-17	3.939532E-18
1.822126E+04	2.670855E-17	4.078298E-18
1.864194E+04	2.626402E-17	4.069916E-18
1.907234E+04	2.494931E-17	3.841687E-18
1.951268E+04	2.290495E-17	3.429742E-18
1.996318E+04	2.056456E-17	2.935977E-18
2.042408E+04	1.821047E-17	2.443047E-18
2.089563E+04	1.591105E-17	2.003501E-18
2.137806E+04	1.366771E-17	1.662005E-18
2.187163E+04	1.151634E-17	1.445485E-18
2.237659E+04	9.552479E-18	1.334070E-18
2.289321E+04	7.916264E-18	1.289322E-18
2.342176E+04	6.696465E-18	1.293799E-18
2.396252E+04	5.860005E-18	1.345521E-18
2.451575E+04	5.309151E-18	1.444251E-18
