#wls	flux	fluxerr
3.289393E+03	3.507491E-17	3.819067E-18
3.289393E+03	3.507491E-17	3.819067E-18
3.365337E+03	3.223992E-17	2.759880E-18
3.365337E+03	3.223992E-17	2.759880E-18
3.443035E+03	3.012559E-17	2.158750E-18
3.443035E+03	3.012559E-17	2.158750E-18
3.522526E+03	2.889350E-17	1.848862E-18
3.522526E+03	2.889350E-17	1.848862E-18
3.603853E+03	2.867561E-17	1.680724E-18
3.603853E+03	2.867561E-17	1.680724E-18
3.687058E+03	2.957639E-17	1.580569E-18
3.687058E+03	2.957639E-17	1.580569E-18
3.772183E+03	3.166276E-17	1.537397E-18
3.772183E+03	3.166276E-17	1.537397E-18
3.859274E+03	3.496221E-17	1.565989E-18
3.859274E+03	3.496221E-17	1.565989E-18
3.948375E+03	3.933206E-17	1.656461E-18
3.948375E+03	3.933206E-17	1.656461E-18
4.039534E+03	4.436976E-17	1.764421E-18
4.039534E+03	4.436976E-17	1.764421E-18
4.132797E+03	4.962193E-17	1.853842E-18
4.132797E+03	4.962193E-17	1.853842E-18
4.228214E+03	5.488409E-17	1.919573E-18
4.228214E+03	5.488409E-17	1.919573E-18
4.325833E+03	6.031207E-17	1.977747E-18
4.325833E+03	6.031207E-17	1.977747E-18
4.425707E+03	6.606684E-17	2.041366E-18
4.425707E+03	6.606684E-17	2.041366E-18
4.527886E+03	7.197202E-17	2.101316E-18
4.527886E+03	7.197202E-17	2.101316E-18
4.632424E+03	7.762690E-17	2.138844E-18
4.632424E+03	7.762690E-17	2.138844E-18
4.739376E+03	8.282420E-17	2.163348E-18
4.739376E+03	8.282420E-17	2.163348E-18
4.848796E+03	8.759651E-17	2.214510E-18
4.848796E+03	8.759651E-17	2.214510E-18
4.960744E+03	9.188247E-17	2.294552E-18
4.960744E+03	9.188247E-17	2.294552E-18
5.075276E+03	9.532154E-17	2.351418E-18
5.075276E+03	9.532154E-17	2.351418E-18
5.192452E+03	9.738775E-17	2.356420E-18
5.192452E+03	9.738775E-17	2.356420E-18
5.312333E+03	9.773297E-17	2.316334E-18
5.312333E+03	9.773297E-17	2.316334E-18
5.434982E+03	9.643501E-17	2.266698E-18
5.434982E+03	9.643501E-17	2.266698E-18
5.560463E+03	9.432072E-17	2.240581E-18
5.560463E+03	9.432072E-17	2.240581E-18
5.600438E+03	7.395712E-17	2.478842E-17
5.600638E+03	7.399460E-17	2.470970E-17
5.600838E+03	7.395031E-17	2.454030E-17
5.601039E+03	7.402016E-17	2.450083E-17
5.601239E+03	7.413785E-17	2.451392E-17
5.601439E+03	7.404402E-17	2.451860E-17
5.601639E+03	7.402016E-17	2.434130E-17
5.601839E+03	7.405596E-17	2.431012E-17
5.602039E+03	7.395542E-17	2.365774E-17
5.602239E+03	7.399460E-17	2.352337E-17
5.602439E+03	7.403038E-17	2.345779E-17
5.602639E+03	7.402868E-17	2.341189E-17
5.602839E+03	7.406789E-17	2.298221E-17
5.603039E+03	7.409689E-17	2.251694E-17
5.603239E+03	7.410372E-17	2.224681E-17
5.603439E+03	7.410713E-17	2.207653E-17
5.603639E+03	7.416346E-17	2.200588E-17
5.603839E+03	7.418054E-17	2.203836E-17
5.604039E+03	7.418225E-17	2.204655E-17
5.604239E+03	7.419762E-17	2.203643E-17
5.604439E+03	7.427968E-17	2.204638E-17
5.604639E+03	7.438408E-17	2.159447E-17
5.604839E+03	7.445434E-17	2.156176E-17
5.605039E+03	7.453152E-17	2.156352E-17
5.605239E+03	7.462597E-17	2.146851E-17
5.605439E+03	7.468958E-17	2.130481E-17
5.605639E+03	7.475668E-17	2.131796E-17
5.605839E+03	7.481178E-17	2.100686E-17
5.606039E+03	7.488589E-17	2.058928E-17
5.606239E+03	7.497216E-17	2.058149E-17
5.606440E+03	7.506371E-17	2.037538E-17
5.606640E+03	7.514671E-17	2.036716E-17
5.606840E+03	7.520557E-17	2.001501E-17
5.607039E+03	7.514325E-17	1.979731E-17
5.607239E+03	7.521596E-17	1.963236E-17
5.607440E+03	7.533556E-17	1.966482E-17
5.607640E+03	7.536679E-17	1.948170E-17
5.607840E+03	7.534770E-17	1.948629E-17
5.608039E+03	7.536332E-17	1.945217E-17
5.608239E+03	7.545187E-17	1.944209E-17
5.608439E+03	7.554053E-17	1.946189E-17
5.608639E+03	7.548836E-17	1.944673E-17
5.608839E+03	7.542581E-17	1.947107E-17
5.609039E+03	7.538241E-17	1.950674E-17
5.609239E+03	7.541018E-17	1.955746E-17
5.609439E+03	7.537894E-17	1.954264E-17
5.609639E+03	7.552139E-17	1.955919E-17
5.609839E+03	7.563974E-17	1.936935E-17
5.610039E+03	7.579141E-17	1.932076E-17
5.610239E+03	7.591717E-17	1.931268E-17
5.610439E+03	7.587872E-17	1.904426E-17
5.610639E+03	7.582283E-17	1.896564E-17
5.610839E+03	7.595214E-17	1.896907E-17
5.611039E+03	7.610619E-17	1.894769E-17
5.611239E+03	7.625881E-17	1.893490E-17
5.611439E+03	7.626934E-17	1.882026E-17
5.611639E+03	7.613599E-17	1.883619E-17
5.611840E+03	7.595564E-17	1.886853E-17
5.612040E+03	7.584553E-17	1.880939E-17
5.612240E+03	7.571118E-17	1.874009E-17
5.612440E+03	7.555792E-17	1.864968E-17
5.612640E+03	7.541366E-17	1.848717E-17
5.612840E+03	7.527833E-17	1.851323E-17
5.613040E+03	7.513460E-17	1.843913E-17
5.613240E+03	7.497216E-17	1.827656E-17
5.613440E+03	7.482729E-17	1.816334E-17
5.613640E+03	7.466207E-17	1.816309E-17
5.613840E+03	7.452809E-17	1.808245E-17
5.614040E+03	7.442006E-17	1.800342E-17
5.614240E+03	7.434983E-17	1.796740E-17
5.614440E+03	7.422155E-17	1.774767E-17
5.614640E+03	7.406619E-17	1.770658E-17
5.614840E+03	7.416517E-17	1.770490E-17
5.615040E+03	7.409689E-17	1.752804E-17
5.615240E+03	7.416688E-17	1.749701E-17
5.615440E+03	7.421129E-17	1.750855E-17
5.615640E+03	7.431047E-17	1.761146E-17
5.615840E+03	7.429507E-17	1.729474E-17
5.616040E+03	7.416005E-17	1.728902E-17
5.616240E+03	7.431389E-17	1.734154E-17
5.616440E+03	7.425573E-17	1.724034E-17
5.616640E+03	7.433272E-17	1.699838E-17
5.616840E+03	7.429678E-17	1.697872E-17
5.617040E+03	7.432929E-17	1.692645E-17
5.617241E+03	7.428652E-17	1.684920E-17
5.617441E+03	7.441320E-17	1.685609E-17
5.617641E+03	7.446119E-17	1.690489E-17
5.617841E+03	7.453839E-17	1.691487E-17
5.618041E+03	7.449892E-17	1.692454E-17
5.618241E+03	7.459505E-17	1.678582E-17
5.618441E+03	7.456414E-17	1.677072E-17
5.618641E+03	7.432587E-17	1.678475E-17
5.618841E+03	7.417029E-17	1.678280E-17
5.619041E+03	7.421471E-17	1.658500E-17
5.619240E+03	7.424548E-17	1.659150E-17
5.619440E+03	7.438408E-17	1.662790E-17
5.619641E+03	7.437380E-17	1.667475E-17
5.619841E+03	7.417542E-17	1.666612E-17
5.620041E+03	7.422667E-17	1.667121E-17
5.620240E+03	7.431731E-17	1.646905E-17
5.620440E+03	7.431389E-17	1.646573E-17
5.620640E+03	7.437038E-17	1.630765E-17
5.620840E+03	7.437894E-17	1.601299E-17
5.621040E+03	7.413444E-17	1.602590E-17
5.621240E+03	7.422496E-17	1.601083E-17
5.621440E+03	7.425915E-17	1.599159E-17
5.621640E+03	7.413785E-17	1.596581E-17
5.621840E+03	7.424548E-17	1.593966E-17
5.622040E+03	7.415834E-17	1.585976E-17
5.622240E+03	7.412590E-17	1.573557E-17
5.622440E+03	7.427112E-17	1.561295E-17
5.622641E+03	7.430362E-17	1.559141E-17
5.622841E+03	7.435668E-17	1.557549E-17
5.623041E+03	7.435839E-17	1.558038E-17
5.623241E+03	7.450064E-17	1.556449E-17
5.623441E+03	7.439436E-17	1.550278E-17
5.623641E+03	7.430534E-17	1.544389E-17
5.623841E+03	7.421129E-17	1.551266E-17
5.624041E+03	7.420617E-17	1.551047E-17
5.624241E+03	7.429165E-17	1.551347E-17
5.624441E+03	7.431902E-17	1.551407E-17
5.624641E+03	7.444234E-17	1.551345E-17
5.624841E+03	7.442520E-17	1.547720E-17
5.625041E+03	7.454354E-17	1.537513E-17
5.625241E+03	7.456242E-17	1.530114E-17
5.625441E+03	7.443205E-17	1.525725E-17
5.625641E+03	7.448692E-17	1.531719E-17
5.625841E+03	7.456242E-17	1.523602E-17
5.626041E+03	7.450579E-17	1.523748E-17
5.626241E+03	7.467410E-17	1.518756E-17
5.626441E+03	7.460364E-17	1.510847E-17
5.626641E+03	7.450064E-17	1.513840E-17
5.626841E+03	7.443548E-17	1.514743E-17
5.627041E+03	7.447663E-17	1.515097E-17
5.627241E+03	7.448006E-17	1.518490E-17
5.627441E+03	7.439778E-17	1.518966E-17
5.627641E+03	7.434641E-17	1.519185E-17
5.627841E+03	7.430876E-17	1.516745E-17
5.628042E+03	7.429336E-17	1.512406E-17
5.628242E+03	7.418908E-17	1.509994E-17
5.628442E+03	7.409689E-17	1.506798E-17
5.628642E+03	7.404743E-17	1.509664E-17
5.628842E+03	7.395372E-17	1.508866E-17
5.629042E+03	7.383631E-17	1.503337E-17
5.629242E+03	7.374117E-17	1.503261E-17
5.629442E+03	7.389584E-17	1.497246E-17
5.629642E+03	7.400993E-17	1.492175E-17
5.629842E+03	7.397075E-17	1.489771E-17
5.630042E+03	7.393669E-17	1.487502E-17
