#wls	flux	fluxerr
3.289393E+03	6.314099E-18	2.996710E-18
3.365337E+03	5.078330E-18	2.354006E-18
3.443035E+03	4.042015E-18	1.845349E-18
3.522526E+03	3.210215E-18	1.450299E-18
3.603853E+03	2.567635E-18	1.150525E-18
3.687058E+03	2.085723E-18	9.280361E-19
3.772183E+03	1.730350E-18	7.650859E-19
3.859274E+03	1.468697E-18	6.456772E-19
3.948375E+03	1.270976E-18	5.557579E-19
4.039534E+03	1.113175E-18	4.842279E-19
4.132797E+03	9.810215E-19	4.245334E-19
4.228214E+03	8.695376E-19	3.743264E-19
4.325833E+03	7.781076E-19	3.332056E-19
4.425707E+03	7.043657E-19	3.000321E-19
4.527886E+03	6.434670E-19	2.726317E-19
4.632424E+03	5.910869E-19	2.490887E-19
4.739376E+03	5.458790E-19	2.287722E-19
4.848796E+03	5.082271E-19	2.117858E-19
4.960744E+03	4.777003E-19	1.978919E-19
5.075276E+03	4.519748E-19	1.860801E-19
5.192452E+03	4.275356E-19	1.748899E-19
5.312333E+03	4.015353E-19	1.631841E-19
5.434982E+03	3.735932E-19	1.508602E-19
5.560463E+03	3.471247E-19	1.393226E-19
5.688841E+03	3.274946E-19	1.306622E-19
5.820183E+03	3.180064E-19	1.260729E-19
5.954557E+03	3.181447E-19	1.252383E-19
6.092034E+03	3.243466E-19	1.266815E-19
6.232684E+03	3.314964E-19	1.283805E-19
6.376582E+03	3.357387E-19	1.288786E-19
6.523803E+03	3.375071E-19	1.284062E-19
6.674422E+03	3.424413E-19	1.291211E-19
6.828518E+03	3.566605E-19	1.332454E-19
6.986173E+03	3.825775E-19	1.415480E-19
7.147467E+03	4.192876E-19	1.535648E-19
7.312485E+03	4.650564E-19	1.685386E-19
7.481313E+03	5.177484E-19	1.855796E-19
7.654039E+03	5.739554E-19	2.033854E-19
7.830752E+03	6.272748E-19	2.197051E-19
8.011546E+03	6.664592E-19	2.307634E-19
8.196514E+03	6.845783E-19	2.344018E-19
8.385752E+03	6.841828E-19	2.317117E-19
8.579359E+03	6.721310E-19	2.251931E-19
8.777436E+03	6.526094E-19	2.164150E-19
8.980086E+03	6.286340E-19	2.065682E-19
9.187415E+03	6.045204E-19	1.972161E-19
9.399531E+03	5.849059E-19	1.897953E-19
9.616544E+03	5.705528E-19	1.843501E-19
9.838567E+03	5.581623E-19	1.796685E-19
1.006572E+04	5.444687E-19	1.745970E-19
1.029811E+04	5.283408E-19	1.686869E-19
1.053587E+04	5.134823E-19	1.630933E-19
1.077912E+04	5.041669E-19	1.591857E-19
1.102798E+04	4.986459E-19	1.564258E-19
1.128259E+04	4.929850E-19	1.535731E-19
1.154308E+04	4.860658E-19	1.502571E-19
1.180958E+04	4.794517E-19	1.469575E-19
1.208224E+04	4.747337E-19	1.441687E-19
1.236119E+04	4.722246E-19	1.420243E-19
1.264658E+04	4.740106E-19	1.412218E-19
1.293856E+04	4.876349E-19	1.439516E-19
1.323728E+04	5.212758E-19	1.524157E-19
1.354290E+04	5.744139E-19	1.662090E-19
1.385557E+04	6.341834E-19	1.813434E-19
1.417546E+04	6.865283E-19	1.936557E-19
1.450274E+04	7.316297E-19	2.032575E-19
1.483757E+04	7.829097E-19	2.139346E-19
1.518014E+04	8.501444E-19	2.282147E-19
1.553061E+04	9.232861E-19	2.432091E-19
1.588918E+04	9.761825E-19	2.521140E-19
1.625602E+04	9.914998E-19	2.510241E-19
1.663133E+04	9.798951E-19	2.433839E-19
1.701531E+04	9.642033E-19	2.351048E-19
1.740815E+04	9.615405E-19	2.301797E-19
1.781007E+04	9.861316E-19	2.317201E-19
1.822126E+04	1.048043E-18	2.416170E-19
1.864194E+04	1.148138E-18	2.592917E-19
1.907234E+04	1.279445E-18	2.823349E-19
1.951268E+04	1.433012E-18	3.084013E-19
1.996318E+04	1.594995E-18	3.348144E-19
2.042408E+04	1.733425E-18	3.557742E-19
2.089563E+04	1.807807E-18	3.646778E-19
2.137806E+04	1.799055E-18	3.601967E-19
2.187163E+04	1.724909E-18	3.479359E-19
2.237659E+04	1.623590E-18	3.352798E-19
2.289321E+04	1.537114E-18	3.293069E-19
2.342176E+04	1.497408E-18	3.366241E-19
2.396252E+04	1.513958E-18	3.620321E-19
2.451575E+04	1.579089E-18	4.096847E-19
