#wls	flux	fluxerr
3.289393E+03	8.854960E-16	1.413792E-16
3.365337E+03	8.888526E-16	1.252734E-16
3.443035E+03	9.068561E-16	1.120697E-16
3.522526E+03	9.452451E-16	1.029670E-16
3.603853E+03	1.006427E-15	9.752442E-17
3.687058E+03	1.087016E-15	9.439702E-17
3.772183E+03	1.177239E-15	9.300987E-17
3.859274E+03	1.263677E-15	9.356117E-17
3.948375E+03	1.332326E-15	9.529002E-17
4.039534E+03	1.371094E-15	9.630177E-17
4.132797E+03	1.375292E-15	9.530143E-17
4.228214E+03	1.350208E-15	9.231990E-17
4.325833E+03	1.307670E-15	8.816428E-17
4.425707E+03	1.259432E-15	8.372496E-17
4.527886E+03	1.211851E-15	7.947340E-17
4.632424E+03	1.166062E-15	7.547991E-17
4.739376E+03	1.120475E-15	7.165774E-17
4.848796E+03	1.072453E-15	6.784815E-17
4.960744E+03	1.022043E-15	6.399638E-17
5.075276E+03	9.729157E-16	6.037223E-17
5.192452E+03	9.271426E-16	5.722126E-17
5.312333E+03	8.836760E-16	5.436956E-17
5.434982E+03	8.403617E-16	5.150851E-17
5.560463E+03	7.970037E-16	4.861892E-17
5.688841E+03	7.553909E-16	4.586193E-17
5.820183E+03	7.163385E-16	4.323984E-17
5.954557E+03	6.788481E-16	4.063430E-17
6.092034E+03	6.414004E-16	3.799773E-17
6.232684E+03	6.026877E-16	3.537298E-17
6.376582E+03	5.625356E-16	3.280579E-17
6.523803E+03	5.223658E-16	3.038983E-17
6.674422E+03	4.843763E-16	2.830450E-17
6.828518E+03	4.496315E-16	2.659667E-17
6.986173E+03	4.177810E-16	2.510871E-17
7.147467E+03	3.885283E-16	2.362925E-17
7.312485E+03	3.624347E-16	2.211366E-17
7.481313E+03	3.400593E-16	2.068654E-17
7.654039E+03	3.212002E-16	1.949792E-17
7.830752E+03	3.046480E-16	1.854737E-17
8.011546E+03	2.884258E-16	1.765990E-17
8.196514E+03	2.715604E-16	1.668810E-17
8.385752E+03	2.542920E-16	1.561422E-17
8.579359E+03	2.370583E-16	1.449603E-17
8.777436E+03	2.200619E-16	1.340775E-17
8.980086E+03	2.037526E-16	1.242078E-17
9.187415E+03	1.888024E-16	1.157837E-17
9.399531E+03	1.757184E-16	1.088928E-17
9.616544E+03	1.643036E-16	1.035360E-17
9.838567E+03	1.536241E-16	9.983713E-18
1.006572E+04	1.427407E-16	9.762920E-18
1.029811E+04	1.313010E-16	9.651362E-18
1.053587E+04	1.197829E-16	9.607295E-18
1.077912E+04	1.090087E-16	9.556428E-18
1.102798E+04	9.943193E-17	9.362796E-18
1.128259E+04	9.118821E-17	8.929623E-18
1.154308E+04	8.429027E-17	8.262841E-18
1.180958E+04	7.861662E-17	7.452602E-18
1.208224E+04	7.387763E-17	6.654941E-18
1.236119E+04	6.970330E-17	6.089965E-18
1.264658E+04	6.588463E-17	5.937460E-18
1.293856E+04	6.252722E-17	6.136267E-18
1.323728E+04	5.970147E-17	6.467265E-18
1.354290E+04	5.709878E-17	6.728341E-18
1.385557E+04	5.419072E-17	6.765197E-18
1.417546E+04	5.071875E-17	6.515329E-18
1.450274E+04	4.691836E-17	6.035449E-18
1.483757E+04	4.325098E-17	5.441079E-18
1.518014E+04	3.999162E-17	4.824812E-18
1.553061E+04	3.708086E-17	4.237182E-18
1.588918E+04	3.435678E-17	3.728232E-18
1.625602E+04	3.182070E-17	3.370918E-18
1.663133E+04	2.967147E-17	3.211932E-18
1.701531E+04	2.808952E-17	3.215531E-18
1.740815E+04	2.708058E-17	3.306594E-18
1.781007E+04	2.650902E-17	3.420998E-18
1.822126E+04	2.609441E-17	3.495610E-18
1.864194E+04	2.545176E-17	3.458943E-18
1.907234E+04	2.430444E-17	3.265510E-18
1.951268E+04	2.265958E-17	2.929455E-18
1.996318E+04	2.070344E-17	2.506899E-18
2.042408E+04	1.858227E-17	2.059751E-18
2.089563E+04	1.634488E-17	1.651478E-18
2.137806E+04	1.402471E-17	1.354105E-18
2.187163E+04	1.172450E-17	1.206420E-18
2.237659E+04	9.629393E-18	1.162552E-18
2.289321E+04	7.916375E-18	1.160408E-18
2.342176E+04	6.650157E-18	1.181287E-18
2.396252E+04	5.767263E-18	1.227660E-18
2.451575E+04	5.151851E-18	1.299763E-18
