#wls	flux	fluxerr
3.289393E+03	1.065174E-15	1.783994E-16
3.289393E+03	1.065174E-15	1.783994E-16
3.365337E+03	1.062859E-15	1.556896E-16
3.365337E+03	1.062859E-15	1.556896E-16
3.443035E+03	1.076816E-15	1.353124E-16
3.443035E+03	1.076816E-15	1.353124E-16
3.522526E+03	1.112479E-15	1.183344E-16
3.522526E+03	1.112479E-15	1.183344E-16
3.603853E+03	1.171031E-15	1.038919E-16
3.603853E+03	1.171031E-15	1.038919E-16
3.687058E+03	1.246867E-15	9.020874E-17
3.687058E+03	1.246867E-15	9.020874E-17
3.772183E+03	1.327537E-15	7.711949E-17
3.772183E+03	1.327537E-15	7.711949E-17
3.859274E+03	1.397646E-15	6.680742E-17
3.859274E+03	1.397646E-15	6.680742E-17
3.948375E+03	1.442951E-15	6.083946E-17
3.948375E+03	1.442951E-15	6.083946E-17
4.039534E+03	1.453208E-15	5.781137E-17
4.039534E+03	1.453208E-15	5.781137E-17
4.132797E+03	1.427087E-15	5.544879E-17
4.132797E+03	1.427087E-15	5.544879E-17
4.228214E+03	1.373216E-15	5.273071E-17
4.228214E+03	1.373216E-15	5.273071E-17
4.325833E+03	1.305501E-15	4.969717E-17
4.325833E+03	1.305501E-15	4.969717E-17
4.425707E+03	1.236366E-15	4.674918E-17
4.425707E+03	1.236366E-15	4.674918E-17
4.527886E+03	1.172210E-15	4.410855E-17
4.527886E+03	1.172210E-15	4.410855E-17
4.632424E+03	1.114204E-15	4.175371E-17
4.632424E+03	1.114204E-15	4.175371E-17
4.739376E+03	1.060855E-15	3.959047E-17
4.739376E+03	1.060855E-15	3.959047E-17
4.848796E+03	1.009569E-15	3.749482E-17
4.848796E+03	1.009569E-15	3.749482E-17
4.960744E+03	9.598041E-16	3.539661E-17
4.960744E+03	9.598041E-16	3.539661E-17
5.075276E+03	9.139210E-16	3.349768E-17
5.075276E+03	9.139210E-16	3.349768E-17
5.192452E+03	8.729003E-16	3.203524E-17
5.192452E+03	8.729003E-16	3.203524E-17
5.312333E+03	8.350764E-16	3.083013E-17
5.312333E+03	8.350764E-16	3.083013E-17
5.434982E+03	7.978663E-16	2.956674E-17
5.434982E+03	7.978663E-16	2.956674E-17
5.560463E+03	7.604591E-16	2.820965E-17
5.560463E+03	7.604591E-16	2.820965E-17
5.688841E+03	7.239305E-16	2.687622E-17
5.688841E+03	7.239305E-16	2.687622E-17
5.820183E+03	6.887421E-16	2.553573E-17
5.820183E+03	6.887421E-16	2.553573E-17
5.954557E+03	6.539995E-16	2.405342E-17
5.954557E+03	6.539995E-16	2.405342E-17
6.092034E+03	6.185729E-16	2.235446E-17
6.092034E+03	6.185729E-16	2.235446E-17
6.232684E+03	5.816872E-16	2.046759E-17
6.232684E+03	5.816872E-16	2.046759E-17
6.376582E+03	5.435945E-16	1.849739E-17
6.376582E+03	5.435945E-16	1.849739E-17
6.523803E+03	5.058227E-16	1.668867E-17
6.523803E+03	5.058227E-16	1.668867E-17
6.674422E+03	4.703733E-16	1.535246E-17
6.674422E+03	4.703733E-16	1.535246E-17
6.828518E+03	4.381333E-16	1.455259E-17
6.828518E+03	4.381333E-16	1.455259E-17
6.986173E+03	4.087629E-16	1.405298E-17
6.986173E+03	4.087629E-16	1.405298E-17
7.147467E+03	3.819786E-16	1.352525E-17
7.147467E+03	3.819786E-16	1.352525E-17
7.312485E+03	3.581768E-16	1.284096E-17
7.312485E+03	3.581768E-16	1.284096E-17
7.481313E+03	3.376593E-16	1.209954E-17
7.481313E+03	3.376593E-16	1.209954E-17
7.654039E+03	3.200201E-16	1.146358E-17
7.654039E+03	3.200201E-16	1.146358E-17
7.830752E+03	3.039725E-16	1.096232E-17
7.830752E+03	3.039725E-16	1.096232E-17
8.011546E+03	2.875844E-16	1.047458E-17
8.011546E+03	2.875844E-16	1.047458E-17
8.196514E+03	2.698978E-16	9.898951E-18
8.196514E+03	2.698978E-16	9.898951E-18
8.385752E+03	2.511375E-16	9.229801E-18
8.385752E+03	2.511375E-16	9.229801E-18
8.579359E+03	2.318103E-16	8.510481E-18
8.579359E+03	2.318103E-16	8.510481E-18
8.777436E+03	2.123347E-16	7.793240E-18
8.777436E+03	2.123347E-16	7.793240E-18
8.980086E+03	1.934371E-16	7.133926E-18
8.980086E+03	1.934371E-16	7.133926E-18
9.187415E+03	1.760229E-16	6.587081E-18
9.187415E+03	1.760229E-16	6.587081E-18
9.399531E+03	1.607434E-16	6.205445E-18
9.399531E+03	1.607434E-16	6.205445E-18
9.616544E+03	1.475303E-16	6.063832E-18
9.616544E+03	1.475303E-16	6.063832E-18
9.838567E+03	1.356365E-16	6.229494E-18
9.838567E+03	1.356365E-16	6.229494E-18
1.006572E+04	1.242881E-16	6.644554E-18
1.006572E+04	1.242881E-16	6.644554E-18
1.029811E+04	1.131510E-16	7.155918E-18
