#wls	flux	fluxerr
3.289393E+03	8.792185E-18	9.261077E-19
3.289393E+03	8.792185E-18	9.261077E-19
3.365337E+03	7.369490E-18	5.900569E-19
3.365337E+03	7.369490E-18	5.900569E-19
3.443035E+03	6.132460E-18	4.116194E-19
3.443035E+03	6.132460E-18	4.116194E-19
3.522526E+03	5.123149E-18	3.187640E-19
3.522526E+03	5.123149E-18	3.187640E-19
3.603853E+03	4.346760E-18	2.618676E-19
3.603853E+03	4.346760E-18	2.618676E-19
3.687058E+03	3.779676E-18	2.223331E-19
3.687058E+03	3.779676E-18	2.223331E-19
3.772183E+03	3.385209E-18	1.949266E-19
3.772183E+03	3.385209E-18	1.949266E-19
3.859274E+03	3.126637E-18	1.770464E-19
3.859274E+03	3.126637E-18	1.770464E-19
3.948375E+03	2.969976E-18	1.659276E-19
3.948375E+03	2.969976E-18	1.659276E-19
4.039534E+03	2.882688E-18	1.587791E-19
4.039534E+03	2.882688E-18	1.587791E-19
4.132797E+03	2.838269E-18	1.537722E-19
4.132797E+03	2.838269E-18	1.537722E-19
4.228214E+03	2.823152E-18	1.505036E-19
4.228214E+03	2.823152E-18	1.505036E-19
4.325833E+03	2.836999E-18	1.493237E-19
4.325833E+03	2.836999E-18	1.493237E-19
4.425707E+03	2.885215E-18	1.501950E-19
4.425707E+03	2.885215E-18	1.501950E-19
4.527886E+03	2.965659E-18	1.523391E-19
4.527886E+03	2.965659E-18	1.523391E-19
4.632424E+03	3.063801E-18	1.546061E-19
4.632424E+03	3.063801E-18	1.546061E-19
4.739376E+03	3.157289E-18	1.561148E-19
4.739376E+03	3.157289E-18	1.561148E-19
4.848796E+03	3.223043E-18	1.565230E-19
4.848796E+03	3.223043E-18	1.565230E-19
4.960744E+03	3.257445E-18	1.558490E-19
4.960744E+03	3.257445E-18	1.558490E-19
5.075276E+03	3.282368E-18	1.542831E-19
5.075276E+03	3.282368E-18	1.542831E-19
5.192452E+03	3.316971E-18	1.522557E-19
5.192452E+03	3.316971E-18	1.522557E-19
5.312333E+03	3.367758E-18	1.508664E-19
5.312333E+03	3.367758E-18	1.508664E-19
5.434982E+03	3.434212E-18	1.521292E-19
5.434982E+03	3.434212E-18	1.521292E-19
5.560463E+03	3.520891E-18	1.577557E-19
5.560463E+03	3.520891E-18	1.577557E-19
5.688841E+03	3.641597E-18	1.663895E-19
5.688841E+03	3.641597E-18	1.663895E-19
5.820183E+03	3.806513E-18	1.745873E-19
5.820183E+03	3.806513E-18	1.745873E-19
5.954557E+03	4.012668E-18	1.802649E-19
5.954557E+03	4.012668E-18	1.802649E-19
6.092034E+03	4.243118E-18	1.824325E-19
6.092034E+03	4.243118E-18	1.824325E-19
6.232684E+03	4.468243E-18	1.805561E-19
6.232684E+03	4.468243E-18	1.805561E-19
6.376582E+03	4.663924E-18	1.760525E-19
6.376582E+03	4.663924E-18	1.760525E-19
6.523803E+03	4.840801E-18	1.728391E-19
6.523803E+03	4.840801E-18	1.728391E-19
6.674422E+03	5.058187E-18	1.739883E-19
6.674422E+03	5.058187E-18	1.739883E-19
6.828518E+03	5.387358E-18	1.791151E-19
6.828518E+03	5.387358E-18	1.791151E-19
6.986173E+03	5.864103E-18	1.880130E-19
6.986173E+03	5.864103E-18	1.880130E-19
7.147467E+03	6.481768E-18	2.018802E-19
7.147467E+03	6.481768E-18	2.018802E-19
7.312485E+03	7.214703E-18	2.204798E-19
7.312485E+03	7.214703E-18	2.204798E-19
7.481313E+03	8.024440E-18	2.402224E-19
7.481313E+03	8.024440E-18	2.402224E-19
7.654039E+03	8.847671E-18	2.564190E-19
7.654039E+03	8.847671E-18	2.564190E-19
7.830752E+03	9.585968E-18	2.680113E-19
7.830752E+03	9.585968E-18	2.680113E-19
8.011546E+03	1.012036E-17	2.783944E-19
8.011546E+03	1.012036E-17	2.783944E-19
8.196514E+03	1.041526E-17	2.882377E-19
8.196514E+03	1.041526E-17	2.882377E-19
8.385752E+03	1.055311E-17	2.947177E-19
8.385752E+03	1.055311E-17	2.947177E-19
8.579359E+03	1.065653E-17	2.969690E-19
8.579359E+03	1.065653E-17	2.969690E-19
8.777436E+03	1.080271E-17	2.954613E-19
8.777436E+03	1.080271E-17	2.954613E-19
8.980086E+03	1.102636E-17	2.945371E-19
8.980086E+03	1.102636E-17	2.945371E-19
9.187415E+03	1.136102E-17	3.048155E-19
9.187415E+03	1.136102E-17	3.048155E-19
9.399531E+03	1.186593E-17	3.299421E-19
9.399531E+03	1.186593E-17	3.299421E-19
9.616544E+03	1.256644E-17	3.663137E-19
9.616544E+03	1.256644E-17	3.663137E-19
9.838567E+03	1.337925E-17	4.136886E-19
9.838567E+03	1.337925E-17	4.136886E-19
1.006572E+04	1.413309E-17	4.644677E-19
1.006572E+04	1.413309E-17	4.644677E-19
1.029811E+04	1.465440E-17	5.014389E-19
1.029811E+04	1.465440E-17	5.014389E-19
1.053587E+04	1.488540E-17	5.167305E-19
1.053587E+04	1.488540E-17	5.167305E-19
1.077912E+04	1.486447E-17	5.163930E-19
1.077912E+04	1.486447E-17	5.163930E-19
1.102798E+04	1.460166E-17	5.083981E-19
1.102798E+04	1.460166E-17	5.083981E-19
1.128259E+04	1.410044E-17	4.935017E-19
1.128259E+04	1.410044E-17	4.935017E-19
1.154308E+04	1.341885E-17	4.686983E-19
1.154308E+04	1.341885E-17	4.686983E-19
1.180958E+04	1.266138E-17	4.358959E-19
1.180958E+04	1.266138E-17	4.358959E-19
1.208224E+04	1.192996E-17	3.998981E-19
1.208224E+04	1.192996E-17	3.998981E-19
1.236119E+04	1.129810E-17	3.708867E-19
1.236119E+04	1.129810E-17	3.708867E-19
1.264658E+04	1.084358E-17	3.634950E-19
1.264658E+04	1.084358E-17	3.634950E-19
1.293856E+04	1.067748E-17	3.775383E-19
1.293856E+04	1.067748E-17	3.775383E-19
1.323728E+04	1.087206E-17	4.079617E-19
1.323728E+04	1.087206E-17	4.079617E-19
1.354290E+04	1.136795E-17	4.493983E-19
1.354290E+04	1.136795E-17	4.493983E-19
1.385557E+04	1.196739E-17	4.803161E-19
1.385557E+04	1.196739E-17	4.803161E-19
1.417546E+04	1.247443E-17	4.827802E-19
1.417546E+04	1.247443E-17	4.827802E-19
1.450274E+04	1.284560E-17	4.654252E-19
1.450274E+04	1.284560E-17	4.654252E-19
1.483757E+04	1.317468E-17	4.491592E-19
1.483757E+04	1.317468E-17	4.491592E-19
1.518014E+04	1.352318E-17	4.406369E-19
1.518014E+04	1.352318E-17	4.406369E-19
1.553061E+04	1.377004E-17	4.304900E-19
1.553061E+04	1.377004E-17	4.304900E-19
1.588918E+04	1.368643E-17	4.066278E-19
1.588918E+04	1.368643E-17	4.066278E-19
1.625602E+04	1.317939E-17	3.749497E-19
1.625602E+04	1.317939E-17	3.749497E-19
