#wls	flux	fluxerr
3.289393E+03	4.824234E-18	2.373839E-18
3.365337E+03	3.782326E-18	1.814911E-18
3.443035E+03	2.931881E-18	1.380969E-18
3.522526E+03	2.267053E-18	1.052548E-18
3.603853E+03	1.766048E-18	8.100733E-19
3.687058E+03	1.397764E-18	6.342660E-19
3.772183E+03	1.129889E-18	5.076677E-19
3.859274E+03	9.344496E-19	4.160136E-19
3.948375E+03	7.891653E-19	3.482989E-19
4.039534E+03	6.770041E-19	2.963128E-19
4.132797E+03	5.863197E-19	2.545355E-19
4.228214E+03	5.107608E-19	2.199598E-19
4.325833E+03	4.475995E-19	1.912448E-19
4.425707E+03	3.954278E-19	1.676512E-19
4.527886E+03	3.522735E-19	1.482223E-19
4.632424E+03	3.156110E-19	1.318004E-19
4.739376E+03	2.832029E-19	1.173839E-19
4.848796E+03	2.535624E-19	1.043115E-19
4.960744E+03	2.267183E-19	9.256341E-20
5.075276E+03	2.036991E-19	8.252847E-20
5.192452E+03	1.847556E-19	7.427520E-20
5.312333E+03	1.693218E-19	6.754646E-20
5.434982E+03	1.566008E-19	6.200066E-20
5.560463E+03	1.460860E-19	5.741317E-20
5.688841E+03	1.376426E-19	5.369686E-20
5.820183E+03	1.310882E-19	5.074638E-20
5.954557E+03	1.260079E-19	4.838211E-20
6.092034E+03	1.218464E-19	4.638394E-20
6.232684E+03	1.180236E-19	4.453012E-20
6.376582E+03	1.143228E-19	4.274317E-20
6.523803E+03	1.113071E-19	4.123748E-20
6.674422E+03	1.103354E-19	4.050520E-20
6.828518E+03	1.127611E-19	4.100879E-20
6.986173E+03	1.191915E-19	4.292361E-20
7.147467E+03	1.294931E-19	4.615584E-20
7.312485E+03	1.431808E-19	5.048794E-20
7.481313E+03	1.594386E-19	5.558975E-20
7.654039E+03	1.768464E-19	6.093493E-20
7.830752E+03	1.931965E-19	6.576167E-20
8.011546E+03	2.058135E-19	6.920022E-20
8.196514E+03	2.133917E-19	7.087392E-20
8.385752E+03	2.167513E-19	7.111010E-20
8.579359E+03	2.176352E-19	7.052526E-20
8.777436E+03	2.171650E-19	6.953130E-20
8.980086E+03	2.158302E-19	6.835285E-20
9.187415E+03	2.143324E-19	6.727428E-20
9.399531E+03	2.140935E-19	6.672637E-20
9.616544E+03	2.161401E-19	6.695566E-20
9.838567E+03	2.199993E-19	6.774409E-20
1.006572E+04	2.241964E-19	6.857098E-20
1.029811E+04	2.273865E-19	6.897338E-20
1.053587E+04	2.295794E-19	6.895606E-20
1.077912E+04	2.315929E-19	6.880807E-20
1.102798E+04	2.334353E-19	6.857195E-20
1.128259E+04	2.346399E-19	6.812469E-20
1.154308E+04	2.352226E-19	6.746470E-20
1.180958E+04	2.359321E-19	6.679761E-20
1.208224E+04	2.378572E-19	6.642106E-20
1.236119E+04	2.420876E-19	6.663501E-20
1.264658E+04	2.502025E-19	6.787117E-20
1.293856E+04	2.649155E-19	7.080914E-20
1.323728E+04	2.888941E-19	7.604589E-20
1.354290E+04	3.224091E-19	8.350144E-20
1.385557E+04	3.621465E-19	9.212519E-20
1.417546E+04	4.037994E-19	1.006731E-19
1.450274E+04	4.462028E-19	1.088273E-19
1.483757E+04	4.920954E-19	1.172618E-19
1.518014E+04	5.438556E-19	1.264654E-19
1.553061E+04	5.975537E-19	1.354147E-19
1.588918E+04	6.429539E-19	1.418200E-19
1.625602E+04	6.717722E-19	1.441636E-19
1.663133E+04	6.867234E-19	1.434774E-19
1.701531E+04	6.997474E-19	1.424300E-19
1.740815E+04	7.241852E-19	1.436167E-19
1.781007E+04	7.712693E-19	1.490210E-19
1.822126E+04	8.474661E-19	1.594375E-19
1.864194E+04	9.518205E-19	1.738584E-19
1.907234E+04	1.077978E-18	1.901401E-19
1.951268E+04	1.219110E-18	2.065651E-19
1.996318E+04	1.367165E-18	2.221017E-19
2.042408E+04	1.505660E-18	2.351853E-19
2.089563E+04	1.609861E-18	2.441011E-19
2.137806E+04	1.660233E-18	2.493800E-19
2.187163E+04	1.657963E-18	2.543663E-19
2.237659E+04	1.627823E-18	2.625671E-19
2.289321E+04	1.606419E-18	2.776271E-19
2.342176E+04	1.623751E-18	3.044303E-19
2.396252E+04	1.689757E-18	3.481587E-19
2.451575E+04	1.796681E-18	4.136586E-19
