#wls	flux	fluxerr
3.289393E+03	1.027121E-15	1.688207E-16
3.289393E+03	1.027121E-15	1.688207E-16
3.365337E+03	1.026161E-15	1.473094E-16
3.365337E+03	1.026161E-15	1.473094E-16
3.443035E+03	1.041188E-15	1.281352E-16
3.443035E+03	1.041188E-15	1.281352E-16
3.522526E+03	1.077727E-15	1.123639E-16
3.522526E+03	1.077727E-15	1.123639E-16
3.603853E+03	1.137235E-15	9.918264E-17
3.603853E+03	1.137235E-15	9.918264E-17
3.687058E+03	1.214568E-15	8.687376E-17
3.687058E+03	1.214568E-15	8.687376E-17
3.715800E+03	7.288699E-16	2.430692E-16
3.716100E+03	7.289202E-16	2.419645E-16
3.716300E+03	7.296255E-16	2.406177E-16
3.716500E+03	7.286014E-16	2.388731E-16
3.716700E+03	7.285846E-16	2.377570E-16
3.717000E+03	7.277966E-16	2.356222E-16
3.717200E+03	7.275285E-16	2.334098E-16
3.717500E+03	7.268587E-16	2.332339E-16
3.717700E+03	7.266579E-16	2.332926E-16
3.718000E+03	7.260725E-16	2.335857E-16
3.718200E+03	7.257382E-16	2.304724E-16
3.718500E+03	7.246528E-16	2.294494E-16
3.718700E+03	7.244860E-16	2.297007E-16
3.719000E+03	7.237524E-16	2.285465E-16
3.719200E+03	7.238024E-16	2.279606E-16
3.719500E+03	7.238690E-16	2.279798E-16
3.719700E+03	7.228031E-16	2.229963E-16
3.720000E+03	7.223705E-16	2.252763E-16
3.720200E+03	7.222374E-16	2.218533E-16
3.720500E+03	7.219714E-16	2.231068E-16
3.720700E+03	7.223705E-16	2.218196E-16
3.721000E+03	7.223040E-16	2.184551E-16
3.721200E+03	7.230028E-16	2.193661E-16
3.721500E+03	7.242525E-16	2.187282E-16
3.721700E+03	7.232859E-16	2.165032E-16
3.722000E+03	7.229862E-16	2.163504E-16
3.722200E+03	7.223871E-16	2.164795E-16
3.722500E+03	7.218883E-16	2.173319E-16
3.722700E+03	7.217221E-16	2.173548E-16
3.723000E+03	7.211407E-16	2.178917E-16
3.723200E+03	7.221876E-16	2.171722E-16
3.723500E+03	7.226866E-16	2.177905E-16
3.723700E+03	7.216390E-16	2.178429E-16
3.724000E+03	7.204934E-16	2.182759E-16
3.724300E+03	7.209083E-16	2.183804E-16
3.724500E+03	7.212735E-16	2.178940E-16
3.724800E+03	7.217886E-16	2.177730E-16
3.725000E+03	7.209415E-16	2.141701E-16
3.725300E+03	7.213566E-16	2.126878E-16
3.725500E+03	7.207755E-16	2.128064E-16
3.725800E+03	7.203607E-16	2.121580E-16
3.726000E+03	7.202612E-16	2.113631E-16
3.726300E+03	7.198467E-16	2.115962E-16
3.726500E+03	7.207921E-16	2.112914E-16
3.726700E+03	7.215227E-16	2.112704E-16
3.726900E+03	7.207257E-16	2.112472E-16
3.727200E+03	7.212071E-16	2.091643E-16
3.727400E+03	7.215892E-16	2.085668E-16
3.727700E+03	7.216722E-16	2.005257E-16
3.727900E+03	7.220545E-16	2.005189E-16
3.728200E+03	7.216556E-16	1.982074E-16
3.728400E+03	7.209083E-16	1.981168E-16
3.728700E+03	7.197638E-16	1.944219E-16
3.728900E+03	7.190349E-16	1.918293E-16
3.729200E+03	7.201451E-16	1.919205E-16
3.729400E+03	7.202612E-16	1.920397E-16
3.729700E+03	7.209415E-16	1.917534E-16
3.729900E+03	7.196975E-16	1.931583E-16
3.730200E+03	7.190846E-16	1.914442E-16
3.730400E+03	7.188529E-16	1.930998E-16
3.730700E+03	7.203939E-16	1.851154E-16
3.730900E+03	7.205598E-16	1.849226E-16
3.731200E+03	7.201119E-16	1.850240E-16
3.731400E+03	7.201285E-16	1.849926E-16
3.731700E+03	7.207091E-16	1.830160E-16
3.731900E+03	7.199959E-16	1.752818E-16
3.732200E+03	7.199627E-16	1.744051E-16
3.732400E+03	7.202778E-16	1.744128E-16
3.732700E+03	7.214230E-16	1.745863E-16
3.732900E+03	7.226866E-16	1.745379E-16
3.733200E+03	7.227864E-16	1.752075E-16
3.733400E+03	7.233192E-16	1.740182E-16
3.733700E+03	7.237524E-16	1.740114E-16
