#wls	flux	fluxerr
3.289393E+03	1.045983E-17	5.308890E-18
3.365337E+03	1.059044E-17	5.318127E-18
3.443035E+03	1.069314E-17	5.322590E-18
3.522526E+03	1.076623E-17	5.328013E-18
3.603853E+03	1.080784E-17	5.334111E-18
3.687058E+03	1.081591E-17	5.334244E-18
3.772183E+03	1.078843E-17	5.318598E-18
3.859274E+03	1.072463E-17	5.277545E-18
3.948375E+03	1.062567E-17	5.203779E-18
4.039534E+03	1.049442E-17	5.093102E-18
4.132797E+03	1.033540E-17	4.944646E-18
4.228214E+03	1.015423E-17	4.760559E-18
4.325833E+03	9.956723E-18	4.545415E-18
4.425707E+03	9.747815E-18	4.305730E-18
4.527886E+03	9.530998E-18	4.049912E-18
4.632424E+03	9.308477E-18	3.788783E-18
4.739376E+03	9.081612E-18	3.536161E-18
4.848796E+03	8.851256E-18	3.308799E-18
4.960744E+03	8.618383E-18	3.124838E-18
5.075276E+03	8.384578E-18	2.999549E-18
5.192452E+03	8.151733E-18	2.938361E-18
5.312333E+03	7.921946E-18	2.932245E-18
5.434982E+03	7.697796E-18	2.963390E-18
5.560463E+03	7.482761E-18	3.014259E-18
5.688841E+03	7.281215E-18	3.072463E-18
5.820183E+03	7.097880E-18	3.131641E-18
5.954557E+03	6.937300E-18	3.190299E-18
6.092034E+03	6.803295E-18	3.249960E-18
6.232684E+03	6.697613E-18	3.312851E-18
6.376582E+03	6.617967E-18	3.379514E-18
6.523803E+03	6.558043E-18	3.448267E-18
6.674422E+03	6.509023E-18	3.516273E-18
6.828518E+03	6.460460E-18	3.580311E-18
6.986173E+03	6.401105E-18	3.637330E-18
7.147467E+03	6.319749E-18	3.684674E-18
7.312485E+03	6.206011E-18	3.719817E-18
7.481313E+03	6.051572E-18	3.739849E-18
7.654039E+03	5.852591E-18	3.741413E-18
7.830752E+03	5.612223E-18	3.721454E-18
8.011546E+03	5.339283E-18	3.678186E-18
8.196514E+03	5.045061E-18	3.611882E-18
8.385752E+03	4.740956E-18	3.524960E-18
8.579359E+03	4.437056E-18	3.421488E-18
8.777436E+03	4.141747E-18	3.306663E-18
8.980086E+03	3.861896E-18	3.186429E-18
9.187415E+03	3.602864E-18	3.066909E-18
9.399531E+03	3.368371E-18	2.953759E-18
9.616544E+03	3.160373E-18	2.851593E-18
9.838567E+03	2.979203E-18	2.763710E-18
1.006572E+04	2.823900E-18	2.692082E-18
1.029811E+04	2.692221E-18	2.637102E-18
1.053587E+04	2.580325E-18	2.597022E-18
1.077912E+04	2.483741E-18	2.568660E-18
1.102798E+04	2.399301E-18	2.549352E-18
1.128259E+04	2.325306E-18	2.537587E-18
1.154308E+04	2.261022E-18	2.532911E-18
1.180958E+04	2.206277E-18	2.535694E-18
1.208224E+04	2.161159E-18	2.546837E-18
1.236119E+04	2.125787E-18	2.567437E-18
1.264658E+04	2.100071E-18	2.598354E-18
1.293856E+04	2.083461E-18	2.639706E-18
1.323728E+04	2.074920E-18	2.690739E-18
1.354290E+04	2.073082E-18	2.750052E-18
1.385557E+04	2.076457E-18	2.815919E-18
1.417546E+04	2.083677E-18	2.886670E-18
1.450274E+04	2.093625E-18	2.960912E-18
1.483757E+04	2.105340E-18	3.037450E-18
1.518014E+04	2.117810E-18	3.115001E-18
1.553061E+04	2.129874E-18	3.192023E-18
1.588918E+04	2.140411E-18	3.266948E-18
1.625602E+04	2.148736E-18	3.338751E-18
1.663133E+04	2.155047E-18	3.407631E-18
1.701531E+04	2.160262E-18	3.474828E-18
1.740815E+04	2.165298E-18	3.541594E-18
1.781007E+04	2.170877E-18	3.608928E-18
1.822126E+04	2.177478E-18	3.677516E-18
1.864194E+04	2.185409E-18	3.747842E-18
1.907234E+04	2.195075E-18	3.820641E-18
1.951268E+04	2.207199E-18	3.897309E-18
1.996318E+04	2.222742E-18	3.979794E-18
2.042408E+04	2.242640E-18	4.070146E-18
2.089563E+04	2.267652E-18	4.170214E-18
2.137806E+04	2.298342E-18	4.281583E-18
2.187163E+04	2.335138E-18	4.405608E-18
2.237659E+04	2.378439E-18	4.543550E-18
2.289321E+04	2.428786E-18	4.696902E-18
2.342176E+04	2.486781E-18	4.867255E-18
2.396252E+04	2.552700E-18	5.055582E-18
2.451575E+04	2.626390E-18	5.261995E-18
