#wls	flux	fluxerr
3.289393E+03	1.212341E-16	1.415877E-17
3.289393E+03	1.212341E-16	1.415877E-17
3.365337E+03	1.209385E-16	1.150693E-17
3.365337E+03	1.209385E-16	1.150693E-17
3.443035E+03	1.224278E-16	9.728656E-18
3.443035E+03	1.224278E-16	9.728656E-18
3.522526E+03	1.268909E-16	8.772581E-18
3.522526E+03	1.268909E-16	8.772581E-18
3.603853E+03	1.352518E-16	8.353636E-18
3.603853E+03	1.352518E-16	8.353636E-18
3.687058E+03	1.479028E-16	8.153495E-18
3.687058E+03	1.479028E-16	8.153495E-18
3.772183E+03	1.646173E-16	8.022668E-18
3.772183E+03	1.646173E-16	8.022668E-18
3.859274E+03	1.847008E-16	8.009409E-18
3.859274E+03	1.847008E-16	8.009409E-18
3.948375E+03	2.069434E-16	8.172647E-18
3.948375E+03	2.069434E-16	8.172647E-18
4.039534E+03	2.294660E-16	8.429111E-18
4.039534E+03	2.294660E-16	8.429111E-18
4.063300E+03	1.515095E-16	5.076465E-17
4.063500E+03	1.518728E-16	5.067405E-17
4.063800E+03	1.517714E-16	5.051253E-17
4.064100E+03	1.520933E-16	5.066532E-17
4.064400E+03	1.517609E-16	5.048235E-17
4.064600E+03	1.520127E-16	5.091995E-17
4.064900E+03	1.523526E-16	5.099714E-17
4.065200E+03	1.523035E-16	5.113431E-17
4.065500E+03	1.524439E-16	5.144543E-17
4.065700E+03	1.525527E-16	5.145311E-17
4.066000E+03	1.519917E-16	5.168026E-17
4.066200E+03	1.514921E-16	5.131413E-17
4.066500E+03	1.515828E-16	5.187623E-17
4.066700E+03	1.515444E-16	5.174378E-17
4.067000E+03	1.520232E-16	5.149579E-17
4.067300E+03	1.524649E-16	5.150663E-17
4.067600E+03	1.526265E-16	5.124436E-17
4.067800E+03	1.526652E-16	5.060716E-17
4.068100E+03	1.531581E-16	5.084138E-17
4.068400E+03	1.534970E-16	5.085927E-17
4.068600E+03	1.538686E-16	5.080605E-17
4.068900E+03	1.541594E-16	5.057763E-17
4.069200E+03	1.541984E-16	5.061232E-17
4.069500E+03	1.545717E-16	5.071358E-17
4.069700E+03	1.548210E-16	5.019877E-17
4.070000E+03	1.554032E-16	5.011798E-17
4.070300E+03	1.557722E-16	5.003996E-17
4.070600E+03	1.559445E-16	4.972196E-17
4.070800E+03	1.561241E-16	4.995086E-17
4.071100E+03	1.557328E-16	4.986513E-17
4.071400E+03	1.558117E-16	4.809985E-17
4.071700E+03	1.562248E-16	4.804220E-17
4.071900E+03	1.566535E-16	4.780931E-17
4.072200E+03	1.566535E-16	4.796817E-17
4.072500E+03	1.569676E-16	4.715926E-17
4.072800E+03	1.567040E-16	4.762458E-17
4.073000E+03	1.564156E-16	4.774168E-17
4.073300E+03	1.565453E-16	4.808647E-17
4.073600E+03	1.568375E-16	4.825327E-17
4.073900E+03	1.566571E-16	4.935330E-17
4.074100E+03	1.565273E-16	4.990695E-17
4.074400E+03	1.566968E-16	4.994887E-17
4.074700E+03	1.565453E-16	5.037708E-17
4.075000E+03	1.563184E-16	5.055176E-17
4.075200E+03	1.565381E-16	5.031496E-17
4.075500E+03	1.566066E-16	5.028952E-17
4.075800E+03	1.564660E-16	5.034115E-17
4.076100E+03	1.563580E-16	5.056658E-17
4.076300E+03	1.564084E-16	5.058573E-17
4.076500E+03	1.563868E-16	5.075912E-17
4.076800E+03	1.564480E-16	5.146325E-17
4.077100E+03	1.565489E-16	5.153058E-17
4.077300E+03	1.564300E-16	5.154983E-17
4.077600E+03	1.566895E-16	5.162984E-17
4.077900E+03	1.563508E-16	5.168695E-17
4.078200E+03	1.567004E-16	5.168803E-17
4.078400E+03	1.572606E-16	5.080488E-17
4.078700E+03	1.574527E-16	5.016495E-17
4.079000E+03	1.575615E-16	5.021061E-17
4.079300E+03	1.576014E-16	4.991672E-17
4.079500E+03	1.575723E-16	4.958817E-17
4.079800E+03	1.575615E-16	4.967679E-17
4.080100E+03	1.579647E-16	4.986302E-17
4.080400E+03	1.575433E-16	4.984124E-17
4.080600E+03	1.576231E-16	4.993320E-17
4.080900E+03	1.577938E-16	5.126697E-17
4.081200E+03	1.578556E-16	5.118759E-17
4.081500E+03	1.578629E-16	5.060792E-17
4.081700E+03	1.577757E-16	5.077567E-17
4.082000E+03	1.576159E-16	5.070560E-17
4.082300E+03	1.575252E-16	5.077827E-17
4.082600E+03	1.577066E-16	5.074685E-17
4.082800E+03	1.570037E-16	5.112122E-17
4.083100E+03	1.570327E-16	5.146477E-17
4.083400E+03	1.565525E-16	5.101647E-17
4.083700E+03	1.568556E-16	5.098070E-17
4.083900E+03	1.569929E-16	5.097490E-17
4.084200E+03	1.573041E-16	5.067364E-17
4.084500E+03	1.572968E-16	5.004475E-17
4.084800E+03	1.569965E-16	5.140087E-17
4.085000E+03	1.574962E-16	5.144711E-17
4.085300E+03	1.578556E-16	5.183105E-17
4.085600E+03	1.579683E-16	5.181401E-17
4.085900E+03	1.576268E-16	5.143134E-17
4.086100E+03	1.577284E-16	5.107408E-17
4.086400E+03	1.584091E-16	5.135265E-17
4.086600E+03	1.588108E-16	5.130151E-17
4.086900E+03	1.592795E-16	5.137445E-17
4.087100E+03	1.590596E-16	5.136428E-17
4.087400E+03	1.590816E-16	5.136592E-17
4.087700E+03	1.591622E-16	4.997673E-17
4.088000E+03	1.587706E-16	5.000784E-17
4.088200E+03	1.589096E-16	5.036044E-17
4.088500E+03	1.592135E-16	5.049289E-17
4.088800E+03	1.595622E-16	5.044074E-17
4.089100E+03	1.596026E-16	5.056082E-17
4.089300E+03	1.593713E-16	5.053421E-17
4.089600E+03	1.589608E-16	5.060368E-17
4.089900E+03	1.584127E-16	5.064482E-17
4.090200E+03	1.582632E-16	5.070081E-17
4.090400E+03	1.582523E-16	5.083144E-17
4.090700E+03	1.579829E-16	5.063050E-17
4.091000E+03	1.587523E-16	5.061488E-17
4.091300E+03	1.587048E-16	5.063262E-17
4.091500E+03	1.590853E-16	5.046511E-17
4.091800E+03	1.592649E-16	5.048108E-17
4.092100E+03	1.594337E-16	5.032389E-17
4.092400E+03	1.597055E-16	4.981891E-17
4.092600E+03	1.601364E-16	4.932274E-17
4.092900E+03	1.603688E-16	4.951657E-17
4.093200E+03	1.600553E-16	4.977705E-17
4.093500E+03	1.598159E-16	5.027880E-17
4.093700E+03	1.599779E-16	5.028752E-17
4.094000E+03	1.592355E-16	5.061507E-17
4.094300E+03	1.587669E-16	5.056811E-17
4.094600E+03	1.586865E-16	5.045294E-17
4.094800E+03	1.586646E-16	5.045430E-17
4.095100E+03	1.593456E-16	5.037417E-17
4.095400E+03	1.593272E-16	5.038763E-17
4.095700E+03	1.591366E-16	4.951262E-17
4.095900E+03	1.594777E-16	4.922438E-17
4.096200E+03	1.595879E-16	4.878473E-17
4.096500E+03	1.594887E-16	4.899477E-17
4.096800E+03	1.592099E-16	4.907983E-17
4.097000E+03	1.591366E-16	4.922765E-17
4.097200E+03	1.591989E-16	4.905349E-17
4.097500E+03	1.589278E-16	4.896899E-17
4.097800E+03	1.590377E-16	4.963166E-17
4.098100E+03	1.593896E-16	4.963055E-17
4.098300E+03	1.591989E-16	4.956918E-17
4.098600E+03	1.594594E-16	4.887783E-17
4.098900E+03	1.598012E-16	4.888164E-17
4.099200E+03	1.601622E-16	4.874631E-17
4.099400E+03	1.608829E-16	4.832736E-17
4.099700E+03	1.612353E-16	4.891898E-17
4.100000E+03	1.612650E-16	4.878500E-17
4.100300E+03	1.609941E-16	4.877846E-17
4.100500E+03	1.606238E-16	4.851319E-17
4.100800E+03	1.601327E-16	4.830154E-17
4.101100E+03	1.596908E-16	4.823460E-17
4.101400E+03	1.597423E-16	4.827406E-17
4.101600E+03	1.593126E-16	4.831373E-17
4.101900E+03	1.592025E-16	4.829863E-17
4.102200E+03	1.589022E-16	4.826328E-17
4.102500E+03	1.589827E-16	4.900611E-17
4.102800E+03	1.588620E-16	4.970845E-17
4.103000E+03	1.589132E-16	4.999876E-17
4.103300E+03	1.584018E-16	5.003688E-17
4.103600E+03	1.585842E-16	4.984582E-17
4.103900E+03	1.589132E-16	4.943691E-17
4.104100E+03	1.591952E-16	4.950869E-17
4.104400E+03	1.592355E-16	4.995165E-17
4.104700E+03	1.592759E-16	5.004271E-17
4.105000E+03	1.593052E-16	4.982058E-17
4.105200E+03	1.593052E-16	4.954268E-17
4.105500E+03	1.591036E-16	4.944305E-17
4.105800E+03	1.594667E-16	4.937028E-17
4.106100E+03	1.597570E-16	4.985241E-17
4.106300E+03	1.593052E-16	4.953861E-17
4.106600E+03	1.592649E-16	4.929452E-17
4.106900E+03	1.596761E-16	4.901535E-17
4.107100E+03	1.595769E-16	4.880756E-17
4.107400E+03	1.597570E-16	4.831500E-17
4.107600E+03	1.600885E-16	4.972503E-17
4.107900E+03	1.606608E-16	4.876660E-17
4.108200E+03	1.608904E-16	4.813594E-17
4.108500E+03	1.609015E-16	4.809329E-17
4.108700E+03	1.608496E-16	4.758998E-17
4.109000E+03	1.605684E-16	4.759935E-17
4.109300E+03	1.610201E-16	4.761720E-17
4.109600E+03	1.616628E-16	4.795031E-17
4.109800E+03	1.618341E-16	4.802781E-17
4.110100E+03	1.618229E-16	4.788849E-17
4.110400E+03	1.618043E-16	4.805376E-17
4.110700E+03	1.618751E-16	4.841684E-17
4.111000E+03	1.612947E-16	4.777157E-17
4.111200E+03	1.615437E-16	4.846108E-17
4.111500E+03	1.619646E-16	4.870955E-17
4.111800E+03	1.616553E-16	4.954011E-17
4.112100E+03	1.615548E-16	4.946390E-17
4.112300E+03	1.617149E-16	4.960197E-17
4.112600E+03	1.614433E-16	4.961324E-17
4.112900E+03	1.613058E-16	4.954591E-17
4.113200E+03	1.614247E-16	4.949167E-17
4.113400E+03	1.616963E-16	4.958930E-17
4.113700E+03	1.615660E-16	5.001192E-17
4.114000E+03	1.619571E-16	4.993358E-17
4.114300E+03	1.620877E-16	4.986986E-17
4.114600E+03	1.625287E-16	4.998043E-17
4.114800E+03	1.624389E-16	4.998742E-17
4.115100E+03	1.628583E-16	4.925085E-17
4.115400E+03	1.627909E-16	4.934650E-17
4.115700E+03	1.624987E-16	4.932859E-17
4.115900E+03	1.621287E-16	5.004802E-17
4.116200E+03	1.618676E-16	5.004844E-17
4.116500E+03	1.616590E-16	5.014967E-17
4.116800E+03	1.613281E-16	5.038801E-17
