#wls	flux	fluxerr
3.289393E+03	5.006600E-18	2.311747E-18
3.365337E+03	3.930823E-18	1.765851E-18
3.443035E+03	3.051444E-18	1.343657E-18
3.522526E+03	2.363325E-18	1.024824E-18
3.603853E+03	1.844490E-18	7.896948E-19
3.687058E+03	1.463041E-18	6.193397E-19
3.772183E+03	1.185647E-18	4.967599E-19
3.859274E+03	9.833835E-19	4.080986E-19
3.948375E+03	8.331494E-19	3.426609E-19
4.039534E+03	7.172197E-19	2.924494E-19
4.132797E+03	6.234410E-19	2.520802E-19
4.228214E+03	5.452040E-19	2.186309E-19
4.325833E+03	4.797222E-19	1.908198E-19
4.425707E+03	4.256000E-19	1.679544E-19
4.527886E+03	3.808057E-19	1.491121E-19
4.632424E+03	3.426710E-19	1.331530E-19
4.739376E+03	3.088065E-19	1.190816E-19
4.848796E+03	2.776202E-19	1.062401E-19
4.960744E+03	2.491879E-19	9.462691E-20
5.075276E+03	2.247089E-19	8.466705E-20
5.192452E+03	2.045302E-19	7.645917E-20
5.312333E+03	1.880835E-19	6.976238E-20
5.434982E+03	1.745278E-19	6.424262E-20
5.560463E+03	1.633364E-19	5.968192E-20
5.688841E+03	1.543921E-19	5.600028E-20
5.820183E+03	1.475159E-19	5.309448E-20
5.954557E+03	1.422551E-19	5.078116E-20
6.092034E+03	1.379864E-19	4.883152E-20
6.232684E+03	1.340474E-19	4.701146E-20
6.376582E+03	1.301850E-19	4.523842E-20
6.523803E+03	1.270425E-19	4.374190E-20
6.674422E+03	1.261883E-19	4.305054E-20
6.828518E+03	1.291956E-19	4.366326E-20
6.986173E+03	1.367809E-19	4.577286E-20
7.147467E+03	1.488036E-19	4.928329E-20
7.312485E+03	1.647140E-19	5.396471E-20
7.481313E+03	1.835787E-19	5.946504E-20
7.654039E+03	2.037634E-19	6.522076E-20
7.830752E+03	2.227184E-19	7.041567E-20
8.011546E+03	2.373475E-19	7.411811E-20
8.196514E+03	2.461478E-19	7.592771E-20
8.385752E+03	2.500913E-19	7.620195E-20
8.579359E+03	2.512207E-19	7.560943E-20
8.777436E+03	2.508500E-19	7.459827E-20
8.980086E+03	2.495506E-19	7.341649E-20
9.187415E+03	2.481303E-19	7.237527E-20
9.399531E+03	2.482258E-19	7.193477E-20
9.616544E+03	2.510094E-19	7.234996E-20
9.838567E+03	2.558971E-19	7.337118E-20
1.006572E+04	2.611253E-19	7.441526E-20
1.029811E+04	2.650786E-19	7.495949E-20
1.053587E+04	2.677414E-19	7.500111E-20
1.077912E+04	2.700628E-19	7.485972E-20
1.102798E+04	2.720512E-19	7.458838E-20
1.128259E+04	2.731675E-19	7.405723E-20
1.154308E+04	2.734495E-19	7.326867E-20
1.180958E+04	2.737959E-19	7.245276E-20
1.208224E+04	2.754951E-19	7.193952E-20
1.236119E+04	2.798228E-19	7.206150E-20
1.264658E+04	2.886137E-19	7.329523E-20
1.293856E+04	3.050087E-19	7.638090E-20
1.323728E+04	3.320719E-19	8.196274E-20
1.354290E+04	3.700682E-19	8.994661E-20
1.385557E+04	4.151104E-19	9.917740E-20
1.417546E+04	4.621810E-19	1.082929E-19
1.450274E+04	5.099129E-19	1.169511E-19
1.483757E+04	5.614419E-19	1.258923E-19
1.518014E+04	6.194706E-19	1.356473E-19
1.553061E+04	6.794501E-19	1.451071E-19
1.588918E+04	7.296627E-19	1.518072E-19
1.625602E+04	7.607445E-19	1.541439E-19
1.663133E+04	7.759661E-19	1.532745E-19
1.701531E+04	7.890428E-19	1.520845E-19
1.740815E+04	8.151310E-19	1.533577E-19
1.781007E+04	8.668672E-19	1.592296E-19
1.822126E+04	9.514086E-19	1.705560E-19
1.864194E+04	1.067474E-18	1.862218E-19
1.907234E+04	1.207685E-18	2.038659E-19
1.951268E+04	1.364183E-18	2.216150E-19
1.996318E+04	1.527816E-18	2.383709E-19
2.042408E+04	1.680014E-18	2.524309E-19
2.089563E+04	1.793039E-18	2.618784E-19
2.137806E+04	1.845151E-18	2.672395E-19
2.187163E+04	1.838000E-18	2.721271E-19
2.237659E+04	1.799625E-18	2.802968E-19
2.289321E+04	1.771056E-18	2.956362E-19
2.342176E+04	1.785596E-18	3.234234E-19
2.396252E+04	1.853997E-18	3.693534E-19
2.451575E+04	1.967359E-18	4.388716E-19
