#wls	flux	fluxerr
1.592848E+03	1.239773E-03	4.105870E-05
1.632669E+03	1.263851E-03	4.167130E-05
1.672491E+03	1.289882E-03	4.233662E-05
1.712312E+03	1.317898E-03	4.305444E-05
1.752133E+03	1.348046E-03	4.382829E-05
1.791954E+03	1.380579E-03	4.466498E-05
1.831775E+03	1.415283E-03	4.555605E-05
1.871597E+03	1.452521E-03	4.651156E-05
1.911418E+03	1.492304E-03	4.753013E-05
1.951239E+03	1.534646E-03	4.861039E-05
1.991060E+03	1.579459E-03	4.974759E-05
2.030881E+03	1.626770E-03	5.094073E-05
2.070703E+03	1.676405E-03	5.218235E-05
2.110524E+03	1.727999E-03	5.345919E-05
2.150345E+03	1.781531E-03	5.476878E-05
2.190166E+03	1.836590E-03	5.609666E-05
2.229987E+03	1.892903E-03	5.743296E-05
2.269809E+03	1.950439E-03	5.877512E-05
2.309630E+03	2.009388E-03	6.012732E-05
2.349451E+03	2.070258E-03	6.150290E-05
2.389272E+03	2.133668E-03	6.291797E-05
2.429093E+03	2.200249E-03	6.438850E-05
2.468915E+03	2.270941E-03	6.593866E-05
2.508736E+03	2.346422E-03	6.758418E-05
2.548557E+03	2.427597E-03	6.934653E-05
2.588378E+03	2.515143E-03	7.123965E-05
2.628199E+03	2.609892E-03	7.328111E-05
2.668021E+03	2.712573E-03	7.548452E-05
2.707842E+03	2.824006E-03	7.786514E-05
2.747663E+03	2.945115E-03	8.043999E-05
2.787484E+03	3.076845E-03	8.322547E-05
2.827305E+03	3.220260E-03	8.623987E-05
2.867127E+03	3.376718E-03	8.950790E-05
2.906948E+03	3.547498E-03	9.305037E-05
2.946769E+03	3.734401E-03	9.689988E-05
2.986590E+03	3.938964E-03	1.010799E-04
2.996546E+03	3.993169E-03	1.021823E-04
3.006501E+03	4.048549E-03	1.033057E-04
3.016456E+03	4.105122E-03	1.044503E-04
3.026411E+03	4.163073E-03	1.056205E-04
3.036367E+03	4.222332E-03	1.068142E-04
3.046322E+03	4.282898E-03	1.080310E-04
3.056277E+03	4.344873E-03	1.092732E-04
3.066233E+03	4.408164E-03	1.105380E-04
3.076188E+03	4.472774E-03	1.118253E-04
3.086143E+03	4.538878E-03	1.131389E-04
3.096099E+03	4.606285E-03	1.144739E-04
3.106054E+03	4.675071E-03	1.158317E-04
3.116009E+03	4.745122E-03	1.172091E-04
3.125964E+03	4.816693E-03	1.186121E-04
3.135920E+03	4.889462E-03	1.200324E-04
3.145875E+03	4.963485E-03	1.214711E-04
3.155830E+03	5.038800E-03	1.229287E-04
3.165786E+03	5.115345E-03	1.244034E-04
3.175741E+03	5.192852E-03	1.258884E-04
3.185696E+03	5.271521E-03	1.273881E-04
3.195652E+03	5.351054E-03	1.288952E-04
