#wls	flux	fluxerr
1.592848E+03	1.847240E-03	5.354320E-05
1.632669E+03	1.892301E-03	5.450884E-05
1.672491E+03	1.940811E-03	5.554910E-05
1.712312E+03	1.992870E-03	5.666422E-05
1.752133E+03	2.048756E-03	5.785924E-05
1.791954E+03	2.108916E-03	5.914366E-05
1.831775E+03	2.173088E-03	6.050675E-05
1.871597E+03	2.241892E-03	6.196225E-05
1.911418E+03	2.315418E-03	6.350876E-05
1.951239E+03	2.393763E-03	6.514479E-05
1.991060E+03	2.476861E-03	6.686427E-05
2.030881E+03	2.564833E-03	6.866599E-05
2.070703E+03	2.657474E-03	7.053992E-05
2.110524E+03	2.754278E-03	7.246806E-05
2.150345E+03	2.855273E-03	7.444669E-05
2.190166E+03	2.959859E-03	7.645574E-05
2.229987E+03	3.067654E-03	7.848111E-05
2.269809E+03	3.178649E-03	8.051851E-05
2.309630E+03	3.293211E-03	8.257288E-05
2.349451E+03	3.412234E-03	8.466181E-05
2.389272E+03	3.536821E-03	8.680690E-05
2.429093E+03	3.668128E-03	8.902976E-05
2.468915E+03	3.807864E-03	9.136372E-05
2.508736E+03	3.957347E-03	9.383076E-05
2.548557E+03	4.118330E-03	9.646127E-05
2.588378E+03	4.292237E-03	9.927570E-05
2.628199E+03	4.480836E-03	1.023002E-04
2.668021E+03	4.685803E-03	1.055565E-04
2.707842E+03	4.909084E-03	1.090696E-04
2.747663E+03	5.152944E-03	1.128688E-04
2.787484E+03	5.419891E-03	1.169851E-04
2.827305E+03	5.712878E-03	1.214551E-04
2.867127E+03	6.035721E-03	1.263290E-04
2.906948E+03	6.392559E-03	1.316580E-04
2.946769E+03	6.789096E-03	1.375183E-04
2.986590E+03	7.231408E-03	1.439850E-04
2.996546E+03	7.350191E-03	1.457111E-04
3.006501E+03	7.472313E-03	1.474802E-04
3.016456E+03	7.597887E-03	1.492935E-04
3.026411E+03	7.727378E-03	1.511591E-04
3.036367E+03	7.860731E-03	1.530749E-04
3.046322E+03	7.998075E-03	1.550422E-04
3.056277E+03	8.139713E-03	1.570656E-04
3.066233E+03	8.285603E-03	1.591431E-04
3.076188E+03	8.435874E-03	1.612760E-04
3.086143E+03	8.591027E-03	1.634724E-04
3.096099E+03	8.750846E-03	1.657269E-04
3.106054E+03	8.915648E-03	1.680441E-04
3.116009E+03	9.085397E-03	1.704218E-04
3.125964E+03	9.260786E-03	1.728714E-04
3.135920E+03	9.441405E-03	1.753838E-04
3.145875E+03	9.627580E-03	1.779633E-04
3.155830E+03	9.819633E-03	1.806143E-04
3.165786E+03	1.001770E-02	1.833374E-04
3.175741E+03	1.022151E-02	1.861262E-04
3.185696E+03	1.043176E-02	1.889912E-04
3.195652E+03	1.064817E-02	1.919256E-04
3.205607E+03	1.087099E-02	1.949322E-04
3.215562E+03	1.110011E-02	1.980069E-04
3.225517E+03	1.133575E-02	2.011516E-04
3.235473E+03	1.157791E-02	2.043646E-04
3.245428E+03	1.182656E-02	2.076433E-04
3.255383E+03	1.208141E-02	2.109808E-04
3.265339E+03	1.234255E-02	2.143764E-04
3.275294E+03	1.260978E-02	2.178251E-04
3.285249E+03	1.288262E-02	2.213167E-04
3.295205E+03	1.316096E-02	2.248473E-04
3.305160E+03	1.344414E-02	2.284043E-04
3.315115E+03	1.373183E-02	2.319806E-04
3.325070E+03	1.402316E-02	2.355601E-04
3.335026E+03	1.431734E-02	2.391283E-04
3.344981E+03	1.461342E-02	2.426687E-04
3.354936E+03	1.491029E-02	2.461623E-04
3.364892E+03	1.520668E-02	2.495877E-04
3.374847E+03	1.550088E-02	2.529171E-04
3.384802E+03	1.579142E-02	2.561275E-04
3.394758E+03	1.607598E-02	2.591821E-04
3.404713E+03	1.635291E-02	2.620563E-04
3.414668E+03	1.661946E-02	2.647085E-04
3.424623E+03	1.687318E-02	2.671029E-04
3.434579E+03	1.711144E-02	2.692018E-04
3.444534E+03	1.733128E-02	2.709634E-04
3.454489E+03	1.753015E-02	2.723537E-04
3.464445E+03	1.770501E-02	2.733319E-04
3.474400E+03	1.785287E-02	2.738589E-04
3.484355E+03	1.797112E-02	2.739035E-04
3.494311E+03	1.805712E-02	2.734340E-04
3.504266E+03	1.810887E-02	2.724303E-04
3.514221E+03	1.812392E-02	2.708661E-04
3.524176E+03	1.810109E-02	2.687345E-04
3.534132E+03	1.803911E-02	2.660285E-04
3.544087E+03	1.793757E-02	2.627538E-04
3.554042E+03	1.779619E-02	2.589181E-04
3.563998E+03	1.761557E-02	2.545423E-04
3.573953E+03	1.739783E-02	2.496686E-04
3.583908E+03	1.714560E-02	2.443457E-04
3.593864E+03	1.686433E-02	2.386613E-04
3.603819E+03	1.656050E-02	2.327151E-04
3.613774E+03	1.624091E-02	2.266090E-04
3.623729E+03	1.591270E-02	2.204469E-04
3.633685E+03	1.558332E-02	2.143336E-04
3.643640E+03	1.525959E-02	2.083629E-04
3.653595E+03	1.494851E-02	2.026283E-04
3.663551E+03	1.465626E-02	1.972088E-04
3.673506E+03	1.438907E-02	1.921825E-04
3.683461E+03	1.415256E-02	1.876164E-04
3.693417E+03	1.395210E-02	1.835720E-04
