#wls	flux	fluxerr
1.592848E+03	3.466904E-04	1.230297E-05
1.632669E+03	3.565151E-04	1.259938E-05
1.672491E+03	3.655247E-04	1.286283E-05
1.712312E+03	3.735855E-04	1.308885E-05
1.752133E+03	3.805266E-04	1.327180E-05
1.791954E+03	3.859453E-04	1.339810E-05
1.831775E+03	3.891747E-04	1.344538E-05
1.871597E+03	3.896144E-04	1.339400E-05
1.911418E+03	3.865755E-04	1.322180E-05
1.951239E+03	3.796362E-04	1.291626E-05
1.991060E+03	3.690820E-04	1.248921E-05
2.030881E+03	3.565659E-04	1.199838E-05
2.070703E+03	3.453802E-04	1.155517E-05
2.110524E+03	3.399276E-04	1.130538E-05
2.150345E+03	3.442393E-04	1.137887E-05
2.190166E+03	3.601341E-04	1.182938E-05
2.229987E+03	3.867698E-04	1.262190E-05
2.269809E+03	4.214613E-04	1.366210E-05
2.309630E+03	4.610334E-04	1.484193E-05
2.349451E+03	5.028705E-04	1.607386E-05
2.389272E+03	5.452704E-04	1.730161E-05
2.429093E+03	5.873589E-04	1.849654E-05
2.468915E+03	6.289338E-04	1.965183E-05
2.508736E+03	6.700834E-04	2.076986E-05
2.548557E+03	7.111462E-04	2.186061E-05
2.588378E+03	7.524747E-04	2.293415E-05
2.628199E+03	7.944848E-04	2.400207E-05
2.668021E+03	8.375450E-04	2.507410E-05
2.707842E+03	8.820178E-04	2.615931E-05
2.747663E+03	9.282555E-04	2.726604E-05
2.787484E+03	9.765683E-04	2.840094E-05
2.827305E+03	1.027249E-03	2.956971E-05
2.867127E+03	1.080623E-03	3.077854E-05
2.906948E+03	1.136918E-03	3.203043E-05
2.946769E+03	1.196446E-03	3.333030E-05
2.986590E+03	1.259335E-03	3.467749E-05
2.996546E+03	1.275627E-03	3.502239E-05
3.006501E+03	1.292114E-03	3.536948E-05
3.016456E+03	1.308790E-03	3.571854E-05
3.026411E+03	1.325733E-03	3.607162E-05
3.036367E+03	1.342995E-03	3.643007E-05
3.046322E+03	1.360664E-03	3.679611E-05
3.056277E+03	1.378733E-03	3.716948E-05
