#wls	flux	fluxerr
1.592848E+03	6.411683E-04	6.858914E-06
1.632669E+03	6.699984E-04	7.136151E-06
1.672491E+03	6.980750E-04	7.401913E-06
1.712312E+03	7.253635E-04	7.655828E-06
1.752133E+03	7.513395E-04	7.892393E-06
1.791954E+03	7.750493E-04	8.101724E-06
1.831775E+03	7.952611E-04	8.271255E-06
1.871597E+03	8.103129E-04	8.384248E-06
1.911418E+03	8.185085E-04	8.424002E-06
1.951239E+03	8.185904E-04	8.378727E-06
1.991060E+03	8.106883E-04	8.251098E-06
2.030881E+03	7.981169E-04	8.076050E-06
2.070703E+03	7.880032E-04	7.926131E-06
2.110524E+03	7.907349E-04	7.904763E-06
2.150345E+03	8.165395E-04	8.111131E-06
2.190166E+03	8.711331E-04	8.597148E-06
2.229987E+03	9.538667E-04	9.350612E-06
2.269809E+03	1.059624E-03	1.031575E-05
2.309630E+03	1.181316E-03	1.141890E-05
2.349451E+03	1.312980E-03	1.259895E-05
2.389272E+03	1.450595E-03	1.381486E-05
2.429093E+03	1.592052E-03	1.504478E-05
2.468915E+03	1.736768E-03	1.628168E-05
2.508736E+03	1.884803E-03	1.752467E-05
2.548557E+03	2.037044E-03	1.878043E-05
2.588378E+03	2.194264E-03	2.005426E-05
2.628199E+03	2.357423E-03	2.135285E-05
2.668021E+03	2.527332E-03	2.268121E-05
2.707842E+03	2.704872E-03	2.404457E-05
2.747663E+03	2.890700E-03	2.544589E-05
2.787484E+03	3.085335E-03	2.688654E-05
2.827305E+03	3.289407E-03	2.836862E-05
2.867127E+03	3.503393E-03	2.989259E-05
2.906948E+03	3.727973E-03	3.146034E-05
2.946769E+03	3.963932E-03	3.307431E-05
2.986590E+03	4.212135E-03	3.473715E-05
2.996546E+03	4.276175E-03	3.516056E-05
3.006501E+03	4.341049E-03	3.558721E-05
3.016456E+03	4.406755E-03	3.601701E-05
3.026411E+03	4.473464E-03	3.645125E-05
3.036367E+03	4.541375E-03	3.689146E-05
3.046322E+03	4.610803E-03	3.734008E-05
3.056277E+03	4.681852E-03	3.779782E-05
3.066233E+03	4.754239E-03	3.826225E-05
3.076188E+03	4.828076E-03	3.873416E-05
3.086143E+03	4.903183E-03	3.921195E-05
3.096099E+03	4.979480E-03	3.969489E-05
3.106054E+03	5.057088E-03	4.018382E-05
3.116009E+03	5.135728E-03	4.067639E-05
3.125964E+03	5.215426E-03	4.117272E-05
3.135920E+03	5.296103E-03	4.167208E-05
3.145875E+03	5.377781E-03	4.217453E-05
3.155830E+03	5.460284E-03	4.267860E-05
3.165786E+03	5.543632E-03	4.318437E-05
3.175741E+03	5.627743E-03	4.369108E-05
3.185696E+03	5.712432E-03	4.419724E-05
3.195652E+03	5.797715E-03	4.470290E-05
3.205607E+03	5.883602E-03	4.520806E-05
3.215562E+03	5.969796E-03	4.571038E-05
3.225517E+03	6.056402E-03	4.621059E-05
3.235473E+03	6.143113E-03	4.670632E-05
3.245428E+03	6.230129E-03	4.719906E-05
3.255383E+03	6.317027E-03	4.768555E-05
3.265339E+03	6.403789E-03	4.816563E-05
3.275294E+03	6.490393E-03	4.863916E-05
3.285249E+03	6.576603E-03	4.910434E-05
3.295205E+03	6.662380E-03	4.956090E-05
3.305160E+03	6.747373E-03	5.000625E-05
3.315115E+03	6.831526E-03	5.044002E-05
3.325070E+03	6.914669E-03	5.086101E-05
3.335026E+03	6.996619E-03	5.126795E-05
3.344981E+03	7.077163E-03	5.165935E-05
3.354936E+03	7.155948E-03	5.203276E-05
3.364892E+03	7.232681E-03	5.238617E-05
3.374847E+03	7.307009E-03	5.271721E-05
3.384802E+03	7.378526E-03	5.302314E-05
3.394758E+03	7.446656E-03	5.330006E-05
3.404713E+03	7.510864E-03	5.354444E-05
3.414668E+03	7.570537E-03	5.375226E-05
3.424623E+03	7.624899E-03	5.391839E-05
3.434579E+03	7.673223E-03	5.403819E-05
3.444534E+03	7.714762E-03	5.410691E-05
3.454489E+03	7.748570E-03	5.411856E-05
3.464445E+03	7.774039E-03	5.406956E-05
3.474400E+03	7.790419E-03	5.395545E-05
3.484355E+03	7.797054E-03	5.377251E-05
3.494311E+03	7.793498E-03	5.351855E-05
3.504266E+03	7.779256E-03	5.319108E-05
3.514221E+03	7.754180E-03	5.279007E-05
3.524176E+03	7.718209E-03	5.231606E-05
3.534132E+03	7.671470E-03	5.177091E-05
3.544087E+03	7.614296E-03	5.115784E-05
3.554042E+03	7.547231E-03	5.048143E-05
3.563998E+03	7.470964E-03	4.974721E-05
3.573953E+03	7.386572E-03	4.896315E-05
3.583908E+03	7.295209E-03	4.813762E-05
3.593864E+03	7.198407E-03	4.728136E-05
3.603819E+03	7.097672E-03	4.640473E-05
3.613774E+03	6.994981E-03	4.552100E-05
3.623729E+03	6.892076E-03	4.464165E-05
3.633685E+03	6.791097E-03	4.378053E-05
3.643640E+03	6.694128E-03	4.295086E-05
3.653595E+03	6.603459E-03	4.216693E-05
3.663551E+03	6.521244E-03	4.144187E-05
3.673506E+03	6.449880E-03	4.079011E-05
3.683461E+03	6.391676E-03	4.022518E-05
3.693417E+03	6.349112E-03	3.976142E-05
3.703372E+03	6.324572E-03	3.941227E-05
3.713327E+03	6.320656E-03	3.919218E-05
3.723282E+03	6.339767E-03	3.911409E-05
3.733238E+03	6.384583E-03	3.919229E-05
3.743193E+03	6.457700E-03	3.944026E-05
3.753148E+03	6.561810E-03	3.987172E-05
3.763104E+03	6.699594E-03	4.049997E-05
3.773059E+03	6.873891E-03	4.133894E-05
3.783014E+03	7.087363E-03	4.240112E-05
3.792970E+03	7.342807E-03	4.369949E-05
