#wls	flux	fluxerr
1.592848E+03	4.134719E-17	4.900109E-18
1.632669E+03	4.317991E-17	5.085922E-18
1.672491E+03	4.489376E-17	5.254386E-18
1.712312E+03	4.645880E-17	5.402182E-18
1.752133E+03	4.785135E-17	5.526821E-18
1.791954E+03	4.897700E-17	5.617787E-18
1.831775E+03	4.974501E-17	5.665309E-18
1.871597E+03	5.003169E-17	5.656223E-18
1.911418E+03	4.972611E-17	5.579256E-18
1.951239E+03	4.875227E-17	5.427468E-18
1.991060E+03	4.716755E-17	5.208984E-18
2.030881E+03	4.524699E-17	4.955646E-18
2.070703E+03	4.352846E-17	4.726880E-18
2.110524E+03	4.274114E-17	4.600705E-18
2.150345E+03	4.356418E-17	4.646941E-18
2.190166E+03	4.638647E-17	4.901927E-18
2.229987E+03	5.123248E-17	5.362079E-18
2.269809E+03	5.784741E-17	5.994513E-18
2.309630E+03	6.582039E-17	6.751158E-18
2.349451E+03	7.475720E-17	7.587165E-18
2.389272E+03	8.433831E-17	8.466735E-18
2.429093E+03	9.435185E-17	9.366062E-18
2.468915E+03	1.046684E-16	1.027031E-17
2.508736E+03	1.152112E-16	1.117026E-17
2.548557E+03	1.259434E-16	1.206088E-17
2.588378E+03	1.368373E-16	1.293813E-17
2.628199E+03	1.478385E-16	1.379557E-17
2.668021E+03	1.589159E-16	1.462916E-17
2.707842E+03	1.699907E-16	1.543068E-17
2.747663E+03	1.809701E-16	1.619106E-17
2.787484E+03	1.917232E-16	1.689835E-17
2.827305E+03	2.021270E-16	1.754204E-17
2.867127E+03	2.120374E-16	1.811050E-17
2.906948E+03	2.213362E-16	1.859518E-17
2.946769E+03	2.299227E-16	1.898967E-17
2.986590E+03	2.377008E-16	1.928863E-17
2.996546E+03	2.395070E-16	1.934784E-17
3.006501E+03	2.412525E-16	1.940049E-17
3.016456E+03	2.429399E-16	1.944687E-17
3.026411E+03	2.445698E-16	1.948708E-17
3.036367E+03	2.461634E-16	1.952286E-17
3.046322E+03	2.477331E-16	1.955521E-17
3.056277E+03	2.492798E-16	1.958424E-17
3.066233E+03	2.508003E-16	1.960971E-17
3.076188E+03	2.522845E-16	1.963087E-17
3.086143E+03	2.537363E-16	1.964805E-17
3.096099E+03	2.551333E-16	1.965954E-17
3.106054E+03	2.564870E-16	1.966631E-17
3.116009E+03	2.577763E-16	1.966677E-17
3.125964E+03	2.590130E-16	1.966189E-17
3.135920E+03	2.601774E-16	1.965025E-17
3.145875E+03	2.612758E-16	1.963240E-17
3.155830E+03	2.623086E-16	1.960843E-17
3.165786E+03	2.632637E-16	1.957753E-17
3.175741E+03	2.641484E-16	1.954031E-17
