#wls	flux	fluxerr
1.592848E+03	2.985453E-17	1.537474E-18
1.632669E+03	3.066715E-17	1.571044E-18
1.672491E+03	3.134150E-17	1.596932E-18
1.712312E+03	3.185026E-17	1.613852E-18
1.752133E+03	3.217824E-17	1.621167E-18
1.791954E+03	3.228453E-17	1.616973E-18
1.831775E+03	3.210624E-17	1.598332E-18
1.871597E+03	3.160000E-17	1.563356E-18
1.911418E+03	3.070198E-17	1.509218E-18
1.951239E+03	2.940626E-17	1.436016E-18
1.991060E+03	2.777242E-17	1.347052E-18
2.030881E+03	2.599268E-17	1.251949E-18
2.070703E+03	2.437851E-17	1.165787E-18
2.110524E+03	2.331789E-17	1.106844E-18
2.150345E+03	2.313279E-17	1.089724E-18
2.190166E+03	2.394167E-17	1.119018E-18
2.229987E+03	2.567256E-17	1.190270E-18
2.269809E+03	2.808686E-17	1.291428E-18
2.309630E+03	3.090593E-17	1.408940E-18
2.349451E+03	3.388820E-17	1.531345E-18
2.389272E+03	3.684390E-17	1.649871E-18
2.429093E+03	3.967359E-17	1.760062E-18
2.468915E+03	4.229965E-17	1.858593E-18
2.508736E+03	4.470840E-17	1.945056E-18
2.548557E+03	4.687920E-17	2.018779E-18
2.588378E+03	4.882101E-17	2.080401E-18
2.628199E+03	5.054766E-17	2.130759E-18
2.668021E+03	5.205320E-17	2.169853E-18
2.707842E+03	5.335350E-17	2.198604E-18
2.747663E+03	5.445035E-17	2.217341E-18
2.787484E+03	5.536054E-17	2.227003E-18
2.827305E+03	5.608732E-17	2.227970E-18
2.867127E+03	5.663564E-17	2.220690E-18
2.906948E+03	5.701270E-17	2.205702E-18
2.946769E+03	5.724191E-17	2.184155E-18
2.986590E+03	5.736171E-17	2.157723E-18
2.996546E+03	5.737513E-17	2.150394E-18
3.006501E+03	5.737997E-17	2.142707E-18
3.016456E+03	5.738316E-17	2.134925E-18
3.026411E+03	5.738602E-17	2.127098E-18
3.036367E+03	5.739305E-17	2.119390E-18
3.046322E+03	5.740182E-17	2.111712E-18
3.056277E+03	5.742023E-17	2.104353E-18
3.066233E+03	5.744055E-17	2.097025E-18
3.076188E+03	5.747432E-17	2.090148E-18
3.086143E+03	5.750791E-17	2.083222E-18
3.096099E+03	5.755291E-17	2.076666E-18
3.106054E+03	5.759622E-17	2.070003E-18
3.116009E+03	5.764952E-17	2.063654E-18
3.125964E+03	5.770000E-17	2.057155E-18
3.135920E+03	5.775948E-17	2.050929E-18
3.145875E+03	5.782749E-17	2.044956E-18
3.155830E+03	5.789181E-17	2.038800E-18
3.165786E+03	5.796419E-17	2.032875E-18
3.175741E+03	5.804447E-17	2.027172E-18
3.185696E+03	5.812660E-17	2.021478E-18
3.195652E+03	5.821654E-17	2.015998E-18
3.205607E+03	5.831420E-17	2.010725E-18
3.215562E+03	5.841964E-17	2.005657E-18
3.225517E+03	5.853288E-17	2.000793E-18
3.235473E+03	5.865978E-17	1.996327E-18
3.245428E+03	5.878899E-17	1.991869E-18
3.255383E+03	5.893204E-17	1.987806E-18
3.265339E+03	5.908904E-17	1.984137E-18
3.275294E+03	5.926010E-17	1.980857E-18
3.285249E+03	5.944529E-17	1.977963E-18
3.295205E+03	5.963924E-17	1.975271E-18
3.305160E+03	5.985315E-17	1.973145E-18
3.315115E+03	6.008706E-17	1.971577E-18
3.325070E+03	6.033559E-17	1.970382E-18
3.335026E+03	6.060427E-17	1.969733E-18
3.344981E+03	6.089844E-17	1.969793E-18
3.354936E+03	6.120743E-17	1.970206E-18
3.364892E+03	6.154189E-17	1.971305E-18
3.374847E+03	6.190177E-17	1.973078E-18
3.384802E+03	6.228692E-17	1.975507E-18
3.394758E+03	6.269720E-17	1.978574E-18
3.404713E+03	6.313762E-17	1.982426E-18
3.414668E+03	6.360273E-17	1.986876E-18
3.424623E+03	7.342707E-17	2.282018E-18
3.426615E+03	7.493049E-17	2.326338E-18
3.428606E+03	7.583291E-17	2.351920E-18
3.430597E+03	7.732481E-17	2.395707E-18
3.432588E+03	7.961235E-17	2.464021E-18
3.434579E+03	8.119218E-17	2.510305E-18
3.436570E+03	8.374753E-17	2.586616E-18
3.438561E+03	8.792205E-17	2.712718E-18
3.440552E+03	8.943437E-17	2.756496E-18
3.442543E+03	9.131779E-17	2.811601E-18
3.444534E+03	9.361899E-17	2.879433E-18
3.446525E+03	9.607188E-17	2.951774E-18
3.448516E+03	9.848758E-17	3.022814E-18
3.450507E+03	1.000158E-16	3.066486E-18
3.452498E+03	1.009774E-16	3.092700E-18
3.454489E+03	1.020341E-16	3.121762E-18
3.456480E+03	1.046343E-16	3.197930E-18
3.458471E+03	1.061851E-16	3.241884E-18
3.460463E+03	1.074810E-16	3.277963E-18
3.462454E+03	1.077825E-16	3.283663E-18
3.464445E+03	1.084349E-16	3.300018E-18
3.466436E+03	1.090780E-16	3.316047E-18
3.468427E+03	1.099016E-16	3.337514E-18
3.470418E+03	1.105075E-16	3.352318E-18
3.472409E+03	1.108097E-16	3.357882E-18
3.474400E+03	1.114064E-16	3.372337E-18
3.476391E+03	1.108541E-16	3.352005E-18
3.478382E+03	1.116314E-16	3.371871E-18
3.480373E+03	1.130839E-16	3.412056E-18
3.482364E+03	1.123600E-16	3.386546E-18
3.484355E+03	1.128718E-16	3.398286E-18
3.486346E+03	1.125085E-16	3.383674E-18
3.488337E+03	1.123733E-16	3.375934E-18
3.490328E+03	1.117905E-16	3.354767E-18
3.492319E+03	1.099406E-16	3.295654E-18
3.494311E+03	1.094135E-16	3.276270E-18
3.496302E+03	1.093719E-16	3.271440E-18
3.498293E+03	1.083674E-16	3.237841E-18
3.500284E+03	1.077341E-16	3.215384E-18
3.502275E+03	1.075294E-16	3.205745E-18
3.504266E+03	1.064085E-16	3.168835E-18
3.506257E+03	1.044471E-16	3.106990E-18
3.508248E+03	1.028566E-16	3.056295E-18
3.510239E+03	1.012077E-16	3.003970E-18
3.512230E+03	9.888896E-17	2.931893E-18
3.514221E+03	9.698918E-17	2.872373E-18
3.516212E+03	9.555462E-17	2.826739E-18
3.518203E+03	9.413913E-17	2.781761E-18
3.520194E+03	9.309863E-17	2.747943E-18
3.522185E+03	9.100306E-17	2.683085E-18
3.524176E+03	9.048904E-17	2.664941E-18
3.526168E+03	8.907091E-17	2.620233E-18
3.528159E+03	8.852904E-17	2.601366E-18
3.530150E+03	8.713425E-17	2.557498E-18
3.532141E+03	8.740100E-17	2.562434E-18
3.534132E+03	8.720102E-17	2.553683E-18
3.536123E+03	8.782351E-17	2.569002E-18
3.538114E+03	8.781335E-17	2.565794E-18
3.540105E+03	8.816954E-17	2.573276E-18
3.542096E+03	8.771888E-17	2.557212E-18
3.544087E+03	8.688392E-17	2.529985E-18
3.546078E+03	8.658898E-17	2.518520E-18
3.548069E+03	8.543519E-17	2.482120E-18
3.550060E+03	8.462745E-17	2.455839E-18
3.552051E+03	8.496092E-17	2.462688E-18
3.554042E+03	8.578961E-17	2.483852E-18
3.556033E+03	8.655524E-17	2.503135E-18
3.558024E+03	8.646333E-17	2.497595E-18
3.560016E+03	8.637417E-17	2.492139E-18
3.562007E+03	8.694994E-17	2.505850E-18
3.563998E+03	8.655850E-17	2.491679E-18
3.565989E+03	8.691406E-17	2.499011E-18
3.567980E+03	8.703383E-17	2.499546E-18
3.569971E+03	8.760164E-17	2.512923E-18
3.571962E+03	8.854660E-17	2.537068E-18
3.573953E+03	8.928771E-17	2.555314E-18
3.575944E+03	8.933195E-17	2.553588E-18
3.577935E+03	8.973210E-17	2.562020E-18
3.579926E+03	9.020582E-17	2.572521E-18
3.581917E+03	9.010546E-17	2.566637E-18
3.583908E+03	9.057467E-17	2.576963E-18
3.585899E+03	9.108565E-17	2.588443E-18
3.587890E+03	9.155633E-17	2.598743E-18
3.589881E+03	9.253363E-17	2.623372E-18
3.591872E+03	9.377724E-17	2.655476E-18
3.593864E+03	9.452845E-17	2.673568E-18
3.595855E+03	9.611769E-17	2.715281E-18
3.597846E+03	9.749202E-17	2.750822E-18
3.599837E+03	9.832326E-17	2.770964E-18
3.601828E+03	9.969709E-17	2.806320E-18
3.603819E+03	1.011007E-16	2.842419E-18
3.605810E+03	1.022145E-16	2.870285E-18
3.607801E+03	1.025926E-16	2.877440E-18
3.609792E+03	1.035815E-16	2.901676E-18
3.611783E+03	1.037857E-16	2.903891E-18
3.613774E+03	1.046203E-16	2.923705E-18
3.615765E+03	1.051935E-16	2.936165E-18
3.617756E+03	1.055244E-16	2.941831E-18
3.619747E+03	1.055644E-16	2.939371E-18
3.621738E+03	1.052063E-16	2.925838E-18
3.623729E+03	1.060328E-16	2.945228E-18
3.625721E+03	1.062671E-16	2.948135E-18
3.627712E+03	1.064919E-16	2.950759E-18
3.629703E+03	1.069404E-16	2.959556E-18
3.631694E+03	1.078558E-16	2.981228E-18
3.633685E+03	1.086160E-16	2.998553E-18
3.635676E+03	1.091822E-16	3.010474E-18
3.637667E+03	1.095541E-16	3.017004E-18
3.639658E+03	1.093520E-16	3.007717E-18
3.641649E+03	1.100357E-16	3.022778E-18
3.643640E+03	1.100771E-16	3.020168E-18
3.645631E+03	1.093976E-16	2.997798E-18
3.647622E+03	1.094973E-16	2.996799E-18
3.649613E+03	1.089635E-16	2.978474E-18
3.651604E+03	1.091703E-16	2.980406E-18
3.653595E+03	1.097382E-16	2.992165E-18
3.655586E+03	1.098772E-16	2.992203E-18
3.657577E+03	1.100065E-16	2.991967E-18
3.659569E+03	1.095600E-16	2.976080E-18
3.661560E+03	1.091913E-16	2.962333E-18
3.663551E+03	1.088127E-16	2.948340E-18
3.665542E+03	1.085120E-16	2.936482E-18
3.667533E+03	1.083773E-16	2.929128E-18
3.669524E+03	1.080861E-16	2.917557E-18
3.671515E+03	1.078926E-16	2.908638E-18
3.673506E+03	1.074936E-16	2.894197E-18
3.675497E+03	1.061943E-16	2.855573E-18
3.677488E+03	1.060294E-16	2.847504E-18
3.679479E+03	1.051793E-16	2.821064E-18
3.681470E+03	1.032809E-16	2.766600E-18
3.683461E+03	1.023021E-16	2.736870E-18
3.685452E+03	1.008133E-16	2.693576E-18
3.687443E+03	9.889245E-17	2.638855E-18
3.689434E+03	9.722242E-17	2.590949E-18
3.691425E+03	9.496893E-17	2.527627E-18
3.693417E+03	9.300547E-17	2.472169E-18
3.695408E+03	9.064642E-17	2.406343E-18
3.697399E+03	8.858635E-17	2.348605E-18
3.699390E+03	8.634544E-17	2.286219E-18
3.701381E+03	8.383803E-17	2.216939E-18
3.703372E+03	8.108853E-17	2.141438E-18
3.705363E+03	7.839635E-17	2.067637E-18
3.707354E+03	7.624029E-17	2.008142E-18
