#wls	flux	fluxerr
1.600000E+03	5.957421E-16	5.007195E-18
1.640000E+03	6.147066E-16	5.146719E-18
1.680000E+03	6.350893E-16	5.296331E-18
1.720000E+03	6.570808E-16	5.457415E-18
1.760000E+03	6.806879E-16	5.629797E-18
1.800000E+03	7.061021E-16	5.814817E-18
1.840000E+03	7.333922E-16	6.012766E-18
1.880000E+03	7.627507E-16	6.224929E-18
1.920000E+03	7.943089E-16	6.452046E-18
1.960000E+03	8.281977E-16	6.694826E-18
2.000000E+03	8.644236E-16	6.952938E-18
2.040000E+03	9.031165E-16	7.227025E-18
2.080000E+03	9.443435E-16	7.517191E-18
2.120000E+03	9.879827E-16	7.822015E-18
2.160000E+03	1.033909E-15	8.140056E-18
2.200000E+03	1.081807E-15	8.468384E-18
2.240000E+03	1.131293E-15	8.803586E-18
2.280000E+03	1.182231E-15	9.144220E-18
2.320000E+03	1.234607E-15	9.489791E-18
2.360000E+03	1.289037E-15	9.844618E-18
2.400000E+03	1.346070E-15	1.021236E-17
2.440000E+03	1.406193E-15	1.059608E-17
2.480000E+03	1.470013E-15	1.099963E-17
2.520000E+03	1.537942E-15	1.142525E-17
2.560000E+03	1.610261E-15	1.187409E-17
2.600000E+03	1.687428E-15	1.234853E-17
2.640000E+03	1.769572E-15	1.284838E-17
2.680000E+03	1.856935E-15	1.337423E-17
2.720000E+03	1.949481E-15	1.392458E-17
2.760000E+03	2.047346E-15	1.449911E-17
2.800000E+03	2.150373E-15	1.509538E-17
2.840000E+03	2.258501E-15	1.571160E-17
2.880000E+03	2.371672E-15	1.634601E-17
2.920000E+03	2.489894E-15	1.699725E-17
2.960000E+03	2.613274E-15	1.766460E-17
3.000000E+03	2.741986E-15	1.834773E-17
3.010000E+03	2.774990E-15	1.852074E-17
3.020000E+03	2.808364E-15	1.869487E-17
3.030000E+03	2.842032E-15	1.886957E-17
3.040000E+03	2.876104E-15	1.904555E-17
3.050000E+03	2.910501E-15	1.922227E-17
3.060000E+03	2.945209E-15	1.939960E-17
3.070000E+03	2.980208E-15	1.957739E-17
3.080000E+03	3.015605E-15	1.975631E-17
3.090000E+03	3.051255E-15	1.993538E-17
3.100000E+03	3.087259E-15	2.011526E-17
3.110000E+03	3.123531E-15	2.029535E-17
3.120000E+03	3.160109E-15	2.047587E-17
3.130000E+03	3.196966E-15	2.065662E-17
3.140000E+03	3.234070E-15	2.083738E-17
3.150000E+03	3.271394E-15	2.101794E-17
3.160000E+03	3.308962E-15	2.119845E-17
3.170000E+03	3.346678E-15	2.137827E-17
3.180000E+03	3.384565E-15	2.155753E-17
3.190000E+03	3.422583E-15	2.173595E-17
3.200000E+03	3.460688E-15	2.191324E-17
3.210000E+03	3.498893E-15	2.208947E-17
3.220000E+03	3.537026E-15	2.226355E-17
3.230000E+03	3.575220E-15	2.243631E-17
3.240000E+03	3.613236E-15	2.260623E-17
3.250000E+03	3.651197E-15	2.277409E-17
3.260000E+03	3.688920E-15	2.293874E-17
3.270000E+03	3.726401E-15	2.310018E-17
3.280000E+03	3.763573E-15	2.325798E-17
3.290000E+03	3.800307E-15	2.341137E-17
3.300000E+03	3.836649E-15	2.356064E-17
3.310000E+03	3.872406E-15	2.370464E-17
3.320000E+03	3.907505E-15	2.384294E-17
3.330000E+03	3.941988E-15	2.397582E-17
3.340000E+03	3.975660E-15	2.410215E-17
3.350000E+03	4.008446E-15	2.422150E-17
3.360000E+03	4.040260E-15	2.433341E-17
3.370000E+03	4.071058E-15	2.443766E-17
3.380000E+03	4.100599E-15	2.453287E-17
3.390000E+03	4.128728E-15	2.461819E-17
3.400000E+03	4.155326E-15	2.469298E-17
3.410000E+03	4.180129E-15	2.475578E-17
3.420000E+03	4.202903E-15	2.480531E-17
3.430000E+03	4.223264E-15	2.483942E-17
3.440000E+03	4.240946E-15	2.485672E-17
3.450000E+03	4.255606E-15	2.485535E-17
3.460000E+03	4.266783E-15	2.483282E-17
3.470000E+03	4.274138E-15	2.478737E-17
3.480000E+03	4.277302E-15	2.471712E-17
3.490000E+03	4.276049E-15	2.462102E-17
3.500000E+03	4.269998E-15	2.449717E-17
3.510000E+03	4.259037E-15	2.434523E-17
3.520000E+03	4.242975E-15	2.416442E-17
3.530000E+03	4.221758E-15	2.395477E-17
3.540000E+03	4.195419E-15	2.371679E-17
3.550000E+03	4.164038E-15	2.345126E-17
3.560000E+03	4.127883E-15	2.316003E-17
3.570000E+03	4.087182E-15	2.284467E-17
3.580000E+03	4.042363E-15	2.250787E-17
3.590000E+03	3.993996E-15	2.215307E-17
3.600000E+03	3.942678E-15	2.178380E-17
3.610000E+03	3.889157E-15	2.140439E-17
3.620000E+03	3.834236E-15	2.101939E-17
3.630000E+03	3.778802E-15	2.063374E-17
3.640000E+03	3.723839E-15	2.025286E-17
3.650000E+03	3.670313E-15	1.988194E-17
3.660000E+03	3.619335E-15	1.952690E-17
3.670000E+03	3.571943E-15	1.919316E-17
3.680000E+03	3.529282E-15	1.888664E-17
3.690000E+03	3.492555E-15	1.861343E-17
3.700000E+03	3.462885E-15	1.837912E-17
3.710000E+03	3.441489E-15	1.818968E-17
3.720000E+03	3.429670E-15	1.805143E-17
3.730000E+03	3.428657E-15	1.797018E-17
3.740000E+03	3.439734E-15	1.795192E-17
3.750000E+03	3.464274E-15	1.800298E-17
3.760000E+03	3.503566E-15	1.812914E-17
