#wls	flux	fluxerr
1.600000E+03	4.941316E-16	2.228894E-17
1.640000E+03	5.099199E-16	2.285115E-17
1.680000E+03	5.267681E-16	2.344799E-17
1.720000E+03	5.447985E-16	2.408354E-17
1.760000E+03	5.640207E-16	2.475676E-17
1.800000E+03	5.846708E-16	2.547638E-17
1.840000E+03	6.067001E-16	2.623849E-17
1.880000E+03	6.302866E-16	2.704887E-17
1.920000E+03	6.554921E-16	2.790809E-17
1.960000E+03	6.824332E-16	2.881885E-17
2.000000E+03	7.111648E-16	2.978103E-17
2.040000E+03	7.417951E-16	3.079656E-17
2.080000E+03	7.743670E-16	3.186447E-17
2.120000E+03	8.089747E-16	3.298569E-17
2.160000E+03	8.455830E-16	3.415572E-17
2.200000E+03	8.842637E-16	3.537427E-17
2.240000E+03	9.250141E-16	3.663790E-17
2.280000E+03	9.679950E-16	3.794949E-17
2.320000E+03	1.013410E-15	3.931322E-17
2.360000E+03	1.061379E-15	4.072957E-17
2.400000E+03	1.112171E-15	4.220444E-17
2.440000E+03	1.165967E-15	4.373970E-17
2.480000E+03	1.222899E-15	4.533511E-17
2.520000E+03	1.283050E-15	4.698813E-17
2.560000E+03	1.346378E-15	4.869147E-17
2.600000E+03	1.412889E-15	5.043945E-17
2.640000E+03	1.482384E-15	5.221897E-17
2.680000E+03	1.554499E-15	5.401155E-17
2.720000E+03	1.628824E-15	5.579756E-17
2.760000E+03	1.704643E-15	5.754785E-17
2.800000E+03	1.781048E-15	5.922820E-17
2.840000E+03	1.856878E-15	6.079792E-17
2.880000E+03	1.930781E-15	6.221258E-17
2.920000E+03	2.001764E-15	6.344204E-17
2.960000E+03	2.069102E-15	6.446676E-17
3.000000E+03	2.132282E-15	6.527547E-17
3.010000E+03	2.147339E-15	6.544183E-17
3.020000E+03	2.162134E-15	6.559510E-17
3.030000E+03	2.176531E-15	6.573122E-17
3.040000E+03	2.190649E-15	6.585394E-17
3.050000E+03	2.204400E-15	6.596074E-17
3.060000E+03	2.217749E-15	6.605067E-17
3.070000E+03	2.230711E-15	6.612437E-17
3.080000E+03	2.243296E-15	6.618225E-17
3.090000E+03	2.255419E-15	6.622198E-17
3.100000E+03	2.267137E-15	6.624540E-17
3.110000E+03	2.278365E-15	6.625020E-17
3.120000E+03	2.289112E-15	6.623684E-17
3.130000E+03	2.299384E-15	6.620571E-17
3.140000E+03	2.309144E-15	6.615591E-17
3.150000E+03	2.318309E-15	6.608528E-17
3.160000E+03	2.326976E-15	6.599686E-17
3.170000E+03	2.335017E-15	6.588720E-17
3.180000E+03	2.342487E-15	6.575815E-17
3.190000E+03	2.349348E-15	6.560887E-17
3.200000E+03	2.355567E-15	6.543872E-17
3.210000E+03	2.361112E-15	6.524709E-17
3.220000E+03	2.366038E-15	6.503577E-17
3.230000E+03	2.370273E-15	6.480308E-17
3.240000E+03	2.373791E-15	6.454864E-17
3.250000E+03	2.376613E-15	6.427329E-17
3.260000E+03	2.378756E-15	6.397786E-17
3.270000E+03	2.380166E-15	6.366114E-17
3.280000E+03	2.380868E-15	6.332421E-17
3.290000E+03	2.380855E-15	6.296715E-17
3.300000E+03	2.380159E-15	6.259113E-17
3.310000E+03	2.378739E-15	6.219545E-17
3.320000E+03	2.376602E-15	6.178057E-17
3.330000E+03	2.373825E-15	6.134883E-17
3.340000E+03	2.370345E-15	6.089896E-17
3.350000E+03	2.366210E-15	6.043247E-17
3.360000E+03	2.361467E-15	5.995087E-17
3.370000E+03	2.356062E-15	5.945310E-17
3.380000E+03	2.350075E-15	5.894152E-17
3.390000E+03	2.343455E-15	5.841510E-17
3.400000E+03	2.336217E-15	5.787454E-17
3.410000E+03	2.328405E-15	5.732121E-17
3.420000E+03	2.319999E-15	5.675494E-17
3.430000E+03	2.311014E-15	5.617635E-17
3.440000E+03	2.301405E-15	5.558467E-17
3.450000E+03	2.291219E-15	5.498135E-17
3.460000E+03	2.280453E-15	5.436659E-17
3.470000E+03	2.269083E-15	5.374015E-17
3.480000E+03	2.257155E-15	5.310339E-17
3.490000E+03	2.244670E-15	5.245660E-17
3.500000E+03	2.231674E-15	5.180120E-17
3.510000E+03	2.218229E-15	5.113882E-17
3.520000E+03	2.204369E-15	5.047052E-17
3.530000E+03	2.190149E-15	4.979777E-17
3.540000E+03	2.175627E-15	4.912206E-17
3.550000E+03	2.160863E-15	4.844494E-17
3.560000E+03	2.145946E-15	4.776850E-17
3.570000E+03	2.130987E-15	4.709531E-17
3.580000E+03	2.116105E-15	4.642802E-17
3.590000E+03	2.101434E-15	4.576957E-17
3.600000E+03	2.087174E-15	4.512416E-17
3.610000E+03	2.073467E-15	4.449469E-17
3.620000E+03	2.060529E-15	4.388554E-17
3.630000E+03	2.048666E-15	4.330281E-17
3.640000E+03	2.038153E-15	4.275178E-17
3.650000E+03	2.029318E-15	4.223863E-17
3.660000E+03	2.022492E-15	4.176945E-17
3.670000E+03	2.018043E-15	4.135077E-17
3.680000E+03	2.016320E-15	4.098859E-17
3.690000E+03	2.017671E-15	4.068860E-17
3.700000E+03	2.022515E-15	4.045772E-17
3.710000E+03	2.031195E-15	4.030108E-17
3.720000E+03	2.044128E-15	4.022500E-17
3.730000E+03	2.061698E-15	4.023494E-17
3.740000E+03	2.084308E-15	4.033643E-17
3.750000E+03	2.112339E-15	4.053434E-17
3.760000E+03	2.146165E-15	4.083316E-17
3.770000E+03	2.186183E-15	4.123754E-17
3.780000E+03	2.232734E-15	4.175084E-17
3.790000E+03	2.286145E-15	4.237595E-17
3.800000E+03	2.346664E-15	4.311405E-17
3.810000E+03	2.414555E-15	4.396653E-17
3.818735E+03	5.792241E-16	1.046431E-17
3.820432E+03	5.938935E-16	1.071285E-17
3.822128E+03	6.095366E-16	1.097811E-17
3.823825E+03	6.242934E-16	1.122656E-17
3.825522E+03	6.406995E-16	1.150381E-17
3.827219E+03	6.578617E-16	1.179369E-17
3.828916E+03	6.733894E-16	1.205337E-17
3.830613E+03	6.871353E-16	1.228034E-17
3.832309E+03	7.024220E-16	1.253406E-17
3.834006E+03	7.199994E-16	1.282773E-17
3.835703E+03	7.401799E-16	1.316672E-17
3.837400E+03	7.623074E-16	1.353918E-17
3.839097E+03	7.830563E-16	1.388596E-17
3.840794E+03	7.993907E-16	1.415343E-17
3.842490E+03	8.124227E-16	1.436163E-17
3.844187E+03	8.251134E-16	1.456307E-17
3.845884E+03	8.413785E-16	1.482679E-17
3.847581E+03	8.645331E-16	1.521083E-17
3.849278E+03	8.950764E-16	1.572338E-17
3.850974E+03	9.306336E-16	1.632218E-17
3.852671E+03	9.691569E-16	1.697094E-17
3.854368E+03	1.010099E-15	1.765985E-17
